Gene = MRPL50
index = 869
Annotated 5SS: [114]
Annotated 3SS: [7763]
SMsplice 5SS: [114]
SMsplice 3SS: [4958]
top_k =  500
Partition function (log Z): -9.705108478766299

Sorted 5' Splice Sites (High to Low Probability):
Position 114: 0.7871686406607238
Position 5162: 0.3964521057944049
Position 1416: 0.3434292601936711
Position 6040: 0.30937364367756337
Position 4113: 0.18141802255582176
Position 778: 0.12018969989274415
Position 240: 0.0704530446991044
Position 7154: 0.059638137436265136
Position 1149: 0.05823038894883361
Position 134: 0.0547594552222781
Position 7450: 0.04443614654703529
Position 3384: 0.03403952640621704
Position 7175: 0.019873381382325833
Position 235: 0.019792372860335743
Position 5412: 0.01171450553407515
Position 618: 0.011269224466583126
Position 4997: 0.007445708037925314
Position 4568: 0.006961991230274728
Position 4580: 0.006634498834038351
Position 2494: 0.00542724116646004
Position 442: 0.004871905074219599
Position 4524: 0.004775774458021957
Position 2501: 0.0036719812776876367
Position 4585: 0.002650442245921622
Position 6222: 0.002641984627368047
Position 1133: 0.0021592388330397496
Position 485: 0.0020237318636429917
Position 2475: 0.0014029061338252963
Position 1495: 0.0011397089588981398
Position 3226: 0.0010692227443727638
Position 2626: 0.0010352548622880123
Position 1372: 0.001000414010737841
Position 253: 0.0007895245982907035
Position 275: 0.0007667693934835845
Position 3059: 0.0006973272243365655
Position 825: 0.0006669073098555532
Position 89: 0.0006399594544539341
Position 1437: 0.000630084434590921
Position 1128: 0.00018862896784524734
Position 490: 0.00015814031473080617
Position 657: 0.00014943204459416152
Position 154: 0.00012381877200706286
Position 498: 0.0001132258435867433
Position 246: 0.00010798352170522945
Position 1043: 9.810275931406076e-05
Position 683: 9.205735142757639e-05
Position 102: 7.363215627418028e-05
Position 410: 6.449141149433886e-05
Position 764: 6.343448615439428e-05
Position 2317: 6.271884125098622e-05
Position 820: 4.634676341002121e-05
Position 127: 2.811527668483983e-05
Position 1087: 2.2547918275289646e-05
Position 39: 2.0979343152950744e-05
Position 970: 2.0031236285409883e-05
Position 1146: 1.9662099351638125e-05
Position 66: 1.5985928623346175e-05
Position 396: 1.442358328205977e-05
Position 846: 1.0432000196465166e-05
Position 3737: 8.745441063897656e-06
Position 1451: 8.623904017654201e-06
Position 934: 6.571028528732751e-06
Position 272: 1.6714464279195792e-06
Position 143: 8.342653290496027e-08
Position 200: 7.008726961501188e-08
Position 73: 6.414245052070182e-08
Position 285: 6.316411529355391e-08
Position 138: 5.749903256566265e-08
Position 203: 4.654257691783292e-08
Position 37: 2.1073388530762456e-08
Position 58: 2.0229524049689014e-08
Position 417: 1.6233038690634947e-08
Position 307: 1.720095592577596e-09
Position 189: 1.423355251928141e-09
Position 6: 4.863517294344236e-10
Position 187: 2.640726516898432e-10
Position 394: 2.711620382472258e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4958: 0.4338638560808787
Position 1318: 0.37640207636682776
Position 5809: 0.2685792403825391
Position 9126: 0.22717331360572218
Position 10213: 0.14805718637305196
Position 6415: 0.09018060405617402
Position 3964: 0.0871198084728537
Position 7040: 0.07586875337182326
Position 6369: 0.06883767514232367
Position 7763: 0.06688582519603295
Position 5068: 0.066036506598813
Position 3919: 0.06358772325210342
Position 1090: 0.05867316827746767
Position 7258: 0.05697713070803487
Position 533: 0.05150009611732573
Position 6703: 0.04636145870568362
Position 5859: 0.043797896569808197
Position 6941: 0.03292236673110136
Position 3275: 0.03135586294685808
Position 5925: 0.030348009574044287
Position 7594: 0.02423236756176228
Position 7696: 0.023275459493862546
Position 4492: 0.019819375401492395
Position 3617: 0.018360902094131857
Position 3922: 0.015964316796496403
Position 6616: 0.011482287241680924
Position 8374: 0.011268895907448302
Position 8711: 0.01015870752648987
Position 2425: 0.009083677641429673
Position 3968: 0.008183004588381074
Position 5309: 0.007669171989403847
Position 376: 0.007364460335232133
Position 1006: 0.00730117159578878
Position 6210: 0.006654797484082589
Position 6288: 0.004637507823751958
Position 553: 0.003933413531048355
Position 3278: 0.003929452490561539
Position 544: 0.0034723486871231155
Position 5488: 0.003279728083707979
Position 3721: 0.003233398657310218
Position 1346: 0.0032154426407642964
Position 6079: 0.003188770235383373
Position 4405: 0.0031599277879587463
Position 2422: 0.0028540339983171644
Position 3854: 0.0027691143408840714
Position 5250: 0.0025708820850381823
Position 617: 0.0025183728660810854
Position 2921: 0.0024826547090012257
Position 3518: 0.0024236816175345764
Position 6468: 0.002418027927758295
Position 641: 0.002080168700188063
Position 1320: 0.0018982522700303462
Position 859: 0.0018306850513534474
Position 4523: 0.001747749911207936
Position 4677: 0.001652029559635617
Position 4726: 0.0015435517065017083
Position 2854: 0.0015085285915712675
Position 7537: 0.0014921993806208545
Position 3306: 0.001323267593338161
Position 671: 0.0013140386086923962
Position 578: 0.0012642310966025354
Position 4629: 0.001000301635690602
Position 1142: 0.0008449999875364078
Position 307: 0.0008012823797378038
Position 480: 0.0007546415589263497
Position 1037: 0.0005797187056774168
Position 649: 0.0004929999327670329
Position 3094: 0.00046861497593213535
Position 970: 0.0003699138734414611
Position 2186: 0.0003470002041099456
Position 2683: 0.0003251668739582443
Position 1262: 0.00032184596437391207
Position 1236: 0.00031404857931974076
Position 1025: 0.0003111749828034227
Position 2370: 0.0002861500875326406
Position 3791: 0.0002833151570285931
Position 484: 0.0002792895520641234
Position 559: 0.00025102430747562344
