Gene = ENSDARG00000077790
index = 486
Annotated 5SS: [  112  1549  3731  5966  7719  8030 11119 12301 12497 12703 14385 14582]
Annotated 3SS: [ 1450  3591  5858  7572  7870 10548 12208 12373 12619 14279 14465 14758]
SMsplice 5SS: [  112  1549  3731  5966  7719  8030 12301 12497 12703 14375 14582]
SMsplice 3SS: [ 1450  3591  5858  7572  7870 12208 12373 12576 14279 14465 14758]
length: 15216
Partition function (logZ) = 45.14607395358219
#Exons = 2369
3SS, 5SS, prob
7870, 8030, 0.9962591113447334
12208, 12301, 0.9774987769734463
1450, 1549, 0.9749647661951467
5858, 5966, 0.9741789224996947
7572, 7719, 0.9707347365417337
3591, 3731, 0.8616666631011871
0, 112, 0.7995771902215429
12373, 12497, 0.7836844689240722
14758, -1, 0.7823482331667418
14465, 14582, 0.7113574220981962
8497, 8581, 0.529271506522348
14279, 14375, 0.4770954081572899
14279, 14385, 0.4679725202160828
12576, 12703, 0.4373353380149375
12619, 12703, 0.3519993516300681
8270, 8403, 0.2961616211951645
14465, 14602, 0.23682654261252364
11046, 11119, 0.20248836997011538
0, 621, 0.16459199375685887
12373, 12703, 0.14799751757178597
10548, 10951, 0.1035675939403568
9502, 9615, 0.10026731488668321
11018, 11119, 0.09012614379603744
8506, 8581, 0.08210270628650723
3534, 3731, 0.07118218219379814
3110, 3199, 0.060672787783463425
14678, -1, 0.058817001005010215
10978, 11119, 0.05379871046399126
12521, 12703, 0.050182849038649086
14647, -1, 0.044933888457417054
12373, 12425, 0.04277732287951501
14465, -1, 0.03669186841161156
8454, 8581, 0.0350005232029485
337, 621, 0.034249876132518994
14772, -1, 0.03351755278957422
11046, 11217, 0.028109753831936046
3645, 3731, 0.026285722025365114
3591, 3697, 0.025337555481159842
14758, 14845, 0.023967063629278706
10136, 10363, 0.021243828425880473
0, 321, 0.019806402167771305
10265, 10363, 0.017490013869886654
7581, 7719, 0.016914315610551903
10548, 10707, 0.016914120361985596
15109, -1, 0.016707067951558435
10780, 10951, 0.016385873283763817
12208, 12296, 0.015237078461634228
2699, 2843, 0.013924446954748376
5858, 5920, 0.013889362122616667
8325, 8403, 0.012962805782918254
15136, -1, 0.010601906895133002
10736, 10951, 0.010429087082753667
10129, 10363, 0.01040197408265448
2886, 3199, 0.010287495098476034
10548, 11119, 0.008923608886874913
8691, 8750, 0.008643523151611088
14279, 14368, 0.008420161171944314
4146, 4190, 0.008170641514096888
10193, 10363, 0.00804824359658405
12391, 12497, 0.007917490022184741
211, 321, 0.007339914180346541
1450, 1527, 0.007286994399380875
2984, 3199, 0.007176922059260034
14279, 14308, 0.006602945502773453
8691, 8739, 0.006578457609572874
5858, 5949, 0.006512815551714257
10136, 10337, 0.006400557166368829
10787, 10951, 0.0062924619894936945
10726, 10951, 0.006255679043208763
12208, 12288, 0.0062195395026778426
10662, 10951, 0.00584263439312779
8270, 8581, 0.005514640081389576
11046, 11209, 0.005449630326506931
9523, 9615, 0.005362571936379049
7462, 7719, 0.004950863467651434
14826, -1, 0.0048499148217185754
11018, 11217, 0.004617148399952771
337, 438, 0.0045299168459844615
8283, 8403, 0.0042590394684150195
2699, 2855, 0.004224744568590626
4691, 4722, 0.0038933341166460305
2699, 3199, 0.0037999199586101987
4024, 4190, 0.00373077657828081
10074, 10363, 0.0036313810368615272
3534, 3697, 0.0036115999787592326
7870, 7972, 0.003501181958851751
14939, -1, 0.0033166879613173044
