Gene = AT2G20495
index = 195
Annotated 5SS: [  43  362  526  798 1186 1482 1645 1805]
Annotated 3SS: [ 152  451  716 1092 1361 1572 1726 1885]
SMsplice 5SS: [ 362  526  798 1186 1482 1645 1805]
SMsplice 3SS: [ 451  680 1092 1361 1572 1726 1885]
length: 2078
Partition function (logZ) = 20.715173513184318
#Exons = 7089
3SS, 5SS, prob
1572, 1645, 0.9864161841834019
451, 526, 0.9621469421734359
1726, 1805, 0.9242486946138819
1885, -1, 0.9227932524267671
1092, 1186, 0.9116097306732865
0, 362, 0.9079125648728648
1361, 1482, 0.7925138762160641
716, 798, 0.4729928795971529
680, 798, 0.4615399045242778
1315, 1482, 0.12052312647422228
908, 962, 0.07618380895347845
0, 43, 0.07535390226221327
152, 362, 0.0709380108764582
2071, -1, 0.044903090828171066
1092, 1190, 0.03973765448121327
1885, 1997, 0.03957580700463196
1365, 1482, 0.036628809309634344
908, 999, 0.03572024975315597
642, 798, 0.03561141944444783
1715, 1805, 0.02865781355693512
1295, 1482, 0.02282863361560419
908, 919, 0.022126855730305078
1709, 1805, 0.019462856758245793
1890, -1, 0.018182132937504918
908, 1186, 0.013859378421354032
451, 618, 0.011736458653619351
1092, 1482, 0.01166278984578335
1748, 1805, 0.011443978901623778
0, 10, 0.008215752345004457
1092, 1285, 0.007619179501361263
1915, -1, 0.006864665621105307
1726, -1, 0.0065311367101401775
451, 587, 0.005960849869720123
908, 987, 0.00561481465595576
451, 633, 0.005493951580646346
1265, 1482, 0.005279141176023497
1726, 1779, 0.005278932667316097
716, 919, 0.005251440799400967
1572, 1649, 0.004716072146159945
680, 919, 0.004695470847624292
908, 955, 0.004317262826843359
204, 362, 0.004091995725262734
908, 976, 0.0038073630107756645
1885, 1985, 0.003518405433509091
208, 362, 0.003317693199852472
451, 598, 0.0032182323291730665
1599, 1645, 0.0026840904622586178
228, 362, 0.0024023810042715977
1361, 1462, 0.00233361611797321
743, 798, 0.0022026446899422003
1552, 1645, 0.0021323275388547675
0, 350, 0.002074569854737958
716, 862, 0.001915626590734236
451, 798, 0.0018961412516572582
1092, 1210, 0.0018451189382107406
451, 611, 0.0018195820586529373
453, 526, 0.0017327455428673031
127, 362, 0.001728008971087461
0, 366, 0.001672244093816684
1053, 1186, 0.0015267795438725646
451, 515, 0.0014663683855538259
716, 962, 0.0014326068174767333
680, 862, 0.0013727910797559073
1572, 1805, 0.0013702527817352026
680, 962, 0.0013627108338951006
1092, 1271, 0.0012839854465648496
0, 47, 0.001245906507142812
908, 966, 0.0012454868713577543
0, 334, 0.0011626865931101487
1092, 1230, 0.0010987414446763768
451, 507, 0.0009445488163108753
0, 526, 0.0009133336238821613
1890, 1997, 0.0008886397263782968
1103, 1186, 0.0008662033876460857
0, 298, 0.0008456037517037852
1374, 1482, 0.0007648439874461146
1572, 1600, 0.0007495089115901483
680, 757, 0.00074819298936749
1361, 1645, 0.0006895498135129464
1092, 1222, 0.0006861784906238371
1092, 1296, 0.0006428999757160395
908, 950, 0.0006010288494327106
908, 1190, 0.0006008513070696517
716, 832, 0.0005976484214523451
1594, 1645, 0.0005790559670695325
680, 780, 0.0005694383917010967
1726, 1794, 0.0005564481762846164
1092, 1240, 0.0005420606723704196
680, 752, 0.0005394205136669387
1915, 1997, 0.0005199544233212219
1361, 1486, 0.0004905232219493389
642, 919, 0.0004832111031995503
451, 639, 0.00044152806934308765
680, 832, 0.0004345330197367072
1092, 1217, 0.0004194557508488062
1400, 1482, 0.000392175263399692
908, 1482, 0.0003893491361598607
1315, 1462, 0.00037688017904203896
233, 362, 0.00034858830626112984
1265, 1285, 0.00034840129908222256
716, 780, 0.00033716279215662806
716, 846, 0.0003260470004017192
1092, 1252, 0.0002983599276528352
1421, 1482, 0.0002753234570714256
262, 362, 0.0002736482989853334
1885, 1969, 0.00026529253400304933
1092, 1228, 0.00025758163964500905
716, 999, 0.00025007096429011236
680, 999, 0.000237870159574517
680, 846, 0.00023363700271334862
1715, 1779, 0.00023137692405397853
908, 1285, 0.00022219078878368755
716, 1186, 0.00021046403448051932
1361, 1437, 0.00020364520035732147
680, 1186, 0.00020019562690412436
1715, -1, 0.00019713952769125916
152, 350, 0.0001888802808900032
1709, 1779, 0.0001880550596082086
0, 91, 0.00018243701466310664
1535, 1645, 0.00017910135766925132
716, 757, 0.00017495139257904323
152, 298, 0.00016005048317920995
716, 904, 0.0001580392639377585
716, 909, 0.0001565947900453033
1315, 1645, 0.00014954579241037688
213, 362, 0.00014731148673514192
181, 362, 0.00014055265876149946
642, 962, 0.000140236629457852
1709, -1, 0.00013826526388612507
470, 526, 0.00013611488924295095
152, 334, 0.00013141699971649283
680, 909, 0.00013011731232082183
1748, -1, 0.0001287496087463845
680, 904, 0.00012642827268886394
152, 366, 0.0001260901871637967
603, 798, 0.000120256593161791
716, 955, 0.00011623236015958357
267, 362, 0.00011497746986092479
642, 862, 0.00011344898939806726
1107, 1186, 0.00011336212950815918
680, 955, 0.00011056145657441312
716, 752, 0.00010632572508687701
1365, 1462, 0.00010533719234134731
1379, 1482, 0.0001050342134716174
2038, -1, 9.765952233257163e-05
908, 933, 9.65747746405233e-05
928, 999, 9.252243431061592e-05
928, 962, 9.076526009284238e-05
642, 757, 8.797168789319788e-05
0, 29, 7.9888759980623e-05
0, 305, 7.875334344020471e-05
1890, 1985, 7.69604699876999e-05
0, 181, 7.613338205503748e-05
1315, 1486, 7.432372876811384e-05
642, 752, 7.355276466918491e-05
716, 840, 7.18133951972646e-05
1295, 1462, 7.117087450301495e-05
743, 919, 7.025248918932793e-05
1921, -1, 6.916910122674572e-05
1055, 1186, 6.615676148815845e-05
1053, 1190, 6.418094244362717e-05
1265, 1296, 6.170057338357124e-05
1792, 1805, 6.0203474665958156e-05
451, 642, 6.012819505973411e-05
1394, 1482, 5.975570907373683e-05
1092, 1114, 5.951824383783256e-05
0, 302, 5.462550359674509e-05
611, 798, 5.279030700254114e-05
1572, -1, 5.275545209361361e-05
603, 633, 5.233065717355663e-05
680, 840, 5.165760877540884e-05
928, 1186, 4.9763389191825765e-05
1315, 1437, 4.9289922332598163e-05
642, 780, 4.680375221017129e-05
716, 987, 4.516554938984811e-05
1381, 1482, 4.383676647788004e-05
0, 127, 4.300686849011979e-05
680, 987, 4.2961950705200976e-05
1361, 1421, 4.075159832412047e-05
603, 618, 4.0539949267499044e-05
716, 976, 4.048792019341892e-05
185, 362, 3.9493437288158066e-05
1103, 1190, 3.9309390536434754e-05
451, 919, 3.926634103419825e-05
1748, 1779, 3.866495653883738e-05
680, 976, 3.8512540088724184e-05
716, 810, 3.78437396439523e-05
908, 923, 3.533810463211518e-05
152, 526, 3.522283295452735e-05
1636, 1645, 3.462772859220895e-05
1915, 1985, 3.387150981623038e-05
908, 1271, 3.363041924251503e-05
642, 832, 3.323778720753562e-05
1295, 1645, 3.308665131250956e-05
1092, 1462, 3.112832462074403e-05
1365, 1645, 3.105210498336011e-05
680, 810, 3.069561070370056e-05
757, 798, 3.038094276145113e-05
908, 1210, 3.026086074392103e-05
680, 762, 2.8849009387332794e-05
923, 962, 2.8279290632026517e-05
1389, 1482, 2.8055958817168414e-05
308, 362, 2.7390822955519984e-05
1572, 1656, 2.6545575540425805e-05
743, 862, 2.5568785487006086e-05
908, 944, 2.4761829354361228e-05
642, 999, 2.4479228166097748e-05
923, 999, 2.437822636016002e-05
1053, 1482, 2.34295915215784e-05
1265, 1271, 2.3333814960298252e-05
1365, 1486, 2.2707161656068246e-05
453, 618, 2.2558164875236995e-05
1185, 1285, 2.254751638511659e-05
716, 950, 2.135406949867467e-05
525, 618, 2.119202373088148e-05
908, 1230, 2.0826411007764468e-05
642, 1186, 2.0602140418146146e-05
908, 1296, 2.0318081341207425e-05
680, 950, 2.0312217908362413e-05
1092, 1645, 2.025345131236138e-05
1715, 1794, 1.9967339966708265e-05
1092, 1111, 1.9925631854127454e-05
1572, 1779, 1.9870674423888407e-05
716, 966, 1.9461240698478044e-05
680, 966, 1.8511739032183546e-05
1315, 1421, 1.8107048485824782e-05
642, 846, 1.800547732354171e-05
1185, 1482, 1.791720282304358e-05
404, 526, 1.7874347240900732e-05
0, 618, 1.7502316328783727e-05
716, 835, 1.7315442240944345e-05
1111, 1186, 1.654212040215488e-05
908, 1114, 1.58769672903178e-05
1265, 1462, 1.5656296194299374e-05
0, 308, 1.5639159713258187e-05
743, 962, 1.5627563279884255e-05
1709, 1794, 1.4498806562246734e-05
1957, -1, 1.4490545707673182e-05
1599, 1649, 1.4456193841121543e-05
1295, 1486, 1.4088447240368617e-05
152, 305, 1.3442327112730569e-05
642, 909, 1.3390378105257855e-05
1053, 1285, 1.3370620190413445e-05
611, 633, 1.3363163384108042e-05
642, 904, 1.301073888096001e-05
680, 835, 1.2527959839771536e-05
908, 1222, 1.2233940497642186e-05
1885, 2001, 1.2159083087570203e-05
1103, 1482, 1.2090108430878091e-05
1599, 1805, 1.201305939605576e-05
618, 798, 1.1889510202728006e-05
923, 1186, 1.1550221479669275e-05
453, 587, 1.1454375533619618e-05
451, 962, 1.1395804610690975e-05
642, 955, 1.1377884164631105e-05
908, 1240, 1.1124623275031015e-05
204, 350, 1.1015247126659177e-05
525, 633, 1.0964661004668158e-05
1726, 1773, 1.0913551334638424e-05
928, 987, 1.0842322169883994e-05
453, 633, 1.0557992722695013e-05
611, 618, 1.0549669652496298e-05
1726, 1759, 1.0071552234794633e-05
152, 302, 9.7445708902198e-06
0, 633, 9.646900861642638e-06
1391, 1482, 9.529252215393171e-06
1726, 1786, 9.41593641633805e-06
716, 933, 9.394501815382767e-06
1295, 1437, 9.387140666550436e-06
1552, 1649, 9.360121950385318e-06
451, 862, 9.219007341083371e-06
1265, 1645, 9.167688880060802e-06
0, 798, 9.160121538529668e-06
716, 1190, 9.124333455960106e-06
680, 933, 8.936149993630215e-06
208, 350, 8.932418550889675e-06
680, 1190, 8.679162978163262e-06
1103, 1285, 8.591690114584053e-06
1726, 1997, 8.548102057482183e-06
1402, 1482, 8.530562843891494e-06
1365, 1437, 8.307163907724148e-06
204, 298, 8.274719397507928e-06
1234, 1482, 8.213059638967107e-06
716, 762, 8.165697247453122e-06
1092, 1299, 7.96914620143332e-06
204, 334, 7.69017945401288e-06
1948, -1, 7.511168811777685e-06
1092, 1486, 7.420497555135278e-06
908, 1217, 7.212120555679731e-06
204, 366, 7.142389000475481e-06
0, 382, 7.059007366810954e-06
1931, -1, 6.98327549343555e-06
743, 832, 6.774798162748279e-06
908, 1252, 6.736186281870718e-06
908, 1111, 6.495429480318184e-06
0, 587, 6.4750998188300195e-06
716, 923, 6.457394641208493e-06
716, 837, 6.435748071198343e-06
228, 350, 6.4134244070734034e-06
208, 298, 6.382968588762215e-06
603, 639, 6.300151486973627e-06
208, 334, 6.219048505584914e-06
453, 598, 6.187635304400185e-06
280, 362, 6.184989379882445e-06
832, 919, 6.167397170438335e-06
680, 923, 5.937971840572448e-06
716, 1482, 5.912529950943029e-06
1092, 1120, 5.860510611774607e-06
208, 366, 5.789802968279014e-06
928, 976, 5.697102994467015e-06
451, 647, 5.689081861197956e-06
680, 1482, 5.624061341597098e-06
1144, 1186, 5.4648394492629224e-06
1890, 1969, 5.381649761305172e-06
1921, 1997, 5.304353892982269e-06
1107, 1190, 5.239793012176559e-06
1748, 1794, 5.236308254822552e-06
152, 181, 5.092975331590249e-06
1726, 1753, 5.01705051060333e-06
928, 955, 4.8392582945913655e-06
908, 1228, 4.806838980250938e-06
1462, 1482, 4.742578560902034e-06
680, 743, 4.721214274753724e-06
680, 837, 4.644057355300917e-06
1361, 1600, 4.629828379770339e-06
525, 587, 4.423498738419465e-06
