Gene = IPO9
index = 709
Annotated 5SS: [  232 18200 18498 19454 23052 23957 25574 25783 26042 26794 28054 29413
 29854 34467 37819 39656 40578 41718 42187 43821 45232 45796 46088]
Annotated 3SS: [18137 18410 19251 22962 23869 25453 25681 25982 26641 27954 29305 29713
 34306 37591 39506 40448 41441 42019 43686 45108 45690 46010 46802]
SMsplice 5SS: [  232  5276 18200 18498 19454 23957 25574 26042 26794 28054 29413 34467
 39656 40578 41531 41718 45232 45796 46088]
SMsplice 3SS: [ 5131 18137 18410 19251 23869 25453 25681 26641 27954 29305 34306 39506
 40448 41441 41627 45108 45690 46010 49581]
top_k =  1000
Partition function (log Z): 20.361979688459577

Sorted 5' Splice Sites (High to Low Probability):
Position 46088: 0.9876746501828102
Position 18498: 0.9863124586709927
Position 45232: 0.9794954900238614
Position 41718: 0.9729658904832601
Position 29413: 0.9695635165848818
Position 5276: 0.96333316499934
Position 40578: 0.921772826239404
Position 39656: 0.9148005920495335
Position 25574: 0.9143387319715488
Position 18200: 0.9079323766157266
Position 23957: 0.8620349505351723
Position 45796: 0.7875891175056072
Position 26042: 0.7847005862592292
Position 26794: 0.7567149217900025
Position 29854: 0.7440482756806485
Position 232: 0.7242646186074538
Position 28054: 0.7113239991574587
Position 34467: 0.6985273009267342
Position 41531: 0.5133207323679746
Position 42187: 0.5048512013674465
Position 19454: 0.49494709198197523
Position 22590: 0.47906350034129275
Position 23052: 0.4658319963284103
Position 37819: 0.4023276855194037
Position 41547: 0.2420436031964289
Position 45023: 0.20208154905170173
Position 43821: 0.19899481016961254
Position 44990: 0.19792632603652896
Position 49794: 0.18149306297195086
Position 19405: 0.1461774476736897
Position 23115: 0.13450933096043327
Position 23079: 0.12577454105411492
Position 32350: 0.12451496580635167
Position 24018: 0.12073109195881938
Position 26533: 0.10960273372868165
Position 183: 0.1038898837300925
Position 5819: 0.07761440049609544
Position 24225: 0.07313828564427807
Position 32374: 0.0680260191419751
Position 50264: 0.06770768554410023
Position 39381: 0.06502395432972403
Position 213: 0.06468161177264237
Position 222: 0.06291052686894127
Position 41123: 0.06270914261869484
Position 26869: 0.06226959899055151
Position 28137: 0.05362013734276849
Position 47880: 0.04605731697989162
Position 45825: 0.04487020471030229
Position 23656: 0.039797497024768494
Position 26562: 0.036198134755234916
Position 37128: 0.03555958731823815
Position 6630: 0.03267963963905035
Position 22217: 0.03025020717111562
Position 42530: 0.029090325467917184
Position 29419: 0.028229775532798256
Position 41149: 0.028084396721845584
Position 32565: 0.026980761258646686
Position 42169: 0.026016584756779964
Position 22517: 0.024663078841787298
Position 31281: 0.02369856089317742
Position 7526: 0.020646562121697427
Position 26549: 0.01991928778762431
Position 25891: 0.019556289865589514
Position 20340: 0.01913646473865325
Position 4977: 0.01893738437116638
Position 40264: 0.018896319923286817
Position 29943: 0.018144991082911295
