Gene = ENSDARG00000104795
index = 782
Annotated 5SS: [217 462 661]
Annotated 3SS: [328 573 769]
SMsplice 5SS: [217 462 661]
SMsplice 3SS: [328 573 769]
length: 1049
Partition function (logZ) = 4.456961073376098
#Introns = 742
5SS, 3SS, prob
217, 328, 0.9934987573860041
462, 573, 0.9863430414064056
661, 769, 0.8314195108647779
661, 772, 0.1607026601046865
486, 573, 0.00441347803385672
443, 573, 0.003597724420794719
462, 537, 0.0035246117140469127
257, 328, 0.0016904186567628819
217, 573, 0.0007672045951900141
221, 328, 0.0007597875061443874
217, 355, 0.0007395178769251435
682, 769, 0.0005449647883222879
466, 573, 0.0004301420155538392
217, 289, 0.00042729572209532007
661, 994, 0.00026436783000582985
462, 598, 0.00024619259167935883
217, 382, 0.00024218200131372934
174, 328, 0.00018858557949746557
682, 772, 0.00010771275697623502
656, 769, 0.00010049825368228977
217, 335, 6.693368164662495e-05
462, 769, 6.450782045569981e-05
462, 521, 5.5494971844593334e-05
176, 328, 5.167205918305655e-05
661, 728, 4.675158330359319e-05
826, 994, 4.674634482281976e-05
629, 769, 4.639355652872015e-05
661, 803, 3.132727197173113e-05
443, 537, 3.0373007938382643e-05
661, 830, 2.7605471904179556e-05
413, 573, 2.240332674881997e-05
443, 521, 2.075321583574045e-05
656, 772, 1.9192846068769042e-05
462, 772, 1.3684444974206865e-05
217, 341, 1.27065184648964e-05
44, 137, 1.217997994527819e-05
344, 573, 1.1523650257207866e-05
44, 328, 1.1485013184665307e-05
843, 994, 1.1283097164941156e-05
629, 772, 9.178496190097061e-06
122, 328, 8.681874004254656e-06
180, 328, 7.588494966088229e-06
661, 933, 6.159953480355189e-06
808, 994, 5.968086406277963e-06
415, 573, 5.712564626063665e-06
257, 355, 5.113671517968508e-06
904, 994, 4.733850725255566e-06
186, 328, 4.1804281289827465e-06
217, 386, 3.975625415996512e-06
826, 933, 3.3786488229517855e-06
18, 328, 2.604934499231261e-06
918, 994, 2.571155411106761e-06
912, 994, 2.0330563188607615e-06
701, 769, 1.9895336161984176e-06
217, 537, 1.9188080737416977e-06
462, 601, 1.9160673852633653e-06
257, 573, 1.602087954553934e-06
661, 808, 1.5993232730290838e-06
843, 933, 1.5004256688331776e-06
661, 717, 1.3022954137754576e-06
217, 521, 1.273488166541444e-06
443, 598, 1.1475378306933094e-06
818, 994, 1.0304348256715016e-06
18, 137, 1.0063406799612743e-06
257, 382, 8.91321844196072e-07
486, 598, 8.679196822254101e-07
270, 328, 8.603127228994302e-07
803, 994, 8.19590588204049e-07
701, 772, 7.636667157301867e-07
466, 537, 7.610957923690257e-07
217, 343, 7.500628823955299e-07
709, 769, 6.148948327438441e-07
221, 355, 5.430412386651752e-07
221, 573, 4.839595826192767e-07
443, 769, 4.229881870280864e-07
661, 874, 4.087083196793225e-07
44, 174, 4.0589369841993264e-07
174, 573, 3.621233029481077e-07
217, 598, 3.6202324595932985e-07
257, 335, 3.4686658755727133e-07
709, 772, 3.414601405472928e-07
217, 769, 3.337770745527433e-07
808, 933, 2.829320856503335e-07
174, 355, 2.282883624407755e-07
174, 289, 2.029228098613366e-07
922, 994, 1.8876614687749952e-07
286, 382, 1.754498226494619e-07
221, 382, 1.6745467634562814e-07
462, 994, 1.4841331628312982e-07
798, 994, 1.4826794585753332e-07
270, 355, 1.389581233639785e-07
221, 289, 1.3511855072301797e-07
286, 355, 1.2509931434477682e-07
217, 434, 1.2129354999378056e-07
486, 769, 1.1666491525642545e-07
413, 521, 1.1490145491882133e-07
44, 147, 1.1465063220632148e-07
286, 573, 1.0411539578450195e-07
257, 341, 1.032841799223071e-07
466, 598, 1.0207067386708693e-07
176, 573, 9.801743321831403e-08
217, 411, 9.747627276138284e-08
413, 537, 9.694114076525806e-08
352, 573, 9.200986809215982e-08
