Gene = AT2G20920
index = 206
Annotated 5SS: [ 614 1097]
Annotated 3SS: [ 744 1163]
SMsplice 5SS: [ 614 1097]
SMsplice 3SS: [ 744 1163]
length: 1624
Partition function (logZ) = -0.4484904862159518
#Introns = 3470
5SS, 3SS, prob
614, 744, 0.9352987460283716
1097, 1163, 0.7439315228175291
1286, 1420, 0.37082968854765547
1336, 1420, 0.13246380103226393
808, 1163, 0.1190172636447829
585, 744, 0.024824032509449614
1087, 1163, 0.02097494431320995
614, 1163, 0.018249861901909588
845, 1163, 0.017822809540352088
961, 1163, 0.017354261367573866
863, 1163, 0.01378459736916941
1024, 1163, 0.007803738009832671
1286, 1490, 0.006549874738753809
614, 724, 0.006327159367735102
1016, 1163, 0.005652702488124685
614, 777, 0.0052721398899277065
973, 1163, 0.0038996860877023045
808, 876, 0.002982709032509767
835, 1163, 0.0026838946654430857
1387, 1490, 0.002050283452434051
1301, 1420, 0.001967576695813031
1290, 1420, 0.0019554841566871285
614, 750, 0.001663469198737329
961, 1049, 0.001612250060680389
808, 885, 0.0013524302235882186
808, 1049, 0.0013057362593004835
1097, 1187, 0.0012728454966265807
614, 701, 0.0011746787243994677
805, 1163, 0.0011071722418107745
614, 682, 0.0010498092046288636
1286, 1545, 0.000879255384477227
1286, 1573, 0.0008407244657972606
614, 688, 0.0007814755567820769
585, 1163, 0.0007528951494524391
1286, 1446, 0.0007390387810733744
515, 744, 0.000705910369141916
146, 245, 0.0006685546039213392
1286, 1516, 0.0006320045910221389
943, 1163, 0.0006316716961661379
614, 707, 0.000570942721575322
1336, 1490, 0.0005268046649731952
170, 245, 0.000516910443071753
808, 983, 0.0005051051833525708
1283, 1420, 0.0004997799573444346
1097, 1196, 0.0004168449171902501
1097, 1172, 0.0004018856281876306
808, 920, 0.00036186128726763497
868, 1163, 0.00035872479024045775
983, 1163, 0.00033094435259249763
614, 876, 0.00030907245218238157
1250, 1335, 0.0002913944248776401
1263, 1420, 0.00027614564218643754
895, 1163, 0.0002392076715729526
1250, 1420, 0.00023756000561053352
585, 777, 0.00022297458707084696
1247, 1335, 0.00020534975889973788
973, 1049, 0.0002036728459465343
614, 1049, 0.00020021890676020796
845, 1049, 0.00019553372298073687
1097, 1208, 0.00018636222465064764
585, 682, 0.00018490264459287522
614, 799, 0.00017402693211533457
1286, 1432, 0.00016586154801112647
1247, 1420, 0.00016582063537612564
863, 1049, 0.00015718748578886485
1286, 1558, 0.0001568889296179965
1312, 1420, 0.00015515818287264928
1097, 1169, 0.0001549155018587915
1346, 1420, 0.00014993504586239607
1336, 1446, 0.00014790509293333574
1097, 1190, 0.0001409004293832645
901, 1163, 0.00014070223825641355
1286, 1553, 0.00013883419262715626
1097, 1420, 0.0001361431835173906
1432, 1516, 0.00012556234616238471
585, 724, 0.00012111130943927391
863, 983, 0.0001210961811738561
1241, 1335, 0.00011888991415059823
137, 245, 0.00011670890692616804
1241, 1420, 0.00011220394424129733
845, 983, 0.0001094666218653052
1263, 1335, 0.000107875671540332
387, 744, 0.00010502393087314637
620, 744, 0.0001006669821752462
1319, 1420, 9.518999634778422e-05
1097, 1202, 9.332875631415224e-05
89, 245, 8.810857065205952e-05
170, 268, 8.73186250929328e-05
1255, 1335, 8.607041617539325e-05
845, 920, 8.435704537728303e-05
1255, 1420, 8.429303360791158e-05
808, 937, 7.85925815850333e-05
614, 983, 7.67452914314338e-05
614, 703, 7.521410139716038e-05
961, 1046, 7.482428289385965e-05
1387, 1516, 7.43250962743017e-05
1387, 1545, 6.661514851759189e-05
1203, 1420, 6.360132943516662e-05
808, 1046, 6.149513547812926e-05
1387, 1573, 6.0417068659262576e-05
1336, 1545, 5.9501622671927323e-05
1432, 1545, 5.787238714588394e-05
1336, 1573, 5.6894129758066706e-05
1336, 1432, 5.6561259411296713e-05
1321, 1420, 5.424300276120738e-05
845, 937, 5.408432697375699e-05
614, 845, 4.9108299786710137e-05
1393, 1490, 4.847416985637658e-05
805, 876, 4.750873868385978e-05
585, 750, 4.540507070969829e-05
1286, 1522, 4.450783974420386e-05
1336, 1516, 4.350010801382995e-05
614, 885, 3.8198468704717313e-05
585, 688, 3.7403571906625845e-05
4, 82, 3.3457250164500065e-05
1290, 1490, 3.2595105515814004e-05
4, 245, 3.203974160735461e-05
835, 1049, 2.944496011327839e-05
146, 268, 2.8885040230913665e-05
1432, 1573, 2.8739458483723613e-05
943, 1049, 2.649235093290384e-05
1301, 1490, 2.584942204257326e-05
99, 245, 2.4800313927330518e-05
835, 920, 2.4064818459878683e-05
808, 1187, 2.4053071273942848e-05
1211, 1420, 2.342890702782283e-05
1286, 1578, 2.3287866410332346e-05
515, 1163, 2.296108452481461e-05
387, 514, 2.2707751866855415e-05
876, 1163, 2.120911039546148e-05
808, 1420, 2.1198152422182954e-05
863, 937, 2.0883754597848447e-05
4, 98, 2.0129741377594264e-05
1097, 1335, 2.0121404497920147e-05
614, 920, 1.960970576592001e-05
387, 502, 1.8205711733678978e-05
69, 245, 1.8092971241667284e-05
805, 885, 1.5896518189275345e-05
1203, 1335, 1.507225867980793e-05
835, 983, 1.4521200087358276e-05
808, 1172, 1.4205969745222107e-05
808, 1083, 1.4127664417037719e-05
808, 943, 1.3897135423280726e-05
585, 701, 1.3653822712163476e-05
1250, 1339, 1.299696036976487e-05
585, 876, 1.2750734845458568e-05
805, 1049, 1.214676675593945e-05
808, 1196, 1.1423148124472934e-05
1387, 1558, 1.0938607191859642e-05
1336, 1558, 1.061710403636922e-05
808, 1208, 9.793252064179924e-06
89, 268, 9.679969578898392e-06
1387, 1553, 9.524219668348804e-06
614, 1046, 9.429537327161327e-06
1336, 1553, 9.395290480449331e-06
845, 1046, 9.292121066058715e-06
50, 245, 9.286015706845996e-06
1283, 1490, 9.23154906883807e-06
1490, 1573, 9.148809401718437e-06
1432, 1522, 8.918448385703666e-06
895, 983, 8.518203783448377e-06
1247, 1339, 8.416992716429605e-06
585, 1049, 8.259999146221344e-06
845, 943, 8.194278418457104e-06
808, 1169, 8.14865886224236e-06
170, 290, 8.116653069059897e-06
1263, 1339, 7.956931107898582e-06
863, 1046, 7.35181880525925e-06
863, 943, 7.2488405542792095e-06
614, 937, 7.08505970047069e-06
585, 799, 6.913276866818783e-06
1432, 1558, 6.901440911587144e-06
137, 268, 6.887969981158368e-06
1432, 1553, 6.856964030566998e-06
1263, 1490, 6.740521353686447e-06
973, 1046, 6.6685433681732805e-06
515, 777, 6.602739114045947e-06
1211, 1335, 6.536842933164001e-06
1250, 1490, 6.458868423998272e-06
338, 744, 6.447728083868047e-06
585, 707, 6.171524905360566e-06
1241, 1312, 6.090789359411148e-06
614, 779, 6.001103418165852e-06
208, 290, 5.701530139206118e-06
614, 863, 5.697836384117303e-06
146, 290, 5.265083083889562e-06
835, 937, 4.996587127086298e-06
805, 983, 4.702866617297919e-06
1387, 1522, 4.687112951839724e-06
1087, 1187, 4.633466455388476e-06
670, 744, 4.573299540732056e-06
1255, 1339, 4.551759429163901e-06
1097, 1220, 4.539395782604228e-06
901, 983, 4.512463225807203e-06
1203, 1312, 4.506487302525738e-06
1247, 1490, 4.4853285381087786e-06
1241, 1339, 4.359946326641135e-06
1290, 1545, 4.3047303766703644e-06
1087, 1172, 4.248803239495296e-06
1290, 1573, 4.116087555698286e-06
961, 1083, 4.0759486585728004e-06
868, 1049, 4.022517299896584e-06
4, 268, 3.975152065760037e-06
1290, 1446, 3.938588002825034e-06
868, 983, 3.7542159055415738e-06
1097, 1490, 3.721680771517089e-06
614, 1187, 3.6882483735836478e-06
493, 744, 3.602012334002988e-06
845, 1187, 3.601942231300733e-06
808, 1202, 3.5962633295159867e-06
1301, 1446, 3.5772011608207857e-06
961, 1187, 3.507249896340448e-06
983, 1049, 3.4743155311593646e-06
387, 1163, 3.416104167499204e-06
1301, 1545, 3.3524337439374744e-06
524, 744, 3.3289312908268323e-06
614, 1420, 3.2504810011016207e-06
1301, 1573, 3.205522670945386e-06
845, 1420, 3.174418749497783e-06
585, 983, 3.166114788846387e-06
808, 1335, 3.133000040658107e-06
1336, 1522, 3.130607832260551e-06
895, 1049, 3.1190580058053512e-06
1290, 1516, 3.094219733195823e-06
961, 1420, 3.090965683282681e-06
1241, 1490, 3.0280932370563952e-06
805, 920, 2.9606862155828908e-06
1097, 1312, 2.9545126897532952e-06
808, 1190, 2.9052084051455084e-06
863, 1187, 2.7858303312434696e-06
1247, 1312, 2.759103104098856e-06
1211, 1312, 2.582048799117698e-06
89, 290, 2.5732750910732446e-06
1415, 1490, 2.5670094040260805e-06
515, 724, 2.5614793871598345e-06
170, 271, 2.5503065892154683e-06
93, 245, 2.5141341347868294e-06
218, 290, 2.4792626361803046e-06
146, 744, 2.4785471492473187e-06
170, 744, 2.471910367010143e-06
863, 1420, 2.4551732006055426e-06
1301, 1516, 2.409713440112462e-06
99, 268, 2.339318654528192e-06
1255, 1490, 2.3207816307098216e-06
69, 268, 2.275065384565203e-06
808, 1127, 2.2630211685253327e-06
732, 1163, 2.228192891225152e-06
1087, 1169, 2.2273925126465703e-06
808, 952, 2.2017794496780525e-06
614, 1172, 2.178314120939496e-06
614, 1083, 2.1663069433100892e-06
845, 1172, 2.1273409029194694e-06
845, 1083, 2.1156146969264343e-06
961, 1172, 2.0714147207604562e-06
1203, 1301, 2.02597415396876e-06
585, 845, 2.025955095221928e-06
901, 1049, 1.986055564431533e-06
558, 744, 1.9610679718247714e-06
1250, 1312, 1.8618252210666308e-06
110, 245, 1.848875097134215e-06
614, 1196, 1.7516019892617205e-06
1203, 1490, 1.7386389732215095e-06
620, 1163, 1.7345077890722941e-06
387, 533, 1.7228989682376924e-06
845, 1196, 1.7106139658978324e-06
961, 1196, 1.6656432194935976e-06
1387, 1578, 1.6601039288369815e-06
863, 1172, 1.6453375517096485e-06
863, 1083, 1.6362682168263999e-06
89, 744, 1.622475938935769e-06
387, 453, 1.6022344509951724e-06
863, 952, 1.58155373042415e-06
1336, 1578, 1.5759537722998436e-06
585, 885, 1.5758717495436623e-06
1496, 1573, 1.5679120974989579e-06
614, 1208, 1.5016770867400866e-06
943, 1046, 1.4776634994862e-06
845, 1208, 1.4665373826899377e-06
4, 93, 1.4561204694321826e-06
1393, 1516, 1.4298058284893013e-06
961, 1208, 1.427983224917311e-06
1346, 1490, 1.4194620769644258e-06
808, 1131, 1.4180949647035726e-06
614, 943, 1.3990511494182467e-06
515, 750, 1.394638442142057e-06
973, 1083, 1.3928296774009774e-06
835, 1046, 1.3867439143370442e-06
137, 290, 1.3588698219571584e-06
1203, 1283, 1.3401264349218982e-06
1087, 1196, 1.3367737687360144e-06
863, 1196, 1.3230307332069459e-06
459, 744, 1.3218926560277982e-06
1393, 1545, 1.2628937739839427e-06
614, 1169, 1.2494985548108224e-06
1312, 1490, 1.2469346621909854e-06
1283, 1545, 1.2392434282469803e-06
845, 1169, 1.2202599056932149e-06
808, 1087, 1.2107014731419755e-06
961, 1169, 1.1881801963840569e-06
1283, 1573, 1.1849370360411946e-06
