Gene = Ccdc84
index = 224
Annotated 5SS: [ 701  937 1459 4963 5099 5433 5653 6117 7879 8122]
Annotated 3SS: [ 772 1359 4895 5035 5367 5546 6085 7788 7988 8204]
SMsplice 5SS: [ 701  937 1459 1724 4963 5433 5653 6117 7879 8122]
SMsplice 3SS: [ 772 1359 1574 4895 5035 5546 6085 7788 7988 8204]
top_k =  1000
Partition function (log Z): 9.237763483003976

Sorted 5' Splice Sites (High to Low Probability):
Position 8122: 0.9868508376753325
Position 937: 0.9392143045544816
Position 1459: 0.9370465518827664
Position 7879: 0.913189851705708
Position 5653: 0.7886322404054912
Position 1724: 0.7244166472418221
Position 701: 0.7078397997986651
Position 5433: 0.6881041879664221
Position 4963: 0.5988922021895129
Position 6117: 0.5409916064709931
Position 226: 0.41596251194370654
Position 5099: 0.22903215680334016
Position 4602: 0.17486646466749753
Position 6447: 0.0816971185917333
Position 1474: 0.05642128277460127
Position 6223: 0.05056705453410855
Position 395: 0.05036054752104567
Position 4951: 0.04611989675577653
Position 6258: 0.04519705033799456
Position 2606: 0.035345925495162654
Position 4592: 0.03095120203646341
Position 5127: 0.027031068371531325
Position 7901: 0.022550360992971006
Position 5572: 0.021776813672609044
Position 2585: 0.020748285432913828
Position 4641: 0.01857540171229814
Position 5227: 0.017397730138251615
Position 869: 0.012566748245188383
Position 527: 0.01197524241683388
Position 6606: 0.011369000568749427
Position 5198: 0.009462127678823247
Position 231: 0.009217122388410036
Position 1214: 0.009134674474142864
Position 5173: 0.008476145118882939
Position 3198: 0.00808034586211551
Position 5457: 0.007561459502491687
Position 338: 0.007255967196587599
Position 6548: 0.0066253699133056124
Position 84: 0.006583082704780961
Position 215: 0.0053431944597993565
Position 6731: 0.005147181380906406
Position 12: 0.0049004558602193
Position 915: 0.004838785363417577
Position 4614: 0.0047077293787485906
Position 4020: 0.004201739246307709
Position 324: 0.004138912683560561
Position 260: 0.004057071780071819
Position 5057: 0.003941658002929099
Position 406: 0.0039039151079348967
Position 4139: 0.0037309822163670374
Position 838: 0.003565448754598387
Position 1955: 0.0033485018390005073
Position 6687: 0.0031026945070198445
Position 7644: 0.0030594595455474887
Position 326: 0.0028461239905308213
Position 7640: 0.002456023665193192
Position 1026: 0.0022585409339793924
Position 1487: 0.001989422081642387
Position 520: 0.001983449748227253
Position 966: 0.0017907160869979832
Position 2252: 0.0013575628506669669
Position 4110: 0.0012405661459801555
Position 138: 0.0011962012125750663
Position 4757: 0.001099250666628109
Position 6102: 0.0010174651768895201
Position 4228: 0.0009294497500925104
Position 505: 0.0009276484008710581
Position 3192: 0.0008468312093619809
Position 4716: 0.0008250567140339158
Position 6502: 0.0008036577059626288
Position 1961: 0.0007747611432844223
Position 65: 0.0007458243804446854
Position 809: 0.0007451366220722446
Position 2624: 0.0006962975969125877
Position 2891: 0.000627599090563183
Position 3450: 0.00059513667247639
Position 531: 0.0005939324367191293
Position 492: 0.0005841989508049993
Position 1143: 0.0005167010206306706
Position 1919: 0.0005138208779449132
