Gene = Odaph
index = 778
Annotated 5SS: [84]
Annotated 3SS: [7169]
SMsplice 5SS: [84]
SMsplice 3SS: [7169]
length: 7846
Partition function (logZ) = -8.36565145985615
#Exons = 851
3SS, 5SS, prob
0, 84, 0.9488095261532742
7169, -1, 0.4804651047837972
475, 555, 0.2811665125417101
287, 555, 0.23692327217184456
667, 803, 0.07625827241636693
7135, -1, 0.05969500816255153
3367, -1, 0.05776628310396931
478, 555, 0.05446401447597616
7169, 7271, 0.050827446610923165
667, -1, 0.04101838776062107
1810, 2180, 0.03918823714967664
1781, -1, 0.03797234041842463
3367, 3476, 0.033481752924445135
1810, -1, 0.03296021842761247
7398, -1, 0.03216305480014739
2972, 3251, 0.031981602297366
6120, 6258, 0.028805709075954183
1781, 2180, 0.028552934684266708
0, 555, 0.027314152042242548
7381, -1, 0.01844743803417204
3250, -1, 0.01679265872676914
932, -1, 0.016706869601130988
6980, -1, 0.016465629665797392
2131, 2180, 0.0159895489478078
3064, 3251, 0.0157791480306928
6789, -1, 0.015425041023101705
7437, -1, 0.014133315767538766
287, -1, 0.014067113723776888
449, 555, 0.012385494290220725
3152, 3251, 0.01229379356877354
7323, -1, 0.011318650806945264
6161, 6258, 0.011256095253988489
6120, -1, 0.010077123643132575
5369, 5529, 0.009861847113252675
5841, -1, 0.009772415475640327
2374, 2497, 0.00873145332657619
0, 61, 0.008669184475739512
0, 68, 0.00862437346560474
5916, -1, 0.007547286665914336
206, 555, 0.0073873535448279815
1290, 1422, 0.006977760568404832
614, -1, 0.006755110184582676
3159, 3251, 0.006695710235791132
2972, -1, 0.006625365125797504
667, 807, 0.006178149198432772
1667, -1, 0.006083335026077307
3319, -1, 0.005963297355963199
7135, 7271, 0.005931439609407709
1927, 2180, 0.005393364381337189
3782, 3892, 0.005089113838588412
6388, 6551, 0.005006178912960216
614, 803, 0.004928142065077589
3102, 3251, 0.004737745149105564
5369, -1, 0.004223847547053388
287, 408, 0.00421854030555176
4877, -1, 0.004152084568155729
1810, 1927, 0.004014944177655148
6161, -1, 0.0038443555267141357
4335, -1, 0.003710488517570101
4335, 4417, 0.003625323908843232
1781, 1927, 0.00361109311161031
1722, -1, 0.0031664204444419313
667, 781, 0.003000402385416201
667, 817, 0.00296091657403517
1781, 1858, 0.0029493220943367622
1585, -1, 0.002709842410456117
2037, 2180, 0.0026994103574565485
6096, 6258, 0.002694428743291807
3367, 3587, 0.0026291918024348646
3016, 3251, 0.002576896496580294
475, -1, 0.0025580540058173693
4031, -1, 0.002439672608366595
2374, -1, 0.0023835966369976803
377, 555, 0.0023662561748597475
3319, 3476, 0.0023286876170813334
0, 150, 0.002240878255907589
3250, 3329, 0.0022134344219689114
2069, 2180, 0.0021910279604178866
7712, -1, 0.002171152121557803
2085, 2180, 0.0021516067963969513
6321, 6551, 0.0021398098945948425
7811, -1, 0.0021331383230052655
7092, -1, 0.002045802271323099
6158, 6258, 0.002033620110376612
0, 53, 0.0020269012773501014
1704, -1, 0.0020083252728023125
4810, -1, 0.0019646535141460875
3250, 3476, 0.0019600784584589926
4706, -1, 0.001930499408922168
1747, -1, 0.0018601334506386188
3250, 3342, 0.0018525737831163245
3181, 3251, 0.001813299930416914
5931, -1, 0.0017347679610942724
6321, -1, 0.0016468224422227667
6915, -1, 0.0016192230879589968
206, -1, 0.001574585966624598
6724, -1, 0.0014702505834206952
2146, 2180, 0.001450000477943272
3201, 3251, 0.0014290817086343136
6096, -1, 0.0014286516344538393
2987, 3251, 0.0013822722136070868
1810, 2070, 0.0013639873799069714
1810, 2077, 0.0013587110364503426
2609, -1, 0.0012896261129368557
2928, 3251, 0.001263459546749083
6388, -1, 0.001239214744623195
1027, -1, 0.001214110006765949
3303, -1, 0.0011999962496764354
389, 555, 0.0011714956862025148
2081, 2180, 0.0011030147275073636
2062, 2180, 0.0010776983631016444
5399, 5529, 0.0010721228058834197
2131, -1, 0.001016287718826772
5953, -1, 0.0010054126712942715
1781, 2070, 0.0009946538707429503
1781, 2077, 0.0009908061481101007
1810, 1858, 0.0009896628666951385
206, 289, 0.0009831848175923742
1175, 1422, 0.0009783209708156108
1722, 2180, 0.0009778541062421475
1988, 2180, 0.0009564377889863454
4392, -1, 0.0009504140223198869
1948, 2180, 0.0009269314283589134
874, -1, 0.0009190351581796818
5555, -1, 0.0009079492133511466
287, 415, 0.0008889955206420026
4335, 4461, 0.0008661439151904781
5369, 5512, 0.0008617773230535812
0, 289, 0.0008244434200757877
5991, -1, 0.0008169059003187997
1747, 2180, 0.0008051601623702184
5552, -1, 0.0008024695940200555
1249, 1422, 0.0007989350336568339
2161, 2180, 0.000788541516749168
3782, -1, 0.0007347733440824767
1667, 2180, 0.0007247054979245538
2438, 2497, 0.0007208372293659776
3064, -1, 0.0007105467054406592
6158, -1, 0.0006960120065612112
2968, 3251, 0.0006710984420802967
1261, 1422, 0.0006356077746241575
5694, -1, 0.0006317575296420511
1290, -1, 0.0006266262701679565
1927, -1, 0.0006236095410413518
4909, -1, 0.0006118253606839767
1781, 1847, 0.0006088573623304825
932, 1073, 0.0005833400897683673
1175, -1, 0.0005782915419280597
3747, 3892, 0.000574703959271322
4877, 5002, 0.0005739813842151019
800, -1, 0.0005733830446723346
2438, -1, 0.0005470923355892568
932, 1422, 0.0005431630372537874
478, -1, 0.0005114768167003671
3367, 3892, 0.0004959067743048611
287, 289, 0.0004904319320230496
1863, 2180, 0.000489730948494206
3078, 3251, 0.0004790684300402443
1506, -1, 0.00046204632807250056
3655, 3892, 0.0004521218594930287
335, 555, 0.0004518615672277533
2928, -1, 0.0004503381984977921
1704, 2180, 0.000444810964070316
4706, 4878, 0.0004247497369853562
4727, -1, 0.00042093623396025537
4810, 4878, 0.0004205095191925572
4956, -1, 0.00040430491948018424
614, 807, 0.00040228524192328273
2105, 2180, 0.0003922567902910166
1783, -1, 0.0003860673998045032
3655, -1, 0.00038342084596248917
1722, 1858, 0.0003762065360802472
5042, -1, 0.0003736057038581937
0, 117, 0.00034909216164759045
667, 896, 0.0003447596235218706
1701, -1, 0.0003225442807000025
1545, -1, 0.00030827620831357176
1783, 2180, 0.00030603845080616444
360, 555, 0.0003036358130418735
3280, -1, 0.0002989908116532286
1787, -1, 0.00029551042064588485
5938, -1, 0.0002850675657557256
1667, 1858, 0.0002710790921392433
0, 109, 0.00026858887683902635
2869, -1, 0.00025557299983367345
1747, 1858, 0.00025116137997042466
0, 113, 0.00025076106887712504
430, 555, 0.00024283753997052647
955, -1, 0.00023567248522893887
1585, 1724, 0.00022371394672970465
3016, -1, 0.00021848675679647154
3303, 3476, 0.00021404662417737595
1927, 2077, 0.0002093897734456309
1927, 2070, 0.00020857639592324135
2847, -1, 0.0002085083199823782
475, 803, 0.00020489898862376842
5399, -1, 0.00019475358254143733
1027, 1422, 0.00019189983665001946
1787, 2180, 0.00018976316056910683
3152, -1, 0.000189415924605684
1667, 1724, 0.00018908388319169991
1704, 1858, 0.00018804167970409011
2987, -1, 0.0001839785076157584
1810, 1847, 0.00018269287642965338
3434, -1, 0.00017878603889356893
3652, -1, 0.00017363251351450686
3673, -1, 0.0001734821255091041
2829, -1, 0.00016991784766818093
3445, -1, 0.00016800478523084392
2550, -1, 0.00016508340697154116
490, 555, 0.00016296068155331755
697, 803, 0.0001615413418767869
1863, -1, 0.00016039461412893885
2161, -1, 0.0001592901903102282
4586, -1, 0.00015708003739086407
2146, -1, 0.00015408049724265253
614, 781, 0.00015028360745855248
2484, -1, 0.00014921370835816283
2968, -1, 0.00014202542733816965
2740, -1, 0.00013916279094595534
206, 408, 0.00013632452655761273
0, 278, 0.00013267643013426214
3159, -1, 0.00012881428338898133
992, -1, 0.0001242054146100928
1421, -1, 0.00012382067670735515
1810, 1998, 0.00012375337309237494
2972, 3193, 0.00012200553847541624
1249, -1, 0.00012069678720890537
3673, 3892, 0.00011930454459312534
2418, 2497, 0.00011812032710625343
1722, 1847, 0.00011699398267834135
1292, 1422, 0.00011158578315902751
709, 803, 0.00011093826349872988
0, 212, 0.0001099634153107067
287, 396, 0.00010517095367119648
1034, -1, 0.0001023370418696876
2496, -1, 0.00010039771295941
614, 817, 9.990551929112853e-05
0, 408, 9.840833195248748e-05
206, 278, 9.822717312897595e-05
1503, -1, 9.619856802760922e-05
2869, 3251, 9.449251099007762e-05
4338, -1, 9.274022541994623e-05
1667, 1847, 9.14388888880984e-05
2446, -1, 9.09811010572443e-05
1781, 1998, 9.01970775048071e-05
888, -1, 8.808663501528921e-05
1510, -1, 8.796002470878907e-05
697, -1, 8.622884894162475e-05
3747, -1, 8.442661483938665e-05
1948, -1, 8.393339835588708e-05
3858, -1, 8.104537296802924e-05
554, -1, 8.038802749254451e-05
1261, -1, 7.604438304946643e-05
0, 46, 7.565498851199516e-05
1043, -1, 7.471802889063755e-05
1016, -1, 7.462692367287972e-05
449, -1, 7.330006421277098e-05
1067, -1, 7.285121620423499e-05
5916, 6258, 7.267078125609639e-05
1822, -1, 6.954684787010702e-05
709, -1, 6.831453472147986e-05
896, -1, 6.786378424253374e-05
3102, -1, 6.755081255049774e-05
227, 555, 6.591148251100718e-05
3064, 3193, 6.442922144094699e-05
3201, -1, 6.002965848017073e-05
2875, -1, 5.5470721023575984e-05
1506, 1597, 5.5288881762739515e-05
6120, 6262, 5.330727951601574e-05
1453, -1, 4.9694461678157674e-05
2752, -1, 4.6327986485395614e-05
1113, -1, 4.571399755577857e-05
2265, -1, 4.175863282017783e-05
482, 555, 4.126986118274547e-05
2418, -1, 3.814994723718817e-05
806, -1, 3.688869930079208e-05
1196, 1422, 3.650577108779037e-05
337, 555, 3.502879183895516e-05
1188, 1422, 3.436664157519163e-05
2583, -1, 3.43377064001662e-05
377, -1, 3.221516973712482e-05
2037, -1, 3.079041866306199e-05
287, 803, 3.056236588410539e-05
354, 555, 3.0336901408516882e-05
1722, 1927, 2.9265647832103746e-05
0, 90, 2.871180698090842e-05
1988, -1, 2.7892230755502376e-05
0, 1422, 2.687802387417804e-05
261, 555, 2.5813625516850144e-05
1747, 1927, 2.5717510123238e-05
3367, 3783, 2.543109439406449e-05
206, 415, 2.5171524330593077e-05
1296, 1422, 2.4954729098142207e-05
0, 65, 2.4650827123874467e-05
3655, 3783, 2.4539399313280345e-05
2847, 3251, 2.4480727030104606e-05
0, 38, 2.4360771871022346e-05
1781, 1826, 2.414062415522812e-05
800, 896, 2.3155957205456307e-05
1667, 1927, 2.3098069344398247e-05
287, 399, 2.293261703745768e-05
478, 803, 2.2478091152089353e-05
1822, 2180, 2.192169975958383e-05
1747, 1847, 2.1836281277425883e-05
614, 896, 2.167983866460839e-05
0, 803, 2.160433219992127e-05
1704, 1847, 2.0810421896603772e-05
1506, 1619, 2.0716034969791924e-05
1810, 2018, 2.060195607974283e-05
1585, 1668, 2.0036769189291687e-05
1585, 1597, 1.9943396505389457e-05
769, -1, 1.9942772106118783e-05
1188, -1, 1.98682609037967e-05
667, 1073, 1.954494562167072e-05
800, 803, 1.931672279618879e-05
248, 555, 1.8791331237775707e-05
1196, -1, 1.874223847987581e-05
2446, 2497, 1.8713269496128754e-05
1585, 2180, 1.7030246504045337e-05
267, 555, 1.6195746768663074e-05
2972, 3081, 1.6093678879007206e-05
0, 210, 1.5259662449699284e-05
1781, 2018, 1.5027044086955808e-05
879, -1, 1.494616197720361e-05
932, 1128, 1.4923089898536758e-05
0, 234, 1.4842859727558345e-05
1585, 1619, 1.479293493325998e-05
2131, 2497, 1.4366247524111567e-05
1704, 1724, 1.3964566185363212e-05
227, -1, 1.372049589426003e-05
423, 555, 1.3519706879182042e-05
1503, 1597, 1.281438600111276e-05
389, -1, 1.231319347825994e-05
335, -1, 1.2235965197290352e-05
1545, 1724, 1.2104801563211118e-05
1545, 1597, 1.2034304139821032e-05
1667, 1826, 1.1924345420810098e-05
1290, 1376, 1.1705142404111109e-05
1722, 1724, 1.0935587394332843e-05
1704, 1927, 1.0662105220074728e-05
1113, 1422, 1.043285222355259e-05
1510, 1597, 1.0396213080244094e-05
0, 415, 1.0269402486371676e-05
1299, 1422, 9.91848994265555e-06
1781, 1886, 9.901606379230028e-06
1506, 1724, 9.84458455007766e-06
1722, 1826, 9.734340621725133e-06
554, 803, 9.659502915471256e-06
2265, 2497, 9.277040047728344e-06
2131, 2242, 9.223275566194529e-06
1027, 1073, 8.71873702173964e-06
874, 1073, 8.62069249144691e-06
1421, 1597, 8.299695604870243e-06
955, 1073, 8.162498098834076e-06
1067, 1422, 7.827197226646471e-06
0, 269, 7.715617830747562e-06
1545, 1619, 7.643488133413147e-06
0, 162, 7.635333404962949e-06
1701, 2180, 7.14720772234124e-06
475, 807, 6.640678101075874e-06
1810, 1826, 6.628237662435592e-06
1034, 1422, 6.453990756718717e-06
1704, 1826, 6.424754458295928e-06
667, 1422, 6.248261357716003e-06
1453, 1597, 5.958330018202623e-06
496, 555, 5.416122357636263e-06
697, 807, 5.2669594872850815e-06
1810, 1886, 5.223235759893596e-06
1043, 1422, 5.1450796148405955e-06
1290, 1454, 5.095996052514587e-06
533, 555, 5.085835067486754e-06
0, 96, 4.73680688215128e-06
1503, 1619, 4.573798011056195e-06
1290, 1597, 4.5086783838993565e-06
1783, 1927, 4.482951510032389e-06
0, 111, 4.467652959903416e-06
227, 289, 4.389197544432407e-06
0, 396, 4.377343626774452e-06
287, 321, 4.206394110602098e-06
1175, 1376, 4.161512812587817e-06
1510, 1619, 4.155997775962333e-06
206, 396, 4.058174451182797e-06
475, 781, 3.925691995066275e-06
206, 269, 3.829601277398372e-06
