Gene = AT4G10330
index = 698
Annotated 5SS: [204 462]
Annotated 3SS: [310 547]
SMsplice 5SS: [204 462 672]
SMsplice 3SS: [310 547 789]
length: 1465
Partition function (logZ) = -0.8953889098951473
#Exons = 1317
3SS, 5SS, prob
0, 204, 0.9920672287753026
310, 462, 0.8620192535052299
547, 672, 0.5575659038392891
789, -1, 0.5005110767826539
547, -1, 0.3307414692832596
385, 462, 0.1053187187804649
770, -1, 0.07312732855841642
547, 679, 0.061807928583353766
547, 689, 0.030430408319998162
1120, -1, 0.02274659441996073
1441, -1, 0.02212146781402167
909, -1, 0.011759610541893837
316, 462, 0.0079090295559147
0, 462, 0.0061694788081960005
885, -1, 0.006039275154669646
1142, -1, 0.005818896745831172
828, -1, 0.005813357560183575
789, 1148, 0.005512124343416712
310, -1, 0.003995908043680055
310, 466, 0.0038151302537181705
891, -1, 0.0033636025214473487
850, -1, 0.003098091056007542
789, 919, 0.002412054813275555
547, 632, 0.00217489324568885
310, 386, 0.0019350376978897383
289, 462, 0.0016255721516368752
547, 629, 0.0014293253394675781
944, -1, 0.0013963588501365223
1005, -1, 0.0013935321029166026
915, -1, 0.0013691270375546698
547, 1148, 0.0012446027416409874
310, 445, 0.001148707760221672
547, 810, 0.001074157209348142
310, 672, 0.0010640041863066608
897, -1, 0.0009570872261435035
789, 944, 0.000923390133188501
555, 672, 0.000869015563691536
310, 382, 0.0008278815683318999
770, 1148, 0.00075514906248248
0, 192, 0.0007548864063495376
586, 672, 0.0007525952689876101
789, 1010, 0.0007077247908813355
547, 763, 0.0006124698375513943
789, 810, 0.0005785905905548795
1163, -1, 0.000562967652270016
985, -1, 0.0005324805661614114
385, 466, 0.0005178066330105071
1091, -1, 0.0005167529457210078
789, 927, 0.0004940657811092355
555, -1, 0.00046658517825976626
713, -1, 0.0003937045860713163
310, 398, 0.00038819584944004503
1308, -1, 0.0003660335279751272
547, 684, 0.000357764512142061
586, -1, 0.00033942824257730743
936, -1, 0.00032005536953828525
652, -1, 0.0003184336321746757
700, -1, 0.00031352943106299465
789, 1203, 0.00030794164330490663
385, -1, 0.0002900526143373348
770, 919, 0.00028486693517283185
547, 919, 0.00027815714292290725
547, 710, 0.00027581899465913126
0, 116, 0.0002735708343404361
1120, 1148, 0.0002553761776675514
0, 311, 0.00025481649915168336
770, 810, 0.00024612448153847686
310, 431, 0.00023796961604150176
918, -1, 0.00023408186467856025
291, 462, 0.0002110327090618313
547, 790, 0.00020965230989492155
0, 140, 0.0001910162400297506
909, 1148, 0.00018721354133641491
547, 1010, 0.00015749835470380404
789, 886, 0.00015392237714573873
1120, 1203, 0.00015343593246886276
789, 1108, 0.00014156687228693664
1301, -1, 0.00013150617681333316
922, -1, 0.00012824527111554273
547, 944, 0.0001278428200779877
789, 1298, 0.00012656683849638598
547, 693, 0.00012443808725922617
1255, -1, 0.0001224510355426502
310, 679, 0.00012198889774316603
789, 931, 0.00011969059289683386
1036, -1, 0.00011915636822356135
789, 1364, 0.00011898480713966358
385, 672, 0.00011284744587606153
770, 944, 0.00010900308659631765
789, 822, 0.00010067526552729759
282, 462, 0.00010015708503373835
310, 313, 0.00010005091107554786
789, 1002, 9.898116453648056e-05
310, 472, 9.727594465009726e-05
770, 1010, 9.697922888352221e-05
1247, -1, 9.689478353379114e-05
555, 679, 9.677767993549143e-05
364, 462, 9.579998225996418e-05
586, 679, 9.211937198106888e-05
789, 1027, 9.090113873296613e-05
885, 1148, 8.899730570755868e-05
547, 822, 8.663743665271693e-05
328, 462, 7.946922175472033e-05
1392, -1, 7.731312882471943e-05
547, 658, 7.328818987523547e-05
828, 1148, 7.233123489517996e-05
385, 445, 7.156402871227994e-05
959, -1, 7.082788183125524e-05
1203, -1, 7.064719734736645e-05
547, 1203, 6.927548427587427e-05
789, 1158, 6.824189620894039e-05
310, 689, 6.330357374313994e-05
547, 927, 6.188536179378248e-05
1005, 1148, 5.84373761968032e-05
770, 927, 5.820337998738108e-05
286, 462, 5.5538487086017397e-05
652, 672, 5.4282783006048156e-05
310, 380, 5.344481558590624e-05
664, -1, 5.245441701372372e-05
547, 758, 5.193866255459873e-05
909, 1010, 5.1217168058567924e-05
891, 1148, 5.0639776115620245e-05
789, 1005, 5.060915283555649e-05
586, 689, 4.909268667245684e-05
310, 368, 4.900721621583344e-05
555, 689, 4.7855616350739606e-05
789, 1091, 4.2599788375843554e-05
0, 180, 4.249416082473028e-05
789, 1196, 4.230773233694319e-05
0, 168, 4.222417655274525e-05
770, 1203, 4.219544426142512e-05
850, 1148, 4.113861307758283e-05
953, -1, 4.081784091156254e-05
770, 822, 3.99971680018344e-05
1120, 1298, 3.983568450903648e-05
828, 919, 3.668800448688699e-05
0, 164, 3.518173928248199e-05
316, 466, 3.4995834102226313e-05
316, -1, 3.387577805861227e-05
927, -1, 3.372683596363904e-05
789, 1051, 3.365892208187525e-05
284, 462, 3.3503823108737935e-05
310, 400, 3.271948407842537e-05
0, 296, 3.2022880175959704e-05
547, 1108, 2.996228936315868e-05
0, 466, 2.8560208092356597e-05
547, 1298, 2.838908178297885e-05
1142, 1203, 2.7706407161483083e-05
944, 1148, 2.7037196438363574e-05
547, 1364, 2.70118008992698e-05
789, 1139, 2.602790854948677e-05
789, 1062, 2.5565995095130862e-05
1120, 1364, 2.5392390268917647e-05
1091, 1148, 2.3318923961095665e-05
1142, 1148, 2.3277881709791744e-05
547, 817, 2.236251901150065e-05
915, 1148, 2.2352998494380828e-05
331, 462, 2.1763264415008404e-05
0, 672, 2.1723834243714442e-05
885, 1010, 2.167162258202713e-05
547, 600, 2.0927401441595604e-05
547, 682, 2.0605900025986624e-05
770, 886, 1.970379358712625e-05
770, 1108, 1.9400195403103448e-05
547, 1027, 1.8964305827879036e-05
725, -1, 1.8575016590514723e-05
547, 1002, 1.8539202143643783e-05
789, 817, 1.841880596053611e-05
1120, 1196, 1.8317511192918512e-05
985, 1148, 1.7411658565332625e-05
770, 1298, 1.7159487818675323e-05
