Gene = TECPR1
index = 1388
Annotated 5SS: [  126   858  6330  7367  7681  8785 11182 11401 13743 15476 18831 19425
 20448 21028 21291 23213 24238 27246 27451 28590 29262 29866 30591 34316
 34560]
Annotated 3SS: [  702  6085  7183  7557  8658 11006 11299 13640 15329 18339 19278 20291
 20877 21132 23084 24134 27148 27370 28532 29080 29729 30497 34208 34439
 34747]
SMsplice 5SS: [  126   858  6330  7324  7644  8785 11182 11401 13743 15476 15770 19425
 20448 21028 21291 23213 24238 27246 27451 28590 29262 29866 34316 34560]
SMsplice 3SS: [  702  6085  7183  7557  8658 11006 11299 13640 15329 15659 19278 20225
 20877 21195 23084 24134 27148 27370 28532 29137 29729 34208 34439 35168]
top_k =  100
Partition function (log Z): 60.22242414774552

Sorted 5' Splice Sites (High to Low Probability):
Position 19425: 1.000000000000005
Position 8785: 0.9999999999999928
Position 23213: 0.9982444170790753
Position 29866: 0.9975465600486714
Position 29262: 0.9970630811454632
Position 126: 0.9941519731963765
Position 27451: 0.9910963350512887
Position 28590: 0.9902921958375391
Position 24238: 0.9818929319156632
Position 34316: 0.9713962747862439
Position 21291: 0.9431892675190701
Position 11401: 0.9372382408186053
Position 15476: 0.910625254681387
Position 20448: 0.9102332318784015
Position 11182: 0.8923910087664896
Position 858: 0.8848315229404555
Position 7644: 0.8846105271883421
Position 27246: 0.8505098140927025
Position 34560: 0.8288018397953913
Position 13743: 0.739275670919304
Position 21028: 0.5546220442121825
Position 15770: 0.5348417464496239
Position 6330: 0.531944774579093
Position 7324: 0.44686723319716193
Position 20986: 0.39776290533547637
Position 27690: 0.39249039733585755
Position 6363: 0.3448902735426112
Position 30192: 0.2919206722794652
Position 18831: 0.2840508730471081
Position 18365: 0.27992527564374065
Position 3809: 0.27747322170221345
Position 351: 0.2604392231254929
Position 7367: 0.253018552321679
Position 34892: 0.25159997867681544
Position 13751: 0.19387581770157014
Position 7250: 0.18447161468647044
Position 15745: 0.1770829844521556
Position 23744: 0.16707020320243873
Position 28859: 0.1414444887734756
Position 6272: 0.10831780306978937
Position 29593: 0.10322577652514296
Position 7681: 0.09019220639752307
Position 19677: 0.08216945748822922
Position 833: 0.07779004702223771
Position 23787: 0.07109188912234911
Position 1202: 0.07024235647404442
Position 9473: 0.07013448642141956
Position 21875: 0.06975604816206853
Position 30221: 0.06800726012717219
Position 15494: 0.06660889085277834
Position 4145: 0.05600808049184296
Position 30740: 0.054703563227982595
Position 9477: 0.05446066804263255
Position 489: 0.0503690203245014
Position 13705: 0.048441828974241756
Position 11230: 0.045365827654666915
Position 3993: 0.04210422895331223
Position 28898: 0.042000389957974435
Position 21295: 0.03901892501477913
Position 34965: 0.03665828471693351
Position 7347: 0.034408197774989095
Position 27251: 0.03343566268874717
Position 21763: 0.030733215665376564
Position 462: 0.029934483974404374
Position 35439: 0.028399576301113595
Position 8595: 0.02659340358938949
Position 7697: 0.025193419358633187
Position 28449: 0.023665061952775172
Position 21557: 0.02338960280237798
Position 23709: 0.022520957193885825
Position 34333: 0.02229638039392356
Position 23805: 0.022065546112478452
Position 30498: 0.021661029832097438
Position 23478: 0.020761738510721543
Position 21507: 0.017701097533851937
Position 292: 0.017429247235081633
Position 21503: 0.016959946836279896
Position 8120: 0.016136838307418022
Position 9344: 0.014318649804908533
Position 24251: 0.01320071359856933
Position 13455: 0.011563344168627018
Position 35090: 0.010421314405324716
Position 13701: 0.009947954651402786
Position 4160: 0.009218862092557288
Position 9682: 0.00915024090350294
Position 9493: 0.0090518722983995
Position 29503: 0.008871542240345491
Position 11082: 0.008778162314551387
Position 13719: 0.008458727753483112
Position 9678: 0.007420791305243455
Position 9114: 0.006609068979755967
Position 12961: 0.006446661757030231
Position 32992: 0.005551962054602841
Position 28620: 0.004036118673586753
Position 23705: 0.003960641364655298
Position 34294: 0.0038209673625792958
Position 626: 0.0033224986054171137
Position 28904: 0.0026740494616306013
Position 9489: 0.0025308361910022417
Position 34405: 0.002451530254709658
Position 35323: 0.0024212960154259724
Position 27167: 0.002331346274479392
Position 21856: 0.002322910618027034
Position 9045: 0.002275508215000148
Position 27430: 0.002024361203294355
Position 13017: 0.0019617759411885145
Position 30025: 0.0016345096664128437
Position 29799: 0.0016170321007088755
Position 412: 0.0013294050362716847
Position 23415: 0.0008941326370685342
Position 23176: 0.0007670158882264438
Position 345: 0.0005751157141517714
Position 28578: 0.0004985862558648739
Position 511: 0.00045645653240262974
Position 27829: 0.00034576685107637914
Position 3218: 0.0002442603612970008
Position 2204: 0.00022402729292235666
Position 1030: 0.00014296515570560986
Position 62: 0.00013763695081096922
Position 9067: 2.013391006124082e-05
Position 7659: 3.847055495269229e-06
Position 130: 3.772707235416248e-06
Position 8713: 1.5534719864641229e-06
Position 169: 5.765491182041204e-07
Position 137: 4.614585432323234e-07
Position 46: 2.4794919726014483e-07
Position 229: 6.865836577876343e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 19278: 1.0000000000000013
Position 34208: 0.9999808524720973
Position 8658: 0.9996946249949932
Position 23084: 0.9990114329673041
Position 29729: 0.9966708264181727
Position 13640: 0.9932032027472184
Position 24134: 0.992963933296029
Position 6085: 0.9851528511914979
Position 27370: 0.967365942060161
Position 11006: 0.9519788825945377
Position 702: 0.9335841218743792
Position 21195: 0.9320325700854087
Position 11299: 0.9201446291743773
Position 7183: 0.9181865323193654
Position 35168: 0.9021573202934385
Position 27148: 0.8884724412235033
Position 7557: 0.848286267492647
Position 15329: 0.8478908157578782
Position 20877: 0.6908747045954771
Position 29137: 0.6818575354741863
Position 34439: 0.6614212930296234
Position 28532: 0.5073232554065211
Position 20225: 0.49973714924877455
Position 18339: 0.497538987004641
Position 28486: 0.4539958205143026
Position 30093: 0.3736355855735299
Position 15659: 0.3598872118504838
Position 15579: 0.3520375190512967
Position 34747: 0.33125246181773854
Position 27539: 0.29433903268060413
Position 225: 0.29272714399730293
Position 23535: 0.2867092369958073
Position 20291: 0.23935382784856693
Position 29080: 0.2320318010063192
Position 20849: 0.2308511199929206
Position 3744: 0.20739157043202383
Position 28805: 0.18863307950401526
Position 34404: 0.15505974171183562
Position 7527: 0.13780999801030397
Position 15267: 0.10697461648490382
Position 9371: 0.10403232548416264
Position 21630: 0.10281217444547201
Position 27558: 0.09829305556187568
Position 3932: 0.0923537338002689
Position 20378: 0.08854570710961158
Position 36596: 0.08324515633081427
Position 29012: 0.08037980696689018
Position 20375: 0.07548642913259876
Position 29481: 0.06924484225458703
Position 19549: 0.05778608846507005
Position 18452: 0.050321396123813075
Position 28265: 0.048621284231285734
Position 327: 0.047890513692048796
Position 1053: 0.042516805740585945
Position 21407: 0.041337845002657574
Position 3728: 0.04035995817824833
Position 20826: 0.03065912495926148
Position 3408: 0.029721693091941274
Position 29544: 0.028736770311357435
Position 30658: 0.027412004679572385
Position 30497: 0.027291558548410227
Position 9406: 0.02529522095441853
Position 27396: 0.02376321197129942
Position 726: 0.023592557937687827
Position 951: 0.02352552186472674
Position 21132: 0.022190265675628405
Position 15374: 0.021147798328699827
Position 19597: 0.020920400444581686
Position 9213: 0.020316430520847733
Position 9580: 0.016571032208746346
Position 18143: 0.016115765562393455
Position 3914: 0.014977437737443703
Position 29495: 0.014951084993772314
Position 34390: 0.014119706465014387
Position 7504: 0.013903734497042278
Position 21146: 0.012845535720186091
Position 8390: 0.011887403048371752
Position 11251: 0.011649727785395551
Position 13318: 0.011563344168627024
Position 368: 0.011103202554459032
Position 34672: 0.011012604816877205
Position 23329: 0.01006423804806959
Position 21433: 0.009854158265871984
Position 8541: 0.00940962360836697
Position 21106: 0.009095329103704319
Position 7981: 0.008824554787769135
Position 28316: 0.008551602567655458
Position 30386: 0.00726120658530597
Position 8935: 0.006850347525809996
Position 13600: 0.006796797252782659
Position 12703: 0.006446661757030256
Position 21353: 0.0062568846387413175
Position 21109: 0.006044491948921957
Position 23360: 0.005952965286241928
Position 23371: 0.005638667813478578
Position 32841: 0.005551962054602844
Position 7775: 0.005191868841840551
Position 653: 0.005128630936870291
Position 1022: 0.004314270095828699
Position 20032: 0.004115882937752068
Position 8355: 0.003244347190187441
Position 19961: 0.0029942356010991275
Position 19555: 0.0029855333776174155
Position 291: 0.002862884444008981
Position 24068: 0.002129712218208197
Position 9024: 0.0020543635790073976
Position 8189: 0.002053315756474226
Position 12918: 0.0019617759411885145
Position 350: 0.0016937327450580752
Position 8006: 0.0015878973223856768
Position 15196: 0.0012209149626865611
Position 29946: 0.0012190279407553906
Position 29798: 0.0010280591020657463
Position 29762: 0.0008553272653698289
Position 9157: 0.000852535798933094
Position 493: 0.0007247165723890621
Position 21463: 0.0006017592652388911
Position 7042: 0.0005790656609384347
Position 7944: 0.0005325173554226592
Position 19516: 0.00047498326858198305
Position 30107: 0.0003877680174127435
Position 248: 0.0003597603599832242
Position 388: 0.00035043348740612814
Position 30163: 0.00030440206248646213
Position 742: 0.00030366911867510756
Position 8716: 0.00028311747022051015
Position 28678: 0.0002797863871327455
Position 3108: 0.00024426036129699904
Position 244: 0.00017567320339113824
Position 1987: 0.00016746820542867813
Position 29975: 0.00014579971621005145
Position 549: 0.0001072122134370433
Position 498: 0.00010066666049371681
Position 575: 6.275735704575078e-05
Position 2064: 5.655908749367815e-05
Position 29624: 4.368257898964264e-05
Position 1177: 2.872392860878398e-05
Position 8778: 2.2524992752454692e-05
Position 34517: 1.8305771018190667e-05
Position 19501: 2.451932378055256e-06
Position 658: 2.171266062492624e-06
Position 676: 1.8761401623810716e-06
Position 252: 3.341920989673199e-08
