Gene = MGAM2
index = 840
Annotated 5SS: [    54   5226   8628  19318  19874  20332  22399  24887  25792  26914
  29180  29366  32129  33192  35820  42436  43092  46338  46579  47590
  48505  49460  50251  53270  54500  55733  58476  59687  60441  61011
  61601  64027  71620  73386  74370  76081  77752  84534  84846  85063
  85795  85975  86442  86986  88215  96869 106778]
Annotated 3SS: [  5119   8547  19193  19763  20176  22226  24786  25678  26787  29047
  29266  32014  33106  35701  42263  42974  46182  46493  47532  48379
  49370  50200  53101  54343  55513  58320  59517  60343  60897  61474
  63897  71511  73322  74234  75995  77612  84399  84810  84945  85645
  85889  86384  86860  88125  96818 106606 108115]
SMsplice 5SS: [    54   5226  19318  19874  20523  22399  25792  29180  29366  32129
  37644  42436  43092  46338  46579  47590  48505  53270  54500  55733
  58476  59687  61011  64027  71620  74370  77752  85795  85975  86442
  86986  88215  96869 106778]
SMsplice 3SS: [  5119  19193  19763  20176  22295  25678  29047  29266  32014  37530
  42263  42974  46182  46493  47532  48379  53165  54343  55513  58320
  59517  60897  63897  71511  74278  77612  85645  85889  86384  86860
  88125  96818 106606 108115]
length: 110571
length: 110571
Partition function (logZ) = 43.1751887583503
#Exons = 1972
3SS, 5SS, prob
96818, 96869, 0.9818604740358089
63897, 64027, 0.9775502898422262
54343, 54500, 0.9645033806207652
86860, 86986, 0.9602240939030091
71511, 71620, 0.9478671839285917
5119, 5226, 0.9277413719874765
37530, 37644, 0.9264126184730466
29266, 29366, 0.9251514038094462
58320, 58476, 0.8993411230010008
86384, 86442, 0.8862002168433905
85889, 85975, 0.8794787883224751
88125, 88215, 0.8666198494323325
19193, 19318, 0.8660265464115432
77612, 77752, 0.8488904637298443
0, 54, 0.8412174087630054
32014, 32129, 0.8040889322610154
55513, 55733, 0.7820973534626872
42974, 43092, 0.7697966990378061
108115, -1, 0.7647578553218969
19763, 19874, 0.7486848514565821
48379, 48505, 0.738963660347638
85645, 85795, 0.680714915562949
25678, 25792, 0.6615029846430727
69886, 69976, 0.6168674871862266
46182, 46338, 0.6131434165935189
59517, 59687, 0.5992590991148363
42263, 42436, 0.5888715506234891
60897, 61011, 0.5840006768694342
22295, 22399, 0.5675409349557032
26787, 26914, 0.5575538298723292
74278, 74370, 0.5331484647585368
53165, 53270, 0.5202848910000163
46493, 46579, 0.5073936992893301
29047, 29180, 0.5024362060636217
28756, 28853, 0.4872278896504072
35701, 35820, 0.4455985753776212
20176, 20332, 0.44273108105813
20176, 20523, 0.4319649947847336
53101, 53270, 0.41922720510981865
29019, 29180, 0.41740229498283643
47532, 47590, 0.40772396818296663
55209, 55353, 0.39898947944524804
74234, 74370, 0.3960469205526756
8547, 8628, 0.36777555832146586
46925, 47062, 0.3450893237199057
19975, 20060, 0.3309708685457044
99538, 99619, 0.3266717197701099
38784, 38901, 0.3197970918113273
6776, 6858, 0.2843038500967889
96465, 96553, 0.2802129568768303
24914, 25031, 0.277949436635041
13286, 13364, 0.27011584128351585
84810, 84846, 0.26864612319322745
47409, 47590, 0.2618647977676479
73322, 73386, 0.24893125051543905
68505, 68644, 0.24151702999818106
33106, 33192, 0.24071347285204509
75995, 76209, 0.2379893164940886
46884, 47062, 0.22935486091429524
15285, 15363, 0.22725868721772652
53458, 53677, 0.21023313368370677
84945, 85063, 0.20993009096527848
46182, 46408, 0.1968580023868157
84810, 85063, 0.1914134354691778
34137, 34219, 0.18473563118417963
61474, 61601, 0.18411041161796501
76124, 76209, 0.18122298661368744
43582, 43684, 0.17243210182361968
46182, 46315, 0.16064894834418617
9448, 9701, 0.15578028755875326
42206, 42436, 0.1497563663042133
61474, 61626, 0.14687082671259633
13494, 13581, 0.13871683717087527
56539, 56847, 0.13449268209919923
19159, 19318, 0.13164441773729957
22226, 22399, 0.13040610087211257
43821, 43983, 0.1250255977280307
77625, 77752, 0.1205082593237068
19763, 19954, 0.11694058301872251
38754, 38901, 0.11420658870739757
8547, 8642, 0.11108874309675909
22060, 22144, 0.10581226761583588
64378, 64470, 0.10216884782625019
99266, 99455, 0.10047616673362944
50200, 50251, 0.09986554206529666
88039, 88215, 0.09853963207460277
48379, 48527, 0.09762772664797559
57125, 57450, 0.09664969447631647
84771, 84846, 0.09627471661836705
35701, 35860, 0.09598640061011766
0, 426, 0.09506385302448514
10136, 10486, 0.09346285455960834
63544, 63697, 0.09325130217243723
48428, 48505, 0.09081975433741321
84976, 85063, 0.08876264916832056
24786, 24887, 0.08766186570803249
27414, 27481, 0.08619451599936975
96465, 96617, 0.08415377987036564
46455, 46579, 0.0836127454130246
60343, 60441, 0.08307694888789331
40056, 40185, 0.0830691221370905
42948, 43092, 0.08072437030931974
49370, 49460, 0.08011556296740813
80361, 80406, 0.0778348681883757
55675, 55733, 0.07753173954928869
86315, 86442, 0.07565168421371543
43791, 43983, 0.07562590656273044
75995, 76081, 0.07539150964018868
8547, 8619, 0.07437233546209905
51927, 52036, 0.07417790419420442
99538, 99697, 0.07264663900658849
22295, 22432, 0.07175817921648026
53651, 53677, 0.06976318363511395
107173, -1, 0.06868355324613398
58384, 58476, 0.06811479957793577
56560, 56847, 0.06649804256424045
24727, 24887, 0.06633903884201728
43821, 44024, 0.06468248335882532
7273, 7345, 0.06104695882444412
297, 426, 0.06069672240287051
22060, 22399, 0.05982729251805363
55259, 55353, 0.058304531289096906
25622, 25792, 0.0570564825098209
24914, 25057, 0.05552414976001424
57322, 57450, 0.0554796209478651
38679, 38901, 0.05355964428582996
3186, 3231, 0.05232758467409291
