Gene = Bcl10
index = 174
Annotated 5SS: [ 254 6433]
Annotated 3SS: [6143 8688]
SMsplice 5SS: [ 254 6433]
SMsplice 3SS: [6143 8688]
top_k =  1000
Partition function (log Z): -5.908772075881748

Sorted 5' Splice Sites (High to Low Probability):
Position 6433: 0.8882939511834912
Position 254: 0.8858613556170822
Position 5633: 0.4922267386788432
Position 3347: 0.39773840369277225
Position 9605: 0.14846240436997216
Position 8998: 0.13175577147553408
Position 3595: 0.12381507453467594
Position 1140: 0.11053859384954468
Position 7425: 0.09557972926231163
Position 8034: 0.09090563677559103
Position 751: 0.0908649973334514
Position 3057: 0.0610199655057056
Position 7318: 0.048748708139643535
Position 8053: 0.04494855411369626
Position 2404: 0.040496158314697654
Position 1035: 0.030674408016628626
Position 6268: 0.02880078478546975
Position 453: 0.026246055796783945
Position 3026: 0.0241214646346146
Position 349: 0.019583787819381568
Position 5730: 0.019182548921068805
Position 3808: 0.018170799590120298
Position 6838: 0.017485470615259555
Position 7712: 0.015055902435785197
Position 6469: 0.014141731158560678
Position 6827: 0.014137252813467966
Position 2839: 0.013396201575997885
Position 3305: 0.011981792288020762
Position 3628: 0.011340936640470051
Position 3608: 0.011147643828736249
Position 5097: 0.010223320355689182
Position 5358: 0.010216453462641288
Position 8747: 0.009642407896865516
Position 8966: 0.00958874529721602
Position 6057: 0.009413798196788729
Position 71: 0.009068749135556728
Position 3750: 0.008633386909144702
Position 3268: 0.008531990266165088
Position 6393: 0.008278617591865758
Position 9125: 0.007099505314928278
Position 3864: 0.0054794163727266846
Position 3621: 0.004643253096472622
Position 5933: 0.004637772221364071
Position 3320: 0.004460050607093519
Position 2846: 0.004236608476100153
Position 440: 0.004106182624343003
Position 4860: 0.0040585655449997685
Position 8801: 0.003839715272929664
Position 4720: 0.0038191700901603846
Position 684: 0.003164503733151314
Position 8204: 0.0029692480608781127
Position 2934: 0.00290091987683194
Position 4680: 0.0025841679500125917
Position 9118: 0.00244121102643456
Position 7233: 0.002332130599874393
Position 2825: 0.00223448950844969
Position 4138: 0.002091437909332166
Position 719: 0.0018483809622495482
Position 3102: 0.0018101357474156106
Position 9768: 0.0017422300299563766
Position 959: 0.001673535177580857
Position 7390: 0.0016194949860716358
Position 9192: 0.0013917716641155126
Position 3515: 0.0013313074092350214
Position 7367: 0.0012023770603287844
Position 4635: 0.0011597194921219452
Position 449: 0.001103228556280551
Position 6977: 0.0009867419732267977
Position 1185: 0.0009316674367970164
Position 8877: 0.0007555426357044338
Position 8983: 0.0006739148241016525
Position 6488: 0.000651710680376522
Position 8533: 0.0006473126190264993
Position 7313: 0.0006379554609709326
Position 53: 0.0006113967566114948
Position 9560: 0.0006021549882174465
Position 8707: 0.0005422429978584204
Position 717: 0.0004983986785866638
Position 700: 0.0004884044306423641
Position 242: 0.00044883829491350737
Position 1481: 0.0004457254826428727
Position 2961: 0.0003942437964974742
Position 3079: 0.00037529519413314727
Position 8868: 0.00037018090821070907
Position 8849: 0.00037017294346117517
Position 67: 0.00035911130944576096
Position 7280: 0.00034089250309726
Position 3277: 0.0003333606906210841
Position 7326: 0.00029560496698117947
Position 258: 0.00027374318270686625
Position 5772: 0.00026090326240949907
Position 433: 0.0002309237125249939
Position 3478: 0.0001823072060753124
Position 1232: 0.00018104264193999865
Position 4465: 0.00014507832012581652
Position 6952: 0.0001383697567752505
Position 4327: 0.00011305339005196797
Position 1536: 9.803601476821163e-05
Position 1914: 7.91898397749326e-05
Position 1023: 7.835478074027288e-05
Position 1499: 6.0064423440403644e-05
Position 1530: 5.905458824166364e-05
Position 2277: 5.870606440073856e-05
Position 40: 5.389428598280146e-05
Position 2134: 5.060967115163632e-05
Position 6473: 4.703487712364294e-05
Position 1078: 4.6862834340769636e-05
Position 7020: 4.2164894368328554e-05
Position 6287: 3.8149353202529294e-05
Position 2609: 3.669309198812295e-05
Position 6554: 3.521921661177948e-05
Position 6229: 2.934550610635768e-05
Position 1039: 2.6710035720107306e-05
Position 7786: 2.5920843410168934e-05
Position 484: 2.5704753238225048e-05
Position 465: 2.447451350202839e-05
Position 2941: 2.4420105320623303e-05
Position 1719: 2.3503811112154793e-05
Position 47: 1.9940498822083813e-05
Position 6973: 1.9311208460253398e-05
Position 491: 1.688214226083338e-05
Position 821: 1.619847765063466e-05
Position 365: 1.477627337293351e-05
Position 723: 1.23320788030766e-05
Position 853: 1.0924700888923318e-05
Position 616: 8.069781198085433e-06
Position 159: 5.455118888587005e-06
Position 802: 4.3234231612082494e-06
Position 103: 4.1685224888179495e-06
Position 625: 2.048591989144887e-06
Position 564: 1.67824505658677e-06
Position 2788: 1.0280019259907298e-06
Position 2221: 1.0164346670516203e-06
Position 82: 8.075770185236662e-07
Position 148: 5.052215401481905e-07
Position 214: 3.353568816169193e-07
Position 114: 2.4429857500272247e-07
Position 603: 1.562806226110726e-07
Position 1266: 6.952145622601506e-08
Position 96: 3.397365899855825e-08
Position 1279: 3.243620127771655e-08
Position 1199: 2.5489955675833577e-08
Position 1124: 1.7605155561785782e-08
Position 1041: 7.572971608168594e-09
Position 1181: 5.3239182506728715e-09
Position 1171: 4.452774431511328e-09
Position 1163: 4.422277197509338e-09
Position 1083: 4.2757659058636356e-09
Position 1026: 4.2736252468355755e-09
Position 566: 2.1700136606029614e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6143: 0.7771435056068133
Position 8688: 0.6552147671678881
Position 5493: 0.49326911724803013
Position 3189: 0.41127398262507686
Position 9455: 0.34227390657261475
Position 6349: 0.15607553963398035
Position 7902: 0.13860631215975025
Position 7175: 0.1224478523829102
Position 977: 0.09485755924866822
Position 9276: 0.09095399882007685
Position 3524: 0.0783875831225568
Position 9746: 0.060470401079544295
Position 2960: 0.05251294552992218
Position 9669: 0.04582716556178698
Position 9713: 0.027609123719055256
Position 3194: 0.025312022607113127
Position 3168: 0.02373029038488595
Position 575: 0.02357826898393463
Position 895: 0.023418167373537226
Position 2828: 0.021408451470549577
Position 2678: 0.02041345732271155
Position 2281: 0.018534652206599535
Position 8958: 0.01765828013547173
Position 6768: 0.015809448536087314
Position 3381: 0.014702841413413464
Position 2312: 0.01371252206850837
Position 5622: 0.01344656473684581
Position 8122: 0.01289572121174591
Position 9726: 0.012020962624563708
Position 3576: 0.011872590223291344
Position 590: 0.011554011398013325
Position 6377: 0.010955553663191925
Position 7345: 0.010855645729287424
Position 5875: 0.010561754917101016
Position 7555: 0.009233785534204331
Position 5245: 0.008893562555406496
Position 348: 0.008664325597558111
Position 2929: 0.008489238935446296
Position 3124: 0.008323718579383875
Position 6109: 0.008279934500584186
Position 3405: 0.007969919368374457
Position 4583: 0.00761641117524958
Position 5022: 0.006870342514599625
Position 7198: 0.006727353514552748
Position 7236: 0.006196043836496473
Position 6703: 0.006081929214529077
Position 6733: 0.005968659465616816
Position 5554: 0.005869886595564612
Position 3721: 0.005708263028285466
Position 9424: 0.00558289698195687
Position 611: 0.0051159107457898634
Position 3579: 0.005029434966185221
Position 2251: 0.0044502671539411965
Position 7480: 0.004432839975958784
Position 10023: 0.0042608849063297954
Position 796: 0.004186081228164949
Position 7232: 0.0041095765944025925
Position 5889: 0.004100836588100622
Position 3750: 0.004093624357095371
Position 8746: 0.0034965092816979263
Position 9981: 0.0032734297221571275
Position 6641: 0.0032235435945633206
Position 4886: 0.00322108238117658
Position 1049: 0.0031121091670584474
Position 3701: 0.003023162848389487
Position 6736: 0.0029239764473822233
Position 1023: 0.0027216781624157006
Position 606: 0.0027151858562054778
Position 2776: 0.002701090111183375
Position 3528: 0.002461546535416987
Position 4580: 0.002436682791567932
Position 7317: 0.0023885058087248787
Position 3437: 0.0022856114152604743
Position 7526: 0.0022525094368636834
Position 7303: 0.002006228338214503
Position 2134: 0.001685528099899855
Position 4764: 0.0016362046352950063
Position 6305: 0.0015674930276531119
Position 1083: 0.0015098057697265808
Position 2188: 0.001473693781158856
Position 750: 0.0014637097842302045
Position 4077: 0.001423853565976443
Position 2697: 0.0014157851632484288
Position 7364: 0.0014138020703482728
Position 6665: 0.0013749485473300968
Position 3531: 0.0013143868733108788
Position 3676: 0.00118817927335133
Position 8330: 0.001181030552275826
Position 5254: 0.001052344850191799
Position 376: 0.0009831772855301438
Position 713: 0.0009706333283975678
Position 6948: 0.0009054383554912713
Position 400: 0.0009007337327659689
Position 6700: 0.0008631613297282975
Position 9625: 0.0008600051031180686
Position 9395: 0.0008352860370915958
