Gene = CG10137
index = 66
Annotated 5SS: [ 126 2260 3504 4343 5425 5627 5782]
Annotated 3SS: [2091 2407 4227 4408 5480 5679 5841]
SMsplice 5SS: [ 126  767 2260 3504 4343 5425 5627 5782]
SMsplice 3SS: [ 245 2091 2407 4227 4408 5480 5679 5841]
length: 6300
Partition function (logZ) = 14.749610682676773
#Introns = 1865
5SS, 3SS, prob
4343, 4408, 0.9712322888849337
5627, 5679, 0.9502173104988044
5782, 5841, 0.9366397953420807
5425, 5480, 0.7748268174911782
3504, 4227, 0.7434645710301198
2260, 2407, 0.716539308884882
126, 245, 0.46475133472774516
767, 2091, 0.3997629954200121
3248, 3315, 0.281735573246812
1212, 2091, 0.18118563131637927
126, 2091, 0.16514761494783237
2260, 3315, 0.12269494219711423
4571, 5480, 0.12057471407079182
3504, 4203, 0.1032414593105186
2790, 3315, 0.09961285338733736
767, 1129, 0.0810984253547786
767, 879, 0.05850895767204648
126, 398, 0.05800604015777772
2647, 3315, 0.054803701039651896
859, 2091, 0.043267948274763504
2790, 2860, 0.042114947227295405
126, 633, 0.04159299588874081
3504, 4231, 0.03903496514174331
126, 532, 0.035621602683173166
2260, 4227, 0.03417259078979932
814, 879, 0.03303134152184116
3043, 3315, 0.032806189562358846
2040, 2091, 0.03274206834279428
1704, 2091, 0.030684493721052537
126, 187, 0.02971973111621362
5027, 5480, 0.02895756415242915
126, 654, 0.028512840440170016
2260, 2567, 0.026404584580211856
2260, 2338, 0.02622582134896251
126, 684, 0.026168409104025674
4571, 4634, 0.024559180840070333
4343, 4438, 0.024520708518096925
767, 1853, 0.023020290063542313
4616, 5480, 0.021006029564816703
126, 254, 0.01995459499155228
2564, 2626, 0.01851113752165461
1768, 2091, 0.017558552433631698
814, 2091, 0.01717850297368175
2260, 2369, 0.0171772469944367
4571, 4935, 0.016877426209667663
5429, 5480, 0.016084959882626426
5627, 5841, 0.0148138527630099
2790, 2902, 0.014809480257063367
2564, 3315, 0.013753219845522866
126, 1129, 0.012049116331559204
2260, 2472, 0.011567599050643711
767, 853, 0.01142064926431336
1212, 1853, 0.01133270755194791
126, 1853, 0.010586901086987765
2260, 3268, 0.010539947505754411
2790, 4227, 0.010313671116764745
5599, 5679, 0.010281263468044461
2647, 4227, 0.010096483592615297
1752, 2091, 0.009671139302196105
3504, 3706, 0.009336898672113196
126, 459, 0.008956158638690122
2790, 3268, 0.00871908848392405
767, 945, 0.00834264766058877
5360, 5480, 0.008250640316506658
859, 1129, 0.007664984647212603
1768, 1853, 0.006541235316886238
3851, 4227, 0.006161681380041362
767, 903, 0.0058460897121277965
767, 2142, 0.005820664066523711
4636, 5480, 0.005672254803723092
767, 838, 0.005051732802992482
507, 2091, 0.004606355400230459
2260, 2902, 0.004594820994999225
3504, 3938, 0.004555059702524056
4571, 5307, 0.004154976381485698
2260, 2626, 0.004027926140949891
2260, 4203, 0.00401719737811676
3504, 4102, 0.0040139008245617105
507, 633, 0.003962890933847153
2554, 3315, 0.003927790672200661
2260, 2456, 0.0038652225654016784
5432, 5480, 0.0038312936519549748
833, 2091, 0.003676995854014036
1704, 1853, 0.0035869489659827044
2790, 3042, 0.003569629176804283
1212, 2142, 0.003487667290903467
5631, 5679, 0.0033952306196481695
859, 1853, 0.0033767822881636566
126, 879, 0.003330303333299284
1322, 2091, 0.003239598598597967
2647, 3268, 0.003210132057718048
4571, 5181, 0.0031897992796053563
1196, 2091, 0.003088581718172702
767, 1091, 0.0030758699268434767
4571, 4652, 0.0030580216879587236
2647, 2902, 0.002908613587613958
2554, 2626, 0.0028626976121471697
3068, 3315, 0.002759997587861666
4616, 4935, 0.0027390911756285633
2260, 3042, 0.00269985277871262
814, 1129, 0.0026839873777442435
3043, 3268, 0.0026495365256329097
2790, 4203, 0.002627732429062732
2790, 3066, 0.0026262104438562906
5042, 5480, 0.002541273237806342
859, 945, 0.002516968986605676
4343, 5480, 0.0025126061363882016
2057, 2116, 0.002499702139181357
767, 1598, 0.002442617624118564
1984, 2091, 0.0023317381361682536
3043, 4227, 0.0023209278293642014
3504, 3617, 0.0023160643498601136
3504, 3643, 0.0022870676053066146
5599, 5651, 0.0022129408143862364
1212, 1348, 0.0021840584214795444
507, 654, 0.0021536417826659104
2790, 2864, 0.0020923008559184646
3504, 3723, 0.0020910222208685735
788, 2091, 0.00206682603689731
1752, 1853, 0.002005098609487096
767, 2116, 0.0019727407748479386
3504, 4064, 0.0019195623109833613
1552, 2091, 0.0019164349519420706
1746, 2091, 0.0019024549264300198
126, 2142, 0.0018395285086903058
3504, 3604, 0.0017827666351180461
4571, 4976, 0.0017618027918710844
5027, 5307, 0.001738561853231165
2260, 3066, 0.001683243808271313
2548, 3315, 0.0016816424469129998
4571, 5253, 0.0016464530815657181
5776, 5841, 0.0016412202881320931
2260, 2860, 0.0016330571257350116
2564, 4227, 0.0016243097112790786
5027, 5181, 0.0015882667363959838
833, 879, 0.0015525534226576083
2338, 2407, 0.001527041930574
3504, 3665, 0.0015128454280410224
1713, 2091, 0.0014424381102267777
767, 1141, 0.0014407427904940576
3504, 3971, 0.001437011317246199
767, 1449, 0.0014265020177576535
767, 1348, 0.0013999090869764377
507, 684, 0.0013952025146532472
4571, 5323, 0.0013635513517962407
2647, 3042, 0.0013205717215577267
859, 2142, 0.001306865138540013
2260, 2644, 0.001273370367218105
1982, 2091, 0.0011771202630823571
767, 850, 0.0011351199521467124
2647, 2860, 0.0010744621240697401
1212, 1598, 0.0010690899173841537
2260, 4231, 0.001049270238570723
2057, 2142, 0.001048383987030952
5164, 5480, 0.0010241661684827655
3113, 3315, 0.0010102990769101444
2647, 4203, 0.0010082902131031436
3043, 3095, 0.0009998470640618718
833, 1129, 0.0009815851196506812
2647, 3066, 0.0009487132492293301
814, 1853, 0.000909783826703949
2564, 2644, 0.0008998634105726847
1723, 2091, 0.000897492565340239
1212, 1449, 0.0008941994045190699
2564, 3268, 0.0008628574539432583
767, 2407, 0.0008507967041849443
833, 903, 0.0008495420111871296
5427, 5480, 0.000838938919886922
859, 903, 0.0008330281891097307
3517, 4227, 0.0008184185760884284
1212, 2116, 0.0007757239382045402
1029, 2091, 0.0007658034701237421
767, 1000, 0.000748959213164169
1349, 2091, 0.0007433076472168517
4636, 4935, 0.0007303767056655557
3851, 4203, 0.0007137594423214798
126, 945, 0.0007049945543199166
3765, 4227, 0.000701958444715916
767, 3315, 0.0006529306833100702
767, 1665, 0.0006449508264211903
5027, 5253, 0.0006414974991989229
1498, 2091, 0.0006394587671552824
4571, 4636, 0.0006376174217578261
2564, 2902, 0.0006329342460502879
767, 2039, 0.0006302127568785952
4616, 5307, 0.0005945017931216633
345, 398, 0.0005882612556946683
4343, 4417, 0.0005854044057298169
3248, 4227, 0.0005837703748225495
1305, 2091, 0.000559956801359409
1461, 2091, 0.0005554935234394145
578, 633, 0.0005513212194138349
4616, 5181, 0.0005502919330953197
4994, 5480, 0.000537919878295001
4571, 5122, 0.0005373338572603111
4343, 4480, 0.0005326890588043516
1704, 2142, 0.0005260627916289905
1212, 2039, 0.0005238246679229395
3504, 3850, 0.0005205187182840251
3575, 4227, 0.0005062861873468846
1501, 2091, 0.0005014063174663645
5782, 5901, 0.0005007576430660071
2548, 2626, 0.0004942193511294718
3557, 4227, 0.0004894764107809708
767, 1892, 0.000489090710943192
887, 2091, 0.00048729722021671024
4571, 4750, 0.00048639107996586035
788, 853, 0.00047742312284731976
2554, 4227, 0.00047490877585400454
767, 1168, 0.00047388040514194195
2871, 3315, 0.00047348415175018467
2790, 4231, 0.0004564758873491448
126, 345, 0.0004558941869682858
459, 532, 0.0004504536308529172
5627, 5696, 0.0004461041792597621
5027, 5323, 0.0004445582714352997
4571, 5679, 0.00044289051106787897
