Gene = Psenen
index = 865
Annotated 5SS: [190 446 918]
Annotated 3SS: [ 302  812 1106]
SMsplice 5SS: [190 446 918]
SMsplice 3SS: [ 353  812 1106]
top_k =  500
Partition function (log Z): -1.359970350022662

Sorted 5' Splice Sites (High to Low Probability):
Position 190: 0.9726329684244531
Position 446: 0.9446439626056303
Position 918: 0.5358039245716476
Position 474: 0.025494064045318433
Position 260: 0.020119199793172744
Position 465: 0.010321035725131968
Position 960: 0.00833259293824113
Position 1044: 0.005529367600957983
Position 209: 0.00327539957488638
Position 400: 0.0014080915601557096
Position 754: 0.0012313617192436879
Position 435: 0.0011934317834997234
Position 455: 0.0008172173352728908
Position 70: 0.0006985206220772182
Position 967: 0.0005187604455501263
Position 841: 0.0004332289907354616
Position 1142: 0.00034269276695932197
Position 922: 0.0003213756647552421
Position 194: 0.00031084775523952625
Position 65: 0.0002263604791066858
Position 975: 0.00022084959124597862
Position 721: 0.00021289999212981906
Position 714: 0.00020681853659422963
Position 53: 0.0001761668801462435
Position 601: 0.00015275025039278534
Position 744: 0.0001307753460102484
Position 964: 7.922860601556673e-05
Position 417: 5.6463914464032104e-05
Position 271: 4.597702630827044e-05
Position 972: 3.681165864632988e-05
Position 46: 2.9806156830982925e-05
Position 1037: 2.7175200846104925e-05
Position 794: 2.1918878461697088e-05
Position 201: 1.4615630529481864e-05
Position 1048: 9.280083849496898e-06
Position 239: 8.102598825003322e-06
Position 1019: 7.41888043474718e-06
Position 1124: 6.414765686938048e-06
Position 426: 4.957739668289143e-06
Position 859: 2.8388547553181023e-06
Position 296: 2.581016306058162e-06
Position 5: 2.345649050271397e-06
Position 252: 2.1957500055349826e-06
Position 663: 1.7894760323400251e-06
Position 26: 1.7857901678619102e-06
Position 813: 1.7521004679965724e-06
Position 15: 1.576767240663861e-06
Position 562: 1.475987669390291e-06
Position 24: 1.380392037778931e-06
Position 204: 1.022403356642037e-06
Position 779: 3.6770773384472725e-07
Position 615: 3.3430303154071e-07
Position 792: 7.532293090448451e-08
Position 310: 6.942525260035259e-09
Position 307: 6.545679951410428e-10
Position 845: 4.789074925235303e-10
Position 317: 4.1533201912636426e-10
Position 874: 4.0904664567500026e-10
Position 532: 5.846466740402007e-11
Position 327: 4.0405728070936627e-11
Position 331: 4.013357002741456e-12
Position 340: 4.0679252442982776e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.9147177197373331
Position 1106: 0.7131555163223017
Position 812: 0.6413203212737709
Position 1282: 0.07985424935706897
Position 361: 0.04028479530244192
Position 845: 0.037493604528502734
Position 302: 0.03094567641209229
Position 867: 0.024627315435270174
Position 1177: 0.01610749492953256
Position 1304: 0.012898210355731719
Position 1121: 0.00829374845990577
Position 1053: 0.0031104881360307234
Position 615: 0.002458916010261692
Position 701: 0.002122056135791161
Position 1361: 0.0011400482388580374
Position 1289: 0.0010431783912601895
Position 1316: 0.0008814380381942993
Position 274: 0.0006662067483051426
Position 555: 0.0005743265555442658
Position 628: 0.0005254022658047624
Position 377: 0.00042913103195085377
Position 887: 0.0002861817825588998
Position 1068: 0.0002758562998857682
Position 792: 0.00022161811440640368
Position 1063: 0.00022078772480516647
Position 871: 0.0001535231470473801
Position 1009: 0.0001408473497823812
Position 869: 0.00011104651010049825
Position 1023: 0.0001051982337230959
Position 562: 9.282720875893228e-05
Position 1074: 8.719987041206517e-05
Position 1258: 8.215680724872702e-05
Position 956: 6.195426092096535e-05
Position 753: 6.081262792407918e-05
Position 632: 5.719957806800826e-05
Position 743: 4.409621383099566e-05
