Gene = AT4G22758
index = 887
Annotated 5SS: [ 694 1195]
Annotated 3SS: [ 989 1558]
SMsplice 5SS: [ 694 1195]
SMsplice 3SS: [ 989 1558]
length: 1943
Partition function (logZ) = -2.8686476300118064
#Introns = 1499
5SS, 3SS, prob
1462, 1558, 0.4841499622890818
1195, 1292, 0.4432411762936866
1195, 1558, 0.417574675901793
749, 839, 0.3963175954253413
694, 989, 0.24871350299547054
749, 989, 0.1803978058200352
908, 989, 0.11982809232222806
897, 989, 0.1188043395488141
694, 839, 0.0884668227851868
1762, 1911, 0.06430410954596262
1195, 1302, 0.04279140635278193
879, 989, 0.040469973440033405
1405, 1558, 0.025888028139492446
891, 989, 0.01443822471339361
1053, 1558, 0.013288437376075539
1195, 1350, 0.013157874567824085
1115, 1558, 0.01172819511403199
1195, 1312, 0.011322321939375315
625, 989, 0.011088759815705946
1120, 1558, 0.009752899686333265
566, 989, 0.009021577341791777
1371, 1558, 0.008542917360672126
1435, 1558, 0.0038029993298651444
625, 839, 0.002956496775870627
113, 391, 0.002536591849411124
566, 839, 0.002405278240948368
1788, 1911, 0.002298266773127405
1053, 1292, 0.00223261523364071
1195, 1591, 0.0020810220880871336
694, 1558, 0.002062363003454174
1115, 1292, 0.0019876287961993573
694, 1029, 0.0019109148609406876
1762, 1888, 0.0017125142549945702
1120, 1292, 0.001655315122403731
1637, 1911, 0.0016311039368969854
749, 1558, 0.0014957973560240664
749, 1029, 0.0013860669617996007
303, 391, 0.0009677148819766105
229, 391, 0.0009183149096657136
77, 391, 0.0008990346841842822
117, 391, 0.0008585003512522915
883, 989, 0.0008364177689925899
694, 1024, 0.0007592912333115187
694, 794, 0.0006371025513669544
749, 864, 0.0006254184687371208
1462, 1591, 0.0006179343832508522
1762, 1855, 0.0005864561771153287
749, 1024, 0.0005507463391001369
700, 989, 0.0005124516524373353
101, 391, 0.000470137906436687
401, 989, 0.0004155765156531496
1175, 1558, 0.0004041130460101419
694, 1032, 0.00038797353171820154
694, 956, 0.00038643606042694804
1053, 1302, 0.00037589285797586577
1053, 1350, 0.000358738867141707
470, 989, 0.0003523014026725496
694, 864, 0.0003483368408764578
694, 1292, 0.00034640625832982173
1115, 1302, 0.0003446686362055172
859, 989, 0.00034163780879827845
1766, 1911, 0.0003269311716626507
1065, 1558, 0.0003234522062994262
1115, 1350, 0.0003166293306783702
1120, 1302, 0.0002834440760390201
749, 1032, 0.00028140793729908027
749, 956, 0.0002802933531066109
478, 989, 0.00027738520240074043
1104, 1558, 0.0002722216200331395
1120, 1350, 0.0002632981369676014
908, 1029, 0.0002543395979282805
749, 1292, 0.0002512689055365407
636, 989, 0.0002272624050472958
113, 209, 0.00022379918295795787
700, 839, 0.00019703158276334354
897, 1029, 0.00018513168336975575
1175, 1292, 0.0001569244028696922
1053, 1312, 0.00015626609120777748
1824, 1911, 0.0001562550115022923
1350, 1558, 0.0001449941208378762
1115, 1312, 0.00014183647342311118
908, 1558, 0.00013663938745523088
787, 989, 0.00012741618252940263
897, 1558, 0.00012594413189028684
879, 1029, 0.0001244516524564124
533, 989, 0.00012129697307353311
1788, 1888, 0.00011977493167808839
