Gene = Dspp
index = 349
Annotated 5SS: [  57 3372 4271 5367]
Annotated 3SS: [3295 4183 4424 6146]
SMsplice 5SS: [  57 3372 4271 4497]
SMsplice 3SS: [3202 4183 4424 9003]
top_k =  1000
Partition function (log Z): -4.38314660819878

Sorted 5' Splice Sites (High to Low Probability):
Position 57: 0.9648137679069918
Position 4271: 0.9180555613907407
Position 3372: 0.829511104410285
Position 4497: 0.6684673460624665
Position 4698: 0.4067368306324177
Position 3095: 0.3497004715567746
Position 5367: 0.21117956092530876
Position 8292: 0.16233625476964927
Position 2424: 0.12874550243798044
Position 2551: 0.08655180880494313
Position 2939: 0.08295132147066203
Position 8794: 0.06804664161225873
Position 2568: 0.053704836373329054
Position 6709: 0.04999417798110847
Position 5050: 0.048797582328241315
Position 8644: 0.03674472217474068
Position 128: 0.02772964598591915
Position 627: 0.02236138497018023
Position 3974: 0.017581083563043335
Position 2883: 0.01614824923256189
Position 3216: 0.014895227033729736
Position 2686: 0.014550819366103146
Position 2624: 0.012241119181148933
Position 1644: 0.010822419877835042
Position 4978: 0.009946881514039137
Position 2482: 0.008313667124824764
Position 1459: 0.00819873812401841
Position 2643: 0.007471957268039262
Position 3946: 0.006992720312448251
Position 2155: 0.006367700528769069
Position 4785: 0.005331967685224939
Position 1604: 0.0038442491702626804
Position 4480: 0.0037559867797657322
Position 6328: 0.003558705642931465
Position 159: 0.0033072500378656575
Position 5714: 0.0031310286106088336
Position 272: 0.0024723318989982217
Position 8736: 0.0023483660232016114
Position 6220: 0.002021101437302585
Position 585: 0.0019108489729425505
Position 4551: 0.0019046837024074325
Position 6640: 0.0018429943708091715
Position 6658: 0.0016999470879174865
Position 1388: 0.0016767893170664295
Position 2065: 0.0016696852827521708
Position 1812: 0.0016174371114043207
Position 6352: 0.0015699128049483737
Position 1070: 0.0014003635909155979
Position 3707: 0.0013601876498073107
Position 3691: 0.001351948673419311
Position 3751: 0.0013256629142231208
Position 4950: 0.0011238029130774634
Position 8825: 0.0010358520703233
Position 90: 0.00102098394694245
Position 4192: 0.0010146118763685126
Position 3235: 0.0009024330630989997
Position 97: 0.000743049461146939
Position 6448: 0.000734182537458328
Position 279: 0.0006850552875975383
Position 3148: 0.0006785748938198657
Position 593: 0.0006434033424749993
Position 2597: 0.0005874565335094096
Position 1887: 0.0005612604216297444
Position 6529: 0.000545675525963915
Position 6059: 0.0004653065963318458
Position 6616: 0.0004490823964696139
Position 691: 0.0004110056780502356
Position 4293: 0.00037159348037356236
Position 3581: 0.0003678476819070149
Position 1871: 0.0003457282074397189
Position 8078: 0.000345373846951431
Position 1442: 0.00033539083472679195
Position 4184: 0.0002466457563225132
Position 3435: 0.00015119962548434357
Position 1610: 0.00013807538325087617
Position 2953: 0.0001338261275621642
Position 6457: 0.0001156274201936364
Position 958: 0.00010221192237221424
Position 4139: 9.550495502708609e-05
Position 5314: 7.748384965290769e-05
Position 2015: 7.555262855800564e-05
Position 2178: 6.31179110647053e-05
Position 548: 5.2764026597740075e-05
Position 1621: 4.925538098198341e-05
Position 1022: 4.600685587052024e-05
Position 1185: 4.52982309478468e-05
Position 1347: 3.163021601793457e-05
Position 1652: 3.0088506602263297e-05
Position 353: 2.8116592395216214e-05
Position 550: 2.779854166005966e-05
Position 1654: 2.704540101975761e-05
Position 447: 2.6934375606244814e-05
Position 1650: 2.556634917530361e-05
Position 1648: 2.4659086204845744e-05
Position 1212: 2.3340123127620113e-05
Position 201: 2.301287797165874e-05
Position 1656: 2.2677565515063905e-05
Position 2775: 2.1389480738377862e-05
Position 4308: 2.1306838497903986e-05
Position 1694: 2.0415864796928347e-05
Position 1646: 2.0353533604823308e-05
Position 143: 1.975621411627254e-05
Position 1641: 1.9035873752092143e-05
Position 1658: 1.7957127657287526e-05
