Gene = Lactb2
index = 615
Annotated 5SS: [  218  9826 13162 22316 30482 33191]
Annotated 3SS: [ 9661 13034 22136 30332 33108 33641]
SMsplice 5SS: [  218  9826 22316 30482]
SMsplice 3SS: [ 9661 22043 30332 33108]
top_k =  500
Partition function (log Z): -17.646147754454187

Sorted 5' Splice Sites (High to Low Probability):
Position 9826: 0.9997012502281473
Position 22316: 0.8674477856314416
Position 218: 0.8628974859722204
Position 12889: 0.7080385841027255
Position 13162: 0.6262281676252888
Position 8950: 0.5160678405140886
Position 10142: 0.4115187213897559
Position 14477: 0.3404634595659962
Position 15631: 0.19498807045408975
Position 7779: 0.1542160018086027
Position 658: 0.10064099859079959
Position 7537: 0.09777775005577416
Position 3140: 0.08135387317524259
Position 84: 0.07346820212342434
Position 10446: 0.05510192540367227
Position 8044: 0.053754757911553847
Position 480: 0.04386611021807438
Position 141: 0.04306292860339682
Position 9312: 0.041883648458103134
Position 3928: 0.0322263527377144
Position 556: 0.03000575044564043
Position 10333: 0.027780892121329455
Position 402: 0.02198510714532649
Position 13219: 0.014951632906576336
Position 8946: 0.014762782876727531
Position 3368: 0.013592109368366141
Position 2653: 0.011770966838243621
Position 13215: 0.011706735132742995
Position 5060: 0.009410514247079147
Position 6363: 0.008880789819527637
Position 1544: 0.005849191637652532
Position 6757: 0.005491220765639829
Position 1993: 0.005262705894422835
Position 3655: 0.0052274395111054734
Position 7308: 0.003519664210837988
Position 2047: 0.003186467413548902
Position 830: 0.0030728559630524965
Position 3659: 0.0030010158751372627
Position 4973: 0.0029691934732923963
Position 654: 0.0026657792736112782
Position 3018: 0.002467347409574235
Position 470: 0.0019495279195831567
Position 521: 0.0019366716340101136
Position 5136: 0.0018735731638369446
Position 1189: 0.001757868889975083
Position 201: 0.0017513199532232795
Position 16144: 0.0016540699196785419
Position 194: 0.0013277428575367816
Position 328: 0.0007701788351021012
Position 138: 0.000299668660017076
Position 1986: 0.00016548161935454132
Position 66: 0.00013763453230834766
Position 166: 0.0001366697476550703
Position 391: 0.00013086290707499303
Position 1156: 9.353666553710962e-05
Position 75: 6.242583683832657e-05
Position 2105: 5.610229272511411e-05
Position 2010: 5.0230589405287535e-05
Position 299: 4.8767794479624025e-05
Position 35: 4.433465253162026e-05
Position 695: 4.0304194510319546e-05
Position 1317: 2.7811162744249102e-05
Position 258: 2.716551646942933e-05
Position 1186: 2.7064258019542666e-05
Position 2037: 2.6113254555226472e-05
Position 3128: 2.473388455837026e-05
Position 128: 2.1697730649360996e-05
Position 50: 1.977461246589676e-05
Position 149: 1.340428533743612e-05
Position 253: 1.1933224439495481e-05
Position 133: 1.0460174777145052e-05
Position 2996: 9.166070095964201e-06
Position 326: 3.71733383736452e-06
Position 147: 1.6007772611939485e-06
Position 1528: 8.196308661678402e-07
Position 887: 7.839638490948477e-07
Position 394: 6.302084492637183e-07
Position 413: 5.984881143109847e-07
Position 526: 5.713512969898071e-07
Position 420: 5.239449320594132e-07
Position 1199: 3.7748842660661623e-07
Position 1749: 3.3784282457487595e-07
Position 352: 3.3019444804919547e-07
Position 1331: 3.071957912947682e-07
Position 798: 2.206457291040993e-07
Position 424: 1.8338263997941439e-07
Position 549: 4.402072374794467e-08
Position 592: 2.206305987388338e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 22043: 0.9479577331080759
Position 9661: 0.8662786378702286
Position 12780: 0.7211975817388779
Position 28097: 0.5491611970621815
Position 8778: 0.530962074547195
Position 13034: 0.40359302005685244
Position 14348: 0.3459643910526758
Position 15517: 0.19560153658150733
Position 390: 0.1861461941896575
Position 9930: 0.18039125589066415
