Gene = RpL14
index = 1435
Annotated 5SS: [ 32 410 837]
Annotated 3SS: [ 307  641 1096]
SMsplice 5SS: [410 837]
SMsplice 3SS: [ 641 1096]
length: 1387
Partition function (logZ) = 2.148890617204501
#Introns = 1103
5SS, 3SS, prob
837, 1096, 0.9649164682227196
410, 641, 0.9532576085802292
32, 307, 0.15045289673648954
132, 307, 0.11023435469515717
136, 307, 0.025534832446001337
1319, 1377, 0.018614945940469283
410, 497, 0.017223186560294007
1294, 1377, 0.013363914097246903
132, 209, 0.011975465721664176
32, 83, 0.009964075087211723
798, 1096, 0.009868356629222494
32, 641, 0.006276823113255211
410, 680, 0.006175622671259999
871, 1096, 0.005865566189268958
167, 307, 0.005520752108992747
136, 209, 0.004776619730768353
132, 641, 0.003700052249917062
410, 1096, 0.0033081381380978647
573, 641, 0.003209871473378439
215, 307, 0.0031712919134057995
837, 1129, 0.0029113812866318244
837, 924, 0.0027608805293521544
48, 307, 0.0025853846066219034
32, 209, 0.002567584680961424
837, 1056, 0.0025423067645330543
837, 1032, 0.0017207737130298612
809, 1096, 0.0016993287966436815
20, 307, 0.0014526252647313268
410, 713, 0.0014078843238970367
837, 974, 0.0013888280713467195
410, 688, 0.0010922921785078011
149, 307, 0.0010041535162870195
136, 641, 0.0009583737840438286
147, 307, 0.0008766901023504574
410, 548, 0.0007844495355802081
209, 307, 0.0007381190135621719
72, 307, 0.0006924143178901564
455, 641, 0.0006400150943492523
175, 307, 0.000614319496999298
410, 651, 0.0005877725531538711
841, 1096, 0.0004741577087476753
218, 307, 0.00043865852461327277
149, 209, 0.0004113660148695348
410, 544, 0.0004018804327629521
410, 725, 0.00037058161884614147
147, 209, 0.0003618255179132579
879, 1096, 0.00030971558913358465
32, 165, 0.0002977237905691013
1011, 1096, 0.00023544496106091904
648, 713, 0.000231190057925521
414, 641, 0.00021689893348070838
62, 307, 0.00020656612751435502
20, 83, 0.00020275137087579783
1039, 1096, 0.00019923874623899642
889, 1096, 0.00017813960963734943
32, 156, 0.00014922385437762012
167, 641, 0.00012312702040864832
434, 641, 0.00011153135239924245
48, 641, 9.76652002923457e-05
871, 924, 9.738374100010649e-05
600, 680, 8.406708960338363e-05
837, 1036, 7.872425324243118e-05
410, 606, 7.652172862593337e-05
1294, 1351, 7.094516717350675e-05
86, 307, 7.006908721454361e-05
837, 892, 6.07190082794626e-05
567, 641, 5.973037663965091e-05
837, 1377, 5.9140603359413334e-05
429, 641, 5.894825367062878e-05
167, 209, 5.855487038039064e-05
48, 209, 5.827922343980508e-05
501, 641, 5.4592136782907106e-05
837, 1011, 5.432374314150716e-05
410, 524, 5.1342676390211836e-05
606, 680, 5.05051271650794e-05
865, 1096, 4.6392076657913936e-05
528, 641, 4.326706570198365e-05
20, 641, 4.2982618066430375e-05
221, 307, 4.1951827703453417e-05
964, 1096, 3.842128061959881e-05
215, 641, 3.734746870759457e-05
1269, 1377, 3.68572308122179e-05
140, 307, 3.606221160374074e-05
32, 1096, 3.498041376165955e-05
32, 346, 3.21190813846942e-05
149, 641, 3.061621412430086e-05
132, 680, 2.9286222531838385e-05
147, 641, 2.722427037056755e-05
72, 641, 2.6564514819190383e-05
32, 680, 2.6416074964597822e-05
132, 346, 2.5902462834889694e-05
32, 101, 2.5547620677717777e-05
32, 124, 2.3364511074012817e-05
903, 1096, 2.3246380243720958e-05
20, 209, 2.2288074691926622e-05
