Gene = FKBP15
index = 557
Annotated 5SS: [  171  9885 14150 14853 18401 18831 21548 22507 24430 27335 27870 30891
 32973 33569 35113 36667 37070 37611 38596 42732 44825 46934 47909 49781
 50840 52138 52902]
Annotated 3SS: [ 9768 14064 14782 18325 18731 21397 22437 24282 27191 27811 30782 32869
 33461 34997 36556 36961 37515 38492 42559 44687 46777 47755 49654 50731
 51418 52804 55205]
SMsplice 5SS: [  171  9885 14150 18401 18831 21548 24430 27335 29546 30891 32973 33569
 36667 37070 37621 38391 38596 42732 44825 46934 47909 49781 50840 52902]
SMsplice 3SS: [ 9768 14064 18325 18731 21397 24346 27191 29434 30782 32869 33461 36556
 36961 37515 38284 38492 42613 44687 46777 47755 49654 50731 52804 55205]
top_k =  1000
Partition function (log Z): 43.38587058356085

Sorted 5' Splice Sites (High to Low Probability):
Position 21548: 0.9996155675445176
Position 44825: 0.9967185947814355
Position 171: 0.9885892859533474
Position 50840: 0.98856936433309
Position 38596: 0.9793403973900757
Position 32973: 0.9704003428507745
Position 46934: 0.9680958087246235
Position 49781: 0.9653455738115853
Position 24430: 0.9648370841619932
Position 18831: 0.9540591264725695
Position 14150: 0.9480477087514434
Position 37070: 0.9434562949328053
Position 42732: 0.9223871235759081
Position 9885: 0.888373244902158
Position 47909: 0.8784494035918057
Position 30891: 0.8707966084548728
Position 38391: 0.8424700971385986
Position 18401: 0.7335529681755184
Position 36667: 0.7333157861708198
Position 33569: 0.7042491398417144
Position 27335: 0.6836032176508575
Position 37621: 0.6776554097489311
Position 52902: 0.6716986490736716
Position 29546: 0.608322566387629
Position 22507: 0.4966720754225264
Position 55528: 0.4805662966931084
Position 27870: 0.3973308084255988
Position 14853: 0.3949027422994169
Position 39041: 0.3645071983000115
Position 2030: 0.3070193607301605
Position 52138: 0.28861951427173993
Position 21050: 0.28203161529351134
Position 48384: 0.2810978377564567
Position 55385: 0.2664229904867791
Position 37611: 0.23429255249261072
Position 38786: 0.22454632957149998
Position 35113: 0.17829607377712267
Position 17461: 0.1747683771984616
Position 55307: 0.1603554001613539
Position 51884: 0.1418929315110682
Position 26811: 0.13040501021420106
Position 47063: 0.12837119647208697
Position 34626: 0.12350334919573566
Position 22358: 0.1189515699976791
Position 55374: 0.1142970471639943
Position 53336: 0.10793246383070061
Position 33936: 0.09297140251581355
Position 20077: 0.09184991819111923
Position 30545: 0.08799123186894463
Position 35008: 0.08646351756338823
Position 4990: 0.08314948972464607
Position 50516: 0.07946144544100078
Position 30437: 0.07609452062344375
Position 54905: 0.07568994343272771
Position 1819: 0.06712525297098346
Position 38060: 0.06629006944026218
Position 43677: 0.06562092304918168
Position 34885: 0.0626571697848357
Position 787: 0.06231990572276393
Position 19892: 0.06110713568376994
Position 53651: 0.059332183525109626
Position 45360: 0.057650508579430326
Position 13150: 0.053584175913646004
Position 16333: 0.05174816135289179
Position 15723: 0.050992680490654974
Position 12932: 0.04968109316647308
Position 14440: 0.04821291826444213
Position 24746: 0.04443683238326045
Position 47204: 0.04409331579095626
Position 7597: 0.04370962207017911
Position 357: 0.04228425997872625
Position 5379: 0.0387987006114904
Position 46698: 0.03824071254936298
Position 18515: 0.03710891780421256
Position 46132: 0.03681133764259322
Position 8835: 0.03250087167500981
Position 8549: 0.03241431673830034
Position 7634: 0.032130949734256
Position 8813: 0.03193018454579926
Position 17125: 0.028049526552474977
Position 36734: 0.02592083591461388
Position 30676: 0.025767704629707282
Position 51529: 0.025719608827153483
Position 33231: 0.025560741325473695
Position 20081: 0.02545658767265977
Position 30431: 0.02518862332402634
Position 20576: 0.025145895797383883
Position 3113: 0.024989875630142374
Position 47855: 0.02349759079228347
Position 13499: 0.023245329034538822
Position 45458: 0.022605238787200856
Position 26047: 0.021413661728578975
Position 24421: 0.021256028844553986
Position 38781: 0.018284182703856684
Position 46204: 0.017927112009644787
Position 22687: 0.017273133385037102
Position 52184: 0.017108633542397007
Position 22909: 0.017056286824609537
Position 17208: 0.016656298212151574
Position 18593: 0.016156895705144485
Position 49845: 0.015713973455217016
Position 37132: 0.015220296563072831
Position 36730: 0.014951522634268707
Position 8810: 0.014568777554419323
Position 52356: 0.014443438409269984
Position 47891: 0.014086599552922392
Position 50615: 0.013761132302452891
Position 32792: 0.013724107902367255
Position 55555: 0.013526116786403919
Position 23259: 0.013009530435930656
Position 8845: 0.012424986288523504
Position 773: 0.012121639895129058
Position 8820: 0.012101415112149114
Position 18121: 0.012023313753483023
Position 5312: 0.01165764418007363
Position 38625: 0.01136333097949866
Position 19762: 0.011357563099355816
Position 54111: 0.01125242337965249
Position 49285: 0.01087830220305945
Position 672: 0.010654097238696697
Position 25312: 0.010641299504961075
Position 10782: 0.010333827899371133
Position 22827: 0.00986655220813322
Position 21137: 0.009752879685165755
Position 45930: 0.009188054888431815
Position 15636: 0.009104826533473493
Position 34153: 0.008965354210565173
Position 23290: 0.008541240255158762
Position 48523: 0.008119317189507773
Position 52417: 0.008112506313078076
Position 28912: 0.008097837219190891
Position 51611: 0.008037838046297666
Position 52404: 0.007854785367257259
Position 14200: 0.0076723945480495995
Position 10557: 0.007582590174245287
