Gene = PINK1
index = 1031
Annotated 5SS: [  481  4675  6538 11218 12269 15178 15777]
Annotated 3SS: [ 4386  6436 11034 12104 15049 15539 16978]
SMsplice 5SS: [  481  4675  6538 11218 12269 12526 15178 17923]
SMsplice 3SS: [ 4386  6436 11126 12104 12450 15049 17826 18003]
top_k =  500
Partition function (log Z): 3.6034754435843075

Sorted 5' Splice Sites (High to Low Probability):
Position 6538: 0.9918728705997569
Position 481: 0.9693210470099353
Position 12269: 0.9679733644273026
Position 15178: 0.9130738101588017
Position 11218: 0.7589291500324343
Position 12526: 0.6350522421446934
Position 4675: 0.6251772399336247
Position 15777: 0.49015541464901397
Position 17923: 0.4343447012095581
Position 4487: 0.32675308876411724
Position 5587: 0.11426430364478486
Position 15135: 0.08465477294176234
Position 4589: 0.08074696600899098
Position 15744: 0.07599347526010493
Position 100: 0.07571775882121282
Position 17307: 0.04221104018415732
Position 11645: 0.032103596435010234
Position 15493: 0.028560447077032522
Position 12314: 0.024454470269932808
Position 5688: 0.022807486920315798
Position 5053: 0.020999523913509514
Position 10847: 0.02026112205153663
Position 8837: 0.018770645532014282
Position 15471: 0.017785683993160384
Position 15844: 0.014018003497564253
Position 17764: 0.014013508088958125
Position 1530: 0.013718089974029032
Position 848: 0.013275573032125641
Position 12636: 0.012869242800322337
Position 9776: 0.011955266669619349
Position 8142: 0.010844012666316754
Position 11803: 0.01050560660898061
Position 352: 0.01007606322428598
Position 212: 0.009259017445381242
Position 5172: 0.009154048815151975
Position 5953: 0.008899359527274516
Position 768: 0.007925544546179771
Position 15732: 0.007840002409985692
Position 214: 0.0077488868856459645
Position 5360: 0.007560997325342719
Position 15892: 0.007426983038337464
Position 5035: 0.00694427194509871
Position 8903: 0.006740132604214991
Position 7610: 0.006458260496150234
Position 11742: 0.006302674214197307
Position 4738: 0.006231180306551066
Position 4895: 0.006121253092019591
Position 12826: 0.005471043185334334
Position 5735: 0.005226500705928604
Position 6709: 0.0052154757028127705
Position 10476: 0.004602436195521319
Position 4549: 0.004569212407428841
Position 10208: 0.0044765743174794365
Position 9752: 0.004418409510303483
Position 15849: 0.004268486140356782
Position 134: 0.004018985951973054
Position 807: 0.00396220101943314
Position 16129: 0.0031578758478348332
Position 17768: 0.002857230602982114
Position 13980: 0.0028344436880515336
Position 6322: 0.0027368848566689742
Position 17772: 0.0025043521923360196
Position 11821: 0.0024507764183712756
Position 17944: 0.001983433098332536
Position 4105: 0.0018727129361713626
Position 1267: 0.0017709873929278523
Position 17869: 0.0017356450409488702
Position 5164: 0.0016957386370380794
Position 13572: 0.0016914027141139434
Position 5220: 0.001682076589236654
Position 227: 0.0016606887446132055
Position 7006: 0.0014565671244838544
Position 16287: 0.0014555262885688318
Position 15716: 0.0014303742683775772
Position 5526: 0.001429418628123312
Position 4464: 0.0013443397974215883
Position 15806: 0.001340245963314785
Position 13326: 0.0013275209398777004
Position 12744: 0.001254583214242894
Position 4248: 0.0011599526167365415
Position 13173: 0.0010670412175453087
Position 268: 0.0010527797552069473
Position 14294: 0.0010113986244573282
Position 16634: 0.0008647412084326004
Position 345: 0.0008617407117419332
Position 12561: 0.0008531326909058261
Position 13008: 0.0006699261675823937
Position 15540: 0.000655898230276419
Position 15380: 0.0006400435190697348
Position 12318: 0.0005442050167501358
Position 12690: 0.0004198258281026131
Position 548: 0.00041945678237523655
Position 1312: 0.000389745030460171
Position 15189: 0.0003766988729215128
Position 564: 0.000328428771862495
Position 19: 0.0003136145253463746
Position 495: 0.00027999802769229605
Position 46: 0.00024110757607610027
Position 4792: 0.00023319223080685273
Position 4762: 0.00020294869637949757
Position 4758: 0.00019865814863516106
Position 3209: 0.00016905649558932224
Position 2379: 0.00016903861740851005
Position 1833: 0.0001652023860675659
Position 2481: 0.00013962168977955139
Position 5239: 0.00011772531909787332
Position 7250: 8.832872118615925e-05
Position 12347: 8.50383046967556e-05
Position 536: 5.901230516444218e-05
Position 4887: 4.929577255712126e-05
Position 7777: 4.5302041851663866e-05
Position 4030: 3.764769201820027e-05
Position 15740: 3.5313774707105384e-05
Position 26: 3.508822491948471e-05
Position 6617: 3.381209170510251e-05
Position 7352: 3.119621933957697e-05
Position 49: 2.3283285641922825e-05
Position 4509: 2.097547193114666e-05
Position 309: 1.6375177522364974e-05
Position 290: 1.4518621692494713e-05
Position 6844: 1.1967813037479099e-05
Position 313: 8.045890288326925e-06
Position 13125: 7.151506749862762e-06
Position 752: 3.5721145467002346e-06
Position 349: 3.373868535833426e-06
Position 8162: 2.096642150806346e-06
Position 1376: 1.6978117021198757e-06
Position 7689: 1.601019618143857e-06
Position 23: 1.1377390126828663e-06
Position 333: 9.89212853871402e-07
Position 457: 8.809265867808152e-07
Position 607: 7.629069311649881e-07
Position 467: 4.4421946843997736e-07
Position 1218: 1.937463851916412e-07
Position 15404: 7.007373108797541e-08
Position 15139: 6.352514576103507e-08
Position 391: 2.0355299805299464e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 15049: 0.9673520099194328
Position 6436: 0.9323259387731735
Position 12104: 0.8538768144919062
Position 4386: 0.6541270986846925
Position 12450: 0.6434268041494421
Position 11126: 0.5084394458814845
Position 18003: 0.5062718648277148
Position 15565: 0.4803711179602942
Position 17826: 0.40144697979325406
Position 16978: 0.3296043570076089
Position 4576: 0.13734452606572978
Position 4349: 0.127776827658366
Position 15656: 0.12597926065491205
Position 5431: 0.11543066041273582
Position 11177: 0.10902141296161842
Position 10984: 0.10147601271599718
Position 309: 0.08770693464984007
Position 4539: 0.08511789586508339
Position 12180: 0.07664040942141996
Position 17863: 0.07274327232117711
Position 6440: 0.05363230563759168
Position 15539: 0.04758935368247341
Position 15350: 0.046863241312001584
Position 4870: 0.04607688196196821
Position 11610: 0.03316319458382352
Position 15076: 0.028529907662112365
Position 12126: 0.0256939474662117
Position 12149: 0.02547477929633295
Position 10636: 0.020330771683885702
Position 11034: 0.017061277950565563
Position 8716: 0.016998110169569827
Position 17118: 0.016057814997948196
Position 10970: 0.015919515866626224
Position 17570: 0.01569753348787069
Position 9662: 0.014998409944359664
Position 16196: 0.014455692919289116
Position 4656: 0.01327981248968128
Position 18023: 0.01280795017714311
Position 11576: 0.011403724616193732
Position 12213: 0.011371222108229691
Position 5586: 0.010840690658191189
Position 4401: 0.010800282936787139
Position 703: 0.010514866647897083
Position 1375: 0.010384233465919036
Position 5455: 0.010167898089535663
Position 8064: 0.009492266712212772
Position 17228: 0.008175375606272763
Position 5276: 0.00796010206313999
Position 16006: 0.007666522090557454
Position 12422: 0.00718154514228009
Position 11215: 0.006941835023793455
Position 10115: 0.006863822352418573
Position 721: 0.006831113116419098
Position 15446: 0.006606148950135355
Position 15836: 0.006391631618993867
Position 7594: 0.006244160352081697
Position 15682: 0.005774495355273472
Position 11558: 0.00570472987924632
Position 4516: 0.005681710156927344
Position 17943: 0.0047277148672678964
Position 15583: 0.00460127757131743
Position 6271: 0.004472683197807593
Position 17814: 0.00443140582868954
Position 18036: 0.004424109511481536
Position 5862: 0.0043297803183815434
Position 6610: 0.004229242360626674
Position 12387: 0.0041095816210125
Position 8765: 0.003939938430290287
Position 17426: 0.003817429672263815
Position 8595: 0.0034550529783243236
Position 16778: 0.0034263458787852233
Position 5905: 0.0031588562715197882
Position 5609: 0.0029773074405383005
Position 16387: 0.0028111108730628147
Position 1471: 0.002800942652541554
Position 15570: 0.002744607934161855
Position 17197: 0.0026373530897250185
Position 13785: 0.002601453674711787
Position 6321: 0.002561684579019421
Position 4582: 0.0024725539329736356
Position 4143: 0.00244943686117941
Position 16628: 0.002017446189968468
Position 4436: 0.001914966775258282
Position 12942: 0.0018690246613938199
Position 15379: 0.00161075232014733
Position 16445: 0.0015746401935992904
Position 5655: 0.0015642656363808202
Position 6188: 0.0014869853881237733
Position 15302: 0.0014582176160114072
Position 15603: 0.0014292035706807323
Position 16569: 0.0014072313935268963
Position 10313: 0.0013225485495886068
Position 9537: 0.0013201709897559823
Position 15117: 0.0011959915973368928
Position 4588: 0.0011924470285008622
Position 5499: 0.0011659884083594736
Position 4499: 0.0011589654087787974
Position 13469: 0.001157948880838257
Position 6888: 0.0011413440243143998
Position 11640: 0.001091004597295836
Position 13230: 0.0010905621881299777
Position 4446: 0.0010754574504949932
Position 8103: 0.001026894991920763
Position 17922: 0.0009215746777182993
Position 10162: 0.0008926396109935782
Position 8423: 0.0008386352125483891
Position 15720: 0.0008106188882076341
Position 15662: 0.0008093632379555597
Position 4474: 0.0007940734036958422
Position 14848: 0.0007890192333317221
Position 412: 0.000783980953640707
Position 5809: 0.0007829785670318417
Position 4006: 0.0007568341394160927
Position 14197: 0.0007415067905282406
Position 3871: 0.0007398994733495862
Position 5364: 0.0007165481901588418
Position 12371: 0.0007055937135943219
Position 6675: 0.0006751014757383528
Position 4603: 0.0006500782285137289
Position 18007: 0.0006283360949563945
Position 339: 0.0005778507820141171
Position 15416: 0.0005677650225868712
Position 13449: 0.0005334538332756859
Position 12678: 0.0005186037880688917
Position 15239: 0.0005180921262823247
Position 18041: 0.000485168827362125
Position 1139: 0.00046578163625697415
Position 17201: 0.0004563407786792609
Position 4702: 0.00045148314837789317
Position 6359: 0.00044651060475268495
Position 4754: 0.0004251594692833051
Position 16061: 0.00039371968850199224
Position 587: 0.0003578762874054632
Position 4829: 0.0003469581856998011
Position 16945: 0.0003393649365247689
Position 16954: 0.00033465267078693794
Position 5890: 0.00032901324852269826
Position 4937: 0.00031240974411797534
Position 2145: 0.00030866030718806144
Position 1106: 0.0003013380216574622
Position 5734: 0.0002987311218186429
Position 4406: 0.00029430452518411143
Position 8726: 0.0002790413454964546
Position 6821: 0.0002718789882689541
Position 15131: 0.00025713745512572205
Position 7986: 0.0002521901973562595
Position 15175: 0.00025028313085152185
Position 14887: 0.0002496076784429569
Position 15353: 0.00023137326114772063
Position 438: 0.00022995606692674943
Position 7435: 0.00020054997819525698
Position 1154: 0.00019545887605688876
Position 1076: 0.00019491922172511572
Position 12482: 0.00017934950036503733
Position 806: 0.00016009376449082385
Position 3794: 0.00015134070240354993
Position 4014: 0.00014945781066479357
Position 14884: 0.00014661107446595456
Position 1577: 0.00014373343201225868
Position 14036: 0.00013498656918830461
Position 14200: 0.00013490526474078268
Position 13790: 0.00012100858544914281
Position 4061: 0.00011282850235554052
Position 13865: 0.00011198142789060287
Position 13160: 0.00011160364549041303
Position 391: 0.00010481586894734442
Position 12452: 8.972790601588592e-05
Position 733: 8.4259888773292e-05
Position 244: 7.885638411363579e-05
Position 3070: 7.683372242556509e-05
Position 563: 6.843304840770178e-05
Position 266: 6.2063776173514e-05
Position 810: 5.79056794971564e-05
Position 345: 5.711078308058928e-05
Position 1423: 5.693481149263974e-05
Position 9632: 5.5095245807186895e-05
Position 1116: 5.410752588887154e-05
Position 934: 5.3373071007606355e-05
Position 5238: 5.310646880882035e-05
Position 8003: 5.132103383637111e-05
Position 616: 4.891545155835568e-05
Position 7121: 4.4902387674944065e-05
Position 1307: 4.256677436250223e-05
Position 15392: 4.133361367309759e-05
Position 15676: 4.0633264618565594e-05
Position 1380: 3.9865873490549916e-05
Position 7467: 3.774619853076684e-05
Position 15210: 3.4681427454471805e-05
Position 3073: 3.357689948474012e-05
Position 2871: 3.279484020290197e-05
Position 14978: 3.2356563585703374e-05
Position 1336: 3.1937513601161386e-05
Position 658: 3.0667977474632265e-05
Position 471: 3.035586121816672e-05
Position 7208: 2.836087602192727e-05
Position 1160: 2.7032210307295892e-05
Position 2916: 2.585103347611499e-05
Position 14786: 2.5707942754843572e-05
Position 15128: 2.5381163913692718e-05
Position 6559: 2.4858796220039402e-05
Position 8006: 2.3436373141390298e-05
Position 5060: 2.3425124027672064e-05
Position 429: 2.2795642481621928e-05
Position 1771: 2.1468954055307025e-05
Position 4166: 2.145909253042339e-05
Position 835: 2.012852829989952e-05
Position 738: 1.998156115059399e-05
Position 6787: 1.7256568521855866e-05
Position 6912: 1.6311035062013074e-05
Position 6640: 1.4032083365207362e-05
Position 232: 1.2511961778354584e-05
Position 7553: 1.0578799013877485e-05
Position 7173: 1.0540895669666902e-05
Position 7145: 1.0000330059392683e-05
Position 4214: 9.85834054022474e-06
Position 6622: 7.441247850865895e-06
Position 7065: 7.3782086080206666e-06
Position 4832: 6.542766023834517e-06
Position 7246: 6.518662918557492e-06
Position 4786: 6.361697379521962e-06
Position 7235: 5.943164992940193e-06
Position 7656: 3.961661294351872e-06
Position 7675: 3.7643303993568795e-06
Position 6758: 3.4061240599679944e-06
Position 7096: 3.1918096012824326e-06
Position 4729: 2.8513211827280656e-06
Position 7310: 2.3461492682929005e-06
Position 15587: 1.7751992352714762e-06
Position 7102: 1.0486098505292365e-06
Position 6708: 9.722581841148815e-07
Position 12454: 9.268848514926863e-07
Position 6201: 8.632717519076773e-07
Position 6890: 8.355229182169796e-07
Position 12346: 7.152424047165922e-07
Position 6637: 6.883529637770078e-07
Position 6701: 6.261118974938044e-07
Position 12720: 6.063749765647175e-07
Position 6073: 3.078702169945118e-07
Position 1216: 2.9665380500059847e-07
Position 13250: 1.5873313280492286e-07
Position 13267: 1.4902161693286008e-07
Position 1201: 1.4484722086021495e-07
Position 13245: 1.4158199131744383e-07
Position 1156: 1.0710677630689583e-07
Position 165: 1.015661345331029e-07
Position 14684: 8.631733389708055e-08
Position 910: 7.542255212362719e-08
Position 1005: 6.229130706478038e-08
Position 1210: 6.199062874818088e-08
Position 662: 4.857662987489171e-08
Position 129: 4.712988924061121e-08
Position 1054: 4.688982225635832e-08
Position 543: 4.567282257369086e-08
Position 1172: 3.564681115473176e-08
Position 444: 1.7659380510637837e-08
Position 832: 1.0956051293466789e-08
Position 12493: 9.202958377328452e-09
Position 593: 8.26704797288255e-09
Position 225: 6.409546400979447e-09
Position 258: 3.325928253722774e-09
Position 108: 2.973014782968392e-09
Position 474: 1.3473869460391727e-09
Position 446: 2.5270615695212157e-10
Position 480: 1.6194746681757624e-10
