Gene = Cpr64Aa
index = 1094
Annotated 5SS: [287]
Annotated 3SS: [613]
SMsplice 5SS: [287]
SMsplice 3SS: [613]
top_k =  1000
Partition function (log Z): -5.16263596786059

Sorted 5' Splice Sites (High to Low Probability):
Position 287: 0.9600432151486715
Position 300: 0.027552466086373895
Position 203: 0.006635434670742653
Position 227: 0.003254565081570882
Position 383: 0.0028531150479171397
Position 291: 0.00045484845128076725
Position 564: 0.0004017204131851295
Position 234: 0.00024121536079313745
Position 537: 0.00022934451284971637
Position 992: 0.00022641455194073252
Position 17: 0.0002220237781058532
Position 307: 0.00022114396746914563
Position 460: 0.0001652704467402507
Position 806: 0.00014339333523033445
Position 1127: 0.00012657299766948997
Position 32: 0.00012558671406710518
Position 758: 0.00011123516313369904
Position 779: 0.00010943218774969373
Position 469: 0.00010222310169990703
Position 497: 9.013330597428546e-05
Position 1133: 7.126530422456747e-05
Position 184: 6.889474733774848e-05
Position 1136: 6.835062711067458e-05
Position 1218: 4.660449586167822e-05
Position 476: 4.2938942193737155e-05
Position 854: 3.729295054245387e-05
Position 1092: 3.066093415862923e-05
Position 281: 2.4279157135863894e-05
Position 218: 2.42538097781225e-05
Position 668: 1.772286080016765e-05
Position 1120: 1.713542297080147e-05
Position 1232: 1.4950500846961238e-05
Position 21: 1.3829319174915304e-05
Position 1130: 1.2671835197214007e-05
Position 1171: 1.1945034347037799e-05
Position 420: 1.0883876523612997e-05
Position 721: 7.730669096094855e-06
Position 665: 6.868055959454633e-06
Position 776: 5.815307870139305e-06
Position 867: 5.164583429134529e-06
Position 122: 4.571161756588716e-06
Position 9: 2.885892203815385e-06
Position 128: 1.543760737912447e-06
Position 422: 1.3272956935877777e-06
Position 130: 1.136347799299786e-06
Position 797: 1.0926268588405732e-06
Position 755: 8.503146699952391e-07
Position 314: 7.003015347229876e-07
Position 716: 6.354522961106346e-07
Position 143: 4.870531876270492e-07
Position 153: 4.4649294996042374e-07
Position 146: 4.1660272311001025e-07
Position 788: 3.3317602820329856e-07
Position 627: 2.7433725071001746e-07
Position 845: 2.2738610880882087e-07
Position 632: 1.9551972415585626e-07
Position 1142: 1.887966079987413e-07
Position 140: 1.4634844967213816e-07
Position 1210: 6.864882351032641e-08
Position 737: 1.921464738256056e-08
Position 43: 8.532526877412547e-09
Position 107: 5.775276220696685e-10
Position 79: 7.526353855167753e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 613: 0.9453787917187825
Position 515: 0.018179656579444
Position 406: 0.01608006461683854
Position 343: 0.010192293776280387
Position 564: 0.007026788384422343
Position 1299: 0.0030050181414298443
Position 273: 0.0008816807603309746
Position 497: 0.0007741558832809895
Position 544: 0.0003836650142755407
Position 853: 0.00035914745087829535
Position 755: 0.0003354566971254864
Position 84: 0.0003173772153158464
Position 1192: 0.00021183465127199024
Position 637: 0.00017929896230703006
Position 437: 0.00015825553976547103
Position 649: 8.367956853578144e-05
Position 329: 5.723142009716784e-05
Position 432: 3.674341179543213e-05
Position 523: 3.471044468736311e-05
Position 646: 2.6356023958127562e-05
Position 72: 2.4623246415504058e-05
Position 420: 2.0338579235843718e-05
Position 1210: 2.0094942757517612e-05
Position 1092: 1.7003811478445996e-05
Position 94: 1.4906435773875277e-05
Position 643: 1.0407399293093598e-05
Position 673: 8.62431482625843e-06
Position 805: 6.92789574757898e-06
Position 531: 6.578533930533205e-06
Position 952: 5.650904453574175e-06
Position 1218: 5.030876947302534e-06
Position 1130: 3.7975689829565664e-06
Position 992: 3.3658297437367552e-06
Position 1136: 3.3303204319174093e-06
Position 1142: 2.924468891500831e-06
Position 996: 1.6868555410454434e-06
Position 1120: 1.4180915097470524e-06
Position 1096: 1.2182067303986837e-06
Position 376: 1.2004150150548114e-06
Position 469: 1.164946785674625e-06
Position 1262: 8.194990864326856e-07
Position 226: 5.481122618912293e-07
Position 784: 5.121309957300825e-07
Position 295: 4.639311770821941e-07
Position 721: 4.31895750799095e-07
Position 657: 4.04068988334363e-07
Position 1154: 1.5900373701329083e-07
Position 694: 1.5389016995021632e-07
Position 202: 1.1002846364886469e-07
Position 314: 6.091528799394727e-08
Position 307: 2.0361839395220415e-09
Position 114: 1.7499565393858839e-09
Position 304: 1.5056828423743526e-09
Position 291: 3.2126434673879224e-14
Position 241: 5.236963865492447e-15
Position 465: 1.1712143289750233e-15
