Gene = AT4G32770
index = 1014
Annotated 5SS: [ 439  984 1274 1510 1792 2039 2270 2477 2723]
Annotated 3SS: [ 738 1193 1432 1621 1940 2161 2359 2572 2826]
SMsplice 5SS: [ 439  984 1274 1510 1792 2039 2270 2477 2723]
SMsplice 3SS: [ 738 1193 1432 1621 1940 2161 2359 2572 2826]
length: 3301
Partition function (logZ) = 39.365935120771645
#Introns = 2429
5SS, 3SS, prob
2270, 2359, 0.9951026515379325
2723, 2826, 0.970635337120929
1792, 1940, 0.9441532684059912
2039, 2161, 0.9392249197863242
1510, 1621, 0.9307499636038029
439, 738, 0.9113523925377117
2477, 2572, 0.8536929496833205
984, 1193, 0.74342855884414
1274, 1432, 0.5753795052212209
984, 1227, 0.14330969732837273
2446, 2572, 0.134827902273043
1329, 1432, 0.10608729460663514
1295, 1432, 0.08887514135956452
1291, 1432, 0.07305096116478359
1262, 1432, 0.0623745140373841
1510, 1666, 0.05982452199294802
435, 738, 0.04604899591737309
984, 1161, 0.04553527872994196
2944, 3034, 0.03661446183174068
1794, 1940, 0.032713064476683616
597, 738, 0.030022514841606326
439, 538, 0.02904147384202276
2039, 2183, 0.027519422115485453
984, 1432, 0.018271730454361656
1274, 1414, 0.01753353832648828
2727, 2826, 0.01587987351510596
2944, 3266, 0.015025091052829774
2999, 3104, 0.014117612965618177
984, 1238, 0.013737622675145528
2032, 2161, 0.012646774173259543
984, 1083, 0.011908067168089013
2039, 2135, 0.011231729924848104
1310, 1432, 0.009903089450819328
1834, 1940, 0.009169193388118939
1274, 1443, 0.00910037066408992
2944, 3104, 0.008698362504105613
1274, 1360, 0.007602535008275083
2712, 2826, 0.007455979377647404
2999, 3266, 0.006341943721404695
2439, 2572, 0.005666260489523866
573, 738, 0.005281054919847328
1852, 1940, 0.005033564937875208
984, 1176, 0.004974428709096642
1329, 1414, 0.004585968893960909
984, 1208, 0.004052324101363281
1064, 1193, 0.0036802375543113254
1510, 1709, 0.0035418325752309193
781, 859, 0.003488075556724583
2944, 3055, 0.00310022312466992
1295, 1414, 0.003033463035841689
2972, 3266, 0.002839048112391375
1510, 1940, 0.0028027104993601434
263, 330, 0.0025150656782977903
2972, 3104, 0.002507822658991447
439, 573, 0.0024824898715645667
1318, 1432, 0.002373184059100283
1291, 1414, 0.0023539242322928294
1743, 1940, 0.0022156105820589638
2446, 2541, 0.002180088591567628
2670, 2826, 0.0021650626697583947
2039, 2167, 0.0020878150316523706
2944, 3220, 0.002060813491291006
1303, 1432, 0.0020309662718418875
1056, 1193, 0.001959439766035949
1342, 1432, 0.0018241139368929521
1262, 1414, 0.001783968718221958
2039, 2213, 0.0017425568869399455
1819, 1940, 0.0017372112759077595
1357, 1432, 0.0016843129021739233
129, 330, 0.0015775106616588565
2972, 3055, 0.0015675713643058236
2737, 2826, 0.0015594719766146776
475, 738, 0.0015463761663708604
2270, 2572, 0.0015063769694460272
2084, 2161, 0.0014492748114453597
657, 738, 0.0014435537349344063
218, 330, 0.00142101361883938
1295, 1443, 0.0013369684511026932
435, 538, 0.0011692670304998339
439, 789, 0.0011427259897596866
1291, 1443, 0.0011026090586706832
1262, 1443, 0.0010971903550608217
2270, 2418, 0.0010800357628648375
984, 1056, 0.0010525037944769495
1329, 1443, 0.0010513996695827108
2010, 2161, 0.0009514271484959175
1510, 1722, 0.0009508768076548102
2039, 2119, 0.0009168825865344211
2999, 3220, 0.0008698503096021367
1064, 1161, 0.0008300498240924979
3122, 3266, 0.0007846925055105966
829, 919, 0.0007001531358937225
1510, 1661, 0.0006980674382643754
2944, 3270, 0.000641714219393561
2723, 2836, 0.0006412841357068248
1262, 1360, 0.0006373293471030552
2474, 2572, 0.0006338948691979945
584, 738, 0.000633127022432817
68, 330, 0.0005972629017201315
816, 897, 0.0005864623944453964
781, 897, 0.0005677560377934205
1310, 1414, 0.0005019232570733411
781, 1193, 0.0004999119928219302
1123, 1193, 0.0004812389546859741
3122, 3220, 0.0004776218603704909
1488, 1621, 0.0004742871870478844
1792, 1898, 0.00045959520267576585
3003, 3104, 0.0004560925235794172
984, 1204, 0.0004482372984534116
984, 1414, 0.0004285316740492123
1064, 1227, 0.00041897735412520644
2032, 2183, 0.0003962551428344317
2972, 3220, 0.00038940046472274795
2723, 2860, 0.0003774064275853805
501, 738, 0.00035763627272240145
3141, 3266, 0.00035243156892282324
781, 878, 0.0003445056140851721
2071, 2161, 0.00033849582464690986
816, 919, 0.00032955118348773014
1056, 1161, 0.0003248781602338089
984, 1443, 0.00031616403445331197
2477, 2541, 0.0003144864793406968
781, 919, 0.00031259827213906354
1038, 1193, 0.0003111920028314936
1144, 1227, 0.00030983330840104404
1684, 1940, 0.00030867973594902965
2972, 3034, 0.0003046626906379215
1839, 1940, 0.0002789879313116272
2999, 3270, 0.0002708606921095818
594, 738, 0.000266227392123693
2999, 3076, 0.0002649513752669979
1056, 1227, 0.00025736187170587486
2304, 2418, 0.00023813906553783317
2270, 2459, 0.00023728439058362392
1340, 1432, 0.00023391308150206221
1792, 2161, 0.00023241016744827956
2485, 2572, 0.00023148544798358152
2944, 3036, 0.0002272412034396377
984, 1090, 0.00021338340726455112
2428, 2572, 0.00021023650248353174
439, 501, 0.0002034512760455186
622, 738, 0.00019946695366289405
829, 1193, 0.00019845359461965112
1966, 2161, 0.00019823285099775876
