Gene = LOC101739921
index = 382
Annotated 5SS: [ 151  475 1043 1438]
Annotated 3SS: [ 242  805 1312 2219]
SMsplice 5SS: [ 151 1043 1438]
SMsplice 3SS: [ 805 1312 2261]
Partition function (log Z): -3.12322530512969

Sorted 5' Splice Sites (High to Low Probability):
Position 1438: 0.9810539201870471
Position 151: 0.6865343706772743
Position 475: 0.6510976759447102
Position 1043: 0.6266810274095587
Position 695: 0.05631318534766098
Position 750: 0.05280802850876378
Position 424: 0.025756671765482814
Position 708: 0.00679122483644005
Position 26: 0.00676869559429309
Position 300: 0.006197212974061929
Position 773: 0.005665709468728321
Position 439: 0.0035553943545334624
Position 957: 0.0031578920730265226
Position 325: 0.0023838201882043723
Position 2406: 0.0023618879699968992
Position 370: 0.0016336111003576574
Position 1967: 0.0010261833044757174
Position 15: 0.0009522146823234014
Position 1419: 0.000933605882673115
Position 165: 0.0008741791644690629
Position 670: 0.0008059694924236614
Position 655: 0.0007688648648822478
Position 1919: 0.0006715263592283441
Position 1940: 0.000641259606161169
Position 1442: 0.0005561738450655979
Position 105: 0.0005304147369423059
Position 197: 0.0004778509198359694
Position 1979: 0.0004590466783558683
Position 869: 0.00043521645070146637
Position 1243: 0.0003063016529931449
Position 495: 0.00029113325187879853
Position 498: 0.00028161660162114726
Position 2447: 0.00025238033845515357
Position 434: 0.00024876178497287095
Position 343: 0.00024318473756641893
Position 2220: 0.0002307256227176051
Position 1822: 0.00022500706611970058
Position 65: 0.00022490870648482665
Position 1053: 0.00020840153154013858
Position 917: 0.00020348393252431733
Position 2069: 0.0001511468354580807
Position 2392: 0.00014723379089226645
Position 1605: 0.00013699698057089438
Position 699: 0.00011425564335497666
Position 1534: 0.0001131773678868488
Position 2006: 0.00010957063703539549
Position 927: 9.466167450677347e-05
Position 1650: 8.575425578673043e-05
Position 265: 6.419047880756455e-05
Position 2118: 4.618125441981375e-05
Position 69: 4.4863619331502425e-05
Position 1246: 3.880864653604754e-05
Position 668: 3.262939152891609e-05
Position 632: 3.2472302791025024e-05
Position 2397: 2.9344807862448354e-05
Position 659: 2.623589175420829e-05
Position 1127: 2.2311999676277102e-05
Position 1864: 1.7755962575771737e-05
Position 243: 1.5059344004435856e-05
Position 2306: 1.3901145307512758e-05
Position 1666: 1.3573172404592617e-05
Position 75: 1.2506590190515964e-05
Position 1425: 1.2037813651615112e-05
Position 937: 1.0828124468246016e-05
Position 969: 1.0411577294793957e-05
Position 155: 1.0246868195032978e-05
Position 387: 9.765364439143913e-06
Position 630: 9.694159157253573e-06
Position 1141: 9.60987292403339e-06
Position 756: 8.431734261253374e-06
Position 260: 7.910853668427752e-06
Position 2093: 7.161325269819995e-06
Position 1196: 6.038551498542005e-06
Position 596: 5.556579393302091e-06
Position 2180: 5.447693414686313e-06
Position 2275: 5.436228743853009e-06
Position 1056: 5.066883544302032e-06
Position 212: 4.453724578954787e-06
Position 1937: 4.280196982862502e-06
Position 46: 4.237020528002894e-06
Position 1563: 3.6890358827707387e-06
Position 1701: 3.2252595818440705e-06
Position 1066: 3.2231252821780397e-06
Position 1129: 3.07575786526983e-06
Position 1849: 1.958277671486814e-06
Position 2303: 1.9309642058161902e-06
Position 794: 1.9157767829781623e-06
Position 327: 1.892784346347171e-06
Position 1380: 1.7436367166558819e-06
Position 754: 1.5307459740977604e-06
Position 593: 1.0367794813338898e-06
Position 554: 1.0259587101500302e-06
Position 2148: 8.614627165135219e-07
Position 2027: 8.457661132236507e-07
Position 2458: 8.216421831812012e-07
Position 2264: 7.681927890130815e-07
Position 1362: 7.206275886483134e-07
Position 2311: 6.439552277854417e-07
Position 1794: 6.001174088809919e-07
Position 1521: 5.086221462506847e-07
Position 2374: 5.052996171638358e-07
Position 2047: 4.211143881388272e-07
Position 1692: 3.7752155987763064e-07
Position 1784: 3.3934298426695375e-07
Position 2073: 2.8380963992486973e-07
Position 517: 2.485252899117207e-07
Position 1791: 2.3311998933341647e-07
Position 1407: 2.2983292265706103e-07
Position 2337: 2.2808117920212515e-07
Position 2344: 1.8294098804685485e-07
Position 2209: 1.7097279398746857e-07
Position 2328: 1.685815090480161e-07
Position 559: 1.2960273635300185e-07
Position 1357: 1.1156379731793049e-07
Position 1786: 1.023834060741067e-07
Position 565: 8.033708652480321e-08
Position 591: 6.768847685214346e-08
Position 1674: 5.690498878205231e-08
Position 130: 4.6769561368111516e-08
Position 2470: 4.557647055373495e-08
Position 2064: 4.5097972519640706e-08
Position 2365: 4.255165095294429e-08
Position 1528: 4.001418958192439e-08
Position 2226: 3.667690220126e-08
Position 1759: 3.6011171267152745e-08
Position 1633: 3.0135928502035696e-08
Position 246: 2.7947529322190338e-08
Position 1737: 1.7745763755693212e-08
Position 1325: 1.7186123929979342e-08
Position 2041: 9.954314707192804e-09
Position 1869: 8.78921203969549e-09
Position 1359: 8.64154037284736e-09
Position 1803: 8.147728513690927e-09
Position 556: 5.340725469796766e-09
Position 2254: 3.2016904683286453e-09
Position 2240: 4.806241316018175e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1312: 0.9844966846494282
Position 2261: 0.7531976083439346
Position 242: 0.38620899099243394
Position 805: 0.3853180968742251
Position 572: 0.16817638878471372
Position 836: 0.14607954690517957
Position 2219: 0.0755316195383121
Position 1754: 0.028791823099158523
Position 2206: 0.024140956598406236
Position 1737: 0.022820453832685033
Position 2209: 0.02036866321591278
Position 2084: 0.019879149825483413
Position 887: 0.018499810612521272
Position 2348: 0.016950109665654495
Position 293: 0.014187481570793031
Position 1295: 0.008869885250168078
Position 252: 0.008663665717209683
Position 2161: 0.007470240042438608
Position 2384: 0.006972366040724454
Position 324: 0.004544785688299169
Position 2144: 0.0025456287191478397
Position 962: 0.0023473790578619302
Position 2518: 0.001978221667989281
Position 265: 0.0017449005816449197
Position 927: 0.0016903370753079672
Position 1505: 0.0016871714948262326
Position 269: 0.0015445428722521831
Position 2226: 0.0014647845443797318
Position 722: 0.001379886164415376
