Gene = ssp6
index = 1893
Annotated 5SS: [ 624 2560]
Annotated 3SS: [2196 2619]
SMsplice 5SS: [ 624 2560]
SMsplice 3SS: [2196 2619]
top_k =  1000
Partition function (log Z): -4.7400247941366045

Sorted 5' Splice Sites (High to Low Probability):
Position 624: 0.9789121490843842
Position 2560: 0.9614851467363001
Position 2705: 0.469517245136105
Position 3800: 0.33471950128824673
Position 4117: 0.06676958065806234
Position 2750: 0.0630805227623581
Position 5131: 0.055520895237784265
Position 4548: 0.04395640874699336
Position 5207: 0.03716372362026881
Position 2098: 0.025077941664377528
Position 2095: 0.012653177090835707
Position 2530: 0.012560803325222063
Position 2150: 0.010982980097309192
Position 2551: 0.010711149587173698
Position 2565: 0.009338845234821355
Position 1494: 0.007745834123033043
Position 2689: 0.006963894177401936
Position 2887: 0.005874293818730936
Position 3337: 0.005274064272434661
Position 614: 0.004853636066111806
Position 4768: 0.004817239335943593
Position 232: 0.003370036296030877
Position 195: 0.003299880643712862
Position 1775: 0.0032252937973249116
Position 2012: 0.003168558972560754
Position 3481: 0.002749607023009897
Position 2809: 0.0023092335095546016
Position 811: 0.002077066958686363
Position 2549: 0.0020518846978201735
Position 2122: 0.001999097105920772
Position 1964: 0.0018875116114589624
Position 3709: 0.0018230049868836135
Position 1746: 0.0014270460693858902
Position 2276: 0.0013623823295749978
Position 426: 0.0012799690180028383
Position 2394: 0.0011874515693400798
Position 2402: 0.0011825146325620817
Position 642: 0.0010137143202624975
Position 5222: 0.0009355120092555822
Position 1543: 0.0008528015290477143
Position 774: 0.0008490595799351545
Position 2000: 0.0008169694844343812
Position 2816: 0.0007662612883157713
Position 968: 0.0006467396457452697
Position 281: 0.000544034618172371
Position 1221: 0.0004900802611277551
Position 966: 0.0004091881772155702
Position 2724: 0.0003942637927586273
Position 3845: 0.000372024532676487
Position 189: 0.0003650824009335468
Position 751: 0.00029963507274144034
Position 4611: 0.00029897912583528696
Position 1893: 0.0002803885110363963
Position 5297: 0.00027327897659010176
Position 244: 0.0002358896348462087
Position 238: 0.0002313323746285743
Position 5179: 0.00020538536134867064
Position 174: 0.00018395200129653854
Position 1599: 0.0001804730754056631
Position 1934: 0.00018037358610096044
Position 1102: 0.00017572949453941486
Position 1779: 0.0001487792708619965
Position 2426: 0.00014827828518541026
Position 788: 0.00013153611411860066
Position 1014: 0.00013080278840174137
Position 3875: 0.00012099447615838144
Position 4668: 0.00010450233391370084
Position 3365: 0.00010432041542185318
Position 1565: 0.00010286449219017373
Position 3527: 9.817714017162297e-05
Position 3029: 9.557387856612537e-05
Position 1186: 8.880781706644043e-05
Position 373: 8.259805347047983e-05
Position 116: 7.369652296402113e-05
Position 2437: 7.303886020390537e-05
Position 3154: 7.056373116726991e-05
Position 1984: 6.825696864755544e-05
Position 3256: 6.27764248063476e-05
Position 830: 5.7259005947319794e-05
Position 4552: 5.6458454291792844e-05
Position 994: 5.06689758571678e-05
Position 575: 4.631763447157519e-05
Position 957: 4.460450301421002e-05
Position 2310: 4.4113587106841505e-05
Position 1631: 4.230901123169072e-05
Position 1585: 4.085444352070676e-05
Position 3312: 4.080782844609603e-05
Position 827: 4.020062059850215e-05
Position 2709: 3.669166122906542e-05
Position 4501: 3.523395984115979e-05
Position 634: 3.4782925047793784e-05
Position 1085: 3.448091672753841e-05
Position 1558: 3.251239541421671e-05
Position 3082: 3.249759690293156e-05
Position 1582: 3.159295912969582e-05
Position 533: 3.097850741615806e-05
Position 3014: 3.002738123182758e-05
Position 226: 2.973253979262406e-05
Position 203: 2.5424578443669797e-05
Position 1168: 2.341448645482117e-05
Position 791: 2.33338940887735e-05
Position 1519: 2.1517699542254345e-05
Position 817: 2.0646538213931612e-05
Position 3661: 2.0449914782670577e-05
Position 4012: 1.9813650069440753e-05
Position 6: 1.963750121506725e-05
Position 910: 1.7952478433037064e-05
Position 248: 1.755683132882998e-05
Position 718: 1.752812907755363e-05
Position 1123: 1.7443800963033107e-05
Position 224: 1.7395199358998346e-05
Position 186: 1.6895509814083825e-05
Position 176: 1.6790551800654608e-05
Position 656: 1.6418373031660504e-05
Position 3386: 1.5745947969191808e-05
Position 2491: 1.4570753507227463e-05
Position 3725: 1.4387368261605182e-05
Position 1720: 1.342549532021462e-05
Position 954: 1.3126050457257737e-05
Position 396: 1.30716520258065e-05
Position 771: 1.2516796530549203e-05
Position 1260: 1.1562881891762067e-05
Position 806: 1.1461295305163358e-05
