Gene = lok
index = 1759
Annotated 5SS: [ 299  642  884 1232 1750 2191]
Annotated 3SS: [ 359  725 1122 1311 1955 2249]
SMsplice 5SS: [ 591  884 1232 2191]
SMsplice 3SS: [ 725 1122 1955 2249]
Partition function (log Z): 10.59127378257901

Sorted 5' Splice Sites (High to Low Probability):
Position 2191: 0.9988164262420227
Position 591: 0.7932051166277222
Position 1232: 0.6546971690556995
Position 884: 0.6217339756468147
Position 1011: 0.3619354493406812
Position 299: 0.2705859445291286
Position 1750: 0.23690795940397466
Position 1251: 0.21813830877061488
Position 1419: 0.1427405216316797
Position 1897: 0.12781693143509149
Position 642: 0.07633491615625951
Position 559: 0.06551857747131559
Position 827: 0.044683135380502
Position 1826: 0.040375502774475526
Position 141: 0.028000292631414923
Position 2729: 0.02351789703687754
Position 1277: 0.019979078844747762
Position 1409: 0.009746722803080546
Position 322: 0.0074675685462292606
Position 518: 0.005440296108030837
Position 97: 0.0053585138434708805
Position 1733: 0.003619627111526886
Position 638: 0.00328036324338631
Position 333: 0.0031006371177235707
Position 1201: 0.002402641360392664
Position 1571: 0.0018098198518103335
Position 2894: 0.0017934203510494645
Position 303: 0.0016369482089180483
Position 2864: 0.001218541662879427
Position 132: 0.001189888249432054
Position 2046: 0.0011241771157106154
Position 211: 0.001076129285242506
Position 1774: 0.0010192675394710628
Position 2325: 0.0009602998502101297
Position 1383: 0.0008295274134368033
Position 888: 0.0006883983414092223
Position 1057: 0.0006774977488824119
Position 319: 0.0006230008468461171
Position 552: 0.0006000398701151385
Position 545: 0.0005282805497725773
Position 597: 0.0005245741727553123
Position 1623: 0.00040291123359570066
Position 1454: 0.0003984707588393784
Position 1616: 0.00035298962605045774
Position 1428: 0.0003506507185651962
Position 195: 0.0003104834087956422
Position 2177: 0.0003068434781653892
Position 2674: 0.00028017334777044145
Position 1068: 0.00026717783491915476
Position 1578: 0.00020616285475160396
Position 112: 0.00020529407893125784
Position 1718: 0.00020237541202631424
Position 1842: 0.0001899484229927526
Position 1376: 0.0001741855783366874
Position 2875: 0.0001733467184408102
Position 2606: 0.00017007164427243506
Position 2554: 0.00016544025758915434
Position 305: 0.00015293833662440888
Position 297: 0.0001505548790182819
Position 492: 0.00014749305667733007
Position 976: 0.00014729655804356472
Position 2584: 0.0001159499544052156
Position 660: 0.00010046072881134581
Position 1224: 9.93298144084567e-05
Position 1530: 8.952106678591755e-05
Position 2174: 8.754926422196691e-05
Position 151: 8.69821638315316e-05
Position 1763: 7.819126260419208e-05
Position 1470: 7.40570852134226e-05
Position 1575: 6.618856157656846e-05
Position 1516: 6.075908089209407e-05
Position 992: 6.026557356623851e-05
Position 2195: 5.99424531007628e-05
Position 1504: 5.730214918525718e-05
Position 2690: 5.073592014821499e-05
Position 894: 4.643959987838364e-05
Position 1631: 4.3646689482156165e-05
Position 678: 4.243586303584961e-05
Position 2280: 4.051024054047085e-05
Position 1078: 3.67932052046537e-05
Position 987: 3.554006709649748e-05
Position 1782: 3.320961545769301e-05
Position 2887: 2.984415940504911e-05
Position 667: 2.8350605660017827e-05
Position 387: 2.6916965609043348e-05
Position 2348: 2.459295162564259e-05
Position 872: 2.455125210876215e-05
Position 2870: 2.4115732183144174e-05
Position 2702: 2.011894435460785e-05
