Gene = AT2G28780
index = 303
Annotated 5SS: [ 699 1551]
Annotated 3SS: [1382 1658]
SMsplice 5SS: [ 699 1551]
SMsplice 3SS: [1382 1658]
length: 3593
Partition function (logZ) = -5.8804148269706165
#Introns = 28329
5SS, 3SS, prob
1551, 1658, 0.967051169266858
699, 1382, 0.8479610357774399
492, 582, 0.05352938871814977
1100, 1382, 0.051053967444997066
699, 1025, 0.045520099669070946
2294, 2389, 0.04304864344986461
2294, 2377, 0.03979902509994641
1092, 1382, 0.025352126921355567
1551, 1636, 0.022318909884275043
699, 1445, 0.020823799088657956
699, 1031, 0.01531828330891063
1773, 2008, 0.01192264850879765
699, 786, 0.011727327041780894
940, 1382, 0.010186235963908642
1821, 2008, 0.009350258884683478
1289, 1382, 0.007359601728816203
699, 1070, 0.006972668030447452
699, 887, 0.006141813336117556
1773, 2389, 0.005835068854893183
371, 582, 0.0054027784060777856
1773, 2377, 0.004732320911140387
940, 1025, 0.004562960064645933
1821, 2389, 0.004404969623579948
1773, 1873, 0.004247542720634768
1773, 2214, 0.003694793335054235
1543, 1658, 0.003660931986724829
1821, 2377, 0.0035724908104768595
1088, 1382, 0.0033716116164840522
1773, 1885, 0.0029689597190223436
1821, 2214, 0.0027892477040217262
1062, 1382, 0.002538947305005294
699, 1158, 0.0024468803027741875
699, 1465, 0.0022338183016384285
485, 582, 0.002192581416976347
1121, 1382, 0.0021808604107944837
508, 582, 0.00209249163256929
2301, 2389, 0.002070180690307094
1773, 2217, 0.002033430124981477
1773, 2031, 0.0018927609298751305
1816, 2008, 0.0017759677895988607
699, 1289, 0.0016619924593986738
492, 648, 0.001555052609432212
1821, 2217, 0.0015350629366960122
1821, 1952, 0.001496606466936647
940, 1031, 0.0014810425401522809
699, 858, 0.001463752748738775
1821, 2031, 0.0014288699256405795
795, 1382, 0.001365700993935599
2084, 2166, 0.0013643042100378929
1773, 2166, 0.0012996896194350787
539, 648, 0.0012610067114680464
1100, 1445, 0.0012537575618421914
1773, 1952, 0.001228685577338517
2872, 2976, 0.001224703701915418
1551, 1663, 0.0012082157980313703
371, 648, 0.001130540737287043
539, 618, 0.0010951788319797278
492, 618, 0.0010876777323247542
699, 958, 0.0010075514828093975
1821, 2166, 0.0009811526540758355
2301, 2377, 0.0009748918508576766
492, 585, 0.0009394232147575625
2734, 2818, 0.0009049456751701603
699, 927, 0.0008903130816456707
1773, 2148, 0.0008668346274039546
2084, 2214, 0.0008477636942482186
1816, 2389, 0.0008439548254269221
492, 600, 0.0008358906748975941
1821, 1899, 0.000815597534088937
2084, 2389, 0.0008031506993081183
2734, 2832, 0.0007826178385875085
1551, 2008, 0.0007666528008067317
699, 1433, 0.0007588103631399826
492, 1382, 0.0007267949235962707
1816, 2377, 0.0006844589443150252
2741, 2832, 0.0006656469169319657
1821, 2148, 0.0006543847720288048
2084, 2377, 0.0006513662381114133
1092, 1445, 0.0006225847358616474
2058, 2148, 0.0006217587553052638
371, 1382, 0.0006044272247059226
1821, 1908, 0.0005975599515047554
1816, 2214, 0.0005343962070746362
699, 1658, 0.0005282528760537816
756, 1382, 0.0005173477116147072
2058, 2389, 0.0005079539968877747
371, 618, 0.000500069563804294
1821, 1885, 0.00048265162706862165
699, 1428, 0.0004655413493979405
2294, 2832, 0.0004558735052545706
2294, 2392, 0.0004516631716431067
762, 1382, 0.0004418654462670695
2084, 2217, 0.0004406702103695767
699, 939, 0.00043057851017321654
1773, 2832, 0.0004297890330563387
699, 861, 0.00042939706512339944
800, 1382, 0.0004192489300908659
2058, 2377, 0.0004119576617084088
699, 871, 0.00039861713357321844
2058, 2166, 0.0003887295597209946
2294, 2818, 0.0003869759684776676
2741, 2818, 0.000381138222475815
1551, 2389, 0.0003752078975743541
2058, 2214, 0.0003679252138784577
1773, 2818, 0.0003648337211770647
2280, 2377, 0.0003639078758437052
2294, 2976, 0.00035953898739388905
495, 582, 0.0003548668300731316
699, 1038, 0.0003420671902334826
1773, 2976, 0.0003389666474514315
1773, 2179, 0.0003364267528548415
489, 582, 0.00033051192849288844
1773, 1899, 0.0003295313881887921
1821, 2832, 0.0003244533496075812
699, 1393, 0.00032345625777574055
2084, 2179, 0.0003220816948745495
699, 792, 0.0003166006195951929
522, 618, 0.0003142150994228708
1551, 2377, 0.0003042987536003367
2294, 2386, 0.0002960358384516544
2311, 2389, 0.00029462740173038794
1816, 2217, 0.00029410504122971606
699, 1221, 0.00029228074854451664
492, 590, 0.0002776945869379019
1821, 2818, 0.00027541773703234647
1816, 2031, 0.00027375936083566684
1816, 1885, 0.00027190331990958053
1154, 1382, 0.0002701003847227385
1816, 1952, 0.0002632799732712889
1821, 2976, 0.00025589034552320205
1852, 2008, 0.0002546843880957814
1821, 2179, 0.00025397294594775485
940, 1445, 0.0002501484410632385
1551, 2214, 0.00023758342423926918
2280, 2389, 0.0002318927708920664
1551, 1725, 0.00021083251737804876
1816, 1899, 0.00020891868296141246
539, 1382, 0.00020648723051269922
371, 600, 0.0002023261853058033
1469, 1658, 0.00019518677786652317
1773, 1875, 0.00019467570713256713
522, 648, 0.0001935538654535207
2058, 2217, 0.00018984025921647333
1816, 2166, 0.0001879805282776902
699, 828, 0.00017820453764815384
2294, 2396, 0.00017683611268995883
2292, 2377, 0.0001714679077130122
973, 1382, 0.0001652900818304207
2292, 2389, 0.00016006893703266373
508, 648, 0.00015974965972493944
2167, 2389, 0.0001586584870425258
508, 600, 0.00015695654698248993
508, 618, 0.0001542400495068966
944, 1382, 0.00015242102958388783
1510, 1658, 0.00014978192714057743
2294, 2409, 0.00014780667670650426
1773, 1908, 0.0001419623045020307
1773, 2324, 0.00014095700008609775
940, 1070, 0.00013962732898225167
1773, 2083, 0.0001374358960385092
1100, 1465, 0.00013449354632825357
419, 582, 0.00013151319052058614
1551, 2217, 0.00013075407694955528
1551, 1678, 0.00013036496349962871
1773, 2078, 0.0001288847100177887
2167, 2377, 0.00012867421013063388
2262, 2377, 0.00012651836451418893
1816, 2148, 0.0001253745730920102
1852, 1952, 0.00012174261397822632
1551, 2031, 0.00012170873502440037
699, 1266, 0.00011907702480763319
1176, 1382, 0.00011491801206369774
2095, 2214, 0.00011452148667247274
699, 1352, 0.00011431855104911794
1551, 1699, 0.00011406958746336019
522, 600, 0.00011356641323876722
1502, 1658, 0.00011227307782211571
1543, 1636, 0.0001112651160983886
2262, 2389, 0.00011106806879690815
1852, 2389, 0.0001089643834205067
2294, 2424, 0.00010641864606368657
