Gene = Tomm7
index = 1132
Annotated 5SS: [ 191 2452]
Annotated 3SS: [2402 4332]
SMsplice 5SS: [ 191 2452 4957]
SMsplice 3SS: [2402 4880 5034]
top_k =  100
Partition function (log Z): -8.482737639316271

Sorted 5' Splice Sites (High to Low Probability):
Position 2452: 0.9044419541489016
Position 191: 0.7390193234788522
Position 4957: 0.4945487616148249
Position 620: 0.07411570999540718
Position 91: 0.06549240833139489
Position 893: 0.05568630502169869
Position 4656: 0.043862251374029534
Position 809: 0.0397962169137485
Position 75: 0.03174843539572514
Position 1255: 0.030042484026454336
Position 178: 0.028794523529311028
Position 231: 0.028248995811869005
Position 536: 0.02317054146031776
Position 2186: 0.01715892609913237
Position 195: 0.012119511787363537
Position 1531: 0.010528307917789274
Position 4970: 0.0062834959404135075
Position 1017: 0.004321338965819379
Position 235: 0.0033456488273761013
Position 82: 0.003061294712671445
Position 147: 0.002908137027590366
Position 365: 0.0024584886398723014
Position 511: 0.0021442465756392835
Position 515: 0.0018314618528256273
Position 45: 0.00015209157159999957
Position 51: 6.507193686507452e-05
Position 370: 1.915237408167381e-05
Position 246: 1.8956904891929745e-05
Position 240: 1.7478512542001768e-05
Position 346: 1.5705581131655174e-05
Position 48: 1.4837686586614331e-05
Position 79: 1.1197844926087032e-06
Position 413: 6.401645993267086e-07
Position 450: 5.237282950279539e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2402: 0.9523220038717098
Position 5034: 0.450324716062228
Position 4880: 0.3334868688016307
Position 4861: 0.294538496243556
Position 4332: 0.1350105562334411
Position 5061: 0.09172590637589019
Position 514: 0.08449060747771653
Position 3476: 0.03329830355517564
Position 1164: 0.03188713696271674
Position 2920: 0.029087157682669697
Position 4123: 0.02355711795728497
Position 808: 0.016700798657156544
Position 3080: 0.013804405041913062
Position 2096: 0.01244255834408837
Position 1329: 0.011490963775386586
Position 4393: 0.010794382350308766
Position 4589: 0.009780552702298764
Position 4867: 0.008850075553964068
Position 4218: 0.00853268168718171
Position 644: 0.007800437247143775
Position 4350: 0.006901915919395751
Position 2777: 0.006871360441123157
Position 496: 0.006526245976867981
Position 664: 0.00624144616088612
Position 2032: 0.00548447384863251
Position 2288: 0.004247760403395669
Position 5212: 0.004127880205010215
Position 3679: 0.003210523276857705
Position 272: 0.003157630861090832
Position 2220: 0.002895542764763438
Position 5104: 0.0025629977835251705
Position 3727: 0.002431766880175595
Position 3339: 0.0021696923955398513
Position 3906: 0.0019065982673963312
Position 2957: 0.0017826825352657756
Position 3500: 0.001639179404334132
Position 3124: 0.001222632927904623
Position 2800: 0.00101571902049103
Position 2609: 0.0009579596486728008
Position 2125: 0.00015461238932287587
