Gene = jp
index = 1736
Annotated 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
Annotated 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
SMsplice 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
SMsplice 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
top_k =  500
Partition function (log Z): 21.68871139052374

Sorted 5' Splice Sites (High to Low Probability):
Position 11117: 0.9958344956057885
Position 11467: 0.9955713299194658
Position 13163: 0.9924495075153384
Position 16547: 0.9824347771215861
Position 15034: 0.9811084836313934
Position 12948: 0.9304012858877816
Position 12751: 0.9105520063571902
Position 318: 0.42632012653977414
Position 17661: 0.31725803052576573
Position 210: 0.2706666698545404
Position 16272: 0.22169545997471657
Position 1747: 0.15819553018944754
Position 17343: 0.14538001506657217
Position 17650: 0.14270916706617057
Position 15477: 0.10363454248205445
Position 17254: 0.08302866267513864
Position 104: 0.08173099056661438
Position 12964: 0.06666181162560526
Position 18557: 0.04909466816029465
Position 13706: 0.04720613956015449
Position 10196: 0.04103300468716177
Position 736: 0.03845250954627417
Position 694: 0.03226652401591652
Position 3452: 0.021553046401059
Position 13909: 0.021531306054746856
Position 15218: 0.0209665361658986
Position 4231: 0.019007257279067092
Position 15339: 0.01889181364325824
Position 18109: 0.016746094931193164
Position 859: 0.015932044377355754
Position 108: 0.01530123541690227
Position 549: 0.013222670393954063
Position 4469: 0.011924076537690231
Position 1974: 0.011779458649045029
Position 82: 0.010867413003699127
Position 13286: 0.010449318320338338
Position 13305: 0.00916934716685416
Position 16019: 0.00838327201345715
Position 4104: 0.008336382256864476
Position 13534: 0.008263055358582997
Position 18232: 0.006956393907287877
Position 14063: 0.006773060528907006
Position 13102: 0.006241208400656101
Position 16529: 0.0061569554864925775
Position 12611: 0.005979126742052612
Position 722: 0.0054626388814243
Position 4098: 0.005340446331706546
Position 4913: 0.004971177182116673
Position 13939: 0.004524182238917536
Position 322: 0.004388261125994545
Position 2771: 0.003926963514146086
Position 120: 0.0038185545950932417
Position 205: 0.0036601156917688534
Position 5634: 0.003410012591427758
Position 11136: 0.003402945148199832
Position 18248: 0.0032489834045465126
Position 672: 0.0032474230987738655
Position 16541: 0.003009520948619769
Position 12118: 0.0027500933892249087
