Gene = LOC101739324
index = 349
Annotated 5SS: [1176 2062 2965 4405 4986]
Annotated 3SS: [1853 2499 4225 4823 5431]
SMsplice 5SS: [ 449 1176 2062 2965 4405 4986]
SMsplice 3SS: [1068 1853 2499 4225 4823 5431]
length: 6203
Partition function (logZ) = 5.3705307267661695
#Exons = 1162
3SS, 5SS, prob
4823, 4986, 0.952385752073032
1853, 2062, 0.8573636176009449
4225, 4405, 0.8490171738137127
5431, -1, 0.7138860187780393
1068, 1176, 0.5641292033933102
0, 449, 0.4523030364417556
2499, 2965, 0.42062039175357313
0, 1176, 0.361456644411488
2499, 2718, 0.3338291502805043
5431, 5592, 0.17617697092539505
6158, -1, 0.10160236237422197
0, 403, 0.08824393559284004
1859, 2062, 0.08642380660411701
5126, 5253, 0.06995034121805584
6074, -1, 0.0657766085620112
2843, 2965, 0.04829531142352526
5431, 5560, 0.045673602256041244
3913, 3990, 0.044565719717805354
4225, 4421, 0.042336566034614526
2499, 2731, 0.04099134121113027
5748, -1, 0.03850485355136556
4228, 4405, 0.03664414137874601
4225, 4425, 0.035807045245083886
5094, 5253, 0.03326618161617706
4823, 4934, 0.03236480930230868
0, 50, 0.02531633849023714
891, 1176, 0.023951781315134396
5126, -1, 0.02337300984710452
2499, 3047, 0.021975384546368514
0, 64, 0.019396370074267408
1824, 2062, 0.01762878295558531
2849, 2965, 0.017610698318382016
982, 1176, 0.01581037386984764
3913, 4014, 0.014099172349995104
4246, 4405, 0.012169650444009333
2769, 2965, 0.011098766845598263
2499, 2658, 0.0107771386358287
5482, -1, 0.01061993830758037
5094, -1, 0.010430876453095617
1594, 1781, 0.009740453273367727
2499, 2722, 0.009554381762365614
5126, 5316, 0.009247637608308027
2794, 2965, 0.007693765179941715
1853, 2176, 0.006578690190089921
0, 207, 0.00602714951408666
0, 97, 0.005960886202167599
5642, -1, 0.005700432972876225
1093, 1176, 0.005518671486504456
3045, 3223, 0.0054521040976085984
2499, 2670, 0.005397088800260275
0, 649, 0.005298413198277981
0, 441, 0.005237653248409719
2843, 3047, 0.004900042969978597
919, 1176, 0.0048461153367017566
3101, 3223, 0.0044600829333592325
5776, -1, 0.004377148698445165
0, 630, 0.004325196866831064
5685, -1, 0.0036837066713874393
1410, 1543, 0.0036068827861446356
0, 381, 0.003584484867060634
1883, 2062, 0.0034521799088988382
3913, 4018, 0.0034248629734038817
4823, 4941, 0.0034049344028293863
2752, 2965, 0.003152859016643627
5065, 5253, 0.003138910151996285
5792, -1, 0.003086695825135788
3913, 4405, 0.0030290403144359684
2499, 2899, 0.0029347836319128413
5431, 5601, 0.0028620898627745644
0, 262, 0.002852776411461049
0, 655, 0.0027257357967954716
1594, 2062, 0.002626608143833891
6009, -1, 0.002500901941987887
5094, 5316, 0.002347987175961211
6061, -1, 0.002208219680494628
2849, 3047, 0.002200601251574304
0, 969, 0.002155302733589421
0, 422, 0.0021509741883539513
4823, 4955, 0.0021142278517391083
2499, 2696, 0.002106838073597008
0, 26, 0.0019681859081437203
3913, 4047, 0.0019423870063900708
3913, 4117, 0.0018895864253778327
5482, 5592, 0.0018838348911529752
1639, 1781, 0.001870772065881192
1803, 2062, 0.0018679196363746067
4228, 4421, 0.001848391229416659
1458, 1543, 0.0018369386833716312
5782, -1, 0.0018156664526573984
1458, 1614, 0.0017899218076516288
0, 156, 0.0017413869939660338
5126, 5368, 0.0016841264663122473
4823, -1, 0.0016321056657439073
2888, 2965, 0.0016029033541437754
4103, 4405, 0.0015830037703872066
4228, 4425, 0.0015645080016004481
5925, -1, 0.0015398524862986587
945, 1176, 0.0015213576555396604
859, 1176, 0.0014697146718287975
4068, 4405, 0.001460004058185276
5065, -1, 0.001391378445662429
1890, 2062, 0.0013359097788519466
6108, -1, 0.0013342326748468293
0, 369, 0.001287144186328893
5431, 5580, 0.0012036892220930447
0, 1015, 0.0011798691193205034
4279, 4405, 0.0011576205185091077
3249, 3387, 0.0011127913033502205
5054, 5253, 0.001057358490312267
4765, 4986, 0.0010191546391548616
2499, 3052, 0.0009962780179731826
4823, 4894, 0.0009960036848520536
1031, 1176, 0.0009903799261088352
6102, -1, 0.0009897820117972806
1910, 2062, 0.000984739569404814
5158, 5253, 0.0009562116864003803
0, 1150, 0.0009347082547312082
0, 880, 0.0009227267155558209
5126, 5350, 0.0009130068152316637
2816, 2965, 0.000907632266919413
5485, -1, 0.000885403234630998
2888, 3047, 0.000884976849332792
0, 152, 0.0008757666224104227
6080, -1, 0.0007539666000086935
1410, 1614, 0.0007125934241702316
1068, 1150, 0.0007075645846903595
3370, 3421, 0.0007032528187321428
2781, 2965, 0.0006972821939186843
988, 1176, 0.000690345858311866
499, 649, 0.0006803064388917266
1639, 2062, 0.0006727253801467718
3370, 3439, 0.0006721978350848916
4246, 4421, 0.0006715257269185249
1594, 1773, 0.0006602679661451607
2522, 2965, 0.000657366580410055
2499, 3223, 0.0006546506556339255
3045, 3199, 0.0006459264685914596
1859, 2176, 0.0006391853488855921
3101, 3261, 0.0006322574651277083
1410, 1494, 0.0006309069377216845
0, 55, 0.0006277210167963732
3073, 3223, 0.0005912511834284747
133, 449, 0.0005876922894786406
4246, 4425, 0.0005807123580941195
