Gene = Iqcj
index = 591
Annotated 5SS: [   102 149039 155099]
Annotated 3SS: [148973 155017 163042]
SMsplice 5SS: [   102  24252  79927  84937 123700 141902 149039 155099 163179]
SMsplice 3SS: [ 24127  79817  84849 123561 141765 148973 155017 163042 163528]
top_k =  500
Partition function (log Z): -101.85713575122702

Sorted 5' Splice Sites (High to Low Probability):
Position 102: 0.8420096477474021
Position 7562: 0.155455855115561
Position 717: 0.11137384718943086
Position 74: 0.09615266245703187
Position 7795: 0.08187064811333016
Position 6776: 0.0686893927091019
Position 6045: 0.05480049227767348
Position 1778: 0.03628593150826945
Position 3564: 0.03246706712549352
Position 6040: 0.032320634308949624
Position 311: 0.016935186641765708
Position 2955: 0.0067133066101046045
Position 2557: 0.006085614393680233
Position 1424: 0.005979702049679476
Position 7862: 0.005671420459305857
Position 5862: 0.004766374949866818
Position 7908: 0.004378596968809113
Position 1154: 0.0034286768003665897
Position 4362: 0.0022794284069005276
Position 4259: 0.0018444047715102101
Position 107: 0.0013753733076627102
Position 216: 0.00134142556176051
Position 36: 0.0005031350643473772
Position 261: 0.00048576663431660114
Position 1466: 0.0004241257959309457
Position 259: 0.000334526829557658
Position 3391: 0.00029697225693129005
Position 701: 0.00024750732578617863
Position 1245: 0.00021931734605783307
Position 2817: 0.00021517638721796632
Position 2821: 0.00019942775438149823
Position 56: 0.00014031642314909368
Position 530: 6.311199251591269e-05
Position 435: 6.269366160850011e-05
Position 1484: 5.547621475029424e-05
Position 148: 4.812901194414381e-05
Position 2813: 2.0816429691261686e-05
Position 2650: 1.8806277035620663e-05
Position 267: 1.4061405907060521e-05
Position 2673: 1.1780336126547918e-05
Position 281: 6.383262640350257e-06
Position 137: 5.8326333584061234e-06
Position 265: 2.807236148743323e-06
Position 384: 2.752780361344572e-06
Position 2161: 8.907736641660112e-07
Position 2428: 7.68158444687826e-07
Position 1158: 7.556223142182647e-07
Position 1604: 6.799453781762548e-07
Position 1721: 6.11321747093959e-07
Position 3: 2.758185752062823e-08
Position 18: 2.284843223964692e-08
Position 534: 9.363027873664598e-10
Position 295: 9.189694396548813e-10
Position 532: 8.642710756658041e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 7701: 0.3578704528595973
