Gene = Gm5901
index = 505
Annotated 5SS: [ 120 2848]
Annotated 3SS: [2048 3106]
SMsplice 5SS: [120]
SMsplice 3SS: [2400]
length: 3328
Partition function (logZ) = -7.132186707991583
#Introns = 1970
5SS, 3SS, prob
120, 2048, 0.2643317502844434
2176, 2400, 0.11770606579086659
120, 2400, 0.0733403365689602
2848, 3204, 0.06338378205493748
2848, 3103, 0.05665538483449133
120, 1600, 0.05508949800402777
2176, 3204, 0.043737375071069826
120, 2106, 0.04248388705616535
120, 2229, 0.04223559123593838
2176, 2745, 0.03965830948490102
120, 603, 0.03887694311664128
2176, 3103, 0.03886758590017956
120, 3204, 0.03789689190091536
120, 1805, 0.03749320237857949
120, 3103, 0.03342319839956362
120, 2745, 0.032424486453540464
2406, 3204, 0.03167606100001733
2406, 2745, 0.03142797445080709
2406, 3103, 0.02849918522714763
124, 2048, 0.023150669975072
2176, 2697, 0.02254865308103773
3002, 3103, 0.02186907605758379
120, 2079, 0.021729273078351527
2406, 2573, 0.019862928466964278
2176, 2573, 0.018637210961401543
120, 2697, 0.017701317649047553
1974, 2048, 0.01715312128935528
2406, 2697, 0.016804772542561377
120, 2019, 0.01608935913318438
2848, 3142, 0.015533378747799888
120, 2573, 0.014691571557668393
120, 701, 0.01387745696015141
2848, 3106, 0.013235965789751983
120, 851, 0.012457250469644002
2176, 3142, 0.011088594254426199
120, 567, 0.010357930343121281
3002, 3204, 0.010248146400573921
2176, 2847, 0.009855260970314722
120, 3142, 0.009398794116332626
2176, 2292, 0.009359160159647014
2176, 3106, 0.009272896912974813
765, 2048, 0.008288070883728713
2176, 2301, 0.008099244179021897
2406, 3142, 0.007912908048696243
120, 3106, 0.007886037822031455
120, 2847, 0.007880242424195332
2980, 3103, 0.007443576818610431
813, 2048, 0.007417267298247668
120, 725, 0.007360580078921809
120, 1671, 0.007358859209773755
2406, 2511, 0.007035994551795322
120, 2234, 0.006928686546530653
2406, 2847, 0.006885773268969135
2406, 2492, 0.006867518383457345
2406, 3106, 0.006640637817963054
120, 1635, 0.006582996961286378
124, 2400, 0.006423284096373748
2176, 2468, 0.005911708731635518
1122, 2048, 0.005432221138821149
2176, 2341, 0.005352641006042025
954, 2048, 0.00534333097576576
120, 969, 0.005330712610812148
1677, 2048, 0.0052079051456184675
2176, 2297, 0.005068935439110645
3002, 3106, 0.004932012927705689
2980, 3204, 0.004867846363155848
120, 193, 0.00483140318313018
124, 1600, 0.004824841457793996
120, 2468, 0.004379842145783562
120, 1403, 0.004239899596736236
776, 2048, 0.004227883555413156
2406, 2468, 0.003859467995751163
120, 2175, 0.0037509353989221023
124, 2106, 0.003720818431524602
124, 2229, 0.003699072218350896
2176, 2511, 0.0035431604874967162
2176, 2405, 0.0033984558508895874
124, 603, 0.0033910639421518116
124, 3204, 0.0033190808010576853
2176, 2492, 0.003302609393651166
124, 1805, 0.0032837249162881222
129, 2048, 0.0032773136354200833
3002, 3142, 0.003183458612460657
120, 2301, 0.0031167545403016244
