Gene = AT2G18290
index = 165
Annotated 5SS: [ 412  573  747  915 1652]
Annotated 3SS: [ 511  653  843 1546 1737]
SMsplice 5SS: [ 427  573  747  915 1652]
SMsplice 3SS: [ 511  653  843 1546 1737]
length: 2024
Partition function (logZ) = 0.5013197470046528
#Introns = 1568
5SS, 3SS, prob
747, 843, 0.9690847398656588
1652, 1737, 0.9046435920225504
412, 511, 0.8487398829467205
573, 653, 0.5771266039009475
573, 657, 0.3742299087995741
1455, 1546, 0.36967395718608576
915, 1177, 0.30140887626419516
915, 1546, 0.14967328754534018
1498, 1581, 0.11313398965585174
915, 1226, 0.09357397148731532
1517, 1581, 0.0919369832646234
915, 1015, 0.06637528596555833
1251, 1333, 0.061566577490534145
915, 1581, 0.05042957976167299
915, 1333, 0.03770112562450778
1251, 1341, 0.03415841237812366
1251, 1546, 0.031980292732525895
1455, 1581, 0.027942455666198525
1439, 1546, 0.025930975179689383
915, 1105, 0.02458119208659193
354, 511, 0.020970171918185284
573, 680, 0.020538591908456298
1652, 1765, 0.01941306999506551
915, 1341, 0.019389380429565173
1049, 1177, 0.01555559119321298
1502, 1581, 0.014876526414025726
412, 516, 0.014011830570609493
1135, 1226, 0.011697795118164442
1251, 1581, 0.01077098572217853
573, 843, 0.010389816006567094
915, 1306, 0.008870519197494342
324, 511, 0.00874898558328227
1517, 1737, 0.007639478691622772
915, 1027, 0.007271311661584457
915, 1374, 0.00574404313796511
747, 1177, 0.005419880832823796
1049, 1546, 0.00445483868878294
1011, 1177, 0.00393051557255407
915, 1386, 0.0038910707215616645
915, 1430, 0.0038657350858367565
915, 1454, 0.0038145450803789838
1517, 1611, 0.0037001694713135573
915, 994, 0.003442551885238931
1439, 1581, 0.003339166656485055
1049, 1226, 0.0028190200880995405
1114, 1226, 0.0027199464033434368
747, 1546, 0.0027036661232667848
915, 1737, 0.0025555459764434276
915, 1250, 0.002442627294692925
1135, 1546, 0.0023312833449261956
1251, 1374, 0.002328442159964967
1011, 1105, 0.0022680641113106644
1357, 1546, 0.0022130665523769195
1656, 1737, 0.0021470222591205195
1466, 1546, 0.0019705299053362373
1011, 1546, 0.0019512396429973889
1125, 1226, 0.0017770316248758012
747, 1226, 0.0016653635051046476
1114, 1546, 0.0015378082710191597
1049, 1581, 0.0015008675820017596
1517, 1609, 0.001448739245983718
1114, 1177, 0.0014321385841833904
915, 1053, 0.0012299603064128387
1011, 1226, 0.001225514435758468
1251, 1386, 0.0012075093399261355
1049, 1333, 0.0011237143178116885
915, 1113, 0.001103211812602568
167, 511, 0.0010957643042948347
747, 846, 0.0010381885873581
1067, 1177, 0.0010212863465682183
915, 1159, 0.0010009315353830012
747, 1581, 0.0009108038543301738
1361, 1546, 0.0008299210631337963
1121, 1226, 0.0008263440300103901
935, 1177, 0.0008180295365760296
1251, 1454, 0.0007867584861338356
1135, 1581, 0.000781874366138771
1494, 1581, 0.000781222617041636
1455, 1737, 0.0007769718876642566
1277, 1546, 0.0007635291232764885
1517, 1628, 0.0007400783881232511
1251, 1430, 0.0007271118104499991
1498, 1737, 0.000718351411388075
1083, 1177, 0.0007000322713205
1178, 1546, 0.000697779993443869
915, 1061, 0.0006901852875787421
1357, 1581, 0.0006836464213761217
915, 1502, 0.0006712102096794367
915, 1093, 0.0006610406544279429
747, 1333, 0.0006586743743058878
1011, 1581, 0.0006539626104785742
915, 1390, 0.0006387016676630113
915, 1134, 0.0006358962674021803
412, 479, 0.0006277798454607348
747, 964, 0.0006217583590581528
1135, 1333, 0.00060228150199648
1635, 1737, 0.0005938185117926541
915, 1357, 0.0005875348370328227
1049, 1341, 0.0005739873110683005
1125, 1546, 0.0005519367654762291
1251, 1737, 0.0005448680074897202
1114, 1581, 0.0005167081238377578
1129, 1226, 0.0005059832555098941
1517, 1765, 0.0005045048674378474
1011, 1333, 0.0004902883104871785
1174, 1546, 0.00045972769225651334
1251, 1357, 0.0004504820754950381
941, 1177, 0.00042472260954845624
354, 516, 0.00041749807425718783
935, 1546, 0.00040205460968761013
747, 1105, 0.00040040696024448653
915, 1083, 0.0003970445819977265
