Gene = LOC101738878
index = 323
Annotated 5SS: [  150  1341  2354  3033  4014  4851  5934  6296  7322  9594 10568 11991
 13287]
Annotated 3SS: [  277  2079  2810  3908  4707  5744  6124  7020  9339 10358 11804 13184
 14062]
SMsplice 5SS: [  150   470  1341  2354  3033  4014  4856  5934  6296  7322  9594 10568
 11991 13287]
SMsplice 3SS: [  277  1127  2079  2810  3908  4707  5744  6124  7020  9339 10358 11804
 13184 13831]
length: 14226
Partition function (logZ) = 23.32524200559377
#Introns = 2967
5SS, 3SS, prob
3033, 3908, 0.9120802519673139
11991, 13184, 0.8843967148732884
9594, 10358, 0.8115702179567185
4014, 4707, 0.7949068779075766
2354, 2810, 0.7049586553266477
5934, 6124, 0.6979536522018974
6296, 7020, 0.6893392308608003
10568, 11804, 0.6777797388790774
13287, 13831, 0.6399632798564332
150, 277, 0.5837849281504567
1341, 2079, 0.5201071677275857
4856, 5744, 0.504446807374458
7322, 9339, 0.41030445487090783
4851, 5744, 0.37370080414328266
7322, 8256, 0.31125513572800556
470, 1127, 0.287922659864838
5934, 7020, 0.22414688650473133
10568, 11843, 0.2006444578156729
8440, 9339, 0.19543737064810598
9254, 9339, 0.14235625540815244
13287, 13466, 0.1372454552887294
2722, 2810, 0.1344832250265822
150, 1127, 0.12349361728475698
470, 2079, 0.11017359879592109
9594, 10146, 0.09221910515649871
2354, 2588, 0.0898784817873325
1869, 2079, 0.08592054583860034
10256, 10358, 0.0846324677998135
150, 299, 0.08180414435711411
491, 1127, 0.07710900273149204
7322, 9102, 0.07071684481698316
13287, 14062, 0.06564675667319199
11991, 12083, 0.057846354706359925
7322, 9388, 0.053309945058194336
4014, 5744, 0.05182523017852285
7322, 7718, 0.04917076592929814
150, 2079, 0.04690640257478374
13590, 13831, 0.043297051995994804
13287, 13880, 0.040828637788431585
470, 1238, 0.03916919998167249
470, 1170, 0.03884994933810475
1341, 2810, 0.03846369769047031
8440, 9102, 0.03778784441049201
11407, 11804, 0.03384932042498046
8444, 9339, 0.03372909990322872
4014, 4673, 0.03294510831018761
6296, 7217, 0.03255071847144858
491, 2079, 0.03152373794698281
12499, 13184, 0.03093412325174662
4014, 4087, 0.03035402292146618
12179, 13184, 0.029048639013605906
4846, 5744, 0.028981790858427003
8440, 9388, 0.025873771208213558
10568, 11084, 0.02387013529307344
7927, 9339, 0.023608993941171733
11991, 12440, 0.023597082808318667
1341, 1658, 0.023275308837653233
1869, 2810, 0.02246117056044512
10568, 10816, 0.020566173998222862
7133, 7217, 0.020371935206222845
2104, 2810, 0.020241191715905323
9594, 10435, 0.01983059235698863
10281, 10358, 0.019036195229355252
2971, 3908, 0.01892719796587894
150, 1238, 0.018904577026005842
150, 1170, 0.01798929768581914
4229, 4707, 0.017539006510227093
5236, 5744, 0.017285698659892337
8519, 9339, 0.017031319726008295
4014, 4599, 0.016659794742771062
1720, 2079, 0.016567320090081317
10568, 11265, 0.016549580958535457
1341, 1748, 0.016369383583661534
470, 807, 0.015353912530831319
6038, 6124, 0.014773208538229294
1341, 1719, 0.014497257772278652
2354, 3908, 0.014479991583672842
7322, 9070, 0.01365395431348944
4014, 4365, 0.01357875758209888
13287, 13852, 0.013535282072235715
12209, 13184, 0.013522371547981424
150, 807, 0.01280243799512787
1341, 2024, 0.012625847842548991
9197, 9339, 0.012621758018985726
19, 277, 0.011905778764322868
3004, 3908, 0.01172991489381965
1341, 2588, 0.011587499297853335
10568, 13184, 0.011332042753359717
4014, 4748, 0.011301068706773035
11407, 11843, 0.011240993207746163
491, 1170, 0.011088268255022463
9594, 9947, 0.011036579983214287
491, 1238, 0.010959188238316934
10568, 11232, 0.010916639859162301
3033, 3732, 0.010828818712717018
9560, 10358, 0.010815887118516693
13271, 13831, 0.010681210510157666
7927, 8256, 0.01035905312900681
1341, 1525, 0.010044496562417534
4247, 4707, 0.009669500998664298
6033, 6124, 0.009643305653417403
7322, 8501, 0.009494053948187552
7322, 10358, 0.00949185207253117
10568, 11860, 0.00916233229842508
470, 2810, 0.009039285904833098
1286, 2079, 0.008574510633102286
5934, 7217, 0.008547453327952816
470, 1658, 0.008430922455963179
4014, 4572, 0.008419020794387205
942, 2079, 0.008305467168541587
10961, 11804, 0.008100425464163565
13287, 13756, 0.008009203701623318
13287, 14011, 0.007903435791854764
13590, 14062, 0.007861827912622502
4014, 4558, 0.007526760410649317
470, 1525, 0.007373945634899805
7322, 9022, 0.007355059623788789
4856, 5006, 0.006956460677768306
11271, 11804, 0.006837575546602685
1316, 2079, 0.006657156821977075
9254, 9388, 0.0065013421054355
942, 1127, 0.006453464087331102
3033, 4707, 0.006388953890518179
8440, 9070, 0.006374590536329882
2354, 2842, 0.006302287917016769
8444, 9102, 0.006235847658349079
11119, 11804, 0.006134381653926881
9594, 10197, 0.005948133781768585
2354, 2935, 0.005940654272293496
1869, 2588, 0.005823847440502708
1341, 1607, 0.005811878803669712
10015, 10358, 0.005735650245954298
10568, 11369, 0.005677427976999728
10000, 10358, 0.005630129758350779
2354, 2656, 0.005597463263712864
7322, 8373, 0.005589249711127049
8539, 9339, 0.005504879324265617
3091, 3908, 0.005306691385081097
4014, 4647, 0.0052977043774587555
470, 1719, 0.005267860775190585
9594, 9859, 0.00523962063148182
4851, 5006, 0.005208076489305611
6296, 7088, 0.005193988256093158
7322, 8354, 0.005049226680209549
9594, 10491, 0.005013608585598651
8422, 9339, 0.004961415914519876
470, 1748, 0.004931564069963073
150, 2810, 0.004923719000119837
7322, 8309, 0.004818130707532292
1341, 1762, 0.0047429487979519964
470, 1064, 0.004738545648410734
1895, 2079, 0.004604856705770311
5934, 6136, 0.004549304996778651
10568, 11016, 0.004473022325967143
5934, 6189, 0.004429222267301593
470, 1186, 0.004416086972314278
8444, 9388, 0.004364156928290179
5229, 5744, 0.004328219308446787
2104, 2588, 0.004306054795569679
