Gene = KIAA1143
index = 734
Annotated 5SS: [ 168 7439]
Annotated 3SS: [7293 8109]
SMsplice 5SS: [ 168 5962 7439 8318]
SMsplice 3SS: [ 5847  7293  8109 12280]
top_k =  1000
Partition function (log Z): -2.8143272132150425

Sorted 5' Splice Sites (High to Low Probability):
Position 7439: 0.9813119853930958
Position 8318: 0.7433566858151062
Position 168: 0.7325708004305183
Position 5962: 0.5479551214137252
Position 5973: 0.35433770965314765
Position 3553: 0.3236706984675404
Position 3035: 0.2471338252565995
Position 10236: 0.20268913438108566
Position 83: 0.12639270684515178
Position 78: 0.09166781677943531
Position 8680: 0.05502074626008109
Position 7925: 0.046575352599352506
Position 11839: 0.041382031560088725
Position 5245: 0.03487443116410225
Position 10295: 0.033395033680306954
Position 3796: 0.03322766987548154
Position 428: 0.030106290433840385
Position 4313: 0.024510583172657575
Position 1578: 0.02343864261608032
Position 4226: 0.021173890072134494
Position 5945: 0.01893638813480077
Position 901: 0.017429445332728357
Position 496: 0.016419425160703056
Position 10386: 0.01578527805324504
Position 4952: 0.014818694872963428
Position 132: 0.013351252085315506
Position 3025: 0.012847652791334466
Position 6473: 0.011517934563363117
Position 8232: 0.010980708519416767
Position 10231: 0.010915590071482593
Position 2600: 0.010504134119576987
Position 672: 0.010293652678304977
Position 3241: 0.010275671743054922
Position 6874: 0.009441766842543315
Position 5209: 0.0090397160339299
Position 6862: 0.008686377242266176
Position 3557: 0.008089937177506865
Position 243: 0.007507060447473474
Position 9574: 0.007410030283609544
Position 4167: 0.006427863700762235
Position 8188: 0.006397489394083516
Position 483: 0.006098855307038493
Position 4250: 0.0058391930052089066
Position 8055: 0.005391229715810077
Position 7771: 0.005351130601714643
Position 2708: 0.004519302998441899
Position 11625: 0.0029961073398932997
Position 11059: 0.0028077852921869423
Position 6294: 0.0022878664000773666
Position 7487: 0.001672453574488705
Position 7451: 0.0015401991817325285
Position 6374: 0.0015009497453017408
Position 7386: 0.00118667210788315
Position 740: 0.0011715226273697594
Position 2185: 0.0011637368752936608
Position 2405: 0.0010868536360497973
Position 1539: 0.001033385186712345
Position 7443: 0.0010291609247680903
Position 1625: 0.0009909089474372179
Position 1277: 0.0009068950153885989
Position 3040: 0.0008870668879318597
Position 87: 0.0007994748939134998
Position 9584: 0.0006883935483445352
Position 10034: 0.0006701155201996125
Position 421: 0.0005895737199657938
Position 7744: 0.0005771343510577859
Position 3070: 0.0005315134120641754
Position 8324: 0.0004719531694136879
Position 6996: 0.0004487473203901571
Position 3300: 0.0004431400461319913
Position 779: 0.00044247313433423593
Position 7717: 0.0004206815659251038
Position 7625: 0.00037880332840145765
Position 7886: 0.00031570750242712966
Position 5903: 0.00031195094954482414
Position 2461: 0.00026036395422541694
Position 4367: 0.00024885429555576895
Position 3256: 0.00023464539886154185
Position 3182: 0.0002153136138517197
Position 9313: 0.00021443629974545058
Position 4218: 0.00021215947762718863
Position 2181: 0.00019997843013857451
Position 4282: 0.00018255809397011092
Position 3813: 0.00017927471012815855
Position 6485: 0.0001654845945141184
Position 9125: 0.00015800911068484724
Position 722: 0.00013799388465287766
Position 1591: 0.00013006858387994215
Position 637: 0.00012651028451591807
Position 1677: 0.00012172570462974747
Position 8281: 9.522049165995527e-05
Position 7360: 8.956732369341366e-05
Position 7682: 8.743454358967363e-05
Position 2685: 7.316235887943259e-05
Position 6014: 6.19854564551237e-05
Position 2069: 6.180054281139547e-05
Position 613: 5.229799715108997e-05
Position 4639: 3.5548310343900846e-05
Position 402: 3.28541004245497e-05
Position 4535: 3.0782108159749926e-05
Position 7940: 2.215496167852281e-05
Position 3537: 2.07836414448282e-05
Position 4256: 1.6983250413155147e-05
Position 247: 9.652190645324605e-06
Position 156: 7.009169121449541e-06
Position 414: 6.802530407622183e-06
Position 5225: 5.989469254760582e-06
Position 1041: 2.57048510078315e-06
Position 358: 1.942688259491486e-06
Position 889: 1.8491768526205784e-06
Position 1197: 1.3984435196977193e-06
Position 257: 1.3586671021069187e-06
Position 6: 1.1108564296186352e-06
Position 590: 1.0456368736631605e-06
Position 7642: 7.532768994637372e-07
Position 315: 6.023743149639586e-07
Position 624: 3.9256723222317946e-07
Position 905: 2.1035720889228512e-07
Position 252: 1.5378144061556886e-07
Position 292: 1.4168000410401038e-07
Position 576: 1.1429931185416097e-07
Position 1441: 5.661622375155664e-08
Position 2134: 5.511840814105053e-08
Position 747: 5.3819793209810887e-08
Position 187: 5.2259421953070564e-08
Position 826: 5.068374978072065e-08
Position 449: 4.730590634850331e-08
Position 487: 2.7708369040746855e-08
Position 182: 2.388240548415926e-08
Position 107: 1.7238400103875654e-08
Position 500: 1.6314704318911183e-08
Position 185: 8.885404600969432e-09
Position 378: 2.1349169406001017e-09
Position 400: 2.1141430256523573e-09
Position 361: 2.044524566975494e-09
Position 380: 2.893596176872031e-10
Position 22: 2.1073481525277202e-10
Position 11: 6.816802530511716e-11
Position 467: 6.259345649545234e-11
Position 41: 8.162785869957987e-12
Position 34: 3.406681294974699e-12
Position 506: 5.657340942967154e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 7293: 0.9771765854981207
Position 5847: 0.7934806033683663
Position 8109: 0.5327268260626107
Position 12280: 0.38398324441949927
Position 10138: 0.36067107570753254
Position 3422: 0.26971013788166165
Position 8054: 0.2210873457342824
Position 2956: 0.21465796712265892
Position 11558: 0.1575007273515502
Position 3406: 0.06009566549675293
Position 5864: 0.0586871826424467
Position 5867: 0.0553499351532643
Position 8573: 0.05241227195396333
Position 12276: 0.034034597536351914
Position 2910: 0.033267990809051774
Position 7713: 0.03100346562460239
Position 9815: 0.0306978330490505
Position 4096: 0.030413535349225154
Position 10451: 0.029427550260450065
Position 8187: 0.029187400123691778
Position 7825: 0.028890611627828574
Position 5126: 0.028784707197801556
Position 4941: 0.026137664366429163
Position 9385: 0.023915675059414946
Position 12804: 0.023301440063242265
Position 1360: 0.02251850635776921
Position 3720: 0.018473411335976936
Position 530: 0.01818430309574613
Position 10167: 0.017662943382359016
Position 9606: 0.017399042578609882
Position 4050: 0.01509141222102123
Position 310: 0.015040566651518001
Position 12141: 0.014678432339710988
Position 10357: 0.013431928585526434
Position 10164: 0.013204620069669664
Position 4166: 0.013088467927840247
Position 10470: 0.012317644385477847
Position 9476: 0.012257965599837441
Position 8399: 0.011481689510942838
Position 2885: 0.010800418121314421
Position 5809: 0.010764885327395933
Position 6318: 0.01059870584863881
Position 6785: 0.010412995303832218
Position 9573: 0.009701033909455202
Position 10379: 0.009564176230560448
Position 8172: 0.008609383466652205
Position 3121: 0.008326309921340064
Position 2532: 0.008001131122470745
Position 10059: 0.007477537992015598
Position 7255: 0.006971275905085716
Position 10426: 0.006594144117494937
Position 7530: 0.006289035201908347
Position 8115: 0.006091812067466378
Position 11409: 0.005314696892392261
Position 12442: 0.005203989842121416
Position 3359: 0.004735975005216998
Position 349: 0.004569084172344633
Position 8196: 0.004483335864410911
Position 8755: 0.004394136833341616
Position 6717: 0.004376135882358496
Position 8157: 0.004129596416076133
Position 326: 0.004051827908283346
Position 480: 0.003819869096635085
Position 5102: 0.003641767593418845
Position 9909: 0.0034978510401210113
Position 11108: 0.0033373213256971293
Position 10901: 0.003310323777633784
Position 8679: 0.0030876184323534723
Position 12018: 0.0030024635179775228
Position 3674: 0.002944253369975306
Position 6655: 0.0029320187870890612
Position 8060: 0.0028889256212806524
Position 704: 0.0028838865930391404
Position 8826: 0.00273924032328231
Position 7295: 0.0026795884001542276
Position 3285: 0.002621488968185971
Position 10200: 0.002536801864016724
Position 7514: 0.0025052233718378418
Position 721: 0.0024413185822588375
Position 11105: 0.0024079217180442048
Position 6132: 0.0023770029567884866
