Gene = RIOK2
index = 1144
Annotated 5SS: [  135  4206  5529  6145 10086 12055 14501 15794 18210]
Annotated 3SS: [ 4066  5411  5968  9996 11862 14407 15268 18112 20034]
SMsplice 5SS: [  135  4206  5529  6145 10086 12055 14501 18210]
SMsplice 3SS: [ 4066  5411  5968  9996 11862 14407 18112 20034]
top_k =  500
Partition function (log Z): 3.6132387698612827

Sorted 5' Splice Sites (High to Low Probability):
Position 10086: 0.9810672058466002
Position 135: 0.9408291919013331
Position 6145: 0.9317676932947383
Position 18210: 0.9158817626534987
Position 14501: 0.8662942757055702
Position 12055: 0.8188710004891528
Position 5529: 0.6888985396507685
Position 4206: 0.6130980280000476
Position 15794: 0.5505854959511505
Position 12682: 0.4960589142921603
Position 16994: 0.2791293600268971
Position 15355: 0.26608994257278457
Position 2828: 0.2416914277779408
Position 20138: 0.19542742476551264
Position 1490: 0.16961435932642016
Position 18657: 0.12706570752647478
Position 981: 0.10325300969670365
Position 8044: 0.10299542562824274
Position 4241: 0.08140706958910741
Position 15443: 0.07159771416054475
Position 6438: 0.06953740382511864
Position 10876: 0.06802799273835487
Position 11203: 0.06552084358857907
Position 6337: 0.06384093168517947
Position 1222: 0.05644658335706415
Position 18303: 0.05416920571418669
Position 6694: 0.051768115165545615
Position 460: 0.04858030941761367
Position 10968: 0.04682691231127176
Position 299: 0.041371912598892356
Position 10429: 0.03398469143019461
Position 11653: 0.03325611113182575
Position 19526: 0.025118718027650352
Position 2247: 0.024973977719796106
Position 18449: 0.02428318267874598
Position 14844: 0.02196425842113984
Position 6512: 0.021734135244261026
Position 19815: 0.01782915472794404
Position 15615: 0.01696544464553583
Position 870: 0.01665201102670155
Position 18661: 0.011700207892691588
Position 18186: 0.010960103686911882
Position 1477: 0.010916171736161204
Position 8518: 0.010572417741068119
Position 2618: 0.010216516396177428
Position 14470: 0.00990502216561831
Position 1564: 0.00920322572716508
Position 4390: 0.009131407708550398
Position 339: 0.008995922557321708
Position 8655: 0.00882284853130377
Position 10865: 0.007865089195208034
Position 10922: 0.007520336351586448
Position 9892: 0.006806315509496698
Position 5632: 0.0056122220463238935
Position 6843: 0.004943025239947024
Position 1017: 0.0047433274969452795
Position 12688: 0.0043524689871805135
Position 6407: 0.0042627186706776145
Position 15435: 0.004178974113857673
Position 4442: 0.004055636727440529
Position 4567: 0.003923726575560884
Position 1158: 0.0037284061032083404
Position 4421: 0.0032583656946394467
Position 14548: 0.003226947831794955
Position 10457: 0.003199995368399598
Position 15728: 0.0029798010610604573
Position 4589: 0.0029592087229120966
Position 12369: 0.002922473443760728
Position 2922: 0.0028687643032159304
Position 1012: 0.002759412836729205
Position 13023: 0.0026390416042934546
Position 11059: 0.0022666171822268532
Position 8450: 0.002096466837685779
Position 10701: 0.0020787542994134506
Position 4529: 0.002037660458239412
Position 4525: 0.001961850841542819
Position 2832: 0.0018414106451990733
Position 4546: 0.0016538498876677058
Position 12419: 0.0016493740127069994
Position 639: 0.0015925982314375733
Position 18695: 0.0015628234227888951
Position 4407: 0.0015585128272634708
Position 4550: 0.0014602591730850747
Position 10770: 0.0014291483699981422
Position 5829: 0.0011906624944626716
Position 4417: 0.0011368712238055
Position 4146: 0.0011175752495159346
Position 4438: 0.0011101510685852295
Position 92: 0.00084382204528702
Position 3088: 0.0008254529516025428
Position 1552: 0.0006904987825046532
Position 702: 0.0006698426396238663
Position 51: 0.0006691157862514743
Position 2249: 0.0006472267846777082
Position 10090: 0.0006286523322486176
Position 14408: 0.0006257571875788036
Position 2645: 0.0005633263619012415
Position 1032: 0.00046493794197192777
Position 15294: 0.00043766443842294957
Position 5685: 0.0003374062690202627
Position 3407: 0.0003305332496819006
Position 2901: 0.0002899472565934157
Position 4140: 0.00027284305353197236
Position 5283: 0.00023030612068165987
Position 78: 0.00021172646944472653
Position 10425: 0.00019936822178811745
Position 19486: 0.0001968751937950822
Position 942: 0.0001898521366223275
Position 18978: 8.495641634051215e-05
Position 748: 4.187426673189012e-05
Position 708: 2.943230332282781e-05
Position 282: 2.030042776574341e-05
Position 923: 1.842220289539549e-05
Position 1702: 1.6299519223511155e-05
Position 1197: 1.571559184789748e-05
Position 1558: 1.3113207151956985e-05
Position 84: 2.655794841908351e-06
Position 123: 2.609482968099319e-06
Position 18643: 4.830690863529697e-07
Position 304: 3.3856399500426436e-07
Position 177: 2.607716220943327e-07
Position 179: 1.4237931287340516e-07
Position 453: 1.0447010097353012e-07
Position 202: 8.011659290382729e-08
Position 155: 6.244620278872031e-09
Position 34: 6.029791195634414e-09
Position 192: 1.62716259382116e-09
Position 149: 8.710655005762028e-10
Position 31: 6.724936706588856e-10
Position 412: 4.25191893823845e-10
Position 243: 1.9059794444136284e-10
Position 97: 3.295795886214513e-11
Position 358: 1.0985574789590167e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 18112: 0.987879707576794
Position 9996: 0.9532049161507967
Position 5968: 0.9373204185172941
Position 14407: 0.8746134861611389
Position 11862: 0.7554554120259818
Position 20034: 0.7048095996129359
Position 4066: 0.6905929992620145
Position 5411: 0.5274802177129113
Position 12600: 0.444519041981801
Position 15268: 0.42140286201064553
Position 2748: 0.22027597104984495
Position 16888: 0.21381544203338157
Position 15679: 0.200991665393088
Position 1367: 0.18238475756307482
Position 10807: 0.16799147316109125
Position 15408: 0.14973312877820633
Position 5478: 0.12079760734107714
Position 18745: 0.09872241362217468
Position 6336: 0.08666870191290901
Position 18564: 0.0787003622208109
Position 7944: 0.07773746774906327
Position 15650: 0.06930350311404947
Position 6253: 0.0673309162674063
Position 22014: 0.06424577429792705
Position 18302: 0.06345359308612543
Position 12022: 0.06027944955289954
Position 21383: 0.05380179207899034
Position 15661: 0.04233456888116955
Position 16907: 0.04206351951223226
Position 221: 0.039347760680919275
Position 21512: 0.03608726593867318
Position 12543: 0.03461122163962239
Position 751: 0.03396141786672517
Position 4240: 0.03357000049477667
Position 21653: 0.03342942844201822
Position 11523: 0.032117968892011614
Position 15499: 0.032076957283926476
Position 18585: 0.030487041598201762
Position 1141: 0.02981100325134986
Position 20655: 0.02778982379847795
Position 20938: 0.027472834612396725
Position 18491: 0.02685245957085251
Position 5441: 0.026091326880423694
Position 11079: 0.025244314912129324
Position 1992: 0.02354816927982171
Position 8040: 0.021266155616272167
Position 202: 0.02067216872695585
Position 6577: 0.02026219387912488
Position 21073: 0.01911777810211812
Position 19386: 0.01837699830429403
Position 2697: 0.017584245236480823
Position 800: 0.017188952089818667
Position 1088: 0.016405898031150203
Position 9950: 0.016081194830282662
Position 16840: 0.01597596716842899
Position 2501: 0.015773208721314498
Position 10335: 0.013774806534695077
Position 327: 0.01311312733437073
Position 12570: 0.013009945857648891
Position 22224: 0.012965896894924531
Position 393: 0.01276982047246971
Position 6636: 0.012628019018342459
Position 18770: 0.012522983021196218
Position 9918: 0.012451937867786582
Position 14707: 0.012432245313314782
Position 19412: 0.011834837986258201
Position 19627: 0.011649821967986041
Position 10332: 0.011243493324551216
Position 19784: 0.010662622911627404
Position 6511: 0.009540988138244142
Position 8354: 0.008298855508492986
Position 5316: 0.008142296325403432
Position 20488: 0.007778162824058058
Position 12482: 0.007725757709493657
Position 10207: 0.007480490327931752
Position 16796: 0.007367284842642292
Position 14687: 0.007190438566820847
Position 8380: 0.00683061063912314
Position 5237: 0.00681027940968327
Position 9739: 0.006808784826696845
Position 8552: 0.006362266962441538
Position 20282: 0.006054857088549508
Position 20806: 0.005239878648014027
Position 18529: 0.005064370990793792
Position 780: 0.004740983944390207
Position 1056: 0.004553404936992663
Position 6015: 0.004527810938339984
Position 608: 0.0043804987649525475
Position 22058: 0.004227378995495246
Position 10755: 0.004133171151769308
Position 6658: 0.004073292862073694
Position 1101: 0.004057871041724423
Position 19588: 0.0040375569732314
Position 1381: 0.003991015245799847
Position 2751: 0.0038843582453104396
Position 893: 0.0036548462364923828
Position 575: 0.0036375184639609788
Position 578: 0.0035389513952193983
Position 10562: 0.003299043207913218
Position 4107: 0.0032236200891559764
Position 816: 0.003170130234929498
Position 1115: 0.0028992605761143917
Position 5218: 0.0028841449825534886
Position 14461: 0.002871978281094668
Position 4124: 0.0027563969555480694
Position 10165: 0.0025380520790325846
Position 5206: 0.0025351951657218968
Position 14184: 0.002446632776506285
Position 331: 0.0023331191860436204
Position 549: 0.0023244845623092724
Position 20240: 0.0022445163328799604
Position 818: 0.0022283740050573725
Position 21401: 0.0022122780232952813
Position 18384: 0.0020741069230434317
Position 1446: 0.0019714452627756823
Position 5992: 0.0019491963489308242
Position 19236: 0.0019085447360105597
Position 18346: 0.0018733534651716546
Position 12324: 0.001866642561578269
Position 1291: 0.001818649822006991
Position 11706: 0.0017914449088597363
Position 7771: 0.0016456803079457135
Position 20106: 0.0016310800079098946
Position 12920: 0.0015642292641404748
Position 19903: 0.0015635782783576177
Position 6316: 0.0015515847637985894
Position 5632: 0.0015280687634829347
Position 7736: 0.0014718143361692022
Position 10299: 0.0013337329048026191
Position 514: 0.0013163776037908997
Position 12270: 0.0012853818296320865
Position 822: 0.0012084500854240632
Position 11885: 0.001163876598857765
Position 14834: 0.0011534827785064374
Position 11567: 0.0011381422398141232
Position 12872: 0.001074812340152978
Position 2015: 0.0010037436451857187
Position 11869: 0.0009522412809151904
Position 20007: 0.0009405430597792417
Position 15221: 0.0008927710918866263
Position 7832: 0.0008743076187923691
Position 14636: 0.0008453365333790104
Position 6593: 0.0008033169472877848
Position 19640: 0.0007527469105430972
Position 6164: 0.0006996259124435566
Position 15354: 0.0006577509992007754
Position 843: 0.0005935562435970499
Position 10213: 0.0005745972726273912
Position 20341: 0.0005644437360140719
Position 1162: 0.0005610677569379373
Position 2152: 0.0005485789013735451
Position 12649: 0.0005454160907747341
Position 2155: 0.000520712678092833
Position 11151: 0.0005118193143810438
Position 1211: 0.00046550252200843855
Position 10189: 0.00039327228691550797
Position 685: 0.0003913365580575725
Position 298: 0.0003806209655650927
Position 12273: 0.000380300065271406
Position 19746: 0.00037393255968574154
Position 6528: 0.0003632574309050813
Position 10669: 0.0003478330184191971
Position 14619: 0.0003427552291187674
Position 855: 0.0003402845238992415
Position 3309: 0.0003305332496819006
Position 2678: 0.00032004177470019404
Position 851: 0.00030233466719925816
Position 653: 0.00029823946603115697
Position 907: 0.00027752665907647704
Position 2922: 0.0002481657650978626
Position 911: 0.00021804919780224098
Position 2761: 0.000210616331574133
Position 937: 0.00019313969961866668
Position 12299: 0.0001837912001637549
Position 333: 0.0001695538923918823
Position 1253: 0.00014248872061451199
Position 14129: 0.00011990567182172528
Position 1001: 9.496345135158891e-05
Position 972: 8.901651992412413e-05
Position 12127: 8.430792146115181e-05
Position 6364: 7.829264072672146e-05
Position 18308: 7.741189477031544e-05
Position 17972: 6.972452132418644e-05
Position 249: 5.970287486677461e-05
Position 252: 5.877856465780526e-05
Position 966: 5.7408478250710664e-05
Position 1165: 5.652055244255677e-05
Position 395: 5.614076190049804e-05
Position 1144: 5.370042181752506e-05
Position 864: 4.986626165799046e-05
Position 18429: 4.925691267276194e-05
Position 1340: 4.242567430289327e-05
Position 1325: 3.518413931718654e-05
Position 6268: 3.1514155247523235e-05
Position 20049: 2.8823110641175832e-05
Position 725: 2.8334223372718885e-05
Position 6272: 2.4893392393857896e-05
Position 942: 2.3873968359565853e-05
Position 857: 1.8262181887155086e-05
Position 484: 8.693392922240717e-06
Position 613: 8.106524052931348e-06
Position 916: 8.075403915729891e-06
Position 10892: 8.03927093531482e-06
Position 218: 6.9625857802086e-06
Position 312: 5.0144295182537935e-06
Position 1635: 4.9457578141585195e-06
Position 698: 1.701523374153455e-06
Position 734: 1.2899521228165746e-06
Position 722: 1.1960770981515702e-06
Position 439: 9.735466017898623e-07
Position 450: 5.547041708569334e-07
Position 10384: 5.064498437172289e-07
Position 459: 4.909894377929384e-07
Position 338: 4.770479866330168e-07
Position 10238: 4.4385276491622534e-07
Position 587: 3.03583675691737e-07
Position 720: 3.016964981275093e-07
Position 2561: 2.38568307579844e-07
Position 267: 1.342494401920952e-07
Position 278: 4.8574615102613955e-08
Position 1022: 4.148027243603422e-08
Position 466: 3.3553196785501105e-08
Position 271: 3.089707119400675e-08
Position 269: 2.220622675271943e-08
Position 531: 1.947666384048069e-08
Position 520: 1.2227369371697416e-08
Position 282: 2.3799733859986114e-09
Position 139: 1.5687599914129101e-09
Position 264: 1.4131475683646866e-09
Position 121: 9.651947133148102e-10
Position 1462: 2.9244306300255117e-10
Position 803: 1.765503681893182e-10
Position 106: 2.8208088868311376e-14
Position 111: 7.860443010691074e-15
