Gene = Tmem147
index = 1096
Annotated 5SS: [ 197  339  884 1109 1336 1554]
Annotated 3SS: [ 268  823  971 1250 1431 1636]
SMsplice 5SS: [ 197  339 1336 1554]
SMsplice 3SS: [ 268 1250 1431 1636]
length: 1836
Partition function (logZ) = 0.6517799940697393
#Introns = 1133
5SS, 3SS, prob
1336, 1431, 0.9416281683750223
197, 268, 0.5494166785768104
1554, 1636, 0.49343106471228115
884, 1250, 0.2768886306920237
884, 971, 0.24804913566376374
1568, 1636, 0.23712882852243633
1180, 1250, 0.2237578149064155
339, 823, 0.19776623688323122
339, 1250, 0.19343615568055847
1109, 1250, 0.1693888632415447
339, 798, 0.16274282471329218
1730, 1806, 0.06857067594047805
197, 1250, 0.0659036195883614
339, 971, 0.0636611566643987
197, 823, 0.062190910632957175
197, 798, 0.05138486983899674
1563, 1636, 0.04201916607303495
884, 1041, 0.04036883835265734
339, 659, 0.028763916278178765
1459, 1636, 0.02690827282098359
339, 620, 0.02192610332573595
339, 1041, 0.021234305486718417
197, 971, 0.01988714646188759
742, 823, 0.018729533229158914
1554, 1806, 0.01583437278647
1568, 1806, 0.01546853025946486
1167, 1250, 0.012745467899407921
339, 561, 0.012266207678251867
884, 1431, 0.011746965790723433
339, 742, 0.010635881796008238
1336, 1636, 0.010327210451292498
339, 860, 0.009905901917638208
339, 1431, 0.009488644463866233
197, 659, 0.008044341145594847
197, 302, 0.007165958786684862
742, 1250, 0.007157207655240049
197, 620, 0.00674508520895599
1568, 1666, 0.006550582428968921
1180, 1431, 0.006381424186002218
197, 1041, 0.006208931413039343
339, 423, 0.0058908264037891
1554, 1666, 0.005829896570984478
197, 329, 0.005213929937585356
1109, 1431, 0.004932964360156454
1531, 1636, 0.0049086457193406215
179, 268, 0.004598319913074156
197, 742, 0.0033001011407399667
197, 561, 0.0032328816195192657
197, 860, 0.0031133560311335947
1336, 1410, 0.0031091781214133843
197, 1431, 0.0030131414195602264
29, 268, 0.0026982683108447442
742, 971, 0.002605687358254193
1156, 1250, 0.002212791309525017
1563, 1806, 0.0019869339220324267
1459, 1806, 0.001704676809292375
269, 1250, 0.0016953052910087855
269, 823, 0.0016222712289078655
269, 798, 0.00136880606123582
884, 953, 0.0012891962726278231
339, 687, 0.0011319284665261271
1521, 1636, 0.0010547912047774734
861, 1250, 0.0009051446262711666
1336, 1453, 0.0009028921502343068
1546, 1636, 0.0008847990170827421
1529, 1636, 0.0008662268201142931
1563, 1666, 0.0008185621347111907
339, 593, 0.0007873897858001413
1336, 1806, 0.0007834780964160703
742, 1041, 0.0007713208540135142
197, 423, 0.0007607595049058498
1065, 1250, 0.0007576952532197355
861, 971, 0.0007467445935108807
742, 860, 0.0007409171590628018
1730, 1813, 0.0007358687464039238
339, 628, 0.0006915883805195677
339, 953, 0.0006353643830311129
1507, 1636, 0.0005623616978409451
922, 1250, 0.0005548974001801072
1485, 1636, 0.0005405254341544097
1592, 1806, 0.0005369849551658483
29, 1250, 0.0005167953267867371
269, 971, 0.0005004557888881758
29, 823, 0.00047997789191084436
339, 753, 0.00041583592912798986
1695, 1806, 0.00040553162785150065
884, 1636, 0.0004029643369505675
29, 798, 0.00040263424363709305
339, 469, 0.0003664160390264528
1028, 1250, 0.00034696574624831967
339, 1636, 0.0003279912835442342
197, 375, 0.0003206132273684283
1052, 1250, 0.0003202652331168942
197, 687, 0.0003193403830991058
742, 1431, 0.0003189453515099523
1459, 1666, 0.0003138032348891622
179, 1250, 0.0003113363885075921
884, 1046, 0.00030692805912699143
179, 823, 0.00030302452000278307
228, 1250, 0.00030187878414817
339, 583, 0.00030172286815115126
228, 823, 0.0002846458758112892
518, 823, 0.000274547349548309
1554, 1760, 0.0002745348418094319
1568, 1760, 0.00026205213295996235
1554, 1773, 0.000261022169330882
518, 1250, 0.00025960145160688566
1568, 1773, 0.00024553742591357995
179, 798, 0.0002420013498346786
339, 407, 0.00023951479217462212
228, 798, 0.00023721704488920606
926, 1250, 0.00022917146354779088
1692, 1806, 0.00022730590085149276
197, 593, 0.0002257742242082736
518, 798, 0.00021977797514433975
269, 659, 0.00021312681975376965
87, 268, 0.00021035784624786472
