Gene = MTHFR
index = 891
Annotated 5SS: [  365  2085  3034  7040  8148  8517  8888  9339 10968 12039]
Annotated 3SS: [ 1845  2922  6845  7896  8381  8706  9155 10865 11918 12346]
SMsplice 5SS: [  365  3034  7040  8148  8517  8888  9339 10968 12039]
SMsplice 3SS: [ 2922  6845  7917  8381  8767  9155 10865 11918 14078]
top_k =  500
Partition function (log Z): 8.058867582865224

Sorted 5' Splice Sites (High to Low Probability):
Position 12039: 0.9717214489476377
Position 10968: 0.9620881246754113
Position 365: 0.9129183931185448
Position 8517: 0.9114166820022368
Position 8888: 0.8545815326814833
Position 3034: 0.8342681148369047
Position 8148: 0.8229078289665274
Position 7040: 0.7891579172506044
Position 9339: 0.6573090404337025
Position 557: 0.47807993483898725
Position 5382: 0.45297072981253855
Position 14993: 0.4380274155658649
Position 11609: 0.33305534796024266
Position 15406: 0.2806078436314268
Position 2085: 0.23650756258829894
Position 4040: 0.23321811029074152
Position 14230: 0.20050028516501917
Position 9344: 0.19770611191837595
Position 2998: 0.14990995517164168
Position 9025: 0.14054419340429422
Position 11640: 0.1126102318439483
Position 8023: 0.09771795077346691
Position 14153: 0.0908151143102717
Position 12497: 0.07097546129972152
Position 13515: 0.0683783344616584
Position 13393: 0.055605303852150866
Position 982: 0.04400779332529383
Position 5639: 0.035217149353506894
Position 1905: 0.027247919512472782
Position 9228: 0.022464667515889856
Position 3170: 0.022386842279872088
Position 386: 0.022282468700779632
Position 52: 0.01900330765696144
Position 1446: 0.01873660376285229
Position 295: 0.017967090561673258
Position 5534: 0.017045311745597154
Position 9300: 0.014896600909290172
Position 14418: 0.013530963666885974
Position 8110: 0.013198522086000848
Position 2442: 0.013178583771331409
Position 11148: 0.013026604110617103
Position 5684: 0.012801539657592963
Position 9654: 0.01277085838804666
Position 941: 0.011838621474905291
Position 8434: 0.011032796849264432
Position 380: 0.007447119370112042
Position 11820: 0.006036458157374589
Position 7755: 0.0048579413908942755
Position 9385: 0.0036836600038402233
Position 5428: 0.0035692916667709107
Position 2735: 0.003343308664835307
Position 1582: 0.0031206987527500917
Position 2665: 0.002929115244564777
Position 10941: 0.002752834413086636
Position 2419: 0.0025692187355783273
Position 12333: 0.0025380449542257238
Position 302: 0.0020766806019219745
Position 498: 0.0018686863309991292
Position 2852: 0.0018125828840585179
Position 10928: 0.0014793626183564267
Position 2429: 0.0006443042797034199
Position 71: 0.0005940939065558688
Position 11692: 0.0004925830378519768
Position 13040: 0.00035393437245839803
Position 11651: 0.00031734114397306736
Position 3383: 0.00031010477213009154
Position 196: 0.00028166619143876325
Position 1624: 0.00027304426814942065
Position 132: 0.0002521673302550503
Position 1620: 0.00023263553825864637
Position 12317: 0.00021276212231481073
Position 1866: 0.00020007090573963252
Position 10962: 0.0001790219987380372
Position 8892: 0.00014969628183849031
Position 4210: 0.0001032403852153723
Position 3455: 8.63414095971501e-05
Position 8800: 6.801639168028165e-05
Position 115: 5.192781342170062e-05
Position 666: 5.072275324061e-05
Position 64: 4.151461115181549e-05
Position 685: 3.913307871785661e-05
Position 1210: 3.555655639388786e-05
Position 62: 3.470597372803786e-05
Position 532: 3.4025188613752424e-05
Position 787: 2.8454515311286757e-05
Position 8820: 2.8081093545226193e-05
Position 11328: 2.647698650112247e-05
Position 3007: 2.478637670890265e-05
Position 12006: 2.229261847960175e-05
Position 2982: 1.3799322767608213e-05
Position 305: 1.2111822767898376e-05
Position 4815: 8.601708837680055e-06
Position 582: 4.180999058827887e-06
Position 11: 2.3277092014173115e-06
Position 929: 1.7541846421443955e-06
Position 54: 1.5251358334941549e-06
Position 1038: 1.2485123343458224e-06
Position 214: 1.1454265424133735e-06
Position 73: 1.1401098031040635e-06
Position 110: 1.1108670431545795e-06
Position 8915: 6.426291084139893e-07
Position 8829: 2.677497536802894e-07
Position 348: 8.669684802509489e-08
Position 13: 7.595780999125813e-08
Position 223: 3.001916070637043e-08
Position 405: 3.798001122575942e-09
Position 423: 3.3118251039117882e-09
Position 181: 2.309736071902057e-09
Position 190: 2.5192125428994485e-11
Position 875: 3.865976912444879e-12
Position 646: 6.316322967297852e-14
Position 591: 4.6584188367659245e-14
Position 538: 4.174637687491448e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 10865: 0.9681313484662477
Position 11918: 0.939819721813959
Position 2922: 0.937165522890453
Position 9155: 0.8724088135252184
Position 6845: 0.6843406579696811
Position 7917: 0.5849097119264537
Position 8381: 0.47254682781369645
Position 459: 0.46293356334561975
Position 11499: 0.45523760417356407
Position 8767: 0.44161472402677165
Position 8405: 0.35299639332352384
Position 8706: 0.3487570836622483
Position 7896: 0.34250445482756153
Position 14078: 0.3139084361346725
Position 15289: 0.299658609686499
Position 15515: 0.2796686253317185
Position 5234: 0.2193966124507655
Position 14929: 0.19367393774352326
Position 14909: 0.17273308667062218
Position 17028: 0.15167484740872503
Position 15236: 0.1450812764494208
Position 5253: 0.13279381072153854
Position 3995: 0.1258642933587773
Position 16909: 0.10853516393054723
Position 8743: 0.10796307777095698
Position 13392: 0.1068085044321759
Position 14956: 0.07416019705728866
Position 5195: 0.06701394445782755
Position 12424: 0.06475231727231805
Position 5512: 0.06325377850819303
Position 1904: 0.06227623423149267
Position 1883: 0.05921833438291542
Position 1845: 0.05487735487009106
Position 3909: 0.051732395121380045
Position 13308: 0.04700245975575269
Position 8418: 0.04378610480840726
Position 16881: 0.04110780626485248
Position 8950: 0.04085852628070563
Position 8459: 0.03950265914731236
Position 14099: 0.03914971791938412
Position 6943: 0.03595167095770699
Position 5285: 0.03364737824392136
Position 6805: 0.030392019517147966
Position 1828: 0.029024780308905134
Position 11951: 0.029017637292313374
Position 2931: 0.028084294678036407
Position 15077: 0.02400120870038422
Position 2008: 0.023954207785007023
Position 14102: 0.022676193745480116
Position 3752: 0.021812485131775174
Position 3115: 0.02134114683487313
Position 3959: 0.02122021138133066
Position 14869: 0.02101482868269551
Position 1328: 0.020012927404355774
Position 8671: 0.01989581641966397
Position 15794: 0.019162825511069195
Position 862: 0.0166879042929994
Position 815: 0.014141196841840042
Position 2822: 0.013891782460696549
Position 13105: 0.013766871425535052
Position 2310: 0.013228612733014056
Position 6727: 0.012813201497314287
Position 9263: 0.01220305915040215
Position 12373: 0.011421893492397259
Position 1950: 0.01139756165250024
Position 12346: 0.011269025847203105
Position 9239: 0.010338153483326996
Position 8944: 0.010309447298180062
Position 3934: 0.010081932682769277
Position 892: 0.009472495076373455
Position 6701: 0.008903382025176366
Position 1901: 0.008130638835588858
Position 8769: 0.00793583567250161
Position 6857: 0.007137960663929037
Position 1865: 0.00698678979924284
Position 8773: 0.006962625536152897
Position 11890: 0.006888931675662444
Position 13443: 0.00680703803734104
Position 6982: 0.006689628731669476
Position 8737: 0.0065627818765372145
Position 8340: 0.006316157316253622
Position 15849: 0.00563000675544616
Position 11094: 0.005623122075988911
Position 2659: 0.005448504490146718
Position 12623: 0.0053029662797571715
Position 181: 0.004808327358517362
Position 12496: 0.00445901799992769
Position 5061: 0.0036072602614974263
Position 1978: 0.003420806256725058
Position 7941: 0.003340037686510173
Position 13692: 0.0033220689540255405
Position 9518: 0.0032129080510430483
Position 2275: 0.003046525090261234
Position 2851: 0.0030242323209016334
Position 8252: 0.0030153421006233845
Position 7950: 0.003006873853561298
Position 8229: 0.002716586603751902
Position 8840: 0.0026916150996599934
Position 12207: 0.0026296522774216465
