Gene = Ndufb3
index = 737
Annotated 5SS: [ 287 4866]
Annotated 3SS: [4705 9264]
SMsplice 5SS: [ 287 4473 4866]
SMsplice 3SS: [4355 4705 9264]
top_k =  500
Partition function (log Z): -2.456375917343477

Sorted 5' Splice Sites (High to Low Probability):
Position 4866: 0.9982637455890909
Position 287: 0.7742871316909327
Position 4473: 0.7031432372564193
Position 7293: 0.15232513980760712
Position 1345: 0.13092544982605725
Position 242: 0.08836533940302041
Position 271: 0.08517996835638435
Position 3854: 0.06533457586095827
Position 6487: 0.02462916184748529
Position 428: 0.022060166760271224
Position 570: 0.018315858508782173
Position 2769: 0.016969403718759688
Position 8270: 0.015739081032982143
Position 196: 0.01535739923307347
Position 955: 0.01516820533020071
Position 4059: 0.012888955552951312
Position 2975: 0.009900315489639952
Position 247: 0.00975888636810735
Position 1083: 0.007859739090643204
Position 8703: 0.004596102501460268
Position 3980: 0.004058574136011579
Position 6968: 0.003661965775534046
Position 7891: 0.003199144119517135
Position 8983: 0.0024109471317540158
Position 6665: 0.0018536557952804442
Position 945: 0.0016006158170283357
Position 229: 0.0015308144421522026
Position 1672: 0.001433655075772409
Position 650: 0.0012517884909040015
Position 6910: 0.0011213783751206955
Position 218: 0.0011114033309115308
Position 6782: 0.0009350892560529974
Position 4819: 0.0008959897856177617
Position 7285: 0.0008835225065219525
Position 8661: 0.0008677858442274016
Position 7551: 0.0008433422148840128
Position 759: 0.000828836050075353
Position 1375: 0.0008249573248934247
Position 1304: 0.0007645572124675258
Position 5609: 0.0007310018007278274
Position 5581: 0.0006944040952832072
Position 4355: 0.0006870850240592866
Position 6953: 0.0006415334792150231
Position 4485: 0.0005961547738965383
Position 90: 0.0005686670263801081
Position 1394: 0.00046601512472596086
Position 8632: 0.00044794152622323224
Position 7897: 0.00043064920490179276
Position 222: 0.00042965486693798734
Position 232: 0.0004133204460718689
Position 4760: 0.0003990066776469187
Position 4429: 0.00039763985355088425
Position 8639: 0.0003558118091637525
Position 978: 0.0003465453027275458
Position 159: 0.000300693093122598
Position 6735: 0.0002816273305420413
Position 7578: 0.000277166845619498
Position 8161: 0.00026442872031772846
Position 2934: 0.00025065868965171037
Position 8224: 0.0002329297463890318
Position 6982: 0.00022946347932693837
Position 7679: 0.00022282955694906108
Position 1165: 0.00020711586838324046
Position 303: 0.00019483771203170197
Position 3459: 0.00017380039186869824
Position 169: 0.00016842599805538922
Position 528: 0.00012782377556910278
Position 1813: 0.00011025154256653243
Position 2604: 7.440793650890015e-05
Position 259: 5.953889009476868e-05
Position 92: 5.316448684683195e-05
Position 137: 3.720973008524722e-05
Position 481: 1.8909393105808052e-05
Position 261: 1.1578587421345343e-05
Position 13: 1.096220225851145e-05
Position 126: 1.0763155159238524e-05
Position 655: 7.443926083419686e-06
Position 444: 7.12670620086993e-06
Position 282: 5.4828817913826964e-06
Position 797: 5.361446523316303e-06
Position 193: 5.157647079499739e-06
Position 554: 4.61884381421222e-06
Position 463: 2.554838136568177e-06
Position 5265: 2.3169467773355355e-06
Position 557: 1.8470592325142525e-06
Position 6669: 1.7903268282311554e-06
Position 776: 1.5393342512997286e-06
Position 43: 1.5295028531268836e-06
Position 625: 1.4403918139996307e-06
Position 692: 1.0560307397306709e-06
Position 500: 5.404655540906615e-07
Position 768: 2.421265900645621e-07
Position 641: 1.6521298685136265e-07
Position 5137: 4.756943375478559e-08
Position 5146: 4.5699754291458816e-08
Position 140: 3.2479172434417627e-08
Position 684: 2.7304745417151795e-08
Position 484: 2.5985616911689753e-08
Position 672: 2.4551778249918873e-08
Position 706: 1.6839500097795334e-08
Position 5114: 6.240205726204383e-11
Position 356: 1.7692116627275692e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4705: 0.9966593988389537
Position 9264: 0.7167813841761641
Position 4355: 0.6327097804406097
Position 7193: 0.08388043473859645
Position 898: 0.05735929207453606
Position 7526: 0.05313361088506692
Position 4298: 0.05045928599759746
Position 1074: 0.050304768840593914
Position 3679: 0.04912936310213626
Position 7230: 0.044563381634200754
Position 8502: 0.041477895860557036
Position 6910: 0.034413456558260065
Position 1244: 0.022308896911430683
Position 344: 0.020651674902385665
Position 6344: 0.018089235558658996
Position 6603: 0.016735452990712284
Position 4245: 0.014946347802787785
Position 7678: 0.01485697330093542
Position 3765: 0.013533613619618119
Position 3807: 0.012162873049187659
Position 7142: 0.011697814713895595
Position 6378: 0.01156700986220034
Position 7833: 0.01052536091298771
Position 6757: 0.010436110236145211
Position 9365: 0.009378825719714542
Position 8072: 0.008901402473044471
Position 8542: 0.008744486303310879
Position 9397: 0.008508775867878758
Position 8148: 0.008214984078894249
Position 7470: 0.00785066015798313
Position 1281: 0.0078097572071176005
Position 8845: 0.007377705603194259
Position 8957: 0.007238618405445101
Position 2860: 0.0065339743946046846
Position 6214: 0.00646378822070002
Position 1113: 0.006084033605225551
Position 8425: 0.005778897417780229
Position 4359: 0.005585216616680687
Position 2570: 0.005483191105569952
Position 9299: 0.0053877029031426365
Position 4960: 0.005290975372018686
Position 7168: 0.004696479016651456
Position 8160: 0.004486123006676063
Position 5013: 0.0035643281333159957
Position 3919: 0.00356200387237204
Position 2748: 0.0033886167182438287
Position 8819: 0.0033346471777475173
Position 7112: 0.003196434634880871
Position 2425: 0.003121680260935472
Position 7035: 0.0030814126783592854
Position 1226: 0.0030074476482214595
Position 4777: 0.0028205482759894986
Position 3853: 0.002814455936972487
Position 7322: 0.00270032279285975
Position 9002: 0.002647275619572145
