Gene = Cck
index = 228
Annotated 5SS: [  97 1378]
Annotated 3SS: [1161 5492]
SMsplice 5SS: [  97 1378]
SMsplice 3SS: [1161 5492]
top_k =  1000
Partition function (log Z): -4.282160832431438

Sorted 5' Splice Sites (High to Low Probability):
Position 97: 0.9953766804540252
Position 1378: 0.7645410984192157
Position 5284: 0.1480356133722047
Position 961: 0.1477066578404508
Position 2326: 0.12969691789312982
Position 5329: 0.09269639311678511
Position 1368: 0.06876056252771433
Position 2230: 0.03723376167112532
Position 1500: 0.036395236519064074
Position 1684: 0.027395694416293286
Position 1572: 0.020900498105979184
Position 954: 0.01788611484778694
Position 3492: 0.016601783314940343
Position 1548: 0.016320932496060418
Position 2990: 0.009574719198186884
Position 5273: 0.007181992640989877
Position 2174: 0.006112030994106448
Position 3688: 0.005700589500476445
Position 1035: 0.003972546803097301
Position 280: 0.003945724485262218
Position 253: 0.0030828046275217995
Position 3115: 0.0023265782709838575
Position 5201: 0.0021310851338150337
Position 5658: 0.002026546847703334
Position 2184: 0.0018279265874398623
Position 3762: 0.0017630621397873808
Position 257: 0.0016608259369206254
Position 2993: 0.0015782027651676071
Position 2095: 0.0015298860655713817
Position 376: 0.001356677561542111
Position 3415: 0.0009059044905398104
Position 685: 0.000878400585557968
Position 1230: 0.0007306413585622952
Position 3235: 0.0007157302572387867
Position 1176: 0.0007006340897800743
Position 3134: 0.0006541549491579768
Position 3864: 0.0005895657115224232
Position 101: 0.0004362520829800884
Position 1762: 0.0003719613035698566
Position 2661: 0.0003241742884452595
Position 1091: 0.00028730493117667716
Position 1068: 0.00026539806433759853
Position 3598: 0.0002619432845718524
Position 4593: 0.00025943147362186174
Position 1184: 0.00025051425551182906
Position 619: 0.0002475572906472782
Position 5196: 0.0002225521562099901
Position 5623: 0.00017541890384355197
Position 2354: 0.00015197768722823344
Position 646: 0.0001459450898786065
Position 1827: 0.00011617362951019229
Position 2454: 0.00010969598141642862
Position 706: 8.86855122338415e-05
Position 129: 8.266054214263033e-05
Position 323: 7.333808585570836e-05
Position 998: 6.883571940463274e-05
Position 1089: 6.580909306303604e-05
Position 2349: 6.229624275466175e-05
Position 627: 5.9562794225024726e-05
Position 2108: 4.557027637385064e-05
Position 225: 4.3117575179467816e-05
Position 277: 3.929626498747905e-05
Position 127: 2.938668087367878e-05
Position 629: 2.6439507144231038e-05
Position 1191: 2.6208885977109396e-05
Position 1847: 1.9231145568885287e-05
Position 289: 1.6869345701629704e-05
Position 710: 1.6424134454454596e-05
Position 166: 1.5468903064455045e-05
Position 963: 1.4856420479642595e-05
Position 547: 1.4067844146845533e-05
Position 334: 1.292964925832544e-05
Position 542: 1.2476471873014659e-05
Position 698: 1.2235521110624467e-05
Position 649: 1.2097280207672718e-05
Position 557: 1.1888684225789264e-05
Position 1132: 1.0632510473395235e-05
Position 171: 9.128744836149461e-06
Position 1044: 8.829255853280178e-06
Position 284: 7.075351230180763e-06
Position 484: 6.607385296971486e-06
Position 1302: 6.550353498760342e-06
Position 486: 5.3025836690123995e-06
Position 476: 2.4179757113393253e-06
Position 1533: 1.772328453028989e-06
Position 1864: 1.0621503818750865e-06
Position 1766: 4.867905962062097e-07
Position 734: 3.23810076172723e-07
Position 186: 2.589475058596478e-07
Position 724: 2.0685630850750272e-07
Position 702: 8.859329659037301e-08
Position 696: 7.938381496801206e-08
Position 2118: 1.4086320389262424e-08
Position 848: 4.7397265385980865e-09
Position 722: 4.325753555349058e-09
Position 11: 1.3793925096169378e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5492: 0.9255362245311594
Position 1161: 0.6088753299250623
Position 5148: 0.19965837952216914
Position 852: 0.14849041922375966
Position 1226: 0.14188319201322294
Position 2162: 0.08720545180572939
Position 2039: 0.05429660785990418
Position 1435: 0.05347227167889947
Position 5093: 0.04652322996835506
Position 1265: 0.03181405272136551
Position 1242: 0.030426193729745803
Position 1926: 0.025625609124723735
Position 1200: 0.018431340370097898
Position 2856: 0.014894167364299602
Position 1649: 0.013813016611291952
Position 2287: 0.013154281165828088
Position 5117: 0.010258885795931892
Position 5456: 0.01015938488393239
Position 2906: 0.008859559717947846
Position 2424: 0.008401542546060726
Position 855: 0.00838020178309155
Position 1499: 0.007322098623228681
