Gene = SHQ1
index = 1255
Annotated 5SS: [  283  4122  6201  7436 16112 24057 31251 33131 35810 55565]
Annotated 3SS: [ 4056  6077  7280 15998 23928 31095 33076 35685 55443 97643]
SMsplice 5SS: [  283  4122  7436 16112 24057 30552 31251 39413 40586 40829 55565 65512
 68357 81868]
SMsplice 3SS: [ 4056  7280 15998 23928 30432 31095 39297 40455 40672 55443 65340 68298
 81759 97643]
top_k =  1000
Partition function (log Z): -21.312390478101175

Sorted 5' Splice Sites (High to Low Probability):
Position 16112: 0.9967058731507925
Position 31251: 0.9910559740592131
Position 24057: 0.9905347185655863
Position 7436: 0.9869727148746538
Position 4122: 0.9382428927276225
Position 40586: 0.8104360161797469
Position 39413: 0.6358374806396946
Position 40990: 0.5891913679045637
Position 30552: 0.5219563121180151
Position 132: 0.4853599980450192
Position 35810: 0.45223224941384743
Position 40829: 0.39199338670983397
Position 6201: 0.38078371581875
Position 36697: 0.33445405881121765
Position 4506: 0.3236133171710773
Position 16287: 0.312712601925315
Position 442: 0.2772057771858801
Position 13443: 0.27027903931104946
Position 6573: 0.24528066401380103
Position 40780: 0.19195552848990807
Position 39557: 0.18314833867623756
Position 4724: 0.1808930221870905
Position 40574: 0.16394177766358933
Position 4719: 0.16047767450611597
Position 44790: 0.15939772405847547
Position 44772: 0.12507510162150035
Position 26235: 0.12356893315960334
Position 16445: 0.12211532565653528
Position 26855: 0.12018210719229512
Position 45001: 0.114163651578994
Position 1439: 0.1106201255355855
Position 13002: 0.1051093733396336
Position 8857: 0.09312701277525377
Position 28180: 0.09037607143742421
Position 44531: 0.0902104485744022
Position 35852: 0.08814982374830434
Position 21799: 0.07992948677818272
Position 244: 0.06714443900376203
Position 35288: 0.06569788943595084
Position 43495: 0.06403794158797349
Position 32686: 0.059239016677852814
Position 2519: 0.057143077720147484
Position 29082: 0.054255822815968885
Position 1607: 0.04589901691048581
Position 36214: 0.045654450043562486
Position 17283: 0.04547474321258455
Position 47928: 0.04347266291368777
Position 46548: 0.04283250682054548
Position 4838: 0.041997120958932044
Position 48315: 0.036811880858551825
