Gene = Acbd6
index = 94
Annotated 5SS: [   738   6600   9560  43415  57851  66837 119113]
Annotated 3SS: [  6534   9462  43331  57744  66746 119081 128826]
SMsplice 5SS: [   372   6600   9560  37978  43415  57851  66837  68941  92289  93024
 118943 128922]
SMsplice 3SS: [  6534   9462  37909  43331  57777  66746  68831  92162  92823 118858
 128826 132584]
top_k =  500
Partition function (log Z): -71.5411331408989

Sorted 5' Splice Sites (High to Low Probability):
Position 9560: 0.9844384760180172
Position 6600: 0.9522252688627498
Position 372: 0.5389531302552771
Position 13068: 0.38024840020486506
Position 738: 0.3188932746588822
Position 2204: 0.3159251022614032
Position 1042: 0.24258201296635556
Position 690: 0.22813263494652608
Position 7027: 0.18618586420324917
Position 29: 0.18280836125380442
Position 185: 0.16695063787531192
Position 2154: 0.16407177008407817
Position 8038: 0.1041362516204162
Position 8782: 0.09308637198526952
Position 10098: 0.06175536755717396
Position 7624: 0.05918905970655723
Position 163: 0.05455141114653596
Position 6630: 0.04404176837782035
Position 10919: 0.04220069107234495
Position 2794: 0.03820049463043171
Position 14480: 0.03704001157292772
Position 2652: 0.03703119950388374
Position 11693: 0.023446380006304893
Position 14316: 0.02318339917129315
Position 8663: 0.021725467850927854
Position 3607: 0.01696927076612483
Position 14703: 0.015526800908231492
Position 8540: 0.01515195715399293
Position 2052: 0.011839653056346844
Position 3590: 0.010856308300248991
Position 11466: 0.009986016093729346
Position 9670: 0.006955967714604405
Position 104: 0.006789521528754651
Position 4652: 0.0062498006332508994
Position 9041: 0.005353480351618757
Position 1214: 0.004538775085579096
Position 191: 0.0036693644645959494
Position 3110: 0.003399815435985784
Position 362: 0.0033702088730643703
Position 6805: 0.002755625175491416
Position 13693: 0.002406295343732166
Position 2646: 0.0019398196539462274
Position 719: 0.0019143129293817654
Position 728: 0.001760534599014103
Position 11256: 0.0016297101316712448
Position 11011: 0.0014872806483434977
Position 2668: 0.0014099392660952936
Position 562: 0.0013649942586248548
Position 454: 0.001277469544767893
Position 357: 0.0011638600519788941
Position 7848: 0.0011248845182267205
Position 7628: 0.0007713912907145625
Position 1377: 0.000696265732533611
Position 829: 0.0006390463932256444
Position 7871: 0.0005952044342247254
Position 177: 0.0001729209123833299
Position 817: 0.00015427315015295685
Position 592: 0.00011666238618273227
Position 510: 0.00011076662817905045
Position 6670: 0.00010649326049218011
Position 825: 6.227562481692037e-05
Position 10026: 6.206328315137732e-05
Position 87: 5.705394147157028e-05
Position 833: 5.493062832714459e-05
Position 80: 5.067797085160586e-05
Position 7101: 4.26298828244429e-05
Position 11918: 3.940645537843855e-05
Position 33: 2.532210871330274e-05
Position 235: 1.586713738283738e-05
Position 41: 7.459325495526116e-06
Position 91: 5.391571476130424e-06
Position 45: 5.385378644443678e-06
Position 56: 3.620952826355784e-06
Position 306: 1.8164368296467168e-06
Position 381: 4.975807461197812e-10
Position 419: 1.3063055791087138e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6534: 0.9973355819275572
Position 9462: 0.9857167793331547
Position 14075: 0.5124616323462371
Position 12983: 0.4013837506897724
Position 2079: 0.2163866169511835
Position 280: 0.20508197708179804
Position 2051: 0.1773074997589291
Position 951: 0.16408868004396876
Position 552: 0.15861261642652938
Position 6906: 0.12268431124616552
Position 611: 0.11895701734652692
Position 8606: 0.11508335460462306
Position 15127: 0.09645712588403213
Position 15400: 0.08865096592771991
Position 11688: 0.06567925367170385
Position 10684: 0.06445562228695874
Position 7931: 0.06364194343146397
Position 7495: 0.06209481787062875
Position 17983: 0.05781786614202248
Position 1970: 0.054374522358248044
Position 6876: 0.044070503313146964
Position 2544: 0.0439497299069377
Position 15020: 0.04294269517747403
Position 10004: 0.03492429357474475
Position 9903: 0.03145254029083526
Position 925: 0.030474947686840875
Position 1929: 0.030469165435448878
Position 13251: 0.02642226423958573
Position 3469: 0.024390572232683535
Position 14366: 0.023157488614982517
Position 7776: 0.01867625122077568
Position 14605: 0.018491432258132733
Position 229: 0.018363105183148373
Position 11301: 0.018281082787821992
Position 867: 0.016345543872892675
