Gene = GeneID_100379188
index = 16
Annotated 5SS: [ 191 1017 1860 2304 2772 3765 4037 4805 5536 6289 6444 6710 6979 7383
 7734 8299 8719 8954 9440]
Annotated 3SS: [  924  1629  2133  2563  3626  3837  4658  5394  6138  6354  6515  6778
  7249  7586  8136  8572  8863  9286 10012]
SMsplice 5SS: [ 191 1017 2304 2772 3765 4037 4805 5536 6289 6444 6710 6979 7383 7734
 8299 8719 8954 9440]
SMsplice 3SS: [  924  2133  2563  3626  3837  4658  5394  6138  6354  6515  6778  7249
  7586  8136  8572  8863  9286 10012]
length: 10176
Partition function (logZ) = 68.18180041660138
#Introns = 3879
5SS, 3SS, prob
3765, 3837, 0.9625849447621141
2772, 3626, 0.9603519658534078
8954, 9286, 0.958974098841887
6444, 6515, 0.956566821328163
7734, 8136, 0.9521377719554902
4805, 5394, 0.9179607164975546
9440, 10012, 0.9133796022788776
8299, 8572, 0.8070736995980823
6710, 6778, 0.7753763395655394
191, 924, 0.775234487937131
4037, 4658, 0.7530143784895401
6979, 7249, 0.7153244911201938
5536, 6138, 0.6951367154052597
8719, 8863, 0.6745327193589661
2304, 2563, 0.6385899773505012
6289, 6354, 0.5515582977593635
7383, 7586, 0.5370926365681771
1017, 1629, 0.4125900353546047
7383, 7639, 0.3483124712035185
1017, 2133, 0.2986030343564011
6289, 6357, 0.23289954399434568
8719, 8850, 0.22649003062232861
6710, 6834, 0.22256108640960812
1860, 2133, 0.2157480253090947
5536, 6176, 0.18688993164793222
1860, 2563, 0.16105721046404647
4042, 4658, 0.15302612666205478
6979, 7270, 0.1315943426156357
8295, 8572, 0.08255687623917089
1017, 2563, 0.07716799854723788
1730, 2133, 0.0647645301975761
1017, 1729, 0.06348316035199236
2259, 2563, 0.058107584642710375
8299, 8863, 0.0551187044590131
191, 881, 0.04165258641493471
6289, 6515, 0.036228879846363096
6979, 7276, 0.036129331876141674
5536, 6354, 0.03526157682027162
4037, 4702, 0.02951474733811352
1730, 2563, 0.028630028841114725
6979, 7213, 0.027211246290379517
9470, 10012, 0.026532231299370455
7925, 8136, 0.026066710236044593
1708, 2133, 0.02595236849668473
6979, 7586, 0.02472123829255143
4869, 5394, 0.024098002061098706
4759, 5394, 0.023852297563124947
7734, 7840, 0.023078056216448213
191, 870, 0.022677773563138985
1017, 1749, 0.022594773501745623
9440, 9512, 0.021784598047659292
5803, 6138, 0.02104902268654517
8299, 8655, 0.02051260386022609
5536, 5636, 0.018123648848263178
7383, 7646, 0.017346940268619358
3710, 3837, 0.017148111759441927
7383, 8136, 0.01641237943811588
6997, 7249, 0.016327898404254144
8299, 8850, 0.01626209757554069
7383, 7528, 0.016064751074139436
1017, 2115, 0.01606264357079778
9666, 10012, 0.0158547406123098
1017, 1563, 0.015232544893370925
191, 1629, 0.01493517253079948
5536, 5681, 0.014583366198382672
341, 924, 0.014111088396043935
6979, 7639, 0.013888844911096116
9029, 9286, 0.013863243925684528
3765, 4658, 0.013072536469924935
191, 743, 0.012652761393769453
5536, 6357, 0.01264750055277577
6979, 7312, 0.01248718121781258
9440, 9561, 0.012434159366648993
191, 2133, 0.011805929293970733
1708, 2563, 0.011733575409974105
1860, 2115, 0.01067318319050005
8719, 9286, 0.010469415970786834
813, 924, 0.010454438530809108
4037, 4623, 0.00940456918204285
9715, 10012, 0.008768837389359083
1866, 2133, 0.008692188739850193
1017, 2080, 0.008634988898886916
822, 924, 0.008046393601047551
4037, 5394, 0.007958001787224575
5536, 6161, 0.00785603860959433
2718, 3626, 0.007611703781789471
2872, 3626, 0.006975000923679184
1041, 1629, 0.006884742118450856
9617, 10012, 0.006790481228094775
5536, 6071, 0.00672454655530106
1866, 2563, 0.006579890479033057
3011, 3626, 0.006561548856828379
5287, 5394, 0.00634948143373907
1017, 1677, 0.006276788439400726
7383, 7496, 0.006268540336220041
4042, 4702, 0.006003995158938869
1017, 1439, 0.00582199887044779
5803, 6176, 0.0057149369343431405
8295, 8863, 0.005661180156587282
4553, 4658, 0.005211936016769806
5536, 6121, 0.005201106762120172
4849, 5394, 0.005192346834019091
7383, 7556, 0.005182640208214448
1041, 2133, 0.005182150835866423
9440, 9963, 0.0051466999357588795
8954, 9119, 0.0049941885871601565
1860, 2080, 0.004713647075827039
1860, 2190, 0.004439223169838288
2772, 2866, 0.004379176033389378
4805, 4941, 0.004335879719707664
4037, 4408, 0.004267286737889946
6979, 7279, 0.004224151195313963
1017, 2190, 0.004121457885446484
4805, 5349, 0.004050046658340961
5536, 6515, 0.003963055960839001
191, 943, 0.0039611216545152785
5536, 6109, 0.0036735051048324284
229, 924, 0.0036227923887927394
2772, 3837, 0.003592266369275904
1541, 1629, 0.003539242502721723
191, 2563, 0.00352936417051968
4037, 4373, 0.003303547267748554
4546, 4658, 0.0032997557148988525
4166, 4658, 0.003278094855843611
9440, 9708, 0.0032160473492890253
2644, 3626, 0.003137918880491167
1730, 2115, 0.0031014077960200286
7416, 7586, 0.003074656020812914
7383, 7593, 0.0030642310393038386
6997, 7270, 0.0029613391539394756
2446, 2563, 0.002923131454282878
4805, 5222, 0.0029181146988489343
7693, 8136, 0.0027495235071866627
9662, 10012, 0.0027031373839907
9440, 9610, 0.002690575398480997
6979, 7179, 0.0026654826374552707
191, 887, 0.002625104661858257
2304, 3626, 0.00261894326269345
191, 630, 0.002617243031858093
191, 647, 0.0025952856178006727
8954, 10012, 0.002591387794011365
8954, 9301, 0.002568675809144209
8765, 8863, 0.0024679250372692274
9440, 9518, 0.0024184530467411753
5043, 5394, 0.002393033716493213
9711, 10012, 0.00238609442887497
1860, 1941, 0.0023563509276535426
1541, 2133, 0.002353366525764269
9568, 10012, 0.0023294451571815775
6979, 7220, 0.0022973040831152257
9149, 9286, 0.002194274089514464
8295, 8655, 0.0020980120512071377
5847, 6138, 0.0020900551015383254
3343, 3626, 0.0020828212867071505
1017, 1531, 0.002035077149055559
191, 1729, 0.0020348255217598967
8312, 8572, 0.0019152924700199365
4042, 4623, 0.0019094902646914988
191, 709, 0.0018906521070756223
1017, 1382, 0.0018849470281336515
195, 924, 0.0018786089682126393
9217, 9286, 0.001798335135359905
4447, 4658, 0.001779734331634332
6979, 7273, 0.0017675148674454312
6979, 7148, 0.001734135530166239
47, 924, 0.001731423518173959
8303, 8572, 0.0016743443448617313
8295, 8850, 0.0016715109683090033
191, 520, 0.0016298567325940133
4042, 5394, 0.001619605590371382
7416, 7639, 0.0016092760809235918
4012, 4658, 0.0016057632915153712
8259, 8572, 0.0015926754504178584
1839, 2133, 0.0015911218793224398
