Gene = LOC119629296
index = 850
Annotated 5SS: [414]
Annotated 3SS: [597]
SMsplice 5SS: [414]
SMsplice 3SS: [597]
Partition function (log Z): -7.050029453679354

Sorted 5' Splice Sites (High to Low Probability):
Position 414: 0.9300143802670381
Position 770: 0.39533499947062417
Position 284: 0.03816153001696326
Position 135: 0.012787967661674232
Position 1102: 0.011386275899960142
Position 1076: 0.00934183284166695
Position 383: 0.007499750305461993
Position 328: 0.004291696047203228
Position 127: 0.0023151503600332907
Position 814: 0.0021797139917127894
Position 906: 0.0019293680130407227
Position 199: 0.0018362865393089422
Position 1058: 0.001761210970026563
Position 881: 0.0017122855562945215
Position 469: 0.0015978551131631716
Position 876: 0.00143628331685965
Position 307: 0.001324313146871641
Position 1384: 0.0011731034199951764
Position 810: 0.0006047752611763165
Position 154: 0.0005919910408944901
Position 399: 0.0005811413773603108
Position 1080: 0.0002589167376001794
Position 98: 0.00021816629284892358
Position 507: 0.00020409167317799294
Position 1252: 0.00019399525528384907
Position 1050: 0.0001319061336076991
Position 1363: 0.0001181456736483747
Position 1278: 9.877690983541264e-05
Position 1453: 7.41977240603429e-05
Position 171: 6.869440047874637e-05
Position 1019: 5.833007123113328e-05
Position 276: 3.1734965019666876e-05
Position 750: 2.902858337552839e-05
Position 695: 2.402627232919109e-05
Position 1471: 2.279026468198096e-05
Position 713: 2.16862924474194e-05
Position 957: 2.0929863115740855e-05
Position 1032: 2.0292470698283147e-05
Position 1027: 1.7575876651227546e-05
Position 973: 1.742193927353841e-05
Position 57: 1.6032719635495717e-05
Position 1326: 1.523047207267511e-05
Position 130: 1.4595506124255458e-05
Position 678: 1.3176272442059722e-05
Position 222: 1.2606876195373732e-05
Position 1229: 1.2231858936443015e-05
Position 1210: 1.0970504942627263e-05
Position 456: 9.894138305089487e-06
Position 563: 9.5580578798363e-06
Position 1004: 9.078613261840609e-06
Position 1196: 5.69838576416648e-06
Position 1449: 4.164996179846264e-06
Position 294: 3.4653222614488464e-06
Position 916: 3.102660909291833e-06
Position 433: 3.033620220907944e-06
Position 922: 2.462421507807763e-06
Position 408: 2.127267620161566e-06
Position 352: 2.0315707770188617e-06
Position 1415: 1.917088841995525e-06
Position 489: 1.5115588592793265e-06
Position 133: 1.4082909681165344e-06
Position 1088: 1.3628602210710785e-06
Position 225: 1.280291906243715e-06
Position 600: 1.1912272463668155e-06
Position 482: 1.024852010049467e-06
Position 653: 1.0048395432283445e-06
Position 1212: 9.49538690129206e-07
Position 207: 4.690374604189803e-07
Position 1273: 2.4355323376947756e-07
Position 291: 1.6641607249934026e-07
Position 515: 1.406530785762298e-07
Position 1392: 1.3451941210370918e-07
Position 1291: 1.3336987389009719e-07
Position 693: 1.28258561443397e-07
Position 983: 6.960444768842026e-08
Position 1544: 4.680056864691924e-08
Position 644: 2.301087894318687e-08
Position 454: 6.748043731497939e-09
Position 1564: 3.463514229709888e-11
Position 1609: 1.9422335252475036e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 597: 0.8838348738992076
Position 955: 0.12565993091563704
Position 1173: 0.09224788109145313
Position 880: 0.04196250506233071
Position 1620: 0.038060739311984955
Position 932: 0.030645875221277288
Position 649: 0.030592985962634284
Position 1012: 0.023090296100897904
Position 1317: 0.02193158531143331
Position 825: 0.014691089875844884
Position 1296: 0.013467805799821946
Position 1233: 0.012720263464876338
Position 1146: 0.011638525480909457
Position 653: 0.009832484073992787
Position 1311: 0.008693774440145534
Position 1101: 0.007747243563679819
Position 1512: 0.00694166930547507
Position 1392: 0.0055888791252246845
Position 1054: 0.0052835925973187215
Position 1362: 0.005278480969298018
Position 1479: 0.0043033280248408095
Position 1515: 0.0029038864131005824
Position 1186: 0.0028826004095239364
Position 1525: 0.0028027445844711987
Position 1217: 0.002369162511767687
Position 531: 0.0023181792078617006
Position 899: 0.0022807078914690204
Position 1076: 0.0019494033091486745
Position 1337: 0.0018958728745313987
Position 688: 0.0018941948361261914
Position 929: 0.0017695652595958406
Position 191: 0.0016434063961463183
Position 1262: 0.0012461395675469396
Position 1449: 0.0011873315635418772
