Gene = SPCS1
index = 1306
Annotated 5SS: [205 626 802]
Annotated 3SS: [ 565  714 1608]
SMsplice 5SS: [626 802]
SMsplice 3SS: [ 714 1608]
top_k =  500
Partition function (log Z): -6.306831907759776

Sorted 5' Splice Sites (High to Low Probability):
Position 802: 0.8669099714294458
Position 626: 0.8548638602846629
Position 205: 0.320990843943562
Position 390: 0.03014515855192034
Position 735: 0.023934891384861864
Position 284: 0.018960237256617524
Position 500: 0.015386500550808188
Position 840: 0.007437409084251062
Position 968: 0.003515704174684933
Position 1736: 0.003096943289093801
Position 817: 0.0023985258079882417
Position 849: 0.002043240826824361
Position 1033: 0.0011828178253418193
Position 97: 0.0007455405984964816
Position 310: 0.0007364058844512468
Position 495: 0.0006941211724422595
Position 1768: 0.0006538807444518486
Position 515: 0.0006270275028933546
Position 813: 0.0005802505490735174
Position 1418: 0.0005734959375324045
Position 630: 0.0005133782595868721
Position 294: 0.0005117273715255049
Position 396: 0.0004438710840343657
Position 346: 0.0003857889178221669
Position 1058: 0.0003680617049679676
Position 105: 0.0002105872695101776
Position 858: 0.0001665515173235999
Position 470: 0.00011601902044802485
Position 267: 7.212909369014676e-05
Position 492: 7.069521538889356e-05
Position 1394: 6.424751904026222e-05
Position 1957: 6.112785684675087e-05
Position 797: 5.494365319471968e-05
Position 853: 5.3710916831884656e-05
Position 942: 4.461354995215882e-05
Position 111: 4.2756556842592505e-05
Position 960: 3.9492059878801144e-05
Position 1273: 2.953294796982845e-05
Position 316: 2.193948860469413e-05
Position 1975: 1.9420935846123733e-05
Position 476: 1.8393099322906695e-05
Position 772: 1.5802733220690115e-05
Position 750: 1.5684032679212375e-05
Position 756: 1.549985945810013e-05
Position 875: 1.5214435307333938e-05
Position 1219: 1.2697062270129192e-05
Position 243: 8.313024772998709e-06
Position 636: 7.874126229977672e-06
Position 529: 4.048132099275144e-06
Position 598: 2.0172859023540797e-06
Position 484: 1.8714058819310254e-06
Position 398: 1.8045199900548949e-06
Position 3: 1.2655673443408902e-06
Position 404: 8.832753968769652e-07
Position 75: 5.672710452566263e-07
Position 379: 1.6199231513281354e-07
Position 685: 4.138356883846634e-08
Position 835: 7.678444702824908e-09
Position 519: 3.060326357913841e-10
Position 237: 7.316006379002354e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1608: 0.9244058095062422
Position 714: 0.8675756410420791
Position 565: 0.25292765135279316
Position 915: 0.015190271082356214
Position 679: 0.013062146342266224
Position 1574: 0.010520222456513528
Position 718: 0.009611195973382643
Position 490: 0.008592028214525033
Position 404: 0.008557569222259384
Position 1136: 0.008556483672136217
Position 1393: 0.006976996577427758
Position 442: 0.006907282347468406
Position 1111: 0.006032544867186002
Position 1516: 0.0033261505053213828
Position 1875: 0.0028411091298374954
Position 1799: 0.0025101880041003707
Position 2085: 0.002135899779886823
Position 1653: 0.001412237823399331
Position 626: 0.0009073738804441184
Position 1273: 0.0006308698097408844
Position 1936: 0.0005890554601226793
Position 450: 0.0005200654694711861
Position 1339: 0.0004189724231180204
Position 1974: 0.0003669824928224655
Position 750: 0.0003661104283487146
Position 1772: 0.00036205384098519157
Position 1836: 0.0003356181560392259
Position 1750: 0.0003130689669050617
Position 1904: 0.00030061100264540153
Position 1195: 0.0002935741275401411
Position 394: 0.00022053504590654197
Position 1443: 0.00020399030937493887
Position 499: 0.00017579256265356675
Position 1302: 0.00017132734295190476
Position 604: 0.00012906607783052192
Position 945: 0.00012602563503341603
Position 862: 0.00011318808700678382
Position 1901: 0.00010459629856364717
Position 1032: 7.826159335206303e-05
Position 504: 7.749444486061166e-05
Position 1414: 7.277933138372923e-05
Position 418: 7.127984958553324e-05
Position 1521: 7.123960439603998e-05
Position 1880: 6.446504469022975e-05
Position 1355: 6.392986532207024e-05
Position 1210: 5.026491085466348e-05
Position 1254: 4.623173971417305e-05
Position 1947: 4.423855395628161e-05
Position 1669: 4.189532203415478e-05
Position 772: 4.178123461480505e-05
Position 253: 4.074906210666854e-05
Position 509: 3.459274732655434e-05
Position 875: 3.339705781990231e-05
Position 872: 3.3188852822611e-05
Position 201: 3.1087635821305554e-05
Position 1117: 3.071886898822492e-05
Position 942: 2.6001655184273582e-05
Position 423: 2.5639884152218805e-05
Position 985: 2.3613601394587523e-05
Position 992: 1.811050753367025e-05
Position 1467: 1.799157734437689e-05
Position 574: 1.4297862485263356e-05
Position 1676: 1.1361650438985814e-05
Position 1278: 9.942870199841185e-06
Position 370: 8.439260238502123e-06
Position 453: 6.972406913327035e-06
Position 492: 5.549035621119072e-06
Position 461: 8.539740498404571e-07
Position 455: 6.890152951880886e-07
Position 580: 6.511187326304692e-07
Position 162: 5.269508215568634e-07
Position 583: 2.567011795887591e-07
Position 630: 2.4129878688087653e-07
Position 166: 1.3599661857347824e-07
Position 273: 9.712838512361116e-08
Position 595: 7.122065560421378e-08
Position 823: 6.256181990681335e-08
Position 879: 3.635663758747507e-08
Position 685: 3.345190613431502e-08
Position 128: 2.334329751242476e-08
Position 587: 2.0667883608665636e-08
Position 261: 1.8693416394869923e-08
Position 844: 1.289894999823595e-08
Position 806: 6.828038699841991e-09
Position 209: 3.585889005225227e-09
Position 105: 2.3936514071693224e-09
Position 146: 1.6837046481348662e-09
Position 75: 1.0553720910875103e-09
Position 177: 6.207662531051826e-10
Position 185: 3.528893832189191e-11
Position 81: 1.7372779427000463e-12
