Gene = SPRTN
index = 1325
Annotated 5SS: [  557  1821  9878 13524]
Annotated 3SS: [ 1720  9748 13255 14561]
SMsplice 5SS: [  557  1821  9878 10112 10758]
SMsplice 3SS: [ 1720  9748  9993 10605 13255]
top_k =  1000
Partition function (log Z): -6.50348453147461

Sorted 5' Splice Sites (High to Low Probability):
Position 9878: 0.9334504768241088
Position 10112: 0.8447079374643123
Position 1821: 0.7980263330923447
Position 557: 0.719735865794439
Position 10758: 0.623919259025858
Position 13524: 0.4918597657067405
Position 6667: 0.4570552395373695
Position 1430: 0.2812105917580794
Position 9297: 0.2174515024687457
Position 157: 0.2010899439754549
Position 8879: 0.13659793748796775
Position 13720: 0.09599311860957552
Position 9663: 0.07713466160064288
Position 12756: 0.05943135258938939
Position 10128: 0.059282219698217974
Position 14292: 0.04882411230351929
Position 3059: 0.048681638492833995
Position 73: 0.04801933568340685
Position 83: 0.04026440246570503
Position 14723: 0.0384393666660877
Position 531: 0.03185725510413009
Position 778: 0.031780827174487485
Position 2931: 0.03145344335826301
Position 6267: 0.02908863801097091
Position 5848: 0.026552700529286277
Position 3087: 0.02482036707618519
Position 5756: 0.019223005735969075
Position 1488: 0.01606949097913564
Position 9527: 0.0160253064176936
Position 4526: 0.015949579632651492
Position 10293: 0.015778840736373315
Position 13396: 0.015483599621603717
Position 4657: 0.014543979170349016
Position 13987: 0.01343615952545016
Position 1454: 0.01266295930725061
Position 947: 0.009641906747383983
Position 102: 0.008955766902241825
Position 14577: 0.008376370568606071
Position 14440: 0.007455788214504352
Position 11739: 0.0071005496472603975
Position 1127: 0.006789694319913824
Position 14747: 0.006693833961977978
Position 14210: 0.005984536992151759
Position 1901: 0.005769811965296656
Position 13690: 0.00492023664004276
Position 4: 0.004555706073836737
Position 6275: 0.004387901463294128
Position 15032: 0.004358157732778566
Position 12324: 0.003849680948398979
Position 10795: 0.0035802624853929063
Position 5098: 0.002841766337880157
Position 10422: 0.00243379746312651
Position 793: 0.0021234959119664303
Position 1575: 0.002045053827525349
Position 8682: 0.0014435386435881865
Position 13826: 0.0013893857737466255
Position 10199: 0.0013667187095284274
Position 12644: 0.001261681363301836
Position 13991: 0.0012021269646144924
Position 931: 0.001143214140756013
Position 25: 0.001089266573736906
Position 6801: 0.0009255764812728389
Position 6932: 0.0009238604129254748
Position 1586: 0.0008707862073432633
Position 10762: 0.0008429188673595102
Position 1559: 0.000810925427901331
Position 10271: 0.0007887817378096666
Position 543: 0.0007879100337344806
Position 57: 0.000761739334124239
Position 1606: 0.0007498730382097474
Position 282: 0.0007463991057297168
Position 446: 0.0006257748895500994
Position 8836: 0.0006159490818416874
Position 970: 0.0005983530820244424
Position 252: 0.0005371572731087344
Position 1832: 0.0005130705925706627
Position 5139: 0.00040351887548747473
Position 9122: 0.00035901035499252956
Position 649: 0.00034521399635890004
Position 9262: 0.0003133656933548287
Position 1294: 0.00029798961788987855
Position 1638: 0.00028588645438755217
Position 1107: 0.00026513004153091356
Position 996: 0.0002540470792580916
Position 2692: 0.00025337374226726413
Position 1853: 0.00023364744651691916
Position 2613: 0.000230400421628723
Position 6202: 0.00022290816680576176
Position 11580: 0.00021759798597107018
Position 11686: 0.00021746647938226068
Position 1412: 0.00017403092082860853
Position 274: 0.00016140130907236268
Position 479: 0.00015199199785088897
Position 871: 0.000133730704559102
Position 12162: 0.0001145752274412333
Position 915: 0.00011437894448456037
Position 760: 8.518868316711383e-05
Position 1435: 8.336871011162446e-05
Position 5398: 8.327230828956008e-05
Position 450: 6.334874991540572e-05
Position 12414: 6.0356888091062884e-05
Position 353: 6.016862427189007e-05
