Gene = Erp29
index = 387
Annotated 5SS: [ 316 5366]
Annotated 3SS: [5226 6933]
SMsplice 5SS: [ 316 5094 5366 5602]
SMsplice 3SS: [4940 5226 5459 6933]
top_k =  500
Partition function (log Z): -5.715792132923144

Sorted 5' Splice Sites (High to Low Probability):
Position 316: 0.9292253013024121
Position 5366: 0.9290479724033168
Position 7062: 0.8044691182930543
Position 5602: 0.7489730289784522
Position 5094: 0.5750252777305143
Position 7324: 0.3253392441047821
Position 7288: 0.3055356061772548
Position 3462: 0.12230688762446686
Position 2270: 0.11071563584394488
Position 7894: 0.08432454995470483
Position 6707: 0.06339914675027103
Position 5353: 0.05259640973820213
Position 520: 0.04473484112884585
Position 352: 0.028878840735185256
Position 7056: 0.028686899851965042
Position 6695: 0.022225787612015987
Position 3197: 0.021629822188533866
Position 6458: 0.017878526550900255
Position 905: 0.016502020995676978
Position 6829: 0.01417474291959439
Position 6454: 0.013223388589285132
Position 1999: 0.011555966542945587
Position 4346: 0.009863510022973289
Position 4903: 0.009834052333805786
Position 3646: 0.008928751261602324
Position 3782: 0.008890709629520033
Position 6579: 0.008758528238649418
Position 6395: 0.006928857573422604
Position 11161: 0.006759479562105916
Position 6792: 0.004750315528589963
Position 1933: 0.004175578104279216
Position 2258: 0.004110889553943497
Position 5488: 0.003818928734338203
Position 1844: 0.0034565059627914667
Position 8085: 0.003361779389376872
Position 5066: 0.003047365858958773
Position 6338: 0.002742328709001157
Position 1869: 0.002644572659880909
Position 7043: 0.0021897628097429372
Position 6431: 0.0014786849274605503
Position 4720: 0.0013252746990615022
Position 7689: 0.0012536015123750595
Position 6964: 0.0010561755156093399
Position 7654: 0.0006964220975161106
Position 5592: 0.0005599195752023263
Position 216: 0.0004882387022688173
Position 99: 0.00042670588054737513
Position 5678: 0.0003846757152866514
Position 5536: 0.00032707401809638236
Position 722: 0.0002825792261493064
Position 579: 0.0002716633518118104
Position 6685: 0.000270923263638463
Position 672: 0.0002554787270562401
Position 1782: 0.0002371722668030646
Position 163: 0.0002065527813057645
Position 1927: 0.00020198152016124706
Position 1413: 0.0001497869351255117
Position 5789: 0.00011748150398302504
Position 344: 7.754185022692193e-05
Position 281: 6.996452477542212e-05
Position 127: 5.603497293196698e-05
Position 1810: 3.328990787585829e-05
Position 1733: 3.298020964531839e-05
Position 874: 2.939926433923576e-05
Position 1923: 1.4647597311272006e-05
Position 757: 9.183702793217216e-06
Position 184: 9.080136025995185e-06
Position 392: 8.740861611355713e-06
Position 220: 5.051495898891914e-06
Position 94: 4.841082938265912e-06
Position 785: 4.049547669038632e-06
Position 895: 3.544995151251306e-06
Position 7889: 3.073677788381142e-06
Position 822: 2.1796717993627096e-06
Position 60: 1.3750677655215131e-06
Position 301: 1.3054046590734758e-06
Position 138: 1.273912808940187e-06
Position 1710: 1.0989530121649129e-06
Position 1786: 1.038234874785815e-06
Position 1797: 1.0087150214561238e-06
Position 48: 9.988205519915162e-07
Position 407: 5.304959711020543e-07
Position 814: 4.839052080315855e-07
Position 5376: 3.5431784948600166e-07
Position 1363: 2.7791963772962137e-07
Position 368: 2.0368341700695916e-07
Position 774: 1.9618716391261356e-07
Position 1167: 1.6531337779210615e-07
Position 186: 1.5130095698752483e-07
Position 699: 1.35122124827113e-07
Position 470: 8.768558252746769e-08
Position 423: 7.781788204053276e-08
