Gene = AT2G31890
index = 342
Annotated 5SS: [ 289  475 2342 2516]
Annotated 3SS: [ 367  708 2432 2711]
SMsplice 5SS: [2342 2516 2790]
SMsplice 3SS: [2432 2711 2934]
length: 3381
Partition function (logZ) = -0.30940922492233813
#Exons = 1044
3SS, 5SS, prob
2432, 2516, 0.9517286550913824
2934, -1, 0.7774799321802319
2061, 2342, 0.4943203619932996
0, 475, 0.4390716996584559
2711, 2790, 0.42772437479769204
2711, 2802, 0.30314795645688286
0, 289, 0.2809673863356927
708, 1270, 0.26048576040705934
708, 1313, 0.25537975039404404
367, 475, 0.23021262353701025
1409, 1589, 0.152160309107683
0, 2342, 0.15193039048356058
2711, 2823, 0.13017413912922784
1790, 1870, 0.12102582250496109
2989, -1, 0.10872786661574181
1549, 1589, 0.09210659985033573
1549, 2342, 0.08248540031010632
1790, 2342, 0.07573791847370884
2896, -1, 0.07434661959233241
1409, 1585, 0.07302530422560927
1549, 1870, 0.06773543283979966
1409, 1529, 0.048747998996539185
2666, 2790, 0.04404165025652329
390, 475, 0.04127253400399014
1409, 2342, 0.040956240415158246
2079, 2342, 0.03738260443781428
1549, 1585, 0.03377393532390063
1409, 1870, 0.033590821453382436
2227, 2342, 0.0334691092142301
0, 1313, 0.029698904783541123
708, 883, 0.026742446267003218
2666, 2802, 0.02485499039271215
0, 1270, 0.02446058043315526
2432, 2495, 0.024361627843282246
708, 1012, 0.023896015331455397
708, 1589, 0.022180509691884866
1960, 2342, 0.0215536377436173
708, 1279, 0.019826418764193863
2196, 2342, 0.019479775175769497
0, 226, 0.016735647132852652
708, 879, 0.014927931990105543
0, 440, 0.013446702001862315
2711, -1, 0.012731295620115206
1605, 2342, 0.012065562405711676
3038, -1, 0.010763116919979894
0, 1870, 0.010667896931421558
708, 1585, 0.010642913318928008
1605, 1870, 0.010103714983352198
2666, 2823, 0.009284191011069903
0, 1589, 0.009153453997344695
708, 1019, 0.008539790704936132
1095, 1270, 0.008506727002247073
0, 619, 0.0084444416997786
2612, 2790, 0.007942644713240207
708, 2342, 0.007901221977130633
2432, 2520, 0.007706623331997328
393, 475, 0.007619451484610792
586, 619, 0.006897125304886213
708, 997, 0.006349676987343667
1913, 2342, 0.006087071562985199
1095, 1313, 0.006058075376236112
367, 440, 0.005960227299886895
1409, 1466, 0.005734802397592763
586, 1270, 0.005675924155423361
708, 1870, 0.005587137983699467
586, 1313, 0.0055706148600853525
1710, 1870, 0.0053579970748977674
708, 949, 0.005109666424230196
708, 1214, 0.005056067164175411
2432, 2529, 0.004893695488259745
708, 1529, 0.004787378750300656
415, 475, 0.004779508286140871
0, 1585, 0.004710483891518423
618, 1270, 0.00460456782137851
618, 1313, 0.004519203417145692
1474, 1589, 0.004506308588507629
2612, 2802, 0.004466483790887702
1710, 2342, 0.004108725580555434
2591, 2790, 0.00410819173852256
2444, 2516, 0.003250781400418537
1075, 1270, 0.0031035068001432067
1549, 1712, 0.0030874311888993635
544, 619, 0.002667421759356892
1075, 1313, 0.0025921468740399854
2971, -1, 0.002483899812373479
2711, 2852, 0.002480772361941196
672, 1270, 0.002445797369101022
1858, 2342, 0.0024266076523998
1409, 1478, 0.0024236340751215453
672, 1313, 0.002400164194083911
1889, 2342, 0.002395819761103423
2591, 2802, 0.0023294288303388026
559, 619, 0.0022336666628553995
1474, 1585, 0.002191420181842036
708, 1025, 0.0021179888296633167
708, 1319, 0.0019144296524116512
2958, -1, 0.0018331273485619499
1657, 2342, 0.0017670917652778018
1657, 1870, 0.001715726775186205
0, 1279, 0.0016972602477927524
2612, 2823, 0.0016952029190661865
2432, 2612, 0.0016529499784373872
2432, 2578, 0.0016027988381731029
319, 475, 0.001597682934012143
2432, 2790, 0.001585389137032518
639, 1270, 0.0015724859883072832
586, 640, 0.0015665934536712544
2718, 2790, 0.0015564127681494597
639, 1313, 0.0015429765490721566
2711, 2807, 0.001542858717491347
1221, 1313, 0.0015239166130130441
1155, 1270, 0.0014829670615427023
2666, -1, 0.0014560727132864224
708, 991, 0.0014389164148353004
739, 1270, 0.0013960400150073448
708, 1466, 0.0013820905301315494
367, 619, 0.0013787465732033415
739, 1313, 0.0013671995088178714
2711, 2835, 0.001345456264954703
0, 231, 0.0013232872354979881
2997, -1, 0.0012746874699346333
0, 292, 0.0012285376596712716
2859, -1, 0.0012217465283294252
2718, 2802, 0.0012157462035604248
2898, -1, 0.001179300815268003
646, 1270, 0.0011248861450653415
1483, 1589, 0.00111409917593637
646, 1313, 0.0011039582637997305
3116, -1, 0.001096872559224316
2877, -1, 0.0010911733893517817
520, 619, 0.0010798434185130589
1409, 1712, 0.0010713769971515156
2591, 2823, 0.00102123152340891
1155, 1313, 0.0010162204729790253
2711, 2809, 0.000998643854009738
420, 475, 0.0009933419233939366
2432, 2802, 0.0009789328117334305
708, 1332, 0.0009349992567068983
1430, 1589, 0.0008972874464790951
2711, 2847, 0.0008850177665164551
735, 1270, 0.000859696429006978
735, 1313, 0.000842023416367322
3105, -1, 0.0007418304971913835
3006, -1, 0.0007392720129925647
2711, 2837, 0.0007290901683866341
1152, 1270, 0.0007098090314923746
1374, 1589, 0.0006955645093027101
1095, 1589, 0.0006865720441698738
0, 1529, 0.0006648925367505266
0, 640, 0.000654154844455453
0, 1012, 0.0006450610401850105
0, 472, 0.0006104050076795814
1095, 1279, 0.0006007460720544104
3110, -1, 0.0005900995314423841
0, 596, 0.0005888775033834225
2718, 2823, 0.0005693920970258434
1434, 1589, 0.0005423824370552046
1483, 1585, 0.0005263448813382232
586, 1012, 0.0005237613066081568
742, 1270, 0.0005171542501712282
742, 1313, 0.0005068134620024926
2612, -1, 0.0004886570301832826
586, 1589, 0.0004798170587851751
1221, 1270, 0.0004755519912167306
1152, 1313, 0.0004532363229295263
390, 440, 0.0004457874785990553
586, 883, 0.00044453193236808884
559, 1270, 0.00043815113944279456
586, 1279, 0.000432058448856262
559, 1313, 0.00043001296943618466
2432, 2823, 0.00042626804107906863
618, 1012, 0.00042504145362617517
1201, 1313, 0.0004181199203234522
2874, -1, 0.00041699319187071257
1430, 1585, 0.00039817666109293645
618, 1589, 0.0003889496311844483
2727, 2790, 0.00038757578493736183
708, 1478, 0.0003682278546333586
0, 1214, 0.00036230513307278
2591, 2612, 0.0003613599371117738
618, 883, 0.00036075126910715114
0, 479, 0.00036018614426284757
1201, 1270, 0.00035659956354374236
618, 1279, 0.00035049417976220585
2727, 2802, 0.0003462026109863523
1474, 1529, 0.00034617751013897704
0, 1466, 0.00033470021339900594
3229, -1, 0.0003312065171937546
2591, -1, 0.0003289860054954513
1374, 1585, 0.00032678448283909563
367, 472, 0.000326267337410092
1095, 1585, 0.00031860163088754436
544, 1270, 0.0003184808476631948
708, 1437, 0.0003161807407314358
1605, 1712, 0.0003131961105858065
544, 1313, 0.0003124451896318379
1089, 1270, 0.00031134080559949
2432, -1, 0.0003103474822256807
559, 640, 0.00029249706996408917
0, 544, 0.0002868601748587507
1762, 1870, 0.0002853546155916631
778, 1270, 0.0002757693363050365
556, 619, 0.00026827563834746587
1075, 1589, 0.00026319071634470074
778, 1313, 0.00026317192990352243
1434, 1585, 0.0002612712061941365
390, 619, 0.00025780428292345033
1095, 1214, 0.00025668467327900267
2432, 2492, 0.0002506261622895387
1430, 1529, 0.0002464011941930975
1115, 1270, 0.0002446461876942
586, 879, 0.00024129342894447804
544, 640, 0.0002405468179681336
0, 1019, 0.00023553220879625288
1387, 1589, 0.00023471016892952722
0, 65, 0.00023064947789624263
367, 1270, 0.00023063343834485604
586, 1585, 0.0002302088273977369
367, 1313, 0.00022863839328121895
672, 1012, 0.00022583427587781493
0, 883, 0.0002215155371897075
1075, 1279, 0.0002206009462936614
586, 625, 0.00021664019010283537
1374, 1529, 0.00021537382273329494
1559, 1589, 0.0002067959822054891
618, 640, 0.00020535323881086867
1089, 1313, 0.0002041499103587536
1409, 1437, 0.00019874415740820105
2731, 2790, 0.00019772733366653255
618, 879, 0.00019579339742024096
2432, 2503, 0.00019457941835836275
2727, 2823, 0.00019332848146851262
672, 883, 0.00019296361998330898
0, 625, 0.00018858970032199714
2619, 2790, 0.0001885812372423298
586, 1019, 0.00018754318303688836
2731, 2802, 0.00018635314894347452
672, 1279, 0.000186161533781219
0, 1319, 0.00018547006367791263
672, 1589, 0.00018424201180036192
739, 883, 0.00018406456892521494
367, 479, 0.00018181155203324506
618, 1585, 0.0001814745791913369
3010, -1, 0.00017705982206909216
2666, 2852, 0.00017306546130335163
0, 319, 0.00016640412967182456
332, 475, 0.00016356936567997062
1053, 1270, 0.0001574998780104387
1434, 1529, 0.00015585283738196634
618, 1019, 0.00015218792507939937
2711, 2812, 0.0001484540548882975
639, 1012, 0.00014520216745125966
586, 997, 0.00013950537488079524
739, 1012, 0.000128604299121972
586, 596, 0.00012833759657766505
1115, 1313, 0.0001265794066229462
639, 883, 0.00012324757428927853
639, 1279, 0.0001196784173273555
2666, 2807, 0.00011964869308729836
2731, 2823, 0.00011387029667271936
618, 997, 0.00011322263784163533
1095, 1529, 0.00011220270631514275
586, 949, 0.00011219539541983544
586, 1214, 0.00011013406935364147
735, 883, 0.00010958902012729745
1053, 1313, 0.00010863020324746413
154, 289, 0.0001078202891067964
672, 879, 0.00010760848625956555
739, 1279, 0.00010611077060666634
0, 997, 0.00010600242168741604
2619, 2802, 0.00010542223578318609
646, 1012, 0.00010387459145545695
739, 879, 0.00010276400521571646
367, 596, 0.00010118067048560947
3375, -1, 9.87677305217928e-05
367, 640, 9.873051484355975e-05
1155, 1279, 9.663276870386656e-05
1075, 1214, 9.425799120856964e-05
2666, 2835, 9.423519074841649e-05
2432, 2559, 9.356776214033623e-05
618, 949, 9.104052233982926e-05
520, 1270, 9.005747454842797e-05
618, 1214, 8.93463016288827e-05
2061, 2516, 8.928088444631154e-05
646, 883, 8.817279907120379e-05
2711, 2826, 8.750999675243073e-05
646, 1279, 8.553729874393456e-05
2741, 2802, 8.507578466729949e-05
1549, 2062, 8.369313139418145e-05
1790, 2062, 8.307467466891656e-05
544, 596, 8.220291308588694e-05
672, 1019, 8.085687320593672e-05
735, 1012, 7.9306424276117e-05
0, 1332, 7.882174578386208e-05
2741, 2790, 7.836524846682157e-05
2666, 2809, 7.611992325461373e-05
154, 475, 7.507698126286935e-05
393, 440, 7.303983138910475e-05
367, 544, 7.235427778501754e-05
0, 494, 7.157777044081025e-05
708, 927, 7.072674113893111e-05
319, 440, 7.046081894615708e-05
520, 640, 6.991665568737435e-05
742, 883, 6.981561416541809e-05
1113, 1270, 6.971757900650656e-05
639, 879, 6.688454742545236e-05
2741, 2823, 6.666493363557031e-05
544, 625, 6.617436414057946e-05
520, 596, 6.358268733029419e-05
0, 1478, 6.245732609388368e-05
735, 1279, 6.219280770131401e-05
559, 625, 6.20506412613808e-05
415, 619, 6.143123075841097e-05
735, 879, 6.139833469647903e-05
2444, 2495, 6.123081959076674e-05
672, 997, 6.0161089436248916e-05
520, 1313, 5.794979565670513e-05
0, 2516, 5.7660515047110464e-05
2666, 2847, 5.620627648480206e-05
390, 472, 5.556479083733899e-05
0, 879, 5.3077771032713106e-05
639, 1019, 5.198939922129873e-05
393, 619, 4.9501202348192495e-05
678, 1270, 4.945354978497273e-05
559, 596, 4.932196872871449e-05
672, 949, 4.8370771501751766e-05
646, 879, 4.7850812976451794e-05
742, 1012, 4.780549424915852e-05
672, 1214, 4.746059132423755e-05
778, 883, 4.730892372220363e-05
2718, -1, 4.665906692567476e-05
586, 1025, 4.6502533438025864e-05
0, 2062, 4.648377785300831e-05
2666, 2837, 4.6454025983875587e-05
739, 1019, 4.605119334912803e-05
2432, 2599, 4.599042237335785e-05
1221, 1279, 4.4996263732323545e-05
938, 1270, 4.1986418916470375e-05
1409, 2062, 4.194306815522428e-05
0, 98, 4.185875072659102e-05
1960, 2062, 4.055519415270195e-05
559, 1012, 4.042902255804283e-05
742, 879, 3.912070648032992e-05
2619, 2823, 3.907728716887497e-05
1549, 2031, 3.9075208207704646e-05
639, 997, 3.8683704322602745e-05
618, 1025, 3.773291849785394e-05
646, 1019, 3.719012687332015e-05
390, 1270, 3.6735413475226246e-05
2612, 2852, 3.505512847994455e-05
390, 479, 3.4514831925708744e-05
559, 883, 3.43134133228257e-05
739, 997, 3.4243638294040334e-05
1075, 1585, 3.264144703356956e-05
1152, 1279, 3.253277491622695e-05
556, 640, 3.248692911229708e-05
586, 991, 3.161135393221454e-05
639, 949, 3.109950381472236e-05
2461, 2516, 3.0891174730378644e-05
367, 494, 3.064585351905834e-05
639, 1214, 3.0514606726740053e-05
367, 625, 3.0364360334164788e-05
586, 1529, 3.0087973703975625e-05
390, 1313, 2.9575189992669896e-05
544, 1012, 2.940992234523561e-05
0, 1437, 2.8660959536279415e-05
735, 1019, 2.839856916218374e-05
1790, 2031, 2.816248511224098e-05
739, 949, 2.792833372033943e-05
646, 997, 2.767341366776999e-05
742, 1279, 2.7651742421191632e-05
556, 1270, 2.7346439422456625e-05
739, 1214, 2.7051513742632273e-05
618, 625, 2.6479832027699296e-05
778, 879, 2.5957255244276414e-05
618, 991, 2.5655171362420345e-05
778, 1012, 2.55710209619666e-05
2444, 2520, 2.5324518189754202e-05
1387, 1585, 2.531452723498808e-05
639, 1589, 2.5016427403880417e-05
544, 883, 2.496336434952637e-05
415, 440, 2.374889486918898e-05
520, 625, 2.349503385449099e-05
559, 1279, 2.3303903144505956e-05
367, 1012, 2.287749528726794e-05
963, 1270, 2.2800703903298027e-05
646, 949, 2.224952594273464e-05
2669, 2790, 2.2039742770595742e-05
739, 1589, 2.1848581831658555e-05
0, 170, 2.1480143041041137e-05
0, 393, 2.1258339210447534e-05
735, 997, 2.111615223554059e-05
2612, 2807, 2.0869063298734323e-05
