Gene = Selenos
index = 961
Annotated 5SS: [ 141  818 3858 7388 7623]
Annotated 3SS: [ 682 3750 7297 7543 9117]
SMsplice 5SS: [ 141  818 3858 7388 7623]
SMsplice 3SS: [ 682 3750 7297 7543 9117]
top_k =  100
Partition function (log Z): 2.3449155524030783

Sorted 5' Splice Sites (High to Low Probability):
Position 3858: 0.9995072327772901
Position 7623: 0.9874514113268321
Position 7388: 0.9213424891931274
Position 818: 0.8361554014727995
Position 141: 0.7351808354177368
Position 6594: 0.4528510085955095
Position 170: 0.25698722800989604
Position 9237: 0.2436786810847298
Position 8664: 0.10822453206250486
Position 3569: 0.10100105826030088
Position 3579: 0.09970066315142694
Position 6150: 0.07475026118420534
Position 3211: 0.05643971722286795
Position 8567: 0.05014859108060037
Position 8668: 0.03994581637321015
Position 1377: 0.0399425602128506
Position 6427: 0.03443839230832637
Position 8300: 0.028364670058108325
Position 2062: 0.027401103980531312
Position 4111: 0.0186142271986794
Position 8309: 0.01718722458158687
Position 2423: 0.015617062946706858
Position 5868: 0.013324380152903176
Position 576: 0.012370908193377864
Position 890: 0.010450750960782549
Position 3195: 0.006467452667926422
Position 9301: 0.00499890579454826
Position 7620: 0.0045613221467722224
Position 6637: 0.0033848497547436414
Position 134: 0.0029404049117681304
Position 7998: 0.002042205796758604
Position 9211: 0.001620626487138912
Position 611: 0.0014985644791963072
Position 174: 0.0005686742769513824
Position 606: 0.000419323539573999
Position 391: 0.0003432384681059363
Position 253: 0.0002921082344636017
Position 570: 0.0002667219968860435
Position 994: 0.00023124325572218275
Position 88: 0.00017568128610710083
Position 832: 0.00011755413054712519
Position 862: 0.00010736752916219472
Position 40: 9.499674886653425e-05
Position 1031: 7.84760272074735e-05
Position 501: 7.838309953751594e-05
Position 368: 6.401428101842615e-05
Position 512: 5.9334608542768705e-05
Position 526: 5.5512136061728615e-05
Position 296: 5.3226390155136654e-05
Position 326: 4.7750049018859754e-05
Position 340: 3.601560779487666e-05
Position 441: 3.566135796813986e-05
Position 551: 2.750329098934539e-05
Position 520: 1.653751916707853e-05
Position 226: 1.9412352317254857e-07
Position 196: 1.9419879848745488e-08
Position 56: 1.2706636360335724e-08
Position 44: 9.329476300640454e-09
Position 50: 9.157922382163584e-09
Position 37: 6.311954177965543e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9117: 0.9951869532960254
Position 3750: 0.9876941301998015
Position 7543: 0.9411615445709113
Position 7297: 0.8462220563736541
Position 682: 0.8402641308498964
Position 6499: 0.45623585835025315
Position 3469: 0.20072954551896374
Position 9339: 0.17427438206041254
Position 8501: 0.13687956444563115
Position 7148: 0.07512116711971013
Position 8463: 0.06387337427913714
Position 3124: 0.06290716989079438
Position 9456: 0.0503876506675701
Position 6054: 0.043155274602731275
Position 6324: 0.03443839230832637
Position 8154: 0.03328222717551297
Position 7550: 0.031228333819445085
Position 1882: 0.024828145202635703
Position 1158: 0.022288645912522446
Position 5976: 0.021643277704827733
Position 1260: 0.013196308359299613
Position 9453: 0.012595272168331336
Position 8212: 0.012122390360210258
Position 6028: 0.009951708876646332
Position 7496: 0.009679901457483429
Position 3770: 0.009395639086611394
Position 4013: 0.009182666037932113
Position 2312: 0.008030882103254009
Position 5825: 0.007486489627654386
Position 9703: 0.006240813280743907
Position 7589: 0.006180156798487753
Position 725: 0.006121822905270462
Position 5782: 0.005837890525248791
Position 432: 0.005537482917626208
Position 3985: 0.004904136394580304
Position 3943: 0.004527424766166983
Position 2389: 0.0040044319041738176
Position 321: 0.003692319945458215
Position 2348: 0.00358174893927903
Position 7524: 0.0033911488381530024
Position 9684: 0.0028977175810556586
Position 1994: 0.0025729587778956105
Position 3705: 0.002389639383641237
Position 1275: 0.0023567647107364245
Position 9733: 0.002283308386744345
Position 1215: 0.0020904805856944734
Position 8331: 0.00208027786983424
Position 7804: 0.002042205796758604
Position 512: 0.0016332549372966836
Position 9633: 0.0009793711102194975
Position 701: 0.000686075754243165
Position 9737: 0.0006396981113394426
Position 7547: 0.00037091368888735667
Position 9082: 0.00029876962568758567
Position 459: 0.00029714107905030407
Position 451: 0.00023354680413380737
Position 548: 0.000212113963256608
Position 8159: 0.00014727710397198214
Position 389: 5.689584110394306e-05
Position 753: 1.8877650701312655e-05
Position 1169: 1.0360644597647438e-05
