Gene = PIP
index = 1032
Annotated 5SS: [ 135 3223 7113]
Annotated 3SS: [3116 6997 7440]
SMsplice 5SS: [ 135 3223 7113]
SMsplice 3SS: [3116 6997 7440]
top_k =  1000
Partition function (log Z): -5.422546275666051

Sorted 5' Splice Sites (High to Low Probability):
Position 3223: 0.9782294991375848
Position 135: 0.855296394305177
Position 7113: 0.6097654714403878
Position 3495: 0.3830119169534258
Position 5276: 0.3721679291589832
Position 3815: 0.23305854768731726
Position 6064: 0.1742262301243111
Position 3468: 0.10957080424357592
Position 5533: 0.10043161507055032
Position 3833: 0.06750056276225233
Position 3612: 0.06381634683888468
Position 1197: 0.061884865718658616
Position 3658: 0.05963735183330891
Position 4523: 0.053241050178328315
Position 1048: 0.053161017455991125
Position 513: 0.04793011944392019
Position 278: 0.027117747718586264
Position 701: 0.026346470297314337
Position 2491: 0.02579864976806305
Position 394: 0.024380132627198223
Position 384: 0.023846864482635365
Position 4612: 0.023359433691297463
Position 6219: 0.02244440098708485
Position 3533: 0.02186272496327659
Position 2486: 0.020712192042783586
Position 2494: 0.01961575917203965
Position 4464: 0.016578428495424884
Position 2536: 0.01517316449226792
Position 4235: 0.014103296224751904
Position 1184: 0.013802738772913537
Position 6460: 0.012855636212261969
Position 5271: 0.007744130922291863
Position 3936: 0.0075775502438843925
Position 5997: 0.0067462225511100895
Position 759: 0.005469066222437292
Position 879: 0.00466977170915962
Position 1427: 0.0024840924996848025
Position 3822: 0.0023704456812222567
Position 2736: 0.0020125146907998084
Position 1800: 0.0020007745551009182
Position 1276: 0.001917726615971262
Position 7035: 0.0018163938296823757
Position 988: 0.001786325972986456
Position 3157: 0.0013522542580179065
Position 371: 0.0012962941591863257
Position 4379: 0.001290578510870353
Position 7279: 0.0012718019435705523
Position 1716: 0.00117703717833041
Position 677: 0.0010766404187266799
Position 1555: 0.0010252742172208605
Position 391: 0.000962270796484562
Position 5975: 0.000846910143534009
Position 946: 0.0008404028300115451
Position 3616: 0.0007917978873332568
Position 788: 0.0007643801933407881
Position 2654: 0.0007448632773962698
Position 1725: 0.0006675271785138269
Position 4362: 0.0005527047233167753
Position 4593: 0.0004792596367874384
Position 4294: 0.0004444512537204686
Position 6410: 0.00041887343083946583
Position 3505: 0.0003517842789866468
Position 7117: 0.0003191265114754634
Position 7509: 0.0003116735670028435
Position 4616: 0.00025440420004519445
Position 3220: 0.00020943535000758894
Position 3153: 0.00019136675556945325
Position 3516: 0.00014781002997445487
Position 4606: 0.0001212821349538897
Position 3227: 0.00010350827193729552
