Gene = Rps11
index = 927
Annotated 5SS: [ 143 1021 1277 1611]
Annotated 3SS: [ 888 1200 1480 1880]
SMsplice 5SS: [ 143  340 1021 1277 1611]
SMsplice 3SS: [ 221  888 1200 1480 1880]
top_k =  1000
Partition function (log Z): 4.784529452302316

Sorted 5' Splice Sites (High to Low Probability):
Position 1277: 0.9726864075572467
Position 1611: 0.9417510124441683
Position 1021: 0.8213000633953493
Position 143: 0.772388332317932
Position 340: 0.5807983379957911
Position 695: 0.20305854842856355
Position 978: 0.1110073526247819
Position 815: 0.057498957359684945
Position 187: 0.021224734771352092
Position 645: 0.01957431816046457
Position 1620: 0.018800762500858912
Position 285: 0.017154288638095847
Position 412: 0.01662760249025459
Position 1551: 0.009313426962703755
Position 507: 0.005313373199988534
Position 293: 0.005280401461740356
Position 1333: 0.004173698842678325
Position 995: 0.003479657393902861
Position 311: 0.0031103846627206994
Position 178: 0.0030264054187983066
Position 72: 0.00277420060508537
Position 421: 0.002658743768915004
Position 1244: 0.0025725738543805566
Position 1262: 0.002364891605588059
Position 738: 0.0021863127449739486
Position 1584: 0.0021804757675909195
Position 658: 0.002066140855951214
Position 1960: 0.0017042544456934712
Position 31: 0.0015842362635583075
Position 156: 0.0011855444688296862
Position 1063: 0.001149945056136562
Position 808: 0.0011113882797969747
Position 1065: 0.0007692593484263871
Position 1126: 0.0007626555457613072
Position 717: 0.0007302261205468505
Position 1307: 0.0007168142782276717
Position 251: 0.0006335738996040386
Position 315: 0.0006087025138423962
Position 1670: 0.0005350529567456216
Position 940: 0.0005144723807685926
Position 1776: 0.00047413979309073793
Position 1596: 0.0004281899870486941
Position 734: 0.00042214512763823745
Position 1096: 0.00040120917131102984
Position 481: 0.00027363714017389015
Position 1588: 0.0002685143616161471
Position 1604: 0.00020956458462211746
Position 151: 0.00020255247472372308
Position 637: 0.00015266908578039036
Position 1297: 0.00014560946418260915
Position 199: 0.0001401362387866719
Position 458: 0.00013456999680102447
Position 762: 0.00013188161732499994
Position 1338: 0.000123043730870133
Position 1364: 0.00012277820509530585
Position 1169: 0.00010648484439650616
Position 1939: 0.00010548386868122821
Position 16: 0.0001005832146844928
