Gene = bip1
index = 1629
Annotated 5SS: [ 253  834 2838]
Annotated 3SS: [ 666 2539 3273]
SMsplice 5SS: [ 253  834 2838]
SMsplice 3SS: [ 666 2539 3273]
length: 4381
Partition function (logZ) = 1.3788833177699586
#Exons = 1619
3SS, 5SS, prob
0, 253, 0.9718584025226431
3273, -1, 0.8580700605464431
2539, 2838, 0.8354125054107893
666, 834, 0.8263316582305351
906, 1086, 0.19557219895137323
702, 834, 0.11455831740414978
906, 2493, 0.0969821983138071
906, 2838, 0.0925349131445441
906, 2405, 0.07328783135949901
3273, 3548, 0.04824962057252188
361, 550, 0.046284207197907774
3273, 3477, 0.042054984284515234
3981, -1, 0.035450126962743994
3840, -1, 0.03526867175761369
906, 1798, 0.033089621068335746
906, 1254, 0.027423990503779378
3681, -1, 0.025379225347894704
2987, 3200, 0.021617102618841956
906, 1867, 0.019881387323747415
906, 1584, 0.01571034597439201
361, 834, 0.015284200118636737
3273, 3512, 0.014711628715948968
2987, 3213, 0.01299155428979935
123, 253, 0.01102099915031718
348, 550, 0.01007851150439611
906, 1258, 0.00858471836163305
2987, -1, 0.007807283237900173
1173, 2493, 0.00767089663307705
2043, 2838, 0.007580754538377191
1173, 2838, 0.0074909209249084
3801, -1, 0.0072744649143027095
2043, 2493, 0.007254122793981998
3273, 3718, 0.006442100743050296
2043, 2405, 0.006422891452628937
3780, -1, 0.006407787269611762
0, 301, 0.006399423910150737
1782, 2493, 0.0062051887440575096
1782, 2838, 0.006100734393741513
0, 57, 0.006035558546245268
1173, 2405, 0.005751046842912169
906, 1785, 0.005357072045318366
0, 46, 0.005353288046714579
906, 2148, 0.0052148155901825385
1782, 2405, 0.004785124658222998
761, 834, 0.004086216949933165
0, 550, 0.003952621837979238
906, 1886, 0.0038787199042502433
2987, 3034, 0.0037078919981260333
348, 834, 0.003689891688368796
906, 1535, 0.0036798961035039175
2469, 2838, 0.0035347610127705355
3639, -1, 0.0029612406304260234
3273, 3736, 0.0028181769980631832
2539, 2887, 0.0026218819444272616
361, 502, 0.002577298820993454
1157, 2838, 0.0025370149526694995
0, 834, 0.0024976536763908924
1173, 1798, 0.0024850421614649016
1303, 2838, 0.0024765257855326136
3858, -1, 0.002365479229469863
906, 1319, 0.0023242696017932957
1303, 2493, 0.0022965034198525166
4023, -1, 0.002290201708750029
2911, 3034, 0.002285437624155946
1157, 2493, 0.002283461491712979
906, 1682, 0.0022356017131397064
2609, 2838, 0.0022223054542780092
906, 1599, 0.0022165001978664183
722, 834, 0.0022112545626974986
1021, 2838, 0.002181014935353332
906, 2490, 0.0021108285543714094
1173, 1254, 0.0021009371516310846
2911, 3200, 0.002087125505603979
2748, 2838, 0.002060752811648106
0, 362, 0.0020325528336192934
3573, -1, 0.002032088897798326
1021, 2493, 0.0020209055109617056
1005, 1086, 0.002007953844182232
1005, 2838, 0.0019881938910972052
906, 1735, 0.0019880394662373955
1303, 2405, 0.0018884767420711745
1157, 2405, 0.0018526452431386104
1005, 2493, 0.001845521612024414
2209, 2405, 0.0018197979790896509
666, 787, 0.0017913849950330432
906, 1145, 0.0017739095097749913
906, 1618, 0.0017621637521594703
1954, 2838, 0.0017060758960633616
3273, 3555, 0.0016945290123488968
1021, 2405, 0.0016784229157950467
906, 1495, 0.0016244633402749387
2539, 2883, 0.0016178925644422298
1782, 1867, 0.0015768483389171223
1021, 1086, 0.0015698428806624617
906, 1419, 0.001541671068445737
1173, 1867, 0.0015412864611391256
1954, 2493, 0.0015323506220066246
1005, 2405, 0.0015246944478779804
1867, 2838, 0.0015008821183185798
2466, 2838, 0.001416111178703125
666, 2838, 0.001404707905621766
666, 2493, 0.0013945098303767669
2635, 2838, 0.0013695174007151752
2911, -1, 0.0013391563810523927
3150, -1, 0.0013338172173935922
3150, 3200, 0.0013198096601280426
1406, 2838, 0.001267272695071075
2911, 3213, 0.0012425985777649085
582, 834, 0.001235389918278917
1406, 2493, 0.0012195222190070532
1954, 2405, 0.0012066490361019961
1867, 2493, 0.0011700445998208287
666, 1086, 0.0011699692350081103
1173, 1584, 0.001168184986918856
1867, 2405, 0.0011433361700397295
4359, -1, 0.0011340126733796318
3150, 3213, 0.0011295679708972811
3273, 3739, 0.0011060214759947584
2572, 2838, 0.0011026838762781778
666, 2405, 0.0010330100751356531
2209, 2838, 0.0010235313828769882
906, -1, 0.0009956996103891742
3330, -1, 0.0009946012035810772
384, 550, 0.000985354091753894
2209, 2493, 0.0009834163992482514
1021, 1254, 0.0009712575602950808
3752, -1, 0.0009545998341696685
3347, -1, 0.000922030251259051
1406, 2405, 0.0009166273546562633
1157, 1254, 0.0009157409019091764
906, 2438, 0.0008636199072575906
1157, 1798, 0.0008269405684040059
361, 492, 0.0008051381390304864
1303, 1798, 0.0008042677449403481
1005, 1254, 0.0007916601718344409
408, 550, 0.0007891985692719748
1021, 1798, 0.0007794574813638706
3412, -1, 0.0007468929846701019
3537, -1, 0.000742190859632744
1895, 2838, 0.0007421506634497754
1005, 1798, 0.0007104470136498302
906, 2329, 0.0006879308718176938
1173, 1258, 0.0006862185542356511
4370, -1, 0.0006800697650451163
666, 865, 0.0006798452221093463
3618, -1, 0.0006626731126456639
348, 502, 0.0006357543956390779
2043, 2148, 0.0006215127517754566
3121, 3200, 0.0006207546609747289
906, 1750, 0.0006175970133450733
2539, -1, 0.0005935247007289657
906, 2158, 0.0005861093435067536
3624, -1, 0.0005748021105327218
0, 30, 0.0005555482385534247
906, 1697, 0.0005544512577914408
906, 1365, 0.0005522624876533174
906, 1242, 0.0005445268539862654
1216, 2838, 0.0005374654797308528
2469, 2493, 0.0005315100745178096
1895, 2405, 0.0005295746880011953
1983, 2838, 0.0005282989635670882
1157, 1867, 0.0005215410663966427
1303, 1584, 0.0005145358283906179
1303, 1867, 0.0005055093579473886
2733, 2838, 0.0005034637246440351
1406, 1584, 0.0004946704354750647
2669, 2838, 0.0004916901955192674
666, 1798, 0.0004806388138798635
2626, 2838, 0.00047502777770080836
1895, 2493, 0.0004679717235140259
1021, 1867, 0.0004557663540660687
2497, 2838, 0.00045179581325698666
361, 483, 0.0004327531009339429
1406, 1798, 0.00042965907156455017
906, 1273, 0.00042665839352698206
452, 550, 0.0004241852388581213
1005, 1867, 0.0004141458181577686
2539, 3200, 0.00040930561174166335
906, 2497, 0.00040792976042210025
1173, 1319, 0.0004049056849681437
3273, 3876, 0.0003938142517002422
906, 1038, 0.0003907442407919593
1216, 2405, 0.0003900588735749946
609, 834, 0.00038924651191380555
1173, 1785, 0.0003880990281513404
1157, 1584, 0.0003815570370866442
666, 1254, 0.0003702532842871593
2987, 3093, 0.00036183712339600815
1983, 2405, 0.00036159031164703594
1173, 2148, 0.0003613895784010154
1782, 1886, 0.0003611858539606915
1021, 1584, 0.0003602662895161177
3121, -1, 0.0003573942026633824
1216, 2493, 0.0003568532241337011
348, 362, 0.0003568199556114899
0, 266, 0.0003508786167057755
906, 1157, 0.0003463065575402792
2911, 2988, 0.000344610269975534
1782, 1798, 0.0003358629261697101
1750, 2838, 0.0003293595763198849
3273, 4288, 0.00032876562870625385
1005, 1584, 0.00032743351043596674
1782, 2148, 0.00032120610853487904
906, 2887, 0.0003194323809223264
361, 554, 0.0003158641741323341
2539, 3034, 0.00030523816566074494
1157, 1258, 0.000294577213407363
1173, 1535, 0.00029440678918392013
666, 1867, 0.00029390343796410344
384, 834, 0.00029346237174577655
366, 550, 0.00028911807035557265
1021, 1258, 0.00028911498595770625
3818, -1, 0.00028796416285286236
4115, -1, 0.00028789172123296866
906, 1478, 0.000272075632244152
1173, 1886, 0.00026472918274764217
186, 253, 0.00026081498270250433
408, 834, 0.00025168288627008876
666, 838, 0.000245876387713863
3273, 3481, 0.00024433371425357366
1005, 1258, 0.000236319373751027
666, 1584, 0.0002345605669294973
452, 834, 0.00023154495232586113
1406, 1867, 0.00023121171243830864
906, 1415, 0.00022942189809145694
4118, -1, 0.0002269645791557871
1415, 2838, 0.00022338604096238304
4208, -1, 0.00022308009135909042
0, 502, 0.00022110247354350818
2987, 3548, 0.00021766879664289558
702, 2838, 0.0002167794442275325
3273, 4303, 0.00021209431638126246
3273, 4046, 0.0002084740633977849
906, 1580, 0.00020547235021732443
348, 492, 0.00020445422702548813
3273, 4247, 0.00019827414637682474
702, 1086, 0.000198104530011784
906, 2883, 0.00019640371093901414
2539, 2866, 0.00019564622715496205
2934, 3034, 0.00019371495801033664
1838, 2838, 0.00019314315638903855
906, 1892, 0.00017529763732108405
1954, 2148, 0.0001751389473619604
1173, 1419, 0.00017252836802860894
1700, 2838, 0.0001724141037461492
1216, 1798, 0.0001715167762876227
702, 787, 0.00017100575271385038
0, 224, 0.00017076184092647227
1750, 2405, 0.0001683076425453978
906, 1659, 0.00016620749473125716
2539, 2770, 0.00016545434497582034
702, 2405, 0.0001606631133784104
2987, 3099, 0.00015371839188217055
1173, 1682, 0.00015330637492777174
906, 1789, 0.000150289057276912
1173, 1599, 0.0001485763984780613
3284, -1, 0.0001467207195556884
3876, -1, 0.000146140838634993
1729, 2838, 0.00014525294168604426
1303, 1535, 0.00014522953900546006
2934, -1, 0.00014036901908715983
1173, 1735, 0.00013972702115998758
1157, 1319, 0.00013896699186571925
906, 1964, 0.00013694441821254983
3194, -1, 0.0001354366669554941
1173, 1495, 0.00013522547195088554
906, 2268, 0.00013521168214791115
1456, 2838, 0.00013380552302567168
3681, 3718, 0.00013345578626568715
1750, 1867, 0.00013119314800964107
4157, -1, 0.00013091291570534408
3867, -1, 0.00012965936581406994
175, 253, 0.00012657800586166252
4242, -1, 0.0001259073439408056
3273, 4297, 0.00012252164308764875
1157, 1785, 0.00012191792800474658
906, 1370, 0.00012089115745544177
1303, 1785, 0.00012003669781795163
702, 865, 0.00011996033104193137
2987, 3164, 0.00011903672731842408
300, 550, 0.00011846281278244308
0, 274, 0.00011807275366838091
2987, 3477, 0.000118031140424001
2058, 2838, 0.00011551935333684461
160, 253, 0.00011382163620233203
1173, 1618, 0.00011377706425077842
348, 483, 0.00011273905785107433
1021, 1785, 0.00011273847628239576
1157, 2148, 0.00011169125722049759
1021, 2148, 0.0001094039026505516
906, 1456, 0.00010647774286260905
2351, 2838, 0.00010554870309694794
666, 1258, 0.00010521920037136042
1216, 1867, 0.00010502933905065492
1415, 2405, 0.0001048307459018414
1005, 1785, 0.00010252253560525135
1005, 2148, 9.991129489784909e-05
1406, 1535, 9.76704316830418e-05
3681, 3736, 9.642636171981198e-05
3347, 3548, 9.5240211739862e-05
0, 321, 9.459527043893931e-05
1700, 1798, 9.40716387100261e-05
1700, 1867, 9.268056635091084e-05
1173, 1365, 9.236181346769383e-05
366, 834, 9.233968187561535e-05
3127, -1, 9.205812616017068e-05
3412, 3548, 9.089052484282176e-05
1157, 1535, 8.978823543017365e-05
1216, 1584, 8.938019739690544e-05
3330, 3548, 8.848924641878177e-05
1303, 2148, 8.733093204678295e-05
1415, 1584, 8.540880112654543e-05
1303, 1886, 8.431647811593262e-05
1303, 1495, 8.29452667056394e-05
2539, 2988, 8.244093880120693e-05
