Gene = NDUFAF3
index = 927
Annotated 5SS: [1211 1528 1758 1966]
Annotated 3SS: [1334 1690 1864 2044]
SMsplice 5SS: [ 224 1528 1758 1966]
SMsplice 3SS: [1334 1627 1864 2044]
top_k =  1000
Partition function (log Z): 1.2915306504397508

Sorted 5' Splice Sites (High to Low Probability):
Position 1528: 0.995691624095259
Position 1966: 0.9907813598128012
Position 1758: 0.8666571759910303
Position 631: 0.28224801394340016
Position 389: 0.21682216625049974
Position 224: 0.1989613248541424
Position 426: 0.19667923262709155
Position 1211: 0.1790782318273683
Position 774: 0.06187865748903645
Position 625: 0.061584095849307935
Position 78: 0.022239975609587296
Position 1691: 0.019364988167575977
Position 317: 0.017374584485520924
Position 421: 0.01455928758054148
Position 436: 0.011608327844502204
Position 2289: 0.008980395488681724
Position 616: 0.007745674365875225
Position 1786: 0.006260703705421526
Position 693: 0.006161328109281886
Position 933: 0.005841712586269257
Position 2090: 0.004805912319852955
Position 959: 0.004346046985341211
Position 1016: 0.0034289140365042505
Position 879: 0.0033341817754514247
Position 755: 0.0022131773793215197
Position 1021: 0.0020835691589422283
Position 416: 0.002072781531752161
Position 1060: 0.001825782269083406
Position 24: 0.0017812557279641675
Position 117: 0.0016698881477942458
Position 1513: 0.0010845188401170484
Position 1431: 0.0010562062677549901
Position 1915: 0.0009601813862217728
Position 1105: 0.000402098108049257
Position 1127: 0.00040143307152579384
Position 1163: 0.00025969946071172876
Position 1738: 0.00020942798849727374
Position 1516: 0.0002012978152514921
Position 64: 0.00013368069388523284
Position 192: 0.00012751626907293225
Position 374: 0.00011987529099960779
Position 863: 0.00011966052322660641
Position 1008: 0.00010770429760171028
Position 757: 0.00010153684521994606
Position 731: 7.548569916518952e-05
Position 1532: 5.744973668182186e-05
Position 1189: 5.406869418146349e-05
Position 2339: 3.8710153959271046e-05
Position 73: 3.197973955181198e-05
Position 1197: 3.13221265897058e-05
Position 1123: 2.620377957252041e-05
Position 1788: 2.0968058218184125e-05
Position 1663: 1.4630014205717109e-05
Position 2282: 1.340717857846962e-05
Position 7: 1.2592155309617788e-05
Position 1954: 1.0911499464090193e-05
Position 36: 1.0596564344517252e-05
Position 1589: 7.927182146487248e-06
Position 1545: 6.0935036814786485e-06
Position 1970: 5.193188226722214e-06
Position 241: 5.0202358371884285e-06
Position 1652: 4.194631748261375e-06
Position 1876: 3.1019672896302454e-06
Position 1672: 2.5559531685627714e-06
Position 269: 2.472491989674188e-06
Position 1380: 2.4138987568157647e-06
Position 781: 1.5388833386272056e-06
Position 1547: 7.106207276681724e-07
Position 2355: 5.997415545811861e-07
Position 2074: 5.030560507906933e-07
Position 1614: 2.9094451816573085e-07
Position 1660: 2.631873773961959e-07
Position 1870: 2.3179870282621703e-07
Position 2055: 1.4166384854075467e-07
Position 2076: 1.3015921337240558e-07
Position 1873: 1.0140020707971855e-09
Position 1836: 5.49993696627707e-10
Position 654: 2.4776488909239396e-10
Position 1948: 4.6923896376525e-11
Position 1521: 1.0221931650714092e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1334: 0.9924699603157273
Position 1864: 0.9423482390208356
Position 2044: 0.6664737657874554
Position 1627: 0.5989591822758722
Position 1690: 0.3183673227143338
Position 2288: 0.16033634944410646
Position 506: 0.13923796513464953
Position 2120: 0.13247253553425836
Position 551: 0.10323438270869259
Position 1159: 0.03650581699062038
Position 2450: 0.012678690476301406
Position 2430: 0.01249556418720896
Position 1831: 0.010970243311908778
Position 2398: 0.010886513492378668
Position 1073: 0.009167611430362058
