Gene = NAT6
index = 914
Annotated 5SS: [204]
Annotated 3SS: [1888]
SMsplice 5SS: [596]
SMsplice 3SS: [1332]
top_k =  500
Partition function (log Z): -10.104368700397718

Sorted 5' Splice Sites (High to Low Probability):
Position 596: 0.608586971747222
Position 631: 0.18325479411290332
Position 144: 0.11232238320131228
Position 1610: 0.08034987468165793
Position 133: 0.0712033491914947
Position 235: 0.07083125559228402
Position 724: 0.042913621011225915
Position 691: 0.020006288537125414
Position 2524: 0.018516844962540868
Position 1087: 0.01812309211851931
Position 1839: 0.016961144736180867
Position 1277: 0.011645328211125907
Position 469: 0.009903645609829741
Position 159: 0.007902641775050472
Position 204: 0.0050713062007557465
Position 1421: 0.0035265257626975128
Position 478: 0.0021654498491927784
Position 2772: 0.001976293798438898
Position 1431: 0.0017732881301357555
Position 239: 0.0016588146706277684
Position 473: 0.001650508489410423
Position 208: 0.0014953637480793404
Position 252: 0.0011855316763697981
Position 296: 0.0010129188853502155
Position 2490: 0.0009683272782937502
Position 821: 0.0009031578129402485
Position 995: 0.0006141210008761346
Position 566: 0.0005997239700441662
Position 583: 0.00045556491274644303
Position 303: 0.0004406979633020789
Position 841: 0.00038206651691886597
Position 1178: 0.0003780057616201499
Position 493: 0.0002967842878081469
Position 126: 0.00016627287962128322
Position 357: 9.019479532659227e-05
Position 622: 8.03468015192274e-05
Position 1484: 7.87314089267697e-05
Position 826: 5.573562660913124e-05
Position 1383: 5.257165475541057e-05
Position 385: 4.430179939120302e-05
Position 265: 4.2895857917983164e-05
Position 343: 2.0159400779040873e-05
Position 29: 1.4717602588174444e-05
Position 257: 1.3151497924767234e-05
Position 113: 7.838299565802447e-06
Position 8: 1.1187115382365256e-06
Position 300: 3.916853209951382e-07
Position 615: 1.7931807181107768e-07
Position 645: 3.073907020273368e-08
Position 110: 1.7194643346292624e-08
Position 307: 3.652965337590255e-10
Position 57: 3.598792018627388e-11
Position 52: 1.2883984181834578e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1332: 0.1753101207676
Position 2721: 0.1447585114601256
Position 2595: 0.12841008283300107
Position 2617: 0.10565454862095229
Position 1574: 0.08830620171132005
Position 238: 0.08815149754100028
Position 911: 0.06446888527902139
Position 557: 0.06355854334311331
Position 1938: 0.059127953772259566
Position 723: 0.047993444535980555
Position 1720: 0.042280728888384675
Position 2852: 0.03642899934069954
Position 1743: 0.026711535981217758
Position 2489: 0.023660333245909684
Position 2301: 0.0206325311806934
Position 886: 0.016508716276128977
Position 1592: 0.015487668366382944
Position 2298: 0.01473554116256961
Position 396: 0.014564624532303613
Position 2557: 0.013291541752995004
Position 469: 0.012229961804423728
Position 1398: 0.01161561647963845
Position 1888: 0.009793235804619247
Position 314: 0.008305188824435736
Position 341: 0.007454260644598476
Position 1681: 0.005108429881659686
Position 1609: 0.0042863654157415205
Position 662: 0.0035496889608732755
Position 2950: 0.0031481273634438285
Position 2348: 0.0027699357818363247
Position 1646: 0.002727433681006154
Position 1523: 0.0026795004943505557
Position 680: 0.0025313242461072697
Position 1805: 0.0023691274207712255
Position 1495: 0.0022990079425964254
Position 1483: 0.002068930974127486
Position 983: 0.00199766958723302
Position 2009: 0.001965949669103851
Position 300: 0.0018784261651169757
Position 2730: 0.0016596740580075613
Position 1148: 0.001648722247840237
Position 837: 0.0016068950867525213
Position 1086: 0.001391390907101181
Position 373: 0.0011777290619172018
Position 2554: 0.001147879461851566
Position 2198: 0.0010522480134548488
Position 2519: 0.0010418602127492593
Position 2746: 0.0009343199677089246
Position 764: 0.0007998896197735763
Position 2162: 0.0007734868433798602
Position 1917: 0.0007687845987674638
Position 2699: 0.0007135444941133431
Position 1855: 0.0006932698702165854
Position 1832: 0.0006798887989387912
Position 2096: 0.0006751145580798256
Position 381: 0.0006408209662681052
Position 2240: 0.0005885753648963233
Position 1652: 0.0005820924239016799
Position 1958: 0.00046408775049994335
Position 796: 0.0003709692502716512
Position 1544: 0.0002746091529036141
Position 528: 0.0002420328351311866
Position 809: 0.0001887616220355157
Position 265: 0.0001703042358957356
Position 564: 0.00015882668633512807
Position 580: 9.579070048678058e-05
Position 1159: 8.592906923599423e-05
Position 1413: 5.934562629477016e-05
Position 685: 5.7874186171321965e-05
Position 490: 5.0843521419616835e-05
Position 1343: 4.131299281953874e-05
Position 1172: 2.5101465149074405e-05
Position 457: 1.2254140173993098e-05
Position 930: 1.0713868889820659e-05
Position 720: 7.602136182926143e-06
Position 989: 5.156845192222108e-06
Position 522: 4.958809378624461e-06
Position 934: 4.61771037900644e-06
Position 498: 4.566262107350126e-06
Position 426: 4.153453091533419e-06
Position 435: 1.7881896824668788e-06
Position 343: 1.269000553999356e-06
Position 595: 1.1934306926177204e-06
Position 399: 7.600254281700891e-07
Position 357: 6.853783847098831e-07
Position 403: 6.408044880786881e-07
Position 610: 5.980142712301495e-07
Position 432: 4.637899474713633e-07
Position 1042: 3.2915145358226626e-07
Position 208: 1.5360671530880913e-07
Position 582: 9.342156249053483e-08
Position 447: 7.802265353670924e-08
Position 704: 5.178944933033436e-08
Position 415: 3.6836282184297035e-08
Position 348: 5.292482676726636e-09
Position 325: 4.346325882357711e-09
Position 123: 1.2720759672780515e-10
Position 126: 2.6884482155406096e-11
Position 81: 8.822656092015607e-12
Position 187: 4.370521805712274e-12
Position 170: 1.846351604432262e-12
Position 189: 1.220431798550519e-13
Position 194: 1.1835930010967563e-13
Position 156: 4.9624547712844504e-14
Position 132: 3.9843056112368833e-14
Position 144: 6.181686426394898e-15
Position 148: 3.2807851265823214e-17
Position 166: 1.1841531490965383e-17
