Gene = 4933421I07Rik
index = 68
Annotated 5SS: [ 184  570 1174]
Annotated 3SS: [ 366 1125 1680]
SMsplice 5SS: [ 184  570 1878]
SMsplice 3SS: [ 366 1680 2114]
top_k =  1000
Partition function (log Z): -3.881936711536798

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.9477196720183851
Position 570: 0.8926593862148648
Position 1878: 0.5104106421318035
Position 1174: 0.32566549340290485
Position 1244: 0.25602305152624844
Position 1910: 0.17098857406126894
Position 1990: 0.05873546485505799
Position 1189: 0.049420778321402424
Position 547: 0.02557838216194482
Position 173: 0.024505358224290574
Position 1886: 0.015638642511932352
Position 1224: 0.0146846354409456
Position 497: 0.010701841086995742
Position 1774: 0.010309789800058337
Position 1341: 0.008208101393982033
Position 1426: 0.005357331637968203
Position 252: 0.005256050983689026
Position 519: 0.004932398619483533
Position 815: 0.004245206406328428
Position 309: 0.00262474948675896
Position 1307: 0.002182839675479814
Position 240: 0.0018653707393532272
Position 644: 0.0014625248728482461
Position 1761: 0.0014398011969045466
Position 1926: 0.0012345496891729138
Position 711: 0.0010554566389635413
Position 1778: 0.0009388726677124754
Position 511: 0.0007564913990330006
Position 593: 0.0006859495227772404
Position 1126: 0.0005942741547954856
Position 1235: 0.0005514581429918912
Position 1228: 0.00051153455923042
Position 1397: 0.0003478151577564637
Position 691: 0.00029362021487082103
Position 992: 0.00025163825280606877
Position 140: 0.00021331440146486855
Position 721: 0.00018907320249602068
Position 1214: 0.00017360060906766533
Position 62: 0.00016269043905037744
Position 676: 0.00014389868545463188
Position 1025: 0.00013875971685890832
Position 254: 0.0001309353762828781
Position 1944: 0.00012712244616005627
Position 131: 0.0001219241308955502
Position 431: 0.00010025936588590604
Position 955: 9.455753060545207e-05
Position 1053: 8.712697009058277e-05
Position 665: 7.101769243205613e-05
Position 1063: 6.455735103762911e-05
Position 367: 6.230650084163512e-05
Position 744: 4.368158516992551e-05
Position 1039: 3.864636808506495e-05
Position 975: 3.262408227351722e-05
Position 217: 2.904955715757049e-05
Position 574: 2.725832599518454e-05
Position 107: 2.412019877249315e-05
Position 1375: 2.30658517754653e-05
Position 728: 2.284399422859428e-05
Position 1041: 2.1929083252928175e-05
Position 595: 2.1042059498359696e-05
Position 1531: 2.1000653157947703e-05
Position 1790: 1.989629988010898e-05
Position 1522: 1.7183403643944347e-05
Position 669: 1.4893752191439478e-05
Position 54: 1.4886380743791204e-05
Position 227: 1.468226906861605e-05
Position 221: 1.0565963599569899e-05
Position 256: 1.040884656191847e-05
Position 1178: 8.833658278612253e-06
Position 806: 8.779058169957168e-06
Position 1075: 8.644596984095522e-06
Position 1297: 8.555768831989938e-06
Position 258: 8.057346573261857e-06
Position 888: 2.436026298036509e-06
Position 1001: 1.5078031119846317e-06
Position 335: 1.165322080028379e-06
Position 325: 6.374245436290312e-07
Position 27: 4.7272459796447773e-07
Position 371: 2.1362456142344692e-07
Position 402: 9.265733249291218e-08
Position 374: 6.611932403612101e-09
Position 627: 2.3516142253697473e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 366: 0.8293985232310294
Position 2114: 0.8222680305390683
Position 1680: 0.6430344410985176
Position 1125: 0.5886819857383728
Position 1714: 0.08657850382265095
Position 387: 0.085227696729403
Position 1039: 0.04342277472142594
Position 2181: 0.02887982993322281
Position 1765: 0.024467347790668597
