Gene = Mitd1
index = 679
Annotated 5SS: [  248  5193  7846  8709  9475 10848 11143]
Annotated 3SS: [ 5090  7708  8621  9358 10786 11043 15281]
SMsplice 5SS: [  248  5193  7846  9475 11170 14704 14875 15097]
SMsplice 3SS: [ 5090  7708  9358 11043 14582 14773 14952 15281]
top_k =  100
Partition function (log Z): 4.757443324528599

Sorted 5' Splice Sites (High to Low Probability):
Position 5193: 0.9999999999999997
Position 7846: 0.9967238437327592
Position 14704: 0.9925921339615533
Position 248: 0.9065669285214302
Position 14875: 0.9005999707066575
Position 9475: 0.7812114401112789
Position 11170: 0.5047556328259675
Position 11174: 0.4714167765943011
Position 10848: 0.43852941524319966
Position 15097: 0.29314476185051325
Position 11439: 0.24664753280239488
Position 8673: 0.1919909814663623
Position 15018: 0.1554365107567819
Position 15196: 0.15401164125522362
Position 4914: 0.13630614008762681
Position 15084: 0.10682180720025163
Position 8709: 0.09260822697591259
Position 14988: 0.08564651977946819
Position 15007: 0.05785734298259317
Position 10277: 0.05344282682742137
Position 186: 0.045356625512591224
Position 3345: 0.044557260638447255
Position 8702: 0.04166045806257672
Position 2948: 0.04125576996691137
Position 5640: 0.03653822182757664
Position 5447: 0.03579211245326241
Position 8068: 0.029771932552003565
Position 10411: 0.027031487139689548
Position 202: 0.02682409451603902
Position 3033: 0.0220797315174303
Position 3591: 0.01993952924585454
Position 6002: 0.019063146311598243
Position 5946: 0.01838345832349201
Position 815: 0.01830500153307141
Position 10909: 0.01692720970049636
Position 148: 0.01624388635739412
Position 2194: 0.013655092897105673
Position 15377: 0.006590910512068415
Position 2959: 0.0058065310802290476
Position 1034: 0.005212046265955021
Position 2130: 0.004514881352010672
Position 238: 0.0041367949728275
Position 15187: 0.0035594904251326125
Position 11143: 0.003359832297968442
Position 746: 0.0031016867009645947
Position 8487: 0.0020442178930822346
Position 5805: 0.0003411623001444272
Position 51: 0.00019350664785706755
Position 5841: 0.00018836091564234937
Position 5769: 0.00017779501632841216
Position 47: 0.00012482679500901747
Position 75: 4.890900417920679e-05
Position 94: 3.839813961121817e-05
Position 27: 3.651911481874602e-05
Position 142: 2.8086711216454055e-05
Position 5421: 2.744845522690359e-05
Position 163: 8.025610320002124e-06
Position 105: 5.649666164237683e-06
Position 373: 5.4338779090056006e-06
Position 85: 2.4247895792907403e-06
Position 20: 8.081680315694071e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 5090: 0.9983730034600093
Position 14582: 0.9925921339615532
Position 11043: 0.979532241718237
Position 7708: 0.9756564055054591
Position 14952: 0.9391512201589155
Position 15281: 0.8937356280083729
Position 9358: 0.781211440111279
Position 14773: 0.47073064992737923
Position 14794: 0.4413834890029254
Position 8530: 0.2530875859374989
Position 11290: 0.24664753280239493
Position 10786: 0.1948259324858564
Position 10604: 0.15521452637462085
Position 4893: 0.13783286944524553
Position 10644: 0.08196645527127117
Position 5355: 0.04640068014062561
Position 8621: 0.043651473472219725
Position 10156: 0.03873984920492441
Position 5928: 0.03744660463509026
Position 2795: 0.03397131881571939
Position 3250: 0.032154619794583096
Position 7930: 0.026918930061826524
Position 10318: 0.026095671159386866
Position 10698: 0.023449710811947678
Position 7694: 0.021215507171636328
Position 2830: 0.021155892703449575
Position 3344: 0.019939529245854536
Position 2048: 0.01816997424911634
Position 5446: 0.01612109632782986
Position 10124: 0.015638793602799638
Position 2731: 0.014014821045401749
Position 3120: 0.012402640843864153
Position 15257: 0.012060861802458656
Position 8459: 0.011964417082484873
Position 719: 0.011408191138452652
Position 8504: 0.009240500170466693
Position 15559: 0.006590910512068418
Position 8346: 0.005055409265668904
Position 674: 0.0040056754682075745
Position 5371: 0.003981376933140764
Position 237: 0.003371628025914669
Position 8471: 0.0033531622274155237
Position 5486: 0.003340831586202778
Position 915: 0.0030757810801682562
Position 8025: 0.0027049335458412334
Position 5456: 0.0026295245096745533
Position 957: 0.0021362651857867662
Position 8482: 0.0019513362421791772
Position 590: 0.0012325468524526802
Position 493: 0.0010088378027578297
Position 5717: 0.00037722129180130373
Position 5679: 0.00012391831152592966
Position 4965: 0.00010026718237105922
Position 5753: 4.126682205656067e-05
Position 5265: 2.376922572225395e-05
Position 15287: 1.6196056569646752e-05
Position 5281: 1.5361493039526077e-05
Position 5255: 1.0054326562002956e-05
