Gene = Sprr2f
index = 1020
Annotated 5SS: [42]
Annotated 3SS: [688]
SMsplice 5SS: [42]
SMsplice 3SS: [688]
Partition function (log Z): -5.383555540643746

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.6066363067212938
Position 97: 0.3353247840928068
Position 443: 0.24076742191025016
Position 799: 0.23602643640006774
Position 294: 0.13362490132512492
Position 589: 0.09257303011174034
Position 366: 0.02001338081880949
Position 774: 0.018637538298611415
Position 210: 0.01753946149151768
Position 757: 0.013877256268928072
Position 85: 0.004087318756036288
Position 93: 0.00220581140013731
Position 761: 0.0021892100780222
Position 759: 0.0016368694596196691
Position 570: 0.0014590303899562958
Position 936: 0.0012038377174631342
Position 9: 0.0011547998801568753
Position 801: 0.0007784941138990254
Position 828: 0.0005082875683544895
Position 539: 0.0003620030676825847
Position 402: 0.0002979772123364267
Position 263: 0.0002566443581074828
Position 101: 0.0002499534466840354
Position 788: 0.00024547772177126794
Position 1097: 0.00022564867543259907
Position 332: 0.00017425531926931748
Position 941: 0.00016896815747122714
Position 918: 0.00014519670168179234
Position 110: 0.00014099016284147494
Position 644: 0.00013941562816132712
Position 176: 0.00013893299814583373
Position 214: 0.0001379728103665261
Position 394: 0.00013341423411642863
Position 17: 9.73764674522165e-05
Position 115: 9.077477693997542e-05
Position 136: 8.026061501278634e-05
Position 594: 7.820223036395704e-05
Position 75: 6.931408326404444e-05
Position 453: 3.585965326291171e-05
Position 183: 3.0120580731288297e-05
Position 842: 2.8951705961984557e-05
Position 1080: 2.7553354998560335e-05
Position 46: 2.1505221245454362e-05
Position 103: 1.9873721478738234e-05
Position 815: 1.815297421641522e-05
Position 297: 1.8052823200195082e-05
Position 434: 1.75852898800999e-05
Position 488: 1.7174975019301132e-05
Position 951: 1.680873742049698e-05
Position 711: 1.6396062244378753e-05
Position 190: 1.2459353796248458e-05
Position 729: 1.0630823564496412e-05
Position 990: 1.045719681695873e-05
Position 1172: 1.0203728493711756e-05
Position 1132: 8.787781243335238e-06
