Gene = 4933402D24Rik
index = 65
Annotated 5SS: [ 87 883]
Annotated 3SS: [  724 12847]
SMsplice 5SS: [ 87 883]
SMsplice 3SS: [  724 12847]
top_k =  1000
Partition function (log Z): -6.428982913572556

Sorted 5' Splice Sites (High to Low Probability):
Position 883: 0.9729690158281722
Position 87: 0.8378645683396275
Position 5383: 0.7500242501560718
Position 1449: 0.630739085601331
Position 5162: 0.5827863899415056
Position 2163: 0.48986076948710144
Position 428: 0.4147112282125718
Position 1889: 0.21308050725192168
Position 12966: 0.1202934815966801
Position 2208: 0.0855482395683845
Position 6438: 0.07745504017077413
Position 10077: 0.07581280983418563
Position 4923: 0.07503638909832985
Position 2677: 0.05732628306250624
Position 519: 0.05686058044356325
Position 8079: 0.053100333148631655
Position 4456: 0.0478138695098286
Position 4640: 0.046681015417004805
Position 7341: 0.04375039460412845
Position 5709: 0.042431345891604744
Position 9278: 0.040578494220543306
Position 12885: 0.039002913687766344
Position 596: 0.03639562984495788
Position 12444: 0.032757181690603716
Position 3019: 0.030153065185009306
Position 496: 0.026792598196830105
Position 10295: 0.025923924341163366
Position 2192: 0.017752812177272623
Position 9266: 0.017138715300007008
Position 6644: 0.01270665599235392
Position 2351: 0.01082533428961852
Position 1314: 0.009304652333251161
Position 8363: 0.008895339991642107
Position 1683: 0.008659138235235831
Position 246: 0.007497660586424543
Position 1338: 0.007031765927330148
Position 561: 0.006408891140350991
Position 13014: 0.005797001928059495
Position 7004: 0.005770519831328268
Position 944: 0.004618664501976259
Position 3251: 0.004553476493197926
Position 1037: 0.0038837471165405445
Position 1245: 0.0031300295032775267
Position 381: 0.002653082434191233
Position 14022: 0.002630739108915384
Position 7248: 0.002141842545472219
Position 414: 0.0020470470982947215
Position 696: 0.0015678898546834965
Position 1332: 0.0013307233773100662
Position 4646: 0.0011075545587022366
Position 397: 0.0010776667473931972
Position 378: 0.0010071323434601895
Position 2631: 0.0009847535205574842
Position 130: 0.0009606835776658846
Position 551: 0.0007400786618360016
Position 389: 0.000584194683531278
Position 580: 0.0005622555736104609
Position 315: 0.0005201572807305722
Position 905: 0.00046275974844158343
Position 9: 0.00043768163509662377
Position 462: 0.0003249787982658751
Position 807: 0.00032173488514869854
Position 5921: 0.0002675232614621719
Position 488: 0.00026345357403544865
Position 600: 0.0002513709155190731
Position 1208: 0.00021803303161131826
Position 500: 0.00021283243522008505
Position 574: 0.0002003098524418622
Position 864: 0.00014643806718209773
Position 1194: 0.00014062225609065768
Position 964: 0.0001370612973390406
Position 1255: 0.00010470001451314993
Position 644: 9.558297895317173e-05
Position 171: 9.550127446179131e-05
Position 5441: 8.503935581557462e-05
Position 394: 8.36939568005958e-05
Position 1117: 4.818237922600076e-05
Position 45: 3.560065533760099e-05
Position 1182: 3.398521687093882e-05
Position 2230: 3.023439684505465e-05
Position 1152: 3.0191379178873527e-05
Position 2176: 3.009782339278838e-05
Position 1086: 2.875996806581504e-05
Position 2236: 2.6477377635775214e-05
Position 2378: 2.51340336722651e-05
Position 1491: 2.3436835313666358e-05
Position 2728: 2.1442300429925687e-05
Position 578: 1.8367991420430143e-05
Position 1228: 1.7511445949915032e-05
Position 206: 1.2451261817829691e-05
Position 392: 9.029559411741301e-06
Position 630: 7.868592164328647e-06
Position 30: 7.074471039713447e-06
Position 688: 5.910319364242545e-06
Position 5794: 5.85384200499413e-06
Position 5349: 3.221011434049585e-06
Position 1896: 2.4857194194711125e-06
Position 2226: 2.1126783203290022e-06
Position 928: 2.843991602561001e-07
Position 820: 1.6956750122565293e-07
Position 948: 2.21583149079519e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 12847: 0.9165456879027396
Position 5256: 0.7288803995417835
Position 724: 0.7134360877769662
Position 5013: 0.4446672260210707
Position 2101: 0.31800271683505366
Position 313: 0.31258557373961043
Position 1404: 0.276858954464871
Position 773: 0.18117986588652688
Position 1767: 0.16048115545324582
Position 1297: 0.13403044453114038
Position 1379: 0.13321659613204148
Position 5061: 0.10751990150384944
Position 2052: 0.09775130700580549
Position 220: 0.08671679560910392
Position 14157: 0.08172624173247085
Position 9096: 0.07257928671368427
Position 6274: 0.06464423886078191
Position 9958: 0.062383893724807134
Position 5034: 0.05293215117970866
Position 4721: 0.047557244374214304
Position 4322: 0.04442287097627586
Position 4549: 0.044386464251388785
Position 9989: 0.04349187209353835
Position 13814: 0.04315621856156958
Position 2324: 0.038495218667254055
Position 2041: 0.0383158751775612
Position 2068: 0.03621906562118151
Position 1105: 0.035390403970903386
Position 7940: 0.03391049453755087
Position 12331: 0.032757181690603744
Position 2816: 0.03208342546973472
Position 2073: 0.03142806079762112
Position 1973: 0.03080119431450283
Position 1729: 0.03058304663048777
Position 1824: 0.027289362598151585
Position 2531: 0.02527981269225533
Position 793: 0.024640006873008758
Position 7241: 0.024150899553440273
Position 4700: 0.023123541597400505
Position 13077: 0.020873208995777968
Position 729: 0.020257457487262327
Position 1282: 0.019944838080504568
Position 743: 0.019435623947066705
Position 5574: 0.017539324151215892
Position 7724: 0.017351997577267478
Position 6302: 0.01553981661253776
Position 5597: 0.01496063943830815
Position 6000: 0.013257650681970434
Position 1034: 0.012473094051508538
Position 8204: 0.012458073835904268
Position 1335: 0.012093050470139432
Position 7169: 0.012014707455481955
Position 1797: 0.011722275720088498
Position 13302: 0.011556987751312484
Position 5614: 0.01136591665732089
Position 7748: 0.011197516427933738
Position 1244: 0.010869470387972964
Position 7118: 0.010440181085847948
Position 13546: 0.010411479280290384
Position 1266: 0.009904481086331683
Position 1888: 0.008096423221834261
Position 2541: 0.006660653959293365
Position 4815: 0.005591779795384122
Position 6493: 0.005540645332243451
Position 5362: 0.005326939618534159
Position 11653: 0.00501953288801101
Position 402: 0.004517366242986744
