Gene = Unc50
index = 1164
Annotated 5SS: [ 324 1407 2502 7132 7309]
Annotated 3SS: [1122 2380 6991 7206 8511]
SMsplice 5SS: [ 258 1407 7132 7309]
SMsplice 3SS: [1309 6991 7206 8511]
top_k =  1000
Partition function (log Z): -1.6624361483401149

Sorted 5' Splice Sites (High to Low Probability):
Position 7132: 0.9974285240673769
Position 1407: 0.9107715655768021
Position 7309: 0.6764214786461633
Position 258: 0.4092320097188773
Position 2159: 0.3376005153010669
Position 113: 0.3230954588533403
Position 2502: 0.2452196804358048
Position 324: 0.15135930618943122
Position 4143: 0.09698805052033213
Position 4119: 0.09267237822416863
Position 482: 0.08338925479140344
Position 68: 0.07701495916267262
Position 2114: 0.05142809325124935
Position 2122: 0.03983082876458064
Position 2511: 0.039345339423272056
Position 5867: 0.03639084402422819
Position 1225: 0.03587993972444541
Position 6637: 0.03558304422249279
Position 7505: 0.029601823915989558
Position 2126: 0.02692209225403711
Position 168: 0.02669515713285003
Position 8645: 0.022516018968382158
Position 918: 0.013443025829844434
Position 3750: 0.012968663293536239
Position 6113: 0.010496377593234026
Position 74: 0.010183916067490428
Position 2130: 0.00830882879484297
Position 2018: 0.00611051247303511
Position 3961: 0.005884471647515109
Position 873: 0.005118675868344375
Position 7368: 0.004845040836696725
Position 2643: 0.004496893596739202
Position 3154: 0.004161516739893365
Position 1831: 0.00415303240194497
Position 6072: 0.004122215416554591
Position 3910: 0.0035573302491223556
Position 879: 0.0033930217131724126
Position 4206: 0.0033214302999357934
Position 8742: 0.0033017211264711136
Position 6916: 0.002854959410360404
Position 4274: 0.0027632584599776126
Position 3502: 0.002721910439440277
Position 429: 0.002611438767672964
Position 231: 0.0023642428739439805
Position 3088: 0.0022247535588299796
Position 8633: 0.0022129983006343346
Position 5607: 0.00203395237296285
Position 3: 0.0017256490831439619
Position 936: 0.0014456716659936887
Position 839: 0.0013243835476317632
Position 665: 0.0011031052387233252
Position 2506: 0.0010682354618874533
Position 4380: 0.0010619153297500778
Position 683: 0.0010096573304237719
Position 2231: 0.0009346262486381592
Position 4001: 0.0009003996120349048
Position 282: 0.0008999290119212959
Position 7185: 0.000884560188633494
Position 7949: 0.0007655712669988258
Position 7561: 0.000762261176232767
Position 1025: 0.0005720529510243895
Position 7915: 0.0005379560565321219
Position 7984: 0.0004930649113976033
Position 4415: 0.00046185042780483385
Position 129: 0.00044417401144153975
Position 1948: 0.0004216849324333835
Position 8148: 0.00041651764564777546
Position 6992: 0.00040438382237381447
Position 592: 0.0003734130352526274
Position 900: 0.00037308198773103763
Position 2312: 0.00036522223094006103
Position 1411: 0.00035912464207821053
Position 143: 0.0002966971843767054
Position 7649: 0.00029109936731892534
Position 494: 0.00025047515540995
Position 7690: 0.00024013080848071287
Position 1172: 0.00023711496446094692
Position 159: 0.0002186929424044374
Position 652: 0.00021619307477192844
Position 1992: 0.00020424652542279105
Position 8573: 0.0001928568753930347
Position 574: 0.00018458274654318312
Position 1137: 0.00017029714312351063
Position 186: 0.00016555358624166725
Position 29: 0.00016331849790939153
Position 836: 0.00015811734724026472
Position 1638: 0.00014778349787167094
Position 1065: 0.00014764065629447202
Position 8870: 0.0001410220685084201
Position 1944: 0.000126546321830633
Position 7455: 0.00010060931185321156
Position 8701: 8.91619289292722e-05
Position 8693: 8.294576719772204e-05
Position 14: 8.163520410172973e-05
Position 7136: 7.747676994235225e-05
Position 7991: 5.3858128471436e-05
Position 3578: 3.0933960232808655e-05
Position 7065: 2.8002470331823232e-05
Position 7154: 2.753833547285081e-05
Position 7322: 2.2517806922598796e-05
Position 7014: 1.4217678079022352e-05
Position 7007: 1.4004299069085042e-05
Position 8379: 1.3943147558772577e-05
Position 7922: 1.3585535633339045e-05
Position 1497: 1.1795520394496333e-05
Position 763: 1.1634943049423956e-05
Position 77: 1.0906460530078574e-05
Position 127: 1.0800998630495002e-05
Position 7458: 1.0577515909358224e-05
Position 1392: 1.0025212561179058e-05
Position 305: 8.936729358147378e-06
Position 245: 8.316384195184982e-06
Position 905: 7.696310007289391e-06
Position 1650: 6.2828810585285555e-06
Position 366: 4.892998440665886e-06
