Gene = CG15005
index = 344
Annotated 5SS: [255]
Annotated 3SS: [1121]
SMsplice 5SS: [958]
SMsplice 3SS: [1121]
length: 3515
Partition function (logZ) = -11.271655224045398
#Exons = 820
3SS, 5SS, prob
1121, -1, 0.5535633840571574
0, 958, 0.41434729635024625
0, 255, 0.2054675288815617
0, 983, 0.18303853309641777
609, 958, 0.12319282863789512
0, 529, 0.11266582804153447
1409, -1, 0.09447191338492826
1121, 1313, 0.09118014695785934
609, 983, 0.051653035252478316
2281, -1, 0.05123538210923663
609, -1, 0.049966145352514146
2215, -1, 0.04649774209033643
2494, -1, 0.043312561446145675
2414, -1, 0.026511571105865273
1150, -1, 0.02261944212912184
1453, -1, 0.016071184894235674
586, 958, 0.015404441561279042
0, 414, 0.014699329615826082
597, 958, 0.01056186494309806
0, 127, 0.00933571229579867
0, 192, 0.0077125619158737386
572, 958, 0.007269580817013925
559, 958, 0.006903911602878743
586, -1, 0.006752232131739296
586, 983, 0.006399897684835403
0, 520, 0.0062971448522619045
0, 307, 0.005777478588925205
2248, -1, 0.005665352620157713
0, 1313, 0.005625113168760962
2234, -1, 0.0055080842293638325
2950, -1, 0.00509335961759967
0, 92, 0.005060872310743449
3091, -1, 0.004910740270712294
0, 696, 0.004661514518008705
597, -1, 0.004429265734137401
597, 983, 0.004406418079771831
1150, 1313, 0.004239994492361855
0, 505, 0.003778947098145864
1121, 2122, 0.003741767423197863
2182, -1, 0.003702248789833906
2003, -1, 0.00360543927004817
2438, -1, 0.003594470938454251
3188, -1, 0.003541550260222412
559, -1, 0.0033248438538986008
572, -1, 0.0033111423973092293
2607, -1, 0.0032268881330542475
572, 983, 0.0030137840300424453
614, 958, 0.0029506132829216236
1583, -1, 0.0029073455524324288
0, 872, 0.0028894702543029774
559, 983, 0.0028769751475866395
456, 958, 0.002854314482482564
1247, -1, 0.002840288986627012
1121, 1782, 0.002588516370535693
2984, -1, 0.0023768925931222165
3432, -1, 0.0023183766190704143
1121, 1297, 0.0022699071619443796
1121, 2149, 0.002246473601790345
2465, -1, 0.0022121146910734526
0, 102, 0.002142046158905408
2149, -1, 0.002089394015022984
1121, 1426, 0.002056615040134693
2020, -1, 0.0019860107540749647
1604, -1, 0.0018468895870372636
311, 958, 0.0018287507682229211
0, 1042, 0.0018008477021928034
1121, 1958, 0.001774986459683409
609, 1313, 0.0017318169605825772
1656, -1, 0.0016922746846364067
456, -1, 0.0015882838285394016
1121, 2878, 0.001544891461224728
609, 696, 0.0014986083897742851
0, 187, 0.0013802459140549298
311, -1, 0.0012767053870039937
456, 983, 0.0012609068503779913
0, 138, 0.0012552211541242777
614, 983, 0.001239392745002136
1919, -1, 0.0012043402204726602
1916, -1, 0.0011758467072432704
2532, -1, 0.0011309099554053135
614, -1, 0.0011211000794291112
609, 872, 0.0010129472698718613
0, 1027, 0.0010087993055186962
1607, -1, 0.0009539081446945036
1203, -1, 0.0009488758792204222
320, 958, 0.0009480646802935782
1439, -1, 0.0009475740531611368
2494, 2878, 0.0009343035141148788
1121, 1583, 0.0008996239386992609
1409, 2122, 0.0008131810464007524
0, 114, 0.0008106010973577197
0, 513, 0.000808269877011081
311, 983, 0.0008078874213150542
2953, -1, 0.0007743813174627488
2281, 2878, 0.0007742284945879059
0, 120, 0.0007640472990242458
0, 274, 0.0007210010904179697
311, 529, 0.0006958615114557976
2473, -1, 0.0006902043950056916
0, 398, 0.000665846892313339
320, -1, 0.0006533456877682861
2215, 2878, 0.0006311689722450372
1991, -1, 0.0005933633712044233
1409, 1782, 0.0005806481953115588
1010, -1, 0.0005792677677119504
0, 893, 0.0005787672213298798
0, 848, 0.0005598028353893641
456, 529, 0.0005571039960335505
0, 976, 0.0005210408812763976
1409, 1583, 0.0005158791610630233
2552, -1, 0.0005131317485549921
1168, -1, 0.0005092661712299594
1409, 2149, 0.0004884254566654884
2060, -1, 0.0004804055405528731
2414, 2878, 0.0004591199349377448
1121, 2215, 0.00045835014477832637
900, 958, 0.00044917355959402013
0, 1050, 0.00044542132293264654
609, 1042, 0.0004352926122475135
0, 778, 0.00043177791025142105
382, 958, 0.00043058606233352154
320, 983, 0.0004187948627561447
0, 2122, 0.00040294907350610956
320, 529, 0.00038651218835099565
1409, 1958, 0.0003832143391038922
1904, -1, 0.00037910982009747304
1409, 2878, 0.0003703765086121302
0, 224, 0.0003462678296058611
900, 983, 0.0003438694317946035
2348, -1, 0.0003150738133792015
0, 144, 0.00029511443645266667
0, 2149, 0.0002900780496782962
586, 696, 0.00027271822699589726
0, 396, 0.00027101562037727434
609, 778, 0.0002695322616315831
0, 554, 0.00026799276187617087
0, 61, 0.0002669835408066699
3058, -1, 0.0002603884697532336
1710, -1, 0.0002570788703847867
0, 132, 0.0002503797769487581
382, -1, 0.00024917900097612525
609, 1027, 0.00024062435772564467
2116, -1, 0.0002364381082086584
0, 197, 0.00023275576142692476
0, 464, 0.0002317020391605841
0, 1782, 0.00022687961689143096
586, 1313, 0.0002262259230581188
3117, -1, 0.00021607812846138457
1247, 1313, 0.00021389983168226592
2987, -1, 0.00021197190531959762
1859, -1, 0.00020886264331969171
382, 529, 0.0002056473796065449
609, 848, 0.00020425885725082054
382, 983, 0.00019022005053803231
0, 311, 0.0001894124785982672
609, 893, 0.0001887298125869356
1418, -1, 0.00018572800853494035
1121, 2881, 0.00018248188385144314
2003, 2122, 0.00017222795143946481
559, 696, 0.00016816580713819465
1796, -1, 0.00016582468175633389
609, 2122, 0.00016013977391061136
597, 696, 0.00015824737264613897
1453, 2122, 0.00015819028630218964
572, 696, 0.00015500432747272427
0, 800, 0.00015338071274470562
1150, 2122, 0.00015309980220715023
597, 1313, 0.0001514135374732444
1769, -1, 0.000148974909516224
0, 300, 0.00014664794256015164
900, -1, 0.00014259173429243465
1203, 1313, 0.0001424689270906751
643, 958, 0.00014085129207682065
609, 976, 0.00013555649208125357
0, 1426, 0.00013086205469518296
0, 17, 0.00012677683424522652
1453, 1782, 0.00012473122479089488
586, 872, 0.00012120818961157917
609, 1782, 0.00011340879567842984
0, 208, 0.00011240213375934221
1150, 1782, 0.00011097356644642967
572, 1313, 0.00011010023338593186
609, 1050, 0.00011005372743792314
559, 1313, 0.0001084198954632828
2494, 2881, 0.00010643744475493164
2607, 2878, 0.00010477949971098163
1187, -1, 0.00010290148644157452
0, 160, 0.00010173994549211492
624, 958, 0.00010119195549310413
0, 768, 0.0001008988201712471
1150, 1297, 9.580522636236528e-05
1150, 1426, 9.569705515571068e-05
1168, 1313, 9.553168604871716e-05
1121, 3199, 9.549838356283682e-05
695, 958, 9.438376261845944e-05
1466, -1, 9.029216551453007e-05
609, 800, 8.91789044489978e-05
1453, 1583, 8.878969867813844e-05
2281, 2881, 8.814992070846415e-05
597, 872, 8.420571175589002e-05
0, 559, 8.398493924235098e-05
1073, -1, 8.226649095035151e-05
2248, 2878, 8.148470955671691e-05
0, 1297, 7.848383609388055e-05
2234, 2878, 7.649462027110255e-05
609, 1958, 7.640775394985185e-05
1150, 1958, 7.610516335700004e-05
0, 1958, 7.541821493893539e-05
1453, 1958, 7.484813035223457e-05
609, 1426, 7.248913934843777e-05
1891, -1, 7.216371903907888e-05
0, 866, 7.116880826162392e-05
2215, 2881, 7.087108894304662e-05
0, 765, 6.762129230931249e-05
609, 2878, 6.639876462092797e-05
1453, 2878, 6.473359160630497e-05
410, 958, 6.332525771463892e-05
1409, 1426, 6.317072192539561e-05
311, 414, 6.250970951542731e-05
609, 768, 6.217911259258578e-05
643, 983, 5.8966001937342516e-05
572, 872, 5.740776010657943e-05
586, 1042, 5.670553312888256e-05
559, 872, 5.4899465605461817e-05
2494, 3199, 5.4200933142141915e-05
1583, 1782, 5.4101905636443675e-05
2414, 2881, 5.237670341710912e-05
0, 302, 5.0944872694761134e-05
827, 958, 5.068685314341568e-05
456, 696, 4.8957453675194294e-05
1150, 2878, 4.841836709842109e-05
2281, 3199, 4.606006806464946e-05
1730, -1, 4.514535241736481e-05
456, 1313, 4.465949761804035e-05
1010, 1313, 4.378300448077479e-05
624, 983, 4.242234506952473e-05
609, 1297, 4.166321977236455e-05
609, 765, 4.153340835172706e-05
614, 1313, 4.0817983433867455e-05
609, 1583, 4.0570525536684984e-05
2438, 2878, 3.9456765275634146e-05
0, 962, 3.891937093490379e-05
1604, 1782, 3.868960358910961e-05
1150, 1583, 3.8260897159899393e-05
695, 983, 3.789762187599422e-05
597, 1042, 3.774945888955854e-05
2215, 3199, 3.706850692481197e-05
1121, 1260, 3.675811497319387e-05
311, 520, 3.515915594674225e-05
0, 250, 3.36971214862996e-05
643, -1, 3.3680955782602175e-05
497, 958, 3.347769087965859e-05
410, -1, 3.27389228559063e-05
614, 696, 3.2550941813805335e-05
586, 778, 3.252240722385559e-05
464, 958, 3.191380804881799e-05
1656, 1782, 3.180341914245963e-05
1121, 1243, 3.088951201385182e-05
586, 1027, 3.0404070197866548e-05
0, 1583, 2.9367424363216484e-05
2414, 3199, 2.9076705668052466e-05
559, 1042, 2.8879635974036094e-05
311, 1313, 2.8625177488035196e-05
572, 1042, 2.854186275186458e-05
320, 414, 2.8445920189959234e-05
1307, -1, 2.843663747033405e-05
1551, -1, 2.8275739163703934e-05
1387, -1, 2.81774945859334e-05
0, 233, 2.781563052088452e-05
410, 983, 2.773322873858248e-05
725, 958, 2.6925049550302416e-05
609, 866, 2.6630143215412187e-05
1247, 1426, 2.580870845608539e-05
3091, 3199, 2.5733685691952158e-05
624, -1, 2.5123875655217542e-05
410, 529, 2.4944600800360512e-05
614, 872, 2.46655197937055e-05
1409, 2881, 2.44098728255539e-05
2465, 2878, 2.4080005380128183e-05
827, 983, 2.3791213493780556e-05
2020, 2122, 2.3603045603123017e-05
586, 893, 2.319218752053361e-05
586, 848, 2.3163714955594495e-05
597, 778, 2.290234143580196e-05
456, 520, 2.145861749494424e-05
1409, 3199, 2.1167203177981562e-05
597, 1027, 2.0553291932234708e-05
1607, 1782, 2.0515715871618883e-05
311, 696, 2.0315147598406504e-05
320, 520, 1.9409782782353416e-05
311, 505, 1.9293417667028374e-05
695, -1, 1.8603527372874955e-05
456, 872, 1.8063547705227986e-05
1268, -1, 1.778845702478939e-05
1200, -1, 1.77863646672091e-05
1187, 1313, 1.767274881597889e-05
586, 976, 1.673136567202125e-05
597, 848, 1.647862689143404e-05
324, 958, 1.644159816281457e-05
1175, -1, 1.6243409952570056e-05
464, -1, 1.6032245968643604e-05
597, 893, 1.5952753173852478e-05
559, 1027, 1.5086735566413962e-05
572, 1027, 1.5011115544186197e-05
586, 1782, 1.4762512074222942e-05
0, 305, 1.471759379782034e-05
572, 778, 1.4623145131637497e-05
586, 1050, 1.4601581850861056e-05
320, 1313, 1.4565990681711386e-05
190, 958, 1.4419379881915763e-05
2950, 3199, 1.382052238683363e-05
497, 983, 1.3604353504874518e-05
559, 778, 1.3041162201319175e-05
497, -1, 1.2755647845827213e-05
464, 983, 1.2399803873585449e-05
1247, 1782, 1.2396705760934662e-05
456, 1042, 1.220341689393691e-05
311, 872, 1.2136094222459237e-05
0, 456, 1.1626662603936576e-05
597, 976, 1.1511271495204531e-05
324, -1, 1.146037239333468e-05
2984, 3199, 1.116393579596903e-05
572, 893, 1.1066873305545659e-05
259, 958, 1.1048727928418597e-05
320, 696, 1.0763281640306266e-05
572, 848, 1.073888101870321e-05
559, 893, 1.0634273091178122e-05
320, 505, 1.0462203420439255e-05
614, 1042, 1.0405680439986902e-05
559, 848, 1.0151635351645723e-05
190, -1, 1.014393526342618e-05
