Gene = Rpl28
index = 920
Annotated 5SS: [ 125  536  753 1309]
Annotated 3SS: [ 446  628 1189 1543]
SMsplice 5SS: [ 125  536  753 1309]
SMsplice 3SS: [ 446  628 1189 1543]
top_k =  500
Partition function (log Z): 8.238680771390676

Sorted 5' Splice Sites (High to Low Probability):
Position 536: 0.9963260814886532
Position 1309: 0.9912837004694821
Position 753: 0.9777814521769022
Position 125: 0.9467241402951181
Position 68: 0.014535510602648112
Position 1096: 0.010236170662588317
Position 731: 0.008694698859566126
Position 1875: 0.0050856176205894615
Position 362: 0.004974577879854114
Position 831: 0.0037614176590134124
Position 1287: 0.0022873321914402356
Position 131: 0.001693809551390267
Position 915: 0.0014812025030925163
Position 826: 0.0012479325634469631
Position 1313: 0.0011917259091671214
Position 553: 0.0011608880823195456
Position 1304: 0.001127322194354552
Position 1324: 0.0008321253946369304
Position 1003: 0.0005902652185155385
Position 333: 0.0005825901846153382
Position 142: 0.0005171972949880661
Position 248: 0.00043385554836288285
Position 99: 0.00041094532187175393
Position 1660: 0.0003822187428103754
Position 182: 0.0003537622524835205
Position 208: 0.0003186709272108476
Position 526: 0.00026987508322528575
Position 725: 0.00022580192935207636
Position 279: 0.00020976036867070345
Position 12: 0.0002025304470685109
Position 1869: 0.00017759747327110955
Position 1348: 0.00013341492732086655
Position 146: 0.0001269321017438129
Position 1729: 0.00012660493800399267
Position 1595: 0.00011198438422690374
Position 20: 0.00010731700099375563
Position 992: 0.00010257467531097778
Position 1068: 9.679087238790355e-05
Position 288: 9.206693903663076e-05
Position 1190: 8.382281222123166e-05
Position 1820: 8.017465558595229e-05
Position 1767: 8.006425954762334e-05
Position 290: 6.997373166836522e-05
Position 73: 6.195097170673752e-05
Position 153: 6.077122661346396e-05
Position 734: 4.939472590339265e-05
Position 1808: 3.984322912754068e-05
Position 53: 3.052430036576259e-05
Position 1690: 2.8981367960512658e-05
Position 87: 2.6467142861981037e-05
Position 85: 2.607750381090862e-05
Position 129: 2.4350028878856896e-05
Position 2102: 2.3510144366933156e-05
Position 791: 2.207106619643077e-05
Position 728: 2.025696616959344e-05
Position 70: 1.6606973771864253e-05
Position 261: 1.3967632956792457e-05
Position 1105: 1.2558564803089596e-05
Position 551: 1.0456302074580206e-05
Position 970: 8.438103076948664e-06
Position 692: 7.997516115655049e-06
Position 540: 7.960248373182029e-06
Position 1943: 5.5393394889325966e-06
Position 1847: 5.350442219827621e-06
Position 386: 4.433784008659207e-06
Position 1773: 3.9605842069186635e-06
Position 1216: 2.584466769381054e-06
Position 1592: 2.547296923888273e-06
Position 1695: 2.4601494728109145e-06
Position 565: 1.1296098523771868e-06
Position 498: 4.836546716109596e-07
Position 578: 2.862093327697153e-07
Position 479: 2.7226959804612615e-07
Position 482: 2.3469263789876027e-07
Position 457: 1.941264959506261e-07
Position 1709: 6.208764786677752e-08
Position 331: 5.9595634204576836e-08
Position 1722: 4.3007847307917246e-08
Position 698: 4.0142510677645826e-08
Position 1732: 3.014440590162173e-08
Position 1890: 8.36895037620176e-09
Position 472: 7.926055084928331e-09
Position 868: 7.888329424963704e-09
Position 612: 4.942813637208369e-09
Position 1381: 2.524097457464854e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1543: 0.9882063110818992
Position 628: 0.9819282689117257
Position 446: 0.9035631325430452
Position 1189: 0.8318744778124748
Position 1175: 0.060740731686390215
Position 472: 0.0555519577212822
Position 1133: 0.05208384894243738
Position 1220: 0.035200289563206595
Position 631: 0.008576421312666
Position 1557: 0.0051209190856544755
Position 1039: 0.004265190853029489
Position 914: 0.004260220644446127
Position 1159: 0.004010450074831418
Position 1194: 0.0037267091664214976
Position 1137: 0.0036532178912988865
Position 1942: 0.0029937203819293697
Position 338: 0.002895804315327323
Position 279: 0.002612808788617443
Position 1982: 0.0021605969088933333
Position 379: 0.002088744103296165
Position 216: 0.002079795829321932
Position 886: 0.0019806738110029268
Position 1256: 0.0019331214708716191
Position 2076: 0.0014207097095873624
Position 2034: 0.0013119540259340426
Position 647: 0.001053207307308121
Position 1817: 0.0008834550169548753
Position 688: 0.0007834915965728173
Position 1002: 0.0007735374914560655
Position 1054: 0.0006386570824569471
Position 1476: 0.000561936074140517
Position 830: 0.0004952010698052381
Position 1259: 0.00048184039261173374
Position 1866: 0.0004086062839749789
Position 1063: 0.00040139586956125094
Position 1563: 0.0003232646280299651
Position 1148: 0.00031133313664989746
Position 294: 0.00028604835232117805
Position 1729: 0.0002779440108724303
Position 1962: 0.0002771099956655384
Position 957: 0.00026693191805903947
Position 2137: 0.00025983780829179066
Position 1090: 0.00025868943833726296
Position 498: 0.0002398454152108727
Position 248: 0.000227681506455061
Position 850: 0.00020743441673383382
Position 1236: 0.00020631992757051722
Position 1012: 0.00019658652197151037
Position 847: 0.00019588700612212402
Position 1085: 0.00018420745967590068
Position 2164: 0.00017544897445075916
Position 1585: 0.00017037395137003863
Position 2090: 0.0001542873194497698
Position 1582: 0.00014500193088425503
Position 924: 0.00013396872557899615
Position 1578: 0.0001272047323262653
Position 2134: 0.00012127899984461712
Position 970: 0.00011857428990327893
Position 1112: 9.956621537738121e-05
Position 1398: 9.007913686028698e-05
Position 1678: 8.149951847480801e-05
Position 1949: 7.196170524485092e-05
Position 2112: 6.140287965278245e-05
Position 789: 5.9914255965563086e-05
Position 1913: 5.687913869139779e-05
Position 1116: 5.616497804367733e-05
Position 2005: 5.4718867588878716e-05
Position 1838: 5.238223393042701e-05
Position 1786: 4.893287550886888e-05
Position 1624: 3.9067242194852814e-05
Position 1847: 3.892139085664899e-05
Position 1771: 3.3417717061721526e-05
Position 2002: 3.010735906120945e-05
Position 1524: 2.691142217776655e-05
Position 511: 2.3506145554335256e-05
Position 2145: 2.120348308045144e-05
Position 1967: 2.0217064319015855e-05
Position 1470: 1.791930951659671e-05
Position 1897: 1.760818778708674e-05
Position 259: 1.5578652832840425e-05
Position 2179: 1.543098692605161e-05
Position 2055: 1.3991075568435998e-05
Position 1511: 1.3539003597674202e-05
Position 1408: 1.1516372829567952e-05
Position 513: 1.0744047164471741e-05
Position 1265: 1.0358338468032552e-05
Position 2184: 8.698349552625706e-06
Position 1374: 8.105762442458704e-06
Position 1888: 7.960505767127535e-06
Position 703: 7.912464390550118e-06
Position 873: 6.740866795770954e-06
Position 520: 6.522348152921871e-06
Position 722: 6.333759441497639e-06
Position 1743: 6.320585389711048e-06
Position 2036: 6.262873283709559e-06
Position 1404: 6.2416172430552524e-06
Position 1014: 6.12786935714906e-06
Position 1767: 5.95562055082072e-06
Position 115: 5.020662026755581e-06
Position 698: 4.754654521933942e-06
Position 2041: 4.623010570337208e-06
Position 1873: 4.574800386128387e-06
Position 1650: 4.438857610294763e-06
Position 1824: 4.1257887792817244e-06
Position 1750: 4.108880290809013e-06
Position 1789: 4.059553185431412e-06
Position 1820: 3.8211417483967265e-06
Position 931: 3.72648477827262e-06
Position 1990: 3.6417271607094617e-06
Position 1929: 3.4954433776418635e-06
Position 1114: 3.3547442444258384e-06
Position 1281: 3.006811094330756e-06
Position 855: 2.964040060091354e-06
Position 933: 2.583432447154978e-06
Position 523: 1.993010563649121e-06
Position 1287: 1.3421555147389274e-06
Position 747: 1.1557865543625036e-06
Position 773: 1.0274663827389354e-06
Position 796: 9.64837083008141e-07
Position 586: 5.678899735241253e-07
Position 857: 4.97276632405382e-07
Position 734: 4.970175796815782e-07
Position 868: 3.259626855556981e-07
Position 1706: 1.5153844698676397e-07
Position 531: 1.4441542955053317e-07
Position 1797: 6.181000516413243e-08
Position 121: 3.0660234409124536e-09
Position 119: 2.3592906942333532e-09
Position 124: 1.7644124069392234e-09
Position 135: 1.4795293809413916e-09
Position 129: 8.103335917193378e-11
Position 557: 1.528385092700155e-12
