Gene = AT2G27060
index = 282
Annotated 5SS: [1496 3148]
Annotated 3SS: [1602 3267]
SMsplice 5SS: [1249 1496 2077 2992 3148]
SMsplice 3SS: [1360 1602 2172 3062 3267]
length: 4071
Partition function (logZ) = -3.970607512819692
#Introns = 31936
5SS, 3SS, prob
1496, 1602, 0.8595824105303221
3148, 3267, 0.7867668880545342
2992, 3062, 0.5465003035167737
1249, 1360, 0.3660920232090614
2077, 2172, 0.3157402827096833
1249, 1386, 0.23221110614055107
1249, 1334, 0.1873435564906178
3148, 3233, 0.16456287889075563
2413, 2848, 0.1026621987555904
1496, 1574, 0.0984092374220621
2098, 2172, 0.06483468202278309
2264, 2848, 0.054847390439534426
3545, 3773, 0.052331855918934904
2044, 2172, 0.04694415475574877
1960, 2172, 0.04668347043245242
3538, 3773, 0.04440084964293025
2742, 2848, 0.04224561419284083
2413, 2550, 0.04151871780499424
2625, 2848, 0.038050986220402434
1960, 2848, 0.03380037458032831
2077, 2848, 0.032867291035584126
2093, 2172, 0.027610074114522622
2360, 2848, 0.024205033183563766
1960, 2097, 0.024076207644284593
1249, 1367, 0.02251634472818525
2379, 2848, 0.022183812273230758
3545, 3731, 0.020852417782237453
956, 1143, 0.020225429115494388
1292, 1386, 0.01967921451781338
2044, 2848, 0.019579787038490174
2413, 2868, 0.01836822729136867
762, 1143, 0.017980236663658496
3538, 3731, 0.017522434633354855
420, 640, 0.0170209425787663
1901, 2172, 0.015736930802546074
2264, 2550, 0.014987937408958483
420, 572, 0.014800001167286686
2413, 3062, 0.014714990462221408
1781, 1874, 0.014397742353182892
1028, 1143, 0.014202994028053627
2992, 3084, 0.013971132414457521
2098, 2848, 0.012029157199347228
2625, 2716, 0.011958748918013658
1901, 2848, 0.01139405770272385
3545, 3642, 0.011185334909576393
2409, 2848, 0.01005510460097289
2264, 2868, 0.00981324524648318
3545, 3634, 0.009742741131639468
641, 746, 0.009376129404744216
1960, 2550, 0.00923649957727344
2077, 2550, 0.008981519392183853
762, 836, 0.008870217655089108
2439, 2848, 0.0088398469771662
420, 535, 0.008789889581136362
1960, 2037, 0.008282715534686203
1503, 1602, 0.00820108516869531
1249, 1331, 0.008068789836708033
2264, 3062, 0.007861499529314683
3545, 3627, 0.007407934842580844
2439, 2550, 0.007157538797501939
2098, 2196, 0.00706836624441152
2077, 2196, 0.006935598439446688
3538, 3627, 0.006907736812728856
1267, 1360, 0.0068850815378305565
2360, 2550, 0.006831787563849007
2625, 2868, 0.0068080478698984825
3538, 3634, 0.006547194648619685
1249, 1402, 0.006447095378575461
3538, 3642, 0.006422783307809589
2379, 2550, 0.00611313834714712
1960, 2868, 0.0060475322986501155
1496, 2172, 0.005993200561106394
2077, 2868, 0.005880585838906939
1496, 1874, 0.005846424428351938
641, 1143, 0.005729534870944346
1901, 2097, 0.005645228151087594
2969, 3062, 0.005621624290971893
2625, 3062, 0.0054540026036686865
2044, 2550, 0.005350493802200994
1767, 1874, 0.0052829699934863
956, 1165, 0.005188579259840666
2924, 3062, 0.005001433030227614
1496, 1896, 0.0049886240193253144
3148, 3773, 0.0048990066684003524
1960, 3062, 0.004844745150580148
762, 1165, 0.004791815374056627
2077, 3062, 0.004711002491375548
2020, 2097, 0.004623807253072975
1249, 1410, 0.0045637632532719635
3148, 3438, 0.004543187885789849
2264, 2337, 0.00436722842340057
1496, 2848, 0.00433927516578997
2360, 2868, 0.0043307425371757
2992, 3267, 0.004314453332843413
420, 1143, 0.004193872561086726
2506, 2848, 0.0041662893448828385
1781, 1896, 0.004048679467565411
2413, 2716, 0.0040087667896045506
2379, 2868, 0.0039691075289926825
2409, 2550, 0.003862352100936088
762, 894, 0.0037531873841366963
3643, 3731, 0.0036898225656601
956, 1045, 0.003668960880599316
956, 1048, 0.003668067116288956
2562, 2848, 0.003611990755784553
2742, 2868, 0.003576487246070476
920, 1143, 0.003528223603737303
2044, 2868, 0.003503197700799273
2360, 3062, 0.003469405845104198
680, 1143, 0.0034083454521371174
1960, 2196, 0.0033116529458558763
2638, 2848, 0.0032891129152731037
2098, 2550, 0.003287161955045035
2379, 3062, 0.003179696031968368
1292, 1360, 0.003157715962561329
2049, 2172, 0.003121630061090122
2093, 2848, 0.003118318813935392
1901, 2550, 0.0031136107354232715
2020, 2172, 0.002996650902488684
956, 1175, 0.0029718881908311493
2044, 3062, 0.0028064505048214514
2541, 2848, 0.0027487505093077543
762, 1175, 0.0027446317786883664
1901, 1982, 0.0026612107694707144
1714, 1874, 0.002660451230472227
762, 870, 0.002658281025179852
1714, 2172, 0.002595225963486194
2081, 2172, 0.002517020042373788
1267, 1386, 0.002493716008051895
788, 1143, 0.0023598174174252616
2044, 2196, 0.0023521429408248366
956, 1386, 0.0022882298418327096
1028, 1165, 0.002250952597745391
1878, 2172, 0.0022419552266381023
1714, 1896, 0.0022193215478578158
3148, 3468, 0.002155283937058214
2098, 2868, 0.002152245872770012
2264, 2716, 0.002141687982096785
1767, 1896, 0.0021172795662669592
762, 1386, 0.002113251891579634
1496, 2097, 0.002088508695539459
1901, 2868, 0.002038614448077996
1781, 2172, 0.0019544552692959444
3643, 3773, 0.001894726030559879
2413, 2685, 0.001890809394969988
1714, 2848, 0.001879029319667901
3148, 3731, 0.0018781052742107948
2952, 3062, 0.0018523882799059573
420, 658, 0.0018225438767817798
956, 1360, 0.0018018611932246898
2409, 2868, 0.0017990501760912255
2020, 2848, 0.0017695469471722884
1686, 1770, 0.0017326200216302057
2098, 3062, 0.0017241880224907764
3538, 3606, 0.0017227418262075178
420, 746, 0.0016984522919060335
762, 1360, 0.0016640752189020682
1901, 3062, 0.001633156628767923
1878, 2848, 0.0016232496374137325
3148, 3269, 0.0016044640436127767
1960, 2062, 0.00159824612816905
2742, 3062, 0.0015839719021965215
2439, 2868, 0.001581617386591046
1517, 1602, 0.0015563855632599194
641, 1165, 0.001526947269624999
