Gene = Zpr1
index = 1206
Annotated 5SS: [ 304  576 1083 1664 2387 2790 3184 3415 3799 4672 5351 6692 6918]
Annotated 3SS: [ 413  991 1592 2299 2666 3135 3347 3727 4581 5239 6604 6851 7973]
SMsplice 5SS: [ 304  576 1083 2387 2790 3184 3799 4672 5351 6692 6918]
SMsplice 3SS: [ 413  991 2299 2666 3135 3727 4581 5239 6604 6807 7973]
top_k =  1000
Partition function (log Z): 23.410019172816018

Sorted 5' Splice Sites (High to Low Probability):
Position 304: 0.9979917033200548
Position 2790: 0.9819397728595303
Position 6692: 0.9685794626221356
Position 6918: 0.9568365224092155
Position 1083: 0.9257722875767069
Position 5351: 0.9014531669800236
Position 576: 0.83716756648404
Position 3799: 0.7119234421966171
Position 1664: 0.6701715286904762
Position 3184: 0.6635103779674769
Position 2387: 0.6568528688920614
Position 4672: 0.6005233093382462
Position 3523: 0.44680240189275716
Position 4532: 0.3153922165025883
Position 2489: 0.279824371244768
Position 596: 0.13081493699028318
Position 4490: 0.10025173555128886
Position 3228: 0.09839814051877188
Position 4913: 0.060764955640644366
Position 3594: 0.0547593366221661
Position 1100: 0.04206874882565446
Position 8018: 0.03561144378027267
Position 8236: 0.03202074879751096
Position 3582: 0.030458806639475682
Position 4031: 0.03017981332888127
Position 2182: 0.029449800533875258
Position 7045: 0.0224068903092983
Position 3415: 0.021859305175583307
Position 2534: 0.021150134708527595
Position 1991: 0.02110631923826936
Position 1109: 0.019610074615641904
Position 1464: 0.018310038809236234
Position 561: 0.01786986648485686
Position 5405: 0.01698942993736598
Position 4105: 0.016023660344309843
Position 3249: 0.015735851251489276
Position 4828: 0.014345643997078607
Position 7395: 0.013991176348087693
Position 3275: 0.013414193109126754
Position 8105: 0.012685388262348692
Position 8010: 0.012571388572769982
Position 1225: 0.011871200681264711
Position 3224: 0.01100180050997
Position 8502: 0.01005644912293231
Position 3309: 0.010005015217681275
Position 1860: 0.008215063070417344
Position 5006: 0.007952877044192553
Position 5934: 0.007879858039624058
Position 2419: 0.0076956104634864336
Position 7367: 0.006479400629649947
Position 4582: 0.0056514797347383535
Position 2460: 0.005641500064090273
Position 3803: 0.004697820064911851
Position 7258: 0.00467740171935155
Position 4102: 0.004557229376976647
Position 7417: 0.004270912133372799
Position 3770: 0.004105648825073383
Position 3819: 0.003459752013607546
Position 1773: 0.003365377744385734
Position 5423: 0.0023546884843766236
Position 4725: 0.0022883568599393746
Position 3437: 0.0021621790322063086
Position 3221: 0.002161399040315208
Position 3590: 0.002006588442602449
Position 4925: 0.0016690011128048777
Position 3411: 0.001655476341653292
Position 5654: 0.001652247691594641
Position 3348: 0.0015660598295287825
Position 4613: 0.0015221379531372074
Position 801: 0.0014636706272392608
Position 3191: 0.0014200992175921086
Position 543: 0.0013847807743760725
Position 3466: 0.0013669819218350059
Position 6472: 0.0013534995170813276
Position 76: 0.001255761725274865
