Gene = ARPC4
index = 97
Annotated 5SS: [  567  5220  7739  9199 11456]
Annotated 3SS: [ 5100  7626  9102 11284 13651]
SMsplice 5SS: [  148  5220  7739  9199 11456]
SMsplice 3SS: [ 5100  7626  9102 11284 13651]
top_k =  500
Partition function (log Z): -0.12922676685507994

Sorted 5' Splice Sites (High to Low Probability):
Position 9199: 0.9885247083046506
Position 11456: 0.9783390209025968
Position 5220: 0.8734704378685207
Position 7739: 0.834456939417915
Position 148: 0.5197396062464874
Position 11150: 0.4927777656360881
Position 11927: 0.2778248463042726
Position 13788: 0.26788961770791475
Position 14099: 0.26022933230184736
Position 11774: 0.24991735889370692
Position 7510: 0.20708174626539594
Position 567: 0.16904769669846328
Position 805: 0.12736500638581744
Position 7766: 0.09053107637739347
Position 1124: 0.0844921974515116
Position 5240: 0.08252766323980702
Position 3: 0.0761359996724049
Position 12164: 0.07008203947701674
Position 14400: 0.06570941814019456
Position 5045: 0.03598093272376032
Position 730: 0.03270148856577865
Position 285: 0.023684693356696186
Position 5445: 0.020242368398827
Position 13768: 0.019802783757364738
Position 624: 0.0194505773059518
Position 1367: 0.019117570826481106
Position 876: 0.015358655376152464
Position 4023: 0.012890628544311796
Position 175: 0.012753625615931179
Position 1883: 0.012582782388653357
Position 1926: 0.010603565485854364
Position 29: 0.010451510380533947
Position 452: 0.010181235864436568
Position 5389: 0.009828476672484923
Position 628: 0.009090620609056197
Position 8928: 0.008910759987824361
Position 10715: 0.00809536057681341
Position 8472: 0.007805773091704929
Position 4169: 0.007485521140843905
Position 7718: 0.007085854215308193
Position 12423: 0.006954393708749647
Position 4672: 0.005386292457930622
Position 11394: 0.005271535458148679
Position 12418: 0.004978501782999693
Position 1096: 0.004923295311939654
Position 8595: 0.004343433176421003
Position 11595: 0.003784431044802204
Position 6887: 0.003617727557598084
Position 11769: 0.0024048486476503116
Position 13856: 0.0015614837373710269
Position 9452: 0.0014891259201917023
Position 788: 0.0013504800266254246
Position 11407: 0.0011382091136800851
Position 13574: 0.0011360366953090768
Position 620: 0.0008949909279450094
Position 8103: 0.0006573409706436726
Position 11997: 0.0004775880177070858
Position 11460: 0.00043521505015554424
Position 418: 0.0004108554872751863
Position 761: 0.00030115184463390095
Position 34: 0.0002495523861054313
Position 9468: 0.0002241024380665361
Position 11086: 0.00015828518927501234
