Gene = AL356356.1
index = 57
Annotated 5SS: [ 79 856]
Annotated 3SS: [ 400 1193]
SMsplice 5SS: [79]
SMsplice 3SS: [400]
Partition function (log Z): -9.428080868701594

Sorted 5' Splice Sites (High to Low Probability):
Position 79: 0.5737965951069962
Position 856: 0.3738519825875865
Position 475: 0.2933410265356879
Position 871: 0.19620449657790826
Position 1636: 0.04812727766662011
Position 677: 0.019197072593752165
Position 1419: 0.01253371850784569
Position 1138: 0.011857199716177656
Position 418: 0.011453074953837261
Position 2014: 0.007130735910414382
Position 217: 0.006050864095988732
Position 247: 0.005080520563414779
Position 1871: 0.0033873033102633818
Position 515: 0.0032891611741217935
Position 730: 0.002798360248439087
Position 875: 0.0025486951197152686
Position 1620: 0.002417821000220003
Position 177: 0.0021737829973396505
Position 692: 0.0019699474573533584
Position 1813: 0.0015571852208026951
Position 1272: 0.0013791300695707245
Position 1061: 0.0012558859578921144
Position 2040: 0.0012366691889854832
Position 338: 0.0011042548032510339
Position 48: 0.0010230983891984448
Position 669: 0.000993144475479296
Position 1545: 0.0006727163991235526
Position 929: 0.000481913036101064
Position 379: 0.00046619135848982254
Position 1947: 0.00043148679100661017
Position 1054: 0.0003820245820149783
Position 124: 0.000327466331587436
Position 1163: 0.0003251643553110978
Position 2076: 0.00031842995878490543
Position 1283: 0.00030727311213520954
Position 637: 0.00026570756273765455
Position 129: 0.0002480038714397374
Position 16: 0.0002294561755807637
Position 1098: 0.0002247177795724321
Position 1602: 0.00021436465894636282
Position 479: 0.00020605219248103076
Position 182: 0.0001827133381266977
Position 1277: 0.00014922388828334708
Position 934: 0.0001100092837972539
Position 1705: 0.00010307886952038433
Position 538: 0.00010103294898612984
Position 544: 8.728647207230718e-05
Position 309: 8.171858291718396e-05
Position 1659: 8.15614812764585e-05
Position 1199: 6.770472113028452e-05
Position 405: 6.122373479157362e-05
Position 1208: 5.22023727034798e-05
Position 267: 4.6099717753989795e-05
Position 343: 3.814223344559242e-05
Position 420: 3.517663425634413e-05
Position 1669: 3.484558094158387e-05
Position 456: 3.063322046706786e-05
Position 751: 2.867591749194867e-05
Position 1232: 2.754024124564273e-05
Position 785: 2.551629761968133e-05
Position 1678: 2.512166594663937e-05
Position 767: 2.3966126782055266e-05
Position 1434: 2.1476318171268163e-05
Position 877: 1.5624542736833067e-05
Position 1875: 1.4846893117235593e-05
Position 1956: 1.2793730283439823e-05
Position 1480: 7.649174994844195e-06
Position 706: 7.084874687699528e-06
Position 1446: 6.968511420302662e-06
Position 277: 6.591595285866704e-06
Position 2202: 4.1545659785063496e-06
Position 1945: 4.123150016916489e-06
Position 1326: 3.80099591486144e-06
Position 1288: 2.6817739405687604e-06
Position 1052: 2.093682031722885e-06
Position 1912: 1.5724575991428619e-06
Position 720: 1.5392440841903053e-06
Position 2047: 1.451740671708654e-06
Position 330: 1.3720524805798931e-06
Position 1301: 1.3158419522435818e-06
Position 564: 1.2400447978538441e-06
Position 879: 1.238304920019772e-06
Position 1444: 1.1939138173423866e-06
Position 1966: 1.0425370240195817e-06
Position 2045: 9.492278518038781e-07
Position 755: 9.330624853336143e-07
Position 1757: 8.374625671821122e-07
Position 732: 6.255816733466848e-07
Position 722: 4.440851743732309e-07
Position 2080: 4.2472012550034293e-07
Position 422: 2.909908918448316e-07
Position 2338: 2.570928373758242e-07
Position 987: 2.374075476189326e-07
Position 1069: 1.7735702275707198e-07
Position 159: 1.0693579235220063e-07
Position 1703: 8.943498541497219e-08
Position 2095: 5.6995515936356215e-08
Position 2272: 3.629937339572958e-08
Position 698: 2.8597128192677618e-08
Position 1877: 2.1174392272998657e-08
Position 2093: 1.9983180623271667e-08
Position 2158: 1.6413819683307036e-08
Position 156: 1.6359123970996203e-08
Position 2111: 1.5969596331651238e-08
Position 2207: 1.274058942648672e-08
Position 2287: 7.378643092005343e-09
Position 2343: 5.4401674615432515e-09
Position 2346: 4.378911724076704e-09
Position 2356: 3.6385686356653733e-09
Position 813: 6.39784505304065e-10
Position 2395: 5.059666299430924e-10
Position 2340: 3.719755463419324e-10
Position 2220: 6.907319248986657e-12
Position 2359: 2.1313543386754066e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 400: 0.25904759546677436
Position 1555: 0.23371943533152986
Position 1012: 0.1755443994624426
Position 1193: 0.1734515881008719
Position 1809: 0.1700407886486761
Position 760: 0.12148366771021586
Position 2137: 0.10344488968639969
Position 1496: 0.09392619341641355
Position 765: 0.08213814413563603
Position 720: 0.054413821117605295
Position 783: 0.01949754321634487
Position 1901: 0.016706476789744722
Position 1457: 0.010809482176204515
Position 1277: 0.009226969872974935
Position 1925: 0.008849579825788902
Position 1744: 0.0081477984893776
Position 948: 0.007287373371971291
Position 2087: 0.004444184377719792
Position 1703: 0.0038698493508188903
Position 1593: 0.003750313247960669
Position 2229: 0.003356017215649335
Position 656: 0.0033278714982878624
Position 888: 0.0029479665855540594
Position 691: 0.0019988664576391043
Position 653: 0.001739441742502627
Position 1281: 0.0014980142396937835
Position 2111: 0.0012090311113661263
Position 1976: 0.0010177038403703467
Position 1855: 0.0009138175274708044
Position 1418: 0.000880491871068845
Position 1590: 0.0008539770826222964
Position 621: 0.0008026729019365922
Position 1256: 0.0007854699115169959
Position 211: 0.0006023760083459092
Position 493: 0.0006004919610756942
